ma_type,short_window,long_window,stop_loss_pct,lookback_for_low,total_return_pct,cagr,mdd,total_trades,win_rate,final_capital
ema,20,200,0.05,30,1427.4912610339045,10.750212596649277,-36.464913936301826,24,45.83333333333333,152749126.10339046
ema,20,200,0.05,20,1427.4912610339045,10.750212596649277,-36.464913936301826,24,45.83333333333333,152749126.10339046
ema,20,200,0.05,60,1427.4912610339045,10.750212596649277,-36.464913936301826,24,45.83333333333333,152749126.10339046
ema,20,200,0.1,60,1242.6108990854018,10.216364774751385,-36.846965937898716,24,45.83333333333333,134261089.9085402
ema,20,200,0.1,30,1242.6108990854018,10.216364774751385,-36.846965937898716,24,45.83333333333333,134261089.9085402
ema,20,200,0.1,20,1242.6108990854018,10.216364774751385,-36.846965937898716,24,45.83333333333333,134261089.9085402
ema,5,200,0.1,30,733.3513021640005,8.265120448057184,-35.9571090815196,39,25.64102564102564,83335130.21640004
ema,5,200,0.1,60,733.3513021640005,8.265120448057184,-35.9571090815196,39,25.64102564102564,83335130.21640004
ema,5,200,0.1,20,733.3513021640005,8.265120448057184,-35.9571090815196,39,25.64102564102564,83335130.21640004
ema,5,200,0.05,30,729.2117460149676,8.24492975888933,-36.27525198336624,39,25.64102564102564,82921174.60149676
ema,5,200,0.05,60,729.2117460149676,8.24492975888933,-36.27525198336624,39,25.64102564102564,82921174.60149676
ema,5,200,0.05,20,729.2117460149676,8.24492975888933,-36.27525198336624,39,25.64102564102564,82921174.60149676
ema,20,100,0.1,30,635.2835186326439,7.758633188617137,-48.53856195574864,38,36.84210526315789,73528351.86326438
ema,20,100,0.1,20,635.2835186326439,7.758633188617137,-48.53856195574864,38,36.84210526315789,73528351.86326438
ema,20,100,0.1,60,635.2835186326439,7.758633188617137,-48.53856195574864,38,36.84210526315789,73528351.86326438
ema,20,100,0.05,60,503.1972026716316,6.962417652070485,-48.784159387964074,38,34.21052631578947,60319720.26716316
ema,20,100,0.05,30,503.1972026716316,6.962417652070485,-48.784159387964074,38,34.21052631578947,60319720.26716316
ema,20,100,0.05,20,503.1972026716316,6.962417652070485,-48.784159387964074,38,34.21052631578947,60319720.26716316
ema,5,100,0.1,30,441.2989204452736,6.529539463381195,-48.31193147228132,67,28.35820895522388,54129892.04452736
ema,5,100,0.1,60,441.2989204452736,6.529539463381195,-48.31193147228132,67,28.35820895522388,54129892.04452736
ema,5,100,0.1,20,441.2989204452736,6.529539463381195,-48.31193147228132,67,28.35820895522388,54129892.04452736
sma,20,200,0.1,30,413.0611763338935,6.512899222612156,-33.409311678275344,24,41.66666666666667,51306117.633389354
sma,20,200,0.1,60,413.0611763338935,6.512899222612156,-33.409311678275344,24,41.66666666666667,51306117.633389354
sma,20,200,0.1,20,413.0611763338935,6.512899222612156,-33.409311678275344,24,41.66666666666667,51306117.633389354
ema,5,100,0.05,60,283.84295405241835,5.16683489705998,-63.169058337650476,67,26.865671641791046,38384295.40524183
ema,5,100,0.05,30,283.84295405241835,5.16683489705998,-63.169058337650476,67,26.865671641791046,38384295.40524183
ema,5,100,0.05,20,283.84295405241835,5.16683489705998,-63.169058337650476,67,26.865671641791046,38384295.40524183
sma,10,100,0.1,60,279.424313072626,5.199955508177334,-34.758961921881266,48,37.5,37942431.3072626
sma,10,100,0.1,30,279.424313072626,5.199955508177334,-34.758961921881266,48,37.5,37942431.3072626
sma,10,100,0.1,20,279.424313072626,5.199955508177334,-34.758961921881266,48,37.5,37942431.3072626
ema,10,200,0.1,30,275.823810316213,5.08370549936672,-44.00056283835255,35,31.428571428571427,37582381.0316213
ema,10,200,0.1,60,275.823810316213,5.08370549936672,-44.00056283835255,35,31.428571428571427,37582381.0316213
ema,10,200,0.1,20,275.823810316213,5.08370549936672,-44.00056283835255,35,31.428571428571427,37582381.0316213
sma,5,200,0.1,60,255.24428497813702,5.012825402763443,-37.9755485041546,41,29.268292682926827,35524428.4978137
sma,5,200,0.1,20,255.24428497813702,5.012825402763443,-37.9755485041546,41,29.268292682926827,35524428.4978137
sma,5,200,0.1,30,255.24428497813702,5.012825402763443,-37.9755485041546,41,29.268292682926827,35524428.4978137
ema,10,50,0.1,60,255.0336022388576,4.859966073470634,-46.47843673109669,83,36.144578313253014,35503360.22388576
ema,10,50,0.1,20,255.0336022388576,4.859966073470634,-46.47843673109669,83,36.144578313253014,35503360.22388576
ema,10,50,0.1,30,255.0336022388576,4.859966073470634,-46.47843673109669,83,36.144578313253014,35503360.22388576
sma,10,50,0.05,20,247.46388582048522,4.810700753509112,-49.072197916720306,83,37.34939759036144,34746388.58204852
sma,10,50,0.05,30,247.46388582048522,4.810700753509112,-49.072197916720306,83,37.34939759036144,34746388.58204852
sma,10,50,0.05,60,247.46388582048522,4.810700753509112,-49.072197916720306,83,37.34939759036144,34746388.58204852
ema,10,100,0.1,60,244.27079254830656,4.739134731954753,-47.01103184254402,53,30.18867924528302,34427079.25483066
ema,10,100,0.1,30,244.27079254830656,4.739134731954753,-47.01103184254402,53,30.18867924528302,34427079.25483066
ema,10,100,0.1,20,244.27079254830656,4.739134731954753,-47.01103184254402,53,30.18867924528302,34427079.25483066
sma,10,100,0.05,30,216.00276466003982,4.4710228176224165,-37.85241096584151,48,35.41666666666667,31600276.46600398
sma,10,100,0.05,20,216.00276466003982,4.4710228176224165,-37.85241096584151,48,35.41666666666667,31600276.46600398
sma,10,100,0.05,60,216.00276466003982,4.4710228176224165,-37.85241096584151,48,35.41666666666667,31600276.46600398
sma,10,50,0.1,60,215.1033143594307,4.424874195277195,-50.52552042093937,83,39.75903614457831,31510331.43594307
sma,10,50,0.1,20,215.1033143594307,4.424874195277195,-50.52552042093937,83,39.75903614457831,31510331.43594307
sma,10,50,0.1,30,215.1033143594307,4.424874195277195,-50.52552042093937,83,39.75903614457831,31510331.43594307
sma,10,200,0.1,20,210.3256134030488,4.46649194557136,-36.25041270068319,33,30.303030303030305,31032561.34030488
sma,10,200,0.1,30,210.3256134030488,4.46649194557136,-36.25041270068319,33,30.303030303030305,31032561.34030488
sma,10,200,0.1,60,210.3256134030488,4.46649194557136,-36.25041270068319,33,30.303030303030305,31032561.34030488
sma,20,50,0.1,60,154.1271662170928,3.581073619758901,-60.159980302425076,63,47.61904761904761,25412716.62170928
sma,20,50,0.1,30,154.1271662170928,3.581073619758901,-60.159980302425076,63,47.61904761904761,25412716.62170928
sma,20,50,0.1,20,154.1271662170928,3.581073619758901,-60.159980302425076,63,47.61904761904761,25412716.62170928
sma,5,50,0.1,60,137.8541293072096,3.322804771313881,-48.57025669030591,103,32.038834951456316,23785412.930720963
sma,5,50,0.1,30,137.8541293072096,3.322804771313881,-48.57025669030591,103,32.038834951456316,23785412.930720963
sma,5,50,0.1,20,137.8541293072096,3.322804771313881,-48.57025669030591,103,32.038834951456316,23785412.930720963
sma,5,100,0.1,20,135.2715194619077,3.305937154558003,-37.25657552920866,70,32.857142857142854,23527151.94619077
sma,5,100,0.1,60,135.2715194619077,3.305937154558003,-37.25657552920866,70,32.857142857142854,23527151.94619077
sma,5,100,0.1,30,135.2715194619077,3.305937154558003,-37.25657552920866,70,32.857142857142854,23527151.94619077
ema,10,100,0.05,60,130.23970429273606,3.172759289057714,-59.40781768753829,53,26.41509433962264,23023970.429273605
ema,10,100,0.05,20,130.23970429273606,3.172759289057714,-59.40781768753829,53,26.41509433962264,23023970.429273605
ema,10,100,0.05,30,130.23970429273606,3.172759289057714,-59.40781768753829,53,26.41509433962264,23023970.429273605
ema,10,200,0.05,20,125.72473073400077,3.0962579656101497,-33.658057574305964,35,25.71428571428571,22572473.073400076
ema,10,200,0.05,30,125.72473073400077,3.0962579656101497,-33.658057574305964,35,25.71428571428571,22572473.073400076
ema,10,200,0.05,60,125.72473073400077,3.0962579656101497,-33.658057574305964,35,25.71428571428571,22572473.073400076
sma,5,200,0.05,20,108.88445229606558,2.8830251900864745,-51.53811178241505,41,24.390243902439025,20888445.229606558
sma,5,200,0.05,60,108.88445229606558,2.8830251900864745,-51.53811178241505,41,24.390243902439025,20888445.229606558
sma,5,200,0.05,30,108.88445229606558,2.8830251900864745,-51.53811178241505,41,24.390243902439025,20888445.229606558
ema,20,50,0.1,60,96.14806458215732,2.555368607652153,-40.34176861013643,62,33.87096774193548,19614806.458215732
ema,20,50,0.1,20,96.14806458215732,2.555368607652153,-40.34176861013643,62,33.87096774193548,19614806.458215732
ema,20,50,0.1,30,96.14806458215732,2.555368607652153,-40.34176861013643,62,33.87096774193548,19614806.458215732
sma,20,100,0.1,60,95.37824449960772,2.5788239820182968,-35.603419710586316,34,35.294117647058826,19537824.449960772
sma,20,100,0.1,30,95.37824449960772,2.5788239820182968,-35.603419710586316,34,35.294117647058826,19537824.449960772
sma,20,100,0.1,20,95.37824449960772,2.5788239820182968,-35.603419710586316,34,35.294117647058826,19537824.449960772
ema,10,50,0.05,20,89.93516137587689,2.431809625274428,-58.75150199916016,83,33.734939759036145,18993516.13758769
ema,10,50,0.05,30,89.93516137587689,2.431809625274428,-58.75150199916016,83,33.734939759036145,18993516.13758769
