window_idx,train_start,train_end,test_start,test_end,best_ma_type,best_short_window,best_long_window,best_stop_loss_pct,best_lookback_for_low,train_metric,test_return_pct,test_cagr,test_mdd,test_trades,test_win_rate,start_capital,end_capital
1,1999-03-10,2004-03-08,2004-03-09,2005-03-09,ema,20,200,0.05,60,14.040014455704352,-8.054535805853773,-8.081046682243798,-14.432809407836855,3,33.33333333333333,10000000.0,9194546.419414623
2,2000-03-09,2005-03-08,2005-03-09,2006-03-09,sma,20,200,0.1,60,6.125524134678573,0.0,0.0,0.0,0,0.0,9194546.419414623,9194546.419414623
3,2001-03-09,2006-03-08,2006-03-09,2007-03-09,sma,20,200,0.1,60,7.3047374399627385,0.0,0.0,0.0,0,0.0,9194546.419414623,9194546.419414623
4,2002-03-09,2007-03-08,2007-03-09,2008-03-08,sma,20,200,0.1,60,7.259635678529297,0.0,0.0,0.0,0,0.0,9194546.419414623,9194546.419414623
5,2003-03-09,2008-03-07,2008-03-08,2009-03-08,sma,10,50,0.1,30,6.543466003710807,-16.20849997750783,-19.96652386079224,-19.041018061655148,4,0.0,9194546.419414623,7704248.365091857
6,2004-03-08,2009-03-07,2009-03-08,2010-03-08,sma,10,50,0.05,20,1.6926437348396384,-1.338594185838617,-1.6659108591065674,-8.622584182385372,2,50.0,7704248.365091857,7601119.74441417
7,2005-03-08,2010-03-07,2010-03-08,2011-03-08,sma,10,100,0.1,20,9.360744440969304,21.418439157794552,37.61666273061661,-4.2612546352999905,1,100.0,7601119.74441417,9229160.952182628
8,2006-03-08,2011-03-07,2011-03-08,2012-03-07,sma,10,100,0.1,20,11.557149714363835,7.3039934694442215,12.297840712585861,-11.480837657052165,2,50.0,9229160.952182628,9903258.265414543
9,2007-03-08,2012-03-06,2012-03-07,2013-03-07,ema,20,100,0.05,60,7.830777556033941,3.5362638841167615,3.5486206153518385,-8.00650334776558,3,66.66666666666666,9903258.265414543,10253463.610805206
10,2008-03-07,2013-03-06,2013-03-07,2014-03-07,sma,10,100,0.05,60,8.648247284890553,0.0,0.0,0.0,0,0.0,10253463.610805206,10253463.610805206
11,2009-03-07,2014-03-06,2014-03-07,2015-03-07,ema,20,200,0.05,20,20.420196088360854,16.571327580102103,16.781948538595202,-8.248506266191125,2,50.0,10253463.610805206,11952598.654058302
12,2010-03-07,2015-03-06,2015-03-07,2016-03-06,ema,20,100,0.1,60,12.13974190264626,-7.557328572691606,-7.66320536924836,-9.40632525661438,2,0.0,11952598.654058302,11049301.500796001
13,2011-03-07,2016-03-05,2016-03-06,2017-03-06,sma,5,200,0.05,30,12.169591978719364,0.0,0.0,0.0,0,0.0,11049301.500796001,11049301.500796001
14,2012-03-06,2017-03-05,2017-03-06,2018-03-06,sma,5,200,0.1,60,13.40428960516542,0.0,0.0,0.0,0,0.0,11049301.500796001,11049301.500796001
15,2013-03-06,2018-03-05,2018-03-06,2019-03-06,ema,20,200,0.05,60,18.06585995425789,-5.634659289087503,-5.6534515240974965,-13.60220156526884,3,0.0,11049301.500796001,10426711.007402115
16,2014-03-06,2019-03-05,2019-03-06,2020-03-05,ema,5,100,0.1,30,10.679606514004636,8.337943025080476,8.367742012952895,-13.22461390429427,4,50.0,10426711.007402115,11296084.230589097
17,2015-03-06,2020-03-04,2020-03-05,2021-03-05,sma,20,200,0.1,60,17.102691735578368,0.0,0.0,0.0,0,0.0,11296084.230589097,11296084.230589097
18,2016-03-05,2021-03-04,2021-03-05,2022-03-05,ema,20,200,0.1,60,18.481602002222065,14.010512378124048,14.18664198858426,-15.460272397603408,1,100.0,11296084.230589097,12878723.509959102
19,2017-03-05,2022-03-04,2022-03-05,2023-03-05,ema,5,100,0.1,30,18.176821440578085,-7.642005218800681,-7.749017913280243,-12.386206391354474,5,20.0,12878723.509959102,11894530.787213117
20,2018-03-05,2023-03-04,2023-03-05,2024-03-04,sma,10,100,0.05,30,12.021019130775755,-0.6975506440360146,-1.1554237404049927,-2.0370010681178026,1,0.0,11894530.787213117,11811560.41110185
21,2019-03-05,2024-03-03,2024-03-04,2025-03-04,sma,10,200,0.1,20,22.81444743482939,0.0,0.0,0.0,0,0.0,11811560.41110185,11811560.41110185
22,2020-03-04,2025-03-03,2025-03-04,2025-11-21,ema,20,100,0.05,20,18.942825695862453,-2.6944780548977803,-3.7503190242803575,-3.972047676345926,2,0.0,11811560.41110185,11493300.507883716
