Date,Open,High,Low,Close,Volume
2006-06-21,0.993175,0.993583,0.982014,0.983375,1523200
2006-06-22,0.979972,0.981741,0.949757,0.960237,13612800
2006-06-23,0.956153,0.973983,0.945673,0.957379,3411200
2006-06-26,0.959557,0.966361,0.952751,0.960917,3622400
2006-06-27,0.962279,0.962279,0.924985,0.924985,6393600
2006-06-28,0.928932,0.938324,0.917635,0.936282,6374400
2006-06-29,0.947987,0.992902,0.943631,0.992902,11289600
2006-06-30,1.000389,1.000389,0.982423,0.983375,15168000
2006-07-03,0.990861,0.995625,0.988956,0.994808,2380800
2006-07-05,0.976569,0.976978,0.952886,0.955608,9900800
2006-07-06,0.960237,0.967723,0.946626,0.950029,5369600
2006-07-07,0.933015,0.95139,0.923487,0.929204,4588800
2006-07-10,0.937779,0.941453,0.905658,0.913824,7987200
2006-07-11,0.907019,0.931382,0.900486,0.928796,10604800
2006-07-12,0.92308,0.925529,0.887419,0.892047,14598400
2006-07-13,0.896266,0.896266,0.861559,0.8636,26745600
2006-07-14,0.860198,0.86224,0.83706,0.845907,13856000
2006-07-17,0.852712,0.857476,0.838965,0.849989,9868800
2006-07-18,0.857476,0.860198,0.826171,0.854754,26054400
2006-07-19,0.852712,0.88565,0.852167,0.873264,16940800
2006-07-20,0.883336,0.883336,0.848629,0.849445,12019200
2006-07-21,0.834746,0.843865,0.829165,0.830254,18630400
2006-07-24,0.836923,0.863737,0.836923,0.860878,15334400
2006-07-25,0.864962,0.879253,0.854345,0.869317,21683200
2006-07-26,0.865642,0.884561,0.854754,0.871086,23500800
2006-07-27,0.889461,0.891503,0.854753,0.862239,12038400
2006-07-28,0.871767,0.896675,0.866322,0.896675,6752000
2006-07-31,0.890141,0.904432,0.884017,0.894905,9958400
2006-08-01,0.878572,0.878572,0.854753,0.864281,15609600
2006-08-02,0.874489,0.894225,0.872448,0.880206,13939200
2006-08-03,0.864962,0.903752,0.864281,0.894905,19961600
2006-08-04,0.91151,0.918724,0.869862,0.886739,18816000
2006-08-07,0.880614,0.884017,0.867684,0.875986,17017600
2006-08-08,0.879253,0.884697,0.856115,0.864962,28838400
2006-08-09,0.876667,0.90103,0.861559,0.864553,28825600
2006-08-10,0.865234,0.882248,0.856115,0.875578,23283200
2006-08-11,0.867004,0.871767,0.858156,0.867004,13305600
2006-08-14,0.877755,0.898308,0.87272,0.874897,19321600
2006-08-15,0.903616,0.932335,0.891366,0.920493,22054400
2006-08-16,0.932335,0.965272,0.926891,0.964319,31040000
2006-08-17,0.965681,0.984056,0.958195,0.970445,44345600
2006-08-18,0.967042,0.973711,0.949348,0.969083,16934400
2006-08-21,0.953295,0.960781,0.946626,0.95139,16275200
2006-08-22,0.961325,0.972894,0.945809,0.953839,16268800
2006-08-23,0.95629,0.965817,0.930973,0.937779,18598400
2006-08-24,0.948668,0.949348,0.929613,0.944992,18432000
2006-08-25,0.935057,0.963503,0.935057,0.948668,15257600
2006-08-28,0.945946,0.967723,0.945946,0.962278,16588800
2006-08-29,0.960917,0.969764,0.941453,0.968403,26617600
2006-08-30,0.969356,0.97793,0.960917,0.976978,22585600
2006-08-31,0.97657,0.981878,0.969764,0.975889,9395200
2006-09-01,0.9895,0.990181,0.975753,0.984736,18496000
2006-09-05,0.985961,1.004063,0.971806,1.002429,21452800
2006-09-06,0.984056,0.989227,0.959556,0.963367,23398400
2006-09-07,0.958195,0.973575,0.947306,0.954792,27027200
2006-09-08,0.959556,0.970308,0.952751,0.964319,13990400
2006-09-11,0.950437,0.986369,0.944584,0.97725,26662400
2006-09-12,0.980652,1.020532,0.978611,1.015224,19027200
2006-09-13,1.018082,1.029651,1.009235,1.026929,22579200
2006-09-14,1.017266,1.032237,1.017266,1.02584,15187200
2006-09-15,1.050068,1.111044,1.029924,1.035776,15891200
2006-09-18,1.037817,1.049523,1.024888,1.034959,13184000
2006-09-19,1.034415,1.038499,1.00556,1.022438,20812800
2006-09-20,1.045032,1.058234,1.039451,1.05279,21785600
2006-09-21,1.058914,1.063678,1.034415,1.039178,50976000
2006-09-22,1.035777,1.035777,1.013999,1.021213,18214400
2006-09-25,1.032782,1.061636,1.013046,1.058914,37670400
2006-09-26,1.056192,1.070483,1.049794,1.067625,24934400
2006-09-27,1.065992,1.075656,1.05279,1.062181,27929600
2006-09-28,1.070892,1.073205,1.04857,1.068442,14444800
2006-09-29,1.073887,1.074294,1.058914,1.060276,12473600
2006-10-02,1.055512,1.062453,1.029787,1.034415,22822400
2006-10-03,1.024888,1.050068,1.018627,1.041765,20364800
2006-10-04,1.039859,1.09226,1.03319,1.089538,27206400
2006-10-05,1.09226,1.105871,1.086952,1.10383,21580800
2006-10-06,1.090627,1.105871,1.089266,1.097705,21766400
2006-10-09,1.09716,1.114719,1.092942,1.103149,12217600
2006-10-10,1.106552,1.115399,1.092533,1.109274,16710400
2006-10-11,1.097024,1.118802,1.080556,1.105191,23334400
2006-10-12,1.117441,1.14194,1.113221,1.14194,26284800
2006-10-13,1.14194,1.156231,1.135815,1.150651,21683200
2006-10-16,1.153509,1.161676,1.150379,1.152829,17868800
2006-10-17,1.142485,1.142485,1.114719,1.13037,35289600
2006-10-18,1.142892,1.144118,1.108457,1.114718,36768000
2006-10-19,1.109546,1.133092,1.10519,1.124246,36089600
2006-10-20,1.125199,1.127104,1.10873,1.126968,21696000
2006-10-23,1.118801,1.157456,1.117441,1.147112,34579200
2006-10-24,1.143981,1.149834,1.121659,1.136223,31315200
2006-10-25,1.135543,1.1531,1.128329,1.150106,24864000
2006-10-26,1.155551,1.174741,1.137176,1.16848,30323200
2006-10-27,1.163853,1.168073,1.128329,1.135407,31724800
2006-10-30,1.133774,1.158273,1.126968,1.148745,28748800
2006-10-31,1.160314,1.163717,1.140034,1.155551,27744000
2006-11-01,1.163717,1.165214,1.113901,1.124246,37939200
2006-11-02,1.121523,1.130643,1.110226,1.125334,29440000
2006-11-03,1.133774,1.133774,1.101924,1.118802,42656000
2006-11-06,1.13037,1.158817,1.128465,1.143981,28524800
2006-11-07,1.154189,1.180186,1.147384,1.16712,34387200
2006-11-08,1.152556,1.187535,1.146295,1.182908,41382400
2006-11-09,1.191619,1.194341,1.157592,1.16644,32851200
2006-11-10,1.168209,1.179369,1.158273,1.179369,24953600
2006-11-13,1.178144,1.204413,1.175422,1.198424,28505600
2006-11-14,1.200466,1.229049,1.188624,1.229049,32083200
2006-11-15,1.228096,1.252186,1.226326,1.236807,40307200
