Date,Open,High,Low,Close,Volume
2002-07-30,36.345116,36.411805,36.242859,36.242859,6100
2002-07-31,36.433976,36.811878,36.411748,36.691837,29400
2002-08-01,36.696285,36.909685,36.696285,36.900795,25000
2002-08-02,36.971961,37.389872,36.847474,37.278725,52800
2002-08-05,37.363181,37.541017,37.278708,37.443207,61100
2002-08-06,37.287607,37.300944,36.998624,37.123108,64900
2002-08-07,37.167593,37.407671,37.060893,37.212051,40300
2002-08-08,37.158703,37.243172,37.060893,37.212051,40900
2002-08-09,37.345427,37.736664,37.345427,37.736664,35900
2002-08-12,37.923392,38.545813,37.852256,37.96785,32100
2002-08-13,38.136766,38.443533,37.954486,38.434639,75400
2002-08-14,38.883707,39.079327,38.568049,38.581387,130000
2002-08-15,38.403521,38.456873,38.16789,38.243469,87100
2002-08-16,38.43025,38.465814,37.710015,37.816715,85000
2002-08-19,37.812218,37.941145,37.661056,37.932255,47300
2002-08-20,38.06565,38.363523,38.056756,38.35463,40800
2002-08-21,38.092302,38.279028,38.070071,38.150097,40000
2002-08-22,38.034566,38.034566,37.816715,37.816715,34400
2002-08-23,37.878922,38.212363,37.878922,38.190136,20100
2002-08-26,38.101186,38.327927,38.087849,38.225674,23900
2002-08-27,37.967869,38.092353,37.878949,37.985653,301800
2002-08-28,38.252379,38.314621,38.163459,38.1768,18100
2002-08-29,38.572475,38.616933,38.390192,38.483555,135700
2002-08-30,38.568033,38.736976,38.434656,38.714748,78100
2002-09-03,38.881307,39.309948,38.845587,39.309948,102100
2002-09-04,39.305468,39.426026,39.220632,39.301003,66300
2002-09-05,39.546563,39.582284,39.015226,39.515308,648400
2002-09-06,39.278688,39.376919,38.934881,39.050972,140000
2002-09-09,39.068843,39.21619,38.961684,38.992939,83800
2002-09-10,38.921521,39.292118,38.845616,39.180492,336000
2002-09-11,38.845559,38.97951,38.733933,38.975044,177700
2002-09-12,39.059906,39.354595,39.05544,39.27869,43400
2002-09-13,39.439407,39.711773,39.372432,39.640331,155100
2002-09-16,39.82789,39.836822,39.693942,39.707336,73000
2002-09-17,39.577847,39.881468,39.452828,39.783237,75400
2002-09-18,39.81004,39.988637,39.747526,39.792179,196600
2002-09-19,40.051138,40.082393,39.85468,40.06007,109900
2002-09-20,39.939485,39.97074,39.76535,39.872513,113500
2002-09-23,40.18506,40.292219,40.082364,40.22971,163200
2002-09-24,40.319043,40.604804,40.278856,40.488712,251900
2002-09-25,40.229703,40.345794,39.854644,39.997524,127200
2002-09-26,39.760902,39.97522,39.56444,39.903782,429000
2002-09-27,39.975256,40.202972,39.952933,40.202972,298200
2002-09-30,40.479773,40.586932,40.220802,40.363682,297800
2002-10-01,39.961665,40.024413,39.800312,39.86306,257500
2002-10-02,39.997469,40.10504,39.818188,40.091591,91000
2002-10-03,40.024389,40.118511,39.800289,39.993015,29900
2002-10-04,39.621034,40.21266,39.621034,40.118538,131000
2002-10-07,40.293336,40.320227,40.096126,40.185768,433800
2002-10-08,40.114033,40.571197,40.051285,40.199192,530900
2002-10-09,40.472592,40.508446,40.315719,40.405361,402900
2002-10-10,40.414317,40.414317,40.015418,40.087132,97100
2002-10-11,39.934739,39.988525,39.46861,39.612034,421800
2002-10-14,39.665849,39.688261,39.473122,39.553799,18300
2002-10-15,38.993526,39.127988,38.612556,38.617039,297100
2002-10-16,38.814238,38.814238,38.496015,38.634956,125200
2002-10-17,38.159866,38.348109,38.128492,38.164349,233400
2002-10-18,38.106074,38.27191,37.774406,38.262947,459100
2002-10-21,38.321222,38.366042,37.873021,37.890949,134900
2002-10-22,38.029899,38.029899,37.747533,37.78339,205000
2002-10-23,37.985081,38.18677,37.729606,37.796837,127800
2002-10-24,37.720621,38.209159,37.684765,38.128483,339600
2002-10-25,38.253999,38.348121,38.16436,38.267445,146100
2002-10-28,38.348127,38.383984,38.186774,38.213669,97800
2002-10-29,38.46462,38.944195,38.442209,38.711132,125000
2002-10-30,38.711149,38.850091,38.576688,38.697701,31900
2002-10-31,38.567713,38.930755,38.554264,38.87249,512700
2002-11-01,38.854054,39.137692,38.381321,38.709984,125100
2002-11-04,38.484886,38.606444,38.381333,38.53891,342500
2002-11-05,38.538878,38.538878,38.309265,38.390305,73800
2002-11-06,38.291308,38.777544,38.228277,38.54343,118500
2002-11-07,39.191732,39.497883,39.101686,39.497883,147900
2002-11-08,39.799519,39.912074,39.596917,39.817528,294700
2002-11-11,39.867062,40.033642,39.799528,40.033642,70000
2002-11-12,40.137225,40.137225,39.786053,39.804062,494300
2002-11-13,39.822038,39.930094,39.601431,39.889572,104700
2002-11-14,39.461877,39.461877,39.06118,39.06118,118000
2002-11-15,38.962117,39.27277,38.836055,39.218742,110700
2002-11-18,39.17821,39.452845,39.151198,39.394318,32200
2002-11-19,39.59693,39.722995,39.398835,39.538403,51800
2002-11-20,39.709495,39.718502,39.083688,39.151222,307400
2002-11-21,38.944089,38.944089,38.655948,38.773006,323200
2002-11-22,38.867568,38.89458,38.664966,38.737003,184800
2002-11-25,38.71901,38.890092,38.628967,38.664982,288200
2002-11-26,38.809053,39.178234,38.786544,39.151222,377800
2002-11-27,38.831568,38.867586,38.250782,38.268791,325600
2002-11-29,38.340825,38.552426,38.331819,38.516411,31700
2002-12-02,38.154102,38.624471,38.059124,38.552105,284900
2002-12-03,38.760157,38.760157,38.497839,38.606384,113800
2002-12-04,38.850636,38.895863,38.692339,38.805408,129000
2002-12-05,38.570204,39.022481,38.56116,38.904888,206400
2002-12-06,39.348116,39.388819,38.787293,38.972725,440500
2002-12-09,38.986281,39.280262,38.972713,39.189808,400300
2002-12-10,39.171729,39.316458,39.121978,39.293842,151600
2002-12-11,39.41597,39.642109,39.330037,39.556175,163800
2002-12-12,39.375268,39.619498,39.375268,39.519997,135800
2002-12-13,39.411445,39.420492,39.135555,39.135555,425800
2002-12-16,39.3029,39.3029,38.823484,38.841576,115700
2002-12-17,39.031535,39.054147,38.751122,38.841576,290600
2002-12-18,39.112937,39.207915,39.008912,39.144596,191000
2002-12-19,39.257684,39.569753,39.189841,39.492867,134400
2002-12-20,39.452158,39.601407,39.415975,39.519997,41900
2002-12-23,39.510969,39.52906,39.00894,39.52906,74200
2002-12-24,39.800373,39.836556,39.728007,39.750622,46600
2002-12-26,39.755183,39.827545,39.678296,39.827545,13500
2002-12-27,40.049156,40.266247,39.927039,40.266247,140200
2002-12-30,40.207453,40.361225,40.085336,40.361225,274900
2002-12-31,40.432119,40.60485,40.145755,40.259392,109400
2003-01-02,39.863942,39.954854,39.186665,39.218483,192100
2003-01-03,39.159412,39.336686,39.013956,39.309414,311200
2003-01-06,39.168473,39.22302,39.004835,39.204838,35600
2003-01-07,39.177591,39.432137,39.168498,39.345772,69800
2003-01-08,39.49121,39.609393,39.445755,39.54121,160100
2003-01-09,39.16849,39.16849,38.645757,38.782124,237500
2003-01-10,39.054846,39.054846,38.691208,38.882118,145200
2003-01-13,38.882115,39.032117,38.818478,38.945751,53300
2003-01-14,39.091247,39.21852,39.073064,39.082157,98900
2003-01-15,39.218471,39.40938,39.182106,39.273018,129600
2003-01-16,39.263943,39.363944,38.918488,39.327579,57900
2003-01-17,39.591228,39.654864,39.513955,39.523045,97700
2003-01-21,39.491269,39.750362,39.454908,39.750362,107500
2003-01-22,39.854892,39.954894,39.782163,39.945801,107100
2003-01-23,39.691272,39.864,39.682183,39.750362,110700
2003-01-24,39.882154,40.200341,39.882154,39.986702,285300
2003-01-27,39.954885,40.018522,39.773064,39.841248,150500
2003-01-28,39.841248,39.900338,39.591244,39.841248,454700
2003-01-29,39.923074,39.945799,39.536708,39.62307,221400
2003-01-30,39.636685,39.954871,39.591231,39.918507,108600
2003-01-31,39.954866,40.095775,39.791228,40.027592,182300
2003-02-03,39.990224,40.099701,39.826011,40.086014,55200
2003-02-04,40.309503,40.323187,40.190904,40.263885,56900
2003-02-05,40.245592,40.459977,39.880675,39.917168,223300
2003-02-06,40.067748,40.259331,40.044943,40.241085,120900
2003-02-07,40.035777,40.377885,39.971917,40.332272,247200
2003-02-10,40.195443,40.323163,39.9993,40.049477,76600
2003-02-11,39.958234,40.099641,39.880691,40.04034,259100
2003-02-12,40.049488,40.200013,39.990187,40.181767,121300
2003-02-13,40.263863,40.678956,40.218249,40.400707,440200
2003-02-14,40.27756,40.30949,39.962819,40.054047,829700
2003-02-18,39.940024,40.131608,39.839672,40.104237,213200
2003-02-19,40.318609,40.460013,40.254749,40.377907,62100
2003-02-20,40.295793,40.551236,40.295793,40.514744,486700
2003-02-21,40.396156,40.469141,40.236506,40.277561,250400
2003-02-24,40.542136,40.551261,40.423541,40.469154,168200
2003-02-25,40.779316,40.893352,40.596857,40.656155,358500
2003-02-26,40.770194,40.938969,40.665283,40.938969,334000
2003-02-27,40.806696,41.048452,40.738273,41.007401,695700
2003-02-28,40.907033,41.299317,40.861419,41.267387,213100
2003-03-03,41.20787,41.413908,41.166664,41.317757,204100
2003-03-04,41.267368,41.413884,41.217002,41.345207,83100
2003-03-05,41.491749,41.496325,41.226186,41.48259,126000
2003-03-06,41.459684,41.519205,41.235327,41.322323,166000
2003-03-07,41.537535,41.569586,41.230767,41.464275,263800
2003-03-10,41.578747,41.679478,41.519226,41.679478,147200
2003-03-11,41.661135,41.738975,41.542093,41.606194,82800
2003-03-12,41.629084,41.830546,41.610769,41.757286,454800
2003-03-13,41.276559,41.386446,40.988102,40.988102,830200
2003-03-14,41.162082,41.262812,41.03388,41.189552,590900
2003-03-17,41.445944,41.445944,40.68589,40.695045,724400
2003-03-18,40.731656,40.841542,40.296686,40.310421,415200
2003-03-19,40.310457,40.324193,39.985373,40.012844,398400
2003-03-20,40.209713,40.269235,39.724378,39.94873,206700
2003-03-21,39.797617,39.857142,39.399277,39.399277,843400
2003-03-24,39.880059,40.108991,39.765592,40.021999,373800
2003-03-25,40.131849,40.209685,39.788451,39.976173,606400
2003-03-26,39.94873,40.131877,39.94873,40.058617,309500
2003-03-27,40.177677,40.232622,39.985374,40.086105,191600
2003-03-28,40.255521,40.328781,40.163949,40.177685,253400
2003-03-31,40.429456,40.717909,40.429456,40.704174,643800
2003-04-01,40.648108,40.827438,40.418198,40.588329,289800
2003-04-02,40.303223,40.326212,40.133088,40.165276,312200
2003-04-03,40.119307,40.271049,40.068727,40.1423,245600
2003-04-04,40.031951,40.14231,39.949183,40.027355,184900
2003-04-07,39.645705,39.93999,39.507757,39.93539,485400
2003-04-08,40.027364,40.275664,39.999773,40.257275,194700
2003-04-09,40.188288,40.399804,40.082527,40.376812,102400
2003-04-10,40.349211,40.395192,40.165282,40.188274,53300
2003-04-11,39.921614,40.151524,39.815853,40.123936,450000
2003-04-14,40.050336,40.054935,39.871007,40.01355,207100
2003-04-15,40.156106,40.248069,40.022758,40.229675,128500
2003-04-16,40.248072,40.418206,40.220484,40.395214,97700
2003-04-17,40.574508,40.648081,40.372189,40.459553,106200
2003-04-21,40.225054,40.38599,40.123893,40.372196,148000
2003-04-22,40.533176,40.583756,40.289472,40.349247,299900
2003-04-23,40.363052,40.468812,40.280284,40.432026,42700
2003-04-24,40.648104,40.919396,40.648104,40.795246,199000
2003-04-25,40.809042,40.969979,40.776855,40.887211,529700
2003-04-28,40.965369,40.965369,40.822826,40.822826,80500
2003-04-29,40.707921,40.818277,40.611359,40.753902,177500
2003-04-30,40.827441,41.163108,40.799853,41.13092,293400
2003-05-01,41.234026,41.418932,41.049123,41.150818,231200
2003-05-02,41.169288,41.173912,40.804099,40.827213,231500
2003-05-05,40.822595,41.081465,40.771745,41.044483,77700
2003-05-06,41.067615,41.326486,40.919691,41.247902,260600
2003-05-07,41.603816,41.756365,41.520609,41.728626,306900
2003-05-08,41.881183,42.019864,41.733259,41.830334,437400
2003-05-09,41.742511,41.890435,41.696282,41.871944,110000
2003-05-12,42.130794,42.153909,41.941268,42.135418,364700
2003-05-13,42.01988,42.237145,41.987521,42.227898,227800
2003-05-14,42.449782,42.981387,42.352707,42.875065,1426500
