날짜,실제_종가,시뮬_종가,실제_일일수익률,시뮬_일일수익률,일일수익률_차이,가격_차이_비율,실제_누적수익률,시뮬_누적수익률,누적수익률_차이
2010-02-11,0.2067,0.2067,,,,0.0,0.0,0.0,0.0
2010-02-12,0.2076,0.208,0.4093,0.6096,-0.2004,0.1996,0.4093,0.6096,-0.2004
2010-02-16,0.2156,0.2159,3.8735,3.8305,0.043,0.1581,4.2986,4.4635,-0.1649
2010-02-17,0.2193,0.2196,1.6971,1.6836,0.0135,0.1448,6.0686,6.2223,-0.1536
2010-02-18,0.2234,0.2237,1.8959,1.8762,0.0197,0.1255,8.0796,8.2152,-0.1356
2010-02-19,0.2234,0.2234,0.0,-0.1423,0.1423,-0.0171,8.0796,8.0611,0.0184
2010-02-22,0.2219,0.222,-0.7018,-0.6108,-0.091,0.0746,7.321,7.4011,-0.08
2010-02-23,0.2132,0.2134,-3.9044,-3.8977,-0.0067,0.0816,3.1308,3.2149,-0.0841
2010-02-24,0.2196,0.2199,3.024,3.0484,-0.0244,0.1052,6.2495,6.3614,-0.1118
2010-02-25,0.2195,0.2197,-0.0569,-0.0758,0.0189,0.0863,6.1891,6.2807,-0.0917
2010-02-26,0.2223,0.222,1.2473,1.0676,0.1797,-0.0913,7.5136,7.4154,0.0982
2010-03-01,0.2318,0.2317,4.2893,4.3478,-0.0585,-0.0353,12.1252,12.0856,0.0396
2010-03-02,0.2332,0.2338,0.6014,0.9161,-0.3147,0.2774,12.7995,13.1124,-0.3129
2010-03-03,0.2345,0.2346,0.5554,0.3204,0.2349,0.0431,13.426,13.4749,-0.0489
2010-03-04,0.2371,0.2369,1.1038,0.9782,0.1256,-0.0812,14.6779,14.5848,0.0931
2010-03-05,0.2475,0.2476,4.4204,4.5158,-0.0954,0.0102,19.7471,19.7593,-0.0122
2010-03-08,0.2489,0.249,0.5332,0.5724,-0.0392,0.0492,20.3856,20.4448,-0.0592
2010-03-09,0.2533,0.2531,1.7701,1.6676,0.1024,-0.0515,22.5166,22.4534,0.0631
2010-03-10,0.2595,0.2593,2.4472,2.4274,0.0198,-0.0709,25.5148,25.4259,0.0889
2010-03-11,0.2619,0.2622,0.9207,1.1361,-0.2153,0.1424,26.6705,26.8508,-0.1803
