Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2005-03-01,10000000.0,0,0.05,0.05,33.705174,30.495158
2005-03-02,10000000.0,0,0.05,0.05,33.704937,30.494943
2005-03-03,10000000.0,0,0.05,0.05,33.701026,30.491404
2005-03-04,10000000.0,0,0.05,0.05,33.699776,30.490273
2005-03-07,10000000.0,0,0.05,0.05,33.704949,30.494954
2005-03-08,10000000.0,0,0.05,0.05,33.705545,30.495493
2005-03-09,10000000.0,0,0.05,0.05,33.704829,30.494845
2005-03-10,10000000.0,0,0.05,0.05,33.703529,30.493669
2005-03-11,10000000.0,0,0.05,0.05,33.698093,30.488751
2005-03-14,10000000.0,0,0.05,0.05,33.694747,30.485723
2005-03-15,10000000.0,0,0.05,0.05,33.687886,30.479515
2005-03-16,10000000.0,0,0.05,0.05,33.676132,30.468882
2005-03-17,10000000.0,0,0.05,0.05,33.665603,30.459355
2005-03-18,10000000.0,0,0.05,0.05,33.65284,30.447808
2005-03-21,10000000.0,0,0.05,0.05,33.641077,30.437165
2005-03-22,10000000.0,0,0.05,0.05,33.624131,30.421832
2005-03-23,10000000.0,0,0.05,0.05,33.608951,30.408099
2005-03-24,10000000.0,0,0.05,0.05,33.594091,30.394654
2005-03-28,10000000.0,0,0.05,0.05,33.580259,30.382139
2005-03-29,10000000.0,0,0.05,0.05,33.563169,30.366677
2005-03-30,10000000.0,0,0.05,0.05,33.554373,30.358718
2005-03-31,10000000.0,0,0.05,0.05,33.543795,30.349148
2005-04-01,10000000.0,0,0.05,0.05,33.528968,30.335733
2005-04-04,10000000.0,0,0.05,0.05,33.517422,30.325286
2005-04-05,10000000.0,0,0.05,0.05,33.507214,30.316051
2005-04-06,10000000.0,0,0.05,0.05,33.496431,30.306295
2005-04-07,10000000.0,0,0.05,0.05,33.49101,30.30139
2005-04-08,10000000.0,0,0.05,0.05,33.482102,30.29333
2005-04-11,10000000.0,0,0.05,0.05,33.471414,30.28366
2005-04-12,10000000.0,0,0.05,0.05,33.463003,30.27605
2005-04-13,10000000.0,0,0.05,0.05,33.447585,30.2621
2005-04-14,10000000.0,0,0.05,0.05,33.42632,30.242861
2005-04-15,10000000.0,0,0.05,0.05,33.395728,30.215183
2005-04-18,10000000.0,0,0.05,0.05,33.36566,30.187978
2005-04-19,10000000.0,0,0.05,0.05,33.338837,30.16371
2005-04-20,10000000.0,0,0.05,0.05,33.30893,30.136651
2005-04-21,10000000.0,0,0.05,0.05,33.290332,30.119824
2005-04-22,10000000.0,0,0.05,0.05,33.265694,30.097532
2005-04-25,10000000.0,0,0.05,0.05,33.244821,30.078648
2005-04-26,10000000.0,0,0.05,0.05,33.220311,30.056472
2005-04-27,10000000.0,0,0.05,0.05,33.196718,30.035126
2005-04-28,10000000.0,0,0.05,0.05,33.169286,30.010306
2005-04-29,10000000.0,0,0.05,0.05,33.144946,29.988284
2005-05-02,10000000.0,0,0.05,0.05,33.122588,29.968056
2005-05-03,10000000.0,0,0.05,0.05,33.102663,29.950028
2005-05-04,10000000.0,0,0.05,0.05,33.088102,29.936855
2005-05-05,10000000.0,0,0.05,0.05,33.074091,29.924177
2005-05-06,10000000.0,0,0.05,0.05,33.061451,29.912742
2005-05-09,10000000.0,0,0.05,0.05,33.050996,29.903282
2005-05-10,10000000.0,0,0.05,0.05,33.037594,29.891157
2005-05-11,10000000.0,0,0.05,0.05,33.026506,29.881124
2005-05-12,10000000.0,0,0.05,0.05,33.014378,29.870151
2005-05-13,10000000.0,0,0.05,0.05,33.007037,29.86351
2005-05-16,10000000.0,0,0.05,0.05,33.002642,29.859533
2005-05-17,10000000.0,0,0.05,0.05,33.000914,29.857969
2005-05-18,10000000.0,0,0.05,0.05,33.005141,29.861794
2005-05-19,10000000.0,0,0.05,0.05,33.012989,29.868895
2005-05-20,10000000.0,0,0.05,0.05,33.022513,29.877512
2005-05-23,10000000.0,0,0.05,0.05,33.034165,29.888054
2005-05-24,10000000.0,0,0.05,0.05,33.047087,29.899745
2005-05-25,10000000.0,0,0.05,0.05,33.057939,29.909564
2005-05-26,10000000.0,0,0.05,0.05,33.073156,29.923331
2005-05-27,10000000.0,0,0.05,0.05,33.088408,29.937131
2005-05-31,10000000.0,0,0.05,0.05,33.101916,29.949352
2005-06-01,10000000.0,0,0.05,0.05,33.118923,29.964739
2005-06-02,10000000.0,0,0.05,0.05,33.138907,29.982821
2005-06-03,10000000.0,0,0.05,0.05,33.151983,29.994652
2005-06-06,10000000.0,0,0.05,0.05,33.165005,30.006433
2005-06-07,10000000.0,0,0.05,0.05,33.174058,30.014624
2005-06-08,10000000.0,0,0.05,0.05,33.182042,30.021848
2005-06-09,10000000.0,0,0.05,0.05,33.192767,30.031552
2005-06-10,10000000.0,0,0.05,0.05,33.198605,30.036834
2005-06-13,10000000.0,0,0.05,0.05,33.206501,30.043978
2005-06-14,10000000.0,0,0.05,0.05,33.212514,30.049417
2005-06-15,10000000.0,0,0.05,0.05,33.21987,30.056073
2005-06-16,10000000.0,0,0.05,0.05,33.229501,30.064787
2005-06-17,10000000.0,0,0.05,0.05,33.239064,30.073439
2005-06-20,10000000.0,0,0.05,0.05,33.248501,30.081977
2005-06-21,10000000.0,0,0.05,0.05,33.257575,30.090187
2005-06-22,10000000.0,0,0.05,0.05,33.266054,30.097858
2005-06-23,10000000.0,0,0.05,0.05,33.269433,30.100916
2005-06-24,10000000.0,0,0.05,0.05,33.26778,30.09942
2005-06-27,10000000.0,0,0.05,0.05,33.26413,30.096118
2005-06-28,10000000.0,0,0.05,0.05,33.264685,30.09662
2005-06-29,10000000.0,0,0.05,0.05,33.264283,30.096256
2005-06-30,10000000.0,0,0.05,0.05,33.260442,30.092781
2005-07-01,10000000.0,0,0.05,0.05,33.256058,30.088814
2005-07-05,10000000.0,0,0.05,0.05,33.256244,30.088983
2005-07-06,10000000.0,0,0.05,0.05,33.254291,30.087215
2005-07-07,10000000.0,0,0.05,0.05,33.253907,30.086868
2005-07-08,10000000.0,0,0.05,0.05,33.261959,30.094154
2005-07-11,10000000.0,0,0.05,0.05,33.274061,30.105103
2005-07-12,10000000.0,0,0.05,0.05,33.28814,30.117841
2005-07-13,10000000.0,0,0.05,0.05,33.303102,30.131378
2005-07-14,10000000.0,0,0.05,0.05,33.322377,30.148817
2005-07-15,10000000.0,0,0.05,0.05,33.342822,30.167315
2005-07-18,10000000.0,0,0.05,0.05,33.361096,30.183849
2005-07-19,10000000.0,0,0.05,0.05,33.384472,30.204999
2005-07-20,10000000.0,0,0.05,0.05,33.410863,30.228876
2005-07-21,10000000.0,0,0.05,0.05,33.437023,30.252545
2005-07-22,10000000.0,0,0.05,0.05,33.462243,30.275363
2005-07-25,10000000.0,0,0.05,0.05,33.485348,30.296267
2005-07-26,10000000.0,0,0.05,0.05,33.509928,30.318506
2005-07-27,10170957.0,19122978,0.05,0.05,33.537744,30.343674
2005-07-28,10313309.0,19122978,0.05,0.05,33.567449,30.370549
2005-07-29,10053791.0,19122978,0.05,0.05,33.592841,30.393523
2005-08-01,10103320.0,19122978,0.05,0.05,33.618729,30.416945
2005-08-02,10428200.0,19122978,0.05,0.05,33.64938,30.444677
2005-08-03,10408618.0,19122978,0.05,0.05,33.679387,30.471826
2005-08-04,10100642.0,19122978,0.05,0.05,33.704365,30.494426
2005-08-05,9951674.0,19122978,0.05,0.05,33.726757,30.514685
2005-08-08,9728605.0,19122978,0.05,0.05,33.745408,30.53156
2005-08-09,9918515.0,19122978,0.05,0.05,33.7669,30.551005
2005-08-10,9658290.0,19122978,0.05,0.05,33.784069,30.566539
2005-08-11,9891724.0,19122978,0.05,0.05,33.804812,30.585306
2005-08-12,9722352.0,19122978,0.05,0.05,33.822666,30.60146
2005-08-15,9897193.0,19122978,0.05,0.05,33.843135,30.619979
2005-08-16,9411737.0,19122978,0.05,0.05,33.855732,30.631377
2005-08-17,9575506.0,19122978,0.05,0.05,33.870894,30.645094
2005-08-18,9424683.0,19122978,0.05,0.05,33.88348,30.656482
2005-08-19,9406555.0,19122978,0.05,0.05,33.895662,30.667503
2005-08-22,9417512.0,19122978,0.05,0.05,33.90792,30.678594
2005-08-23,9333926.0,19122978,0.05,0.05,33.918709,30.688356
2005-08-24,9248250.0,0,0.05,0.05,33.926625,30.695518
