window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,best_recent_months,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr,best_atr_period,best_atr_multiplier
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,150,0.05,0.05,5,8,10.11,-57.67,0.1752,7,57.14,-5.58,-20.45,-0.2731,3,33.33,-1.5583,-0.5525,14,3.0
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,150,0.05,0.05,5,8,4.67,-57.67,0.081,10,50.0,-2.9,-26.6,-0.109,2,50.0,-1.3461,-0.621,14,3.0
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,150,0.05,0.05,5,8,2.75,-57.67,0.0477,12,50.0,50.35,-27.93,1.8026,3,100.0,37.7597,18.2867,14,3.0
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,150,0.05,0.05,5,8,6.93,-57.67,0.1202,16,50.0,9.11,-15.81,0.5762,2,50.0,4.7946,1.3142,14,3.0
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,150,0.05,0.05,5,8,7.29,-57.67,0.1265,19,47.37,-1.94,-27.83,-0.0698,5,20.0,-0.5521,-0.2664,14,3.0
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,150,0.05,0.05,5,8,6.61,-57.67,0.1146,24,41.67,-2.18,-17.0,-0.1281,2,0.0,-1.1173,-0.3293,14,3.0
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,150,0.05,0.05,5,8,5.02,-57.67,0.0871,27,37.04,-10.72,-32.93,-0.3256,4,25.0,-3.7378,-2.1339,14,3.0
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,150,0.05,0.05,5,8,5.69,-57.67,0.0986,31,38.71,58.73,-33.32,1.7625,5,60.0,17.8732,10.3273,14,3.0
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,150,0.05,0.05,5,8,8.62,-57.67,0.1495,37,40.54,-2.45,-23.69,-0.1032,2,50.0,-0.6905,-0.2836,14,3.0
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,150,0.05,0.05,5,8,6.51,-57.67,0.1128,40,40.0,32.33,-26.67,1.2123,5,80.0,10.7474,4.9692,14,3.0
10,1999-03-10,2025-02-28,2025-03-01,2026-02-17,150,0.05,0.05,5,8,8.3,-57.67,0.1439,45,44.44,23.07,-30.78,0.7497,2,50.0,5.2103,2.7804,14,3.0
