window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,best_recent_months,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr,best_atr_period,best_atr_multiplier
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,150,0.05,0.05,5,8,10.11,-57.67,0.1752,7,57.14,-5.58,-20.45,-0.2731,3,33.33,-1.5583,-0.5525,14,3.0
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,150,0.05,0.05,5,8,4.67,-57.67,0.081,10,50.0,-2.9,-26.6,-0.109,2,50.0,-1.3461,-0.621,14,3.0
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,200,0.01,0.05,0,0,4.41,-85.5,0.0516,23,52.17,78.35,-37.67,2.0797,4,50.0,40.3008,17.7576,14,3.0
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,200,0.01,0.05,0,0,13.32,-85.5,0.1558,28,53.57,-23.52,-67.9,-0.3465,9,22.22,-2.2241,-1.7663,14,3.0
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,200,0.01,0.05,0,0,11.79,-85.5,0.1378,34,50.0,51.13,-17.2,2.9728,3,100.0,21.5661,4.3381,14,3.0
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,200,0.03,0.05,2,12,11.31,-61.01,0.1853,29,55.17,-11.75,-40.64,-0.2892,4,0.0,-1.5605,-1.0395,14,3.0
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,200,0.03,0.05,2,12,9.82,-61.01,0.1609,34,52.94,9.35,-24.35,0.3841,5,40.0,2.3869,0.9527,14,3.0
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,200,0.03,0.05,2,12,9.75,-61.01,0.1599,37,54.05,36.78,-30.32,1.2132,4,50.0,7.5895,3.7712,14,3.0
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,200,0.03,0.05,2,12,11.54,-61.01,0.1892,42,52.38,-0.09,-22.13,-0.004,3,33.33,-0.0211,-0.0077,14,3.0
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,200,0.03,0.05,2,12,9.99,-61.01,0.1637,42,52.38,42.4,-31.51,1.3455,6,66.67,8.2199,4.2455,14,3.0
10,1999-03-10,2025-02-28,2025-03-01,2026-02-17,200,0.03,0.05,2,12,12.26,-61.01,0.201,49,53.06,33.32,-24.25,1.3739,1,100.0,6.8345,2.7169,14,3.0
