entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
2005-07-27,2005-08-24,0.522931,0.48362,19122978,-751750,-0.0752,0.05,5,0,28
2005-11-29,2006-01-03,0.589989,0.537059,15675301,-829689,-0.0897,0.06,6,1,35
2006-10-12,2006-12-29,0.498294,0.527773,16894753,498032,0.0592,0.05,5,0,78
2007-03-02,2007-07-30,0.497121,0.655932,17936468,2848515,0.3195,0.01,0,0,150
2007-08-20,2007-11-12,0.580779,0.671995,20257457,1847801,0.1571,0.01,0,0,84
2008-04-22,2008-06-12,0.487954,0.502158,27897908,396248,0.0291,0.01,0,0,51
2008-06-16,2008-06-27,0.517525,0.433322,27069531,-2279331,-0.1627,0.01,0,0,11
2008-08-11,2008-09-04,0.472555,0.396698,24822118,-1882934,-0.1605,0.01,0,0,24
2009-05-01,2009-07-08,0.109076,0.109894,90275316,73852,0.0075,0.01,0,0,68
2009-07-13,2010-01-29,0.112545,0.210484,88149434,8633270,0.8702,0.01,0,0,200
2010-05-24,2010-06-30,0.215241,0.189646,86201200,-2206272,-0.1189,0.01,0,0,37
2010-07-14,2010-08-16,0.219977,0.202927,74315706,-1267051,-0.0775,0.01,0,0,33
2010-08-18,2011-02-24,0.215241,0.408259,70064284,13523650,0.8968,0.01,0,0,190
2011-06-15,2011-08-05,0.363978,0.355209,78588180,-689101,-0.0241,0.01,0,0,51
2011-09-15,2011-10-03,0.358744,0.285039,77813819,-5735244,-0.2055,0.01,0,0,18
2011-10-11,2011-11-21,0.350069,0.319828,63358918,-1916065,-0.0864,0.01,0,0,41
2011-12-01,2012-04-24,0.349222,0.52444,58026011,10167226,0.5017,0.01,0,0,145
2012-05-22,2012-10-10,0.46872,0.565323,64923966,6271848,0.2061,0.01,0,0,141
2012-11-02,2012-11-15,0.538913,0.444508,68105637,-6429475,-0.1752,0.01,0,0,13
2012-11-27,2013-06-24,0.510496,0.622707,59302203,6654380,0.2198,0.01,0,0,209
2014-10-20,2014-12-16,1.425041,1.796963,25913572,9637816,0.261,0.01,0,0,57
2015-09-17,2015-09-29,2.024321,1.658037,23003136,-8425678,-0.1809,0.01,0,0,12
2015-10-12,2015-11-16,2.005767,2.147456,19015192,2694242,0.0706,0.01,0,0,35
2016-03-17,2016-04-29,1.925968,1.859912,21201962,-1400499,-0.0343,0.01,0,0,43
2016-05-25,2016-06-20,2.00477,1.941218,19669980,-1250076,-0.0317,0.01,0,0,26
2016-06-24,2016-06-28,1.795495,1.698888,21266397,-2054491,-0.0538,0.01,0,0,4
2016-07-05,2016-09-12,1.922776,2.2361,18790137,5887390,0.163,0.01,0,0,69
2018-04-13,2018-10-11,5.985384,6.54529,7019869,3930464,0.0935,0.03,2,0,181
2019-03-15,2019-05-14,6.545631,6.629162,7019503,586343,0.0128,0.04,3,1,60
2019-05-20,2019-06-04,6.760183,5.768634,6883456,-6825283,-0.1467,0.05,3,2,15
2019-07-05,2019-08-06,7.804547,6.760266,5087821,-5313112,-0.1338,0.06,5,3,32
2019-11-04,2020-02-25,8.706225,11.676171,3950625,11733145,0.3411,0.06,5,3,113
2020-05-13,2020-09-09,8.706974,15.384217,5297842,35374982,0.7669,0.04,6,3,119
2023-02-16,2023-08-10,11.974996,19.66781,6806111,52358149,0.6424,0.03,2,0,175
2023-11-07,2024-01-05,18.727804,22.358996,7147730,25954779,0.1939,0.03,3,0,59
2024-08-14,2024-09-09,31.619726,28.768383,5054315,-14411587,-0.0902,0.03,3,0,26
2024-09-13,2025-01-02,32.687054,39.818872,4448381,31725044,0.2182,0.03,3,0,111
2025-05-16,2025-11-19,35.472617,49.100142,4993416,68047905,0.3842,0.03,3,0,187
