Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band,drawdown_pct
2003-04-14,10000000,0,0.03,0.05,7.453804,6.874868,0.0
2003-04-15,10000000,0,0.03,0.05,7.454685,6.875681,0.0
2003-04-16,10000000,0,0.03,0.05,7.456424,6.877285,0.0
2003-04-17,10000000,0,0.03,0.05,7.458689,6.879374,0.0
2003-04-21,10000000,0,0.03,0.05,7.460902,6.881415,0.0
2003-04-22,10000000,0,0.03,0.05,7.463351,6.883673,0.0
2003-04-23,10000000,0,0.03,0.05,7.466134,6.88624,0.0
2003-04-24,10000000,0,0.03,0.05,7.46737,6.88738,0.0
2003-04-25,10000000,0,0.03,0.05,7.467345,6.887357,0.0
2003-04-28,10000000,0,0.03,0.05,7.468547,6.888465,0.0
2003-04-29,10000000,0,0.03,0.05,7.471888,6.891547,0.0
2003-04-30,10000000,0,0.03,0.05,7.474976,6.894395,0.0
2003-05-01,10000000,0,0.03,0.05,7.477732,6.896937,0.0
2003-05-02,10000000,0,0.03,0.05,7.481643,6.900544,0.0
2003-05-05,10039941,1299848,0.03,0.05,7.486359,6.904895,0.0
2003-05-06,10091167,1299848,0.03,0.05,7.491433,6.909574,0.0
2003-05-07,10072535,1299848,0.03,0.05,7.496309,6.914071,-0.18
2003-05-08,9984057,1299848,0.03,0.05,7.500439,6.91788,-1.06
2003-05-09,10101411,1299848,0.03,0.05,7.505453,6.922505,0.0
2003-05-12,10242044,1299848,0.03,0.05,7.511526,6.928106,0.0
2003-05-13,10184294,1299848,0.03,0.05,7.517083,6.933232,-0.56
2003-05-14,10133074,1299848,0.03,0.05,7.522181,6.937934,-1.06
2003-05-15,10153562,1299848,0.03,0.05,7.52739,6.942739,-0.86
2003-05-16,10161011,1299848,0.03,0.05,7.532606,6.947549,-0.79
2003-05-19,9918860,1299848,0.03,0.05,7.535861,6.950551,-3.16
2003-05-20,9968222,1299848,0.03,0.05,7.539472,6.953882,-2.67
2003-05-21,9976608,1299848,0.03,0.05,7.543114,6.957241,-2.59
2003-05-22,10066949,1299848,0.03,0.05,7.547432,6.961223,-1.71
2003-05-23,10170329,1299848,0.03,0.05,7.552522,6.965918,-0.7
2003-05-27,10534485,1299848,0.03,0.05,7.560432,6.973214,0.0
2003-05-28,10580123,1299848,0.03,0.05,7.568624,6.980769,0.0
2003-05-29,10594091,1299848,0.03,0.05,7.576844,6.988351,0.0
2003-05-30,10717034,1299848,0.03,0.05,7.585952,6.996752,0.0
2003-06-02,10794330,1299848,0.03,0.05,7.595578,7.00563,0.0
2003-06-03,10712373,1299848,0.03,0.05,7.604463,7.013825,-0.76
2003-06-04,10850212,1299848,0.03,0.05,7.614346,7.02294,0.0
2003-06-05,10861388,1299848,0.03,0.05,7.624219,7.032046,0.0
2003-06-06,10962907,1299848,0.03,0.05,7.634794,7.0418,0.0
2003-06-09,10868838,1299848,0.03,0.05,7.644522,7.050772,-0.86
2003-06-10,10980601,1299848,0.03,0.05,7.655034,7.060468,0.0
2003-06-11,10989911,1299848,0.03,0.05,7.665516,7.070136,0.0
2003-06-12,11072800,1299848,0.03,0.05,7.676546,7.080309,0.0
2003-06-13,11069080,1299848,0.03,0.05,7.687438,7.090355,-0.03
2003-06-16,11188289,1299848,0.03,0.05,7.699161,7.101167,0.0
2003-06-17,11418330,1299848,0.03,0.05,7.712581,7.113545,0.0
2003-06-18,11376421,1299848,0.03,0.05,7.725537,7.125495,-0.37
2003-06-19,11376421,1299848,0.03,0.05,7.738364,7.137326,-0.37
2003-06-20,11376421,1299848,0.03,0.05,7.751064,7.149039,-0.37
2003-06-23,11097019,1299848,0.03,0.05,7.761434,7.158604,-2.81
2003-06-24,11015060,1299848,0.03,0.05,7.771055,7.167478,-3.53
2003-06-25,11106330,1299848,0.03,0.05,7.7813,7.176927,-2.73
2003-06-26,11226477,1299848,0.03,0.05,7.79239,7.187156,-1.68
2003-06-27,11174320,1299848,0.03,0.05,7.802958,7.196903,-2.14
