entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
2003-04-21,2004-05-18,7.49126,10.606035,1334889,4157880,0.4158,0.03,0,0,393
2004-05-28,2006-06-13,11.717347,18.102345,1208283,7714884,0.5449,0.03,0,0,746
2006-06-30,2008-02-07,20.890848,29.422111,1047002,8932249,0.4084,0.03,0,0,587
2008-02-26,2008-03-18,32.53403,29.569337,946855,-2807134,-0.0911,0.03,0,0,21
2008-04-08,2008-07-03,32.230972,29.967735,868663,-1965990,-0.0702,0.03,0,0,86
2009-05-05,2010-05-21,21.63753,25.300886,1203089,4407343,0.1693,0.03,0,0,381
2010-06-22,2011-08-05,28.888727,31.342709,1053671,2585690,0.0849,0.03,0,0,409
2012-01-26,2012-05-15,31.435176,28.665807,1050572,-2909422,-0.0881,0.03,0,0,110
2012-09-14,2013-06-12,31.587447,29.649735,953400,-1847414,-0.0613,0.03,0,0,271
2013-09-17,2014-01-27,31.689172,29.234225,892042,-2189916,-0.0775,0.03,0,0,132
2014-04-02,2014-12-11,31.745158,30.119581,821484,-1335385,-0.0512,0.03,0,0,253
2015-04-07,2015-07-08,32.731347,29.160157,755935,-2699588,-0.1091,0.03,0,0,92
2016-04-14,2016-05-20,28.025162,25.709096,786550,-1821702,-0.0826,0.03,0,0,36
2016-06-09,2018-06-26,27.583255,36.229245,733107,6338436,0.3135,0.03,0,0,747
2019-02-01,2019-05-21,36.508348,34.262531,727502,-1633837,-0.0615,0.03,0,0,109
2019-07-02,2019-08-06,37.302655,33.951082,668212,-2239561,-0.0898,0.03,0,0,35
2019-10-29,2020-03-10,36.743713,34.004086,617426,-1691517,-0.0746,0.03,0,0,133
2020-06-08,2021-11-29,35.833518,43.848422,585904,4695964,0.2237,0.03,0,0,539
2023-01-11,2023-03-16,37.807439,34.451818,679521,-2280215,-0.0888,0.03,0,0,64
2023-06-14,2023-10-04,37.878337,34.703055,618051,-1962487,-0.0838,0.03,0,0,112
2023-12-15,2025-04-07,37.718745,37.810848,568637,52373,0.0024,0.03,0,0,479
