Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band,drawdown_pct
2001-08-27,10000000,0,0.03,0.05,22.868106,21.091943,0.0
2001-08-28,10000000,0,0.03,0.05,22.865503,21.089542,0.0
2001-08-29,10000000,0,0.03,0.05,22.861899,21.086218,0.0
2001-08-30,10000000,0,0.03,0.05,22.855143,21.079987,0.0
2001-08-31,10000000,0,0.03,0.05,22.848986,21.074308,0.0
2001-09-04,10000000,0,0.03,0.05,22.837843,21.06403,0.0
2001-09-05,10000000,0,0.03,0.05,22.825484,21.05263,0.0
2001-09-06,10000000,0,0.03,0.05,22.808377,21.036853,0.0
2001-09-07,10000000,0,0.03,0.05,22.790201,21.020088,0.0
2001-09-10,10000000,0,0.03,0.05,22.769816,21.001286,0.0
2001-09-17,10000000,0,0.03,0.05,22.740602,20.974342,0.0
2001-09-18,10000000,0,0.03,0.05,22.710085,20.946195,0.0
2001-09-19,10000000,0,0.03,0.05,22.679341,20.917839,0.0
2001-09-20,10000000,0,0.03,0.05,22.640403,20.881925,0.0
2001-09-21,10000000,0,0.03,0.05,22.596629,20.841551,0.0
2001-09-24,10000000,0,0.03,0.05,22.561702,20.809336,0.0
2001-09-25,10000000,0,0.03,0.05,22.529335,20.779484,0.0
2001-09-26,10000000,0,0.03,0.05,22.498265,20.750827,0.0
2001-09-27,10000000,0,0.03,0.05,22.470549,20.725263,0.0
2001-09-28,10000000,0,0.03,0.05,22.446934,20.703483,0.0
2001-10-01,10000000,0,0.03,0.05,22.422474,20.680922,0.0
2001-10-02,10000000,0,0.03,0.05,22.398959,20.659234,0.0
2001-10-03,10000000,0,0.03,0.05,22.377718,20.639643,0.0
2001-10-04,10000000,0,0.03,0.05,22.358834,20.622225,0.0
2001-10-05,10000000,0,0.03,0.05,22.340457,20.605276,0.0
2001-10-08,10000000,0,0.03,0.05,22.321039,20.587366,0.0
2001-10-09,10000000,0,0.03,0.05,22.301282,20.569144,0.0
2001-10-10,10000000,0,0.03,0.05,22.285801,20.554865,0.0
2001-10-11,10000000,0,0.03,0.05,22.271893,20.542037,0.0
2001-10-12,10000000,0,0.03,0.05,22.257857,20.529091,0.0
2001-10-15,10000000,0,0.03,0.05,22.240679,20.513248,0.0
2001-10-16,10000000,0,0.03,0.05,22.226511,20.50018,0.0
2001-10-17,10000000,0,0.03,0.05,22.21266,20.487405,0.0
2001-10-18,10000000,0,0.03,0.05,22.197263,20.473204,0.0
2001-10-19,10000000,0,0.03,0.05,22.179979,20.457262,0.0
2001-10-22,10000000,0,0.03,0.05,22.164286,20.442788,0.0
2001-10-23,10000000,0,0.03,0.05,22.150381,20.429963,0.0
2001-10-24,10000000,0,0.03,0.05,22.138689,20.419179,0.0
2001-10-25,10000000,0,0.03,0.05,22.126812,20.408224,0.0
2001-10-26,10000000,0,0.03,0.05,22.116401,20.398622,0.0
2001-10-29,10000000,0,0.03,0.05,22.101713,20.385075,0.0
2001-10-30,10000000,0,0.03,0.05,22.084848,20.36952,0.0
2001-10-31,10000000,0,0.03,0.05,22.068718,20.354643,0.0
2001-11-01,10000000,0,0.03,0.05,22.057041,20.343873,0.0
2001-11-02,10000000,0,0.03,0.05,22.045462,20.333193,0.0
2001-11-05,10000000,0,0.03,0.05,22.036073,20.324533,0.0
2001-11-06,10000000,0,0.03,0.05,22.028959,20.317971,0.0
2001-11-07,10000000,0,0.03,0.05,22.02,20.309709,0.0
2001-11-08,10000000,0,0.03,0.05,22.012637,20.302918,0.0
2001-11-09,10000000,0,0.03,0.05,22.004994,20.295868,0.0
2001-11-12,10000000,0,0.03,0.05,21.994589,20.286271,0.0
2001-11-13,10000000,0,0.03,0.05,21.986203,20.278536,0.0
2001-11-14,10000000,0,0.03,0.05,21.978113,20.271075,0.0
2001-11-15,10000000,0,0.03,0.05,21.971008,20.264522,0.0
2001-11-16,10000000,0,0.03,0.05,21.965161,20.25913,0.0
2001-11-19,10000000,0,0.03,0.05,21.960438,20.254772,0.0
2001-11-20,10000000,0,0.03,0.05,21.954289,20.249101,0.0
2001-11-21,10000000,0,0.03,0.05,21.947651,20.242979,0.0
2001-11-23,10000000,0,0.03,0.05,21.941754,20.23754,0.0
2001-11-26,10000000,0,0.03,0.05,21.937972,20.234052,0.0
2001-11-27,10000000,0,0.03,0.05,21.932561,20.229061,0.0
2001-11-28,10000000,0,0.03,0.05,21.923497,20.220701,0.0
2001-11-29,10000000,0,0.03,0.05,21.914985,20.21285,0.0
2001-11-30,10000000,0,0.03,0.05,21.907355,20.205813,0.0
2001-12-03,10000000,0,0.03,0.05,21.898011,20.197194,0.0
2001-12-04,10000000,0,0.03,0.05,21.89172,20.191393,0.0
2001-12-05,10000000,0,0.03,0.05,21.890582,20.190343,0.0
2001-12-06,10000000,0,0.03,0.05,21.890129,20.189925,0.0
2001-12-07,10000000,0,0.03,0.05,21.8864,20.186486,0.0
2001-12-10,10000000,0,0.03,0.05,21.878594,20.179286,0.0
2001-12-11,10000000,0,0.03,0.05,21.871291,20.17255,0.0
2001-12-12,10000000,0,0.03,0.05,21.86493,20.166683,0.0
2001-12-13,10000000,0,0.03,0.05,21.853631,20.156262,0.0
2001-12-14,10000000,0,0.03,0.05,21.843633,20.14704,0.0
2001-12-17,10000000,0,0.03,0.05,21.836199,20.140183,0.0
2001-12-18,10000000,0,0.03,0.05,21.829406,20.133918,0.0
2001-12-19,10000000,0,0.03,0.05,21.820482,20.125687,0.0
2001-12-20,10000000,0,0.03,0.05,21.810636,20.116606,0.0
2001-12-21,10000000,0,0.03,0.05,21.801935,20.108581,0.0
2001-12-24,10000000,0,0.03,0.05,21.792542,20.099918,0.0
2001-12-26,10000000,0,0.03,0.05,21.783066,20.091177,0.0
2001-12-27,10000000,0,0.03,0.05,21.776435,20.085061,0.0
2001-12-28,10000000,0,0.03,0.05,21.771537,20.080544,0.0
2001-12-31,10000000,0,0.03,0.05,21.766618,20.076007,0.0
2002-01-02,10000000,0,0.03,0.05,21.762919,20.072595,0.0
2002-01-03,10000000,0,0.03,0.05,21.761173,20.070985,0.0
2002-01-04,10000000,0,0.03,0.05,21.760864,20.0707,0.0
2002-01-07,10000000,0,0.03,0.05,21.757683,20.067766,0.0
2002-01-08,10000000,0,0.03,0.05,21.752103,20.062619,0.0
2002-01-09,10000000,0,0.03,0.05,21.74436,20.055478,0.0
2002-01-10,10000000,0,0.03,0.05,21.737191,20.048865,0.0
2002-01-11,10000000,0,0.03,0.05,21.728904,20.041222,0.0
2002-01-14,10000000,0,0.03,0.05,21.718624,20.03174,0.0
2002-01-15,10000000,0,0.03,0.05,21.708286,20.022205,0.0
2002-01-16,10000000,0,0.03,0.05,21.69443,20.009426,0.0
2002-01-17,10000000,0,0.03,0.05,21.683623,19.999458,0.0
2002-01-18,10000000,0,0.03,0.05,21.672835,19.989508,0.0
2002-01-22,10000000,0,0.03,0.05,21.659758,19.977447,0.0
2002-01-23,10000000,0,0.03,0.05,21.647344,19.965997,0.0
2002-01-24,10000000,0,0.03,0.05,21.636153,19.955675,0.0
2002-01-25,10000000,0,0.03,0.05,21.622164,19.942773,0.0
2002-01-28,10000000,0,0.03,0.05,21.610195,19.931733,0.0
2002-01-29,10000000,0,0.03,0.05,21.592701,19.915598,0.0
2002-01-30,10000000,0,0.03,0.05,21.577565,19.901638,0.0
2002-01-31,10000000,0,0.03,0.05,21.562331,19.887586,0.0
2002-02-01,10000000,0,0.03,0.05,21.546804,19.873266,0.0
2002-02-04,10000000,0,0.03,0.05,21.5298,19.857582,0.0
2002-02-05,10000000,0,0.03,0.05,21.509025,19.838421,0.0
2002-02-06,10000000,0,0.03,0.05,21.488172,19.819188,0.0
2002-02-07,10000000,0,0.03,0.05,21.469675,19.802127,0.0
2002-02-08,10000000,0,0.03,0.05,21.453988,19.787659,0.0
2002-02-11,10000000,0,0.03,0.05,21.44087,19.77556,0.0
2002-02-12,10000000,0,0.03,0.05,21.427795,19.7635,0.0
2002-02-13,10000000,0,0.03,0.05,21.415116,19.751806,0.0
2002-02-14,10000000,0,0.03,0.05,21.40416,19.741701,0.0
2002-02-15,10000000,0,0.03,0.05,21.39207,19.73055,0.0
2002-02-19,10000000,0,0.03,0.05,21.375842,19.715583,0.0
2002-02-20,10000000,0,0.03,0.05,21.360663,19.701582,0.0
2002-02-21,10000000,0,0.03,0.05,21.344286,19.686477,0.0
2002-02-22,10000000,0,0.03,0.05,21.329492,19.672832,0.0
2002-02-25,10000000,0,0.03,0.05,21.317329,19.661614,0.0
2002-02-26,10000000,0,0.03,0.05,21.304152,19.649461,0.0
2002-02-27,10000000,0,0.03,0.05,21.293324,19.639474,0.0
2002-02-28,10000000,0,0.03,0.05,21.283314,19.630241,0.0
2002-03-01,10000000,0,0.03,0.05,21.277218,19.624619,0.0
2002-03-04,10000000,0,0.03,0.05,21.278211,19.625535,0.0
2002-03-05,10000000,0,0.03,0.05,21.276852,19.624281,0.0
2002-03-06,10000000,0,0.03,0.05,21.277689,19.625053,0.0
2002-03-07,10000000,0,0.03,0.05,21.281818,19.628861,0.0
2002-03-08,10000000,0,0.03,0.05,21.286225,19.632926,0.0
2002-03-11,10000000,0,0.03,0.05,21.290926,19.637262,0.0
2002-03-12,10000000,0,0.03,0.05,21.293096,19.639263,0.0
2002-03-13,10000000,0,0.03,0.05,21.292937,19.639117,0.0
2002-03-14,10000000,0,0.03,0.05,21.294874,19.640903,0.0
2002-03-15,10000000,0,0.03,0.05,21.299169,19.644865,0.0
2002-03-18,10000000,0,0.03,0.05,21.303174,19.648558,0.0
2002-03-19,10000000,0,0.03,0.05,21.308221,19.653213,0.0
2002-03-20,10000000,0,0.03,0.05,21.310431,19.655252,0.0
2002-03-21,10000000,0,0.03,0.05,21.31317,19.657778,0.0
2002-03-22,10000000,0,0.03,0.05,21.313982,19.658527,0.0
2002-03-25,10000000,0,0.03,0.05,21.31216,19.656847,0.0
2002-03-26,10000000,0,0.03,0.05,21.311688,19.656411,0.0
2002-03-27,10000000,0,0.03,0.05,21.311539,19.656274,0.0
2002-03-28,10000000,0,0.03,0.05,21.312616,19.657267,0.0
2002-04-01,10000000,0,0.03,0.05,21.314872,19.659348,0.0
2002-04-02,10000000,0,0.03,0.05,21.316271,19.660638,0.0
2002-04-03,10000000,0,0.03,0.05,21.317691,19.661948,0.0
2002-04-04,10000000,0,0.03,0.05,21.318796,19.662967,0.0
2002-04-05,10000000,0,0.03,0.05,21.31989,19.663976,0.0
2002-04-08,10000000,0,0.03,0.05,21.318506,19.6627,0.0
2002-04-09,10000000,0,0.03,0.05,21.316817,19.661142,0.0
2002-04-10,10000000,0,0.03,0.05,21.317895,19.662136,0.0
2002-04-11,10000000,0,0.03,0.05,21.314224,19.65875,0.0
2002-04-12,10000000,0,0.03,0.05,21.312719,19.657362,0.0
2002-04-15,10000000,0,0.03,0.05,21.312719,19.657363,0.0
2002-04-16,10000000,0,0.03,0.05,21.316695,19.66103,0.0
2002-04-17,10000000,0,0.03,0.05,21.320916,19.664922,0.0
2002-04-18,10000000,0,0.03,0.05,21.325786,19.669414,0.0
2002-04-19,10000000,0,0.03,0.05,21.331478,19.674664,0.0
2002-04-22,10000000,0,0.03,0.05,21.335586,19.678453,0.0
2002-04-23,10000000,0,0.03,0.05,21.339086,19.681681,0.0
2002-04-24,10000000,0,0.03,0.05,21.341487,19.683895,0.0
2002-04-25,10000000,0,0.03,0.05,21.345815,19.687888,0.0
2002-04-26,10000000,0,0.03,0.05,21.348184,19.690073,0.0
2002-04-29,10000000,0,0.03,0.05,21.349961,19.691712,0.0
2002-04-30,10000000,0,0.03,0.05,21.353904,19.695348,0.0
2002-05-01,10000000,0,0.03,0.05,21.358943,19.699996,0.0
2002-05-02,10000000,0,0.03,0.05,21.363346,19.704057,0.0
2002-05-03,10000000,0,0.03,0.05,21.369179,19.709437,0.0
2002-05-06,10000000,0,0.03,0.05,21.3727,19.712684,0.0
2002-05-07,10000000,0,0.03,0.05,21.373346,19.71328,0.0
2002-05-08,10000000,0,0.03,0.05,21.378688,19.718208,0.0
2002-05-09,10000000,0,0.03,0.05,21.382913,19.722104,0.0
2002-05-10,10000000,0,0.03,0.05,21.385303,19.724309,0.0
2002-05-13,10000000,0,0.03,0.05,21.390864,19.729437,0.0
2002-05-14,10000000,0,0.03,0.05,21.396618,19.734744,0.0
2002-05-15,10000000,0,0.03,0.05,21.403237,19.74085,0.0
2002-05-16,10000000,0,0.03,0.05,21.410909,19.747925,0.0
2002-05-17,10000000,0,0.03,0.05,21.420474,19.756747,0.0
2002-05-20,9930305,459528,0.03,0.05,21.428808,19.764434,-0.7
