Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
2005-09-02,10000000,0,44.3727,40.9262,0.03,0.05,0.0
2005-09-06,10000000,0,44.3721,40.9257,0.03,0.05,0.0
2005-09-07,10000000,0,44.3698,40.9236,0.03,0.05,0.0
2005-09-08,10000000,0,44.368,40.9219,0.03,0.05,0.0
2005-09-09,10000000,0,44.3684,40.9223,0.03,0.05,0.0
2005-09-12,10000000,0,44.3676,40.9216,0.03,0.05,0.0
2005-09-13,10000000,0,44.3639,40.9181,0.03,0.05,0.0
2005-09-14,10001232,222447,44.3616,40.916,0.03,0.05,0.0
2005-09-15,10103558,222447,44.3631,40.9174,0.03,0.05,0.0
2005-09-16,10192537,222447,44.3654,40.9195,0.03,0.05,0.0
2005-09-19,10288189,222447,44.3721,40.9257,0.03,0.05,0.0
2005-09-20,10283740,222447,44.3753,40.9287,0.03,0.05,-0.04
2005-09-21,10468371,222447,44.3851,40.9377,0.03,0.05,0.0
2005-09-22,10312658,222447,44.3915,40.9436,0.03,0.05,-1.49
2005-09-23,10294862,222447,44.4032,40.9544,0.03,0.05,-1.66
2005-09-26,10359372,222447,44.4176,40.9677,0.03,0.05,-1.04
2005-09-27,10288189,222447,44.432,40.981,0.03,0.05,-1.72
2005-09-28,10410535,222447,44.4469,40.9947,0.03,0.05,-0.55
2005-09-29,10477268,222447,44.4652,41.0116,0.03,0.05,0.0
2005-09-30,10388290,222447,44.4792,41.0245,0.03,0.05,-0.85
2005-10-03,10326005,222447,44.4933,41.0375,0.03,0.05,-1.44
2005-10-04,10332679,222447,44.5049,41.0482,0.03,0.05,-1.38
2005-10-05,10312658,222447,44.5153,41.0578,0.03,0.05,-1.57
2005-10-06,10501738,222447,44.5307,41.072,0.03,0.05,0.0
2005-10-07,10535105,222447,44.5479,41.0879,0.03,0.05,0.0
2005-10-10,10537329,222447,44.5639,41.1026,0.03,0.05,0.0
2005-10-11,10541778,222447,44.5789,41.1164,0.03,0.05,0.0
2005-10-12,10421657,222447,44.5916,41.1282,0.03,0.05,-1.14
2005-10-13,10459473,222447,44.6089,41.1442,0.03,0.05,-0.78
2005-10-14,10410535,222447,44.6242,41.1583,0.03,0.05,-1.24
2005-10-17,10512860,222447,44.6421,41.1747,0.03,0.05,-0.27
2005-10-18,10455024,222447,44.6626,41.1936,0.03,0.05,-0.82
2005-10-19,10308209,222447,44.6811,41.2107,0.03,0.05,-2.22
2005-10-20,10228128,222447,44.6981,41.2264,0.03,0.05,-2.98
2005-10-21,10348250,222447,44.7206,41.2472,0.03,0.05,-1.84
2005-10-24,10319331,222447,44.7441,41.2688,0.03,0.05,-2.11
2005-10-25,10468371,222447,44.7704,41.2931,0.03,0.05,-0.7
2005-10-26,10439453,222447,44.7947,41.3155,0.03,0.05,-0.97
2005-10-27,10495065,222447,44.8183,41.3373,0.03,0.05,-0.44
2005-10-28,10503963,222447,44.8421,41.3592,0.03,0.05,-0.36
2005-10-31,10321556,222447,44.8631,41.3786,0.03,0.05,-2.09
2005-11-01,10172517,222447,44.8807,41.3948,0.03,0.05,-3.5
2005-11-02,10261496,222447,44.9006,41.4132,0.03,0.05,-2.66
2005-11-03,10223679,222447,44.9197,41.4308,0.03,0.05,-3.02
2005-11-04,10123578,222447,44.934,41.4439,0.03,0.05,-3.97
2005-11-07,10181414,222447,44.9494,41.4582,0.03,0.05,-3.42
2005-11-08,10212557,222447,44.9683,41.4756,0.03,0.05,-3.12
2005-11-09,10357148,222447,44.9882,41.494,0.03,0.05,-1.75
2005-11-10,10339352,222447,45.0081,41.5123,0.03,0.05,-1.92
2005-11-11,10410535,222447,45.0293,41.5319,0.03,0.05,-1.24
2005-11-14,10370494,222447,45.0519,41.5528,0.03,0.05,-1.62
2005-11-15,10379392,222447,45.0754,41.5744,0.03,0.05,-1.54
2005-11-16,10628533,222447,45.1044,41.6011,0.03,0.05,0.0
2005-11-17,10784246,222447,45.1394,41.6334,0.03,0.05,0.0
2005-11-18,10779797,222447,45.1754,41.6666,0.03,0.05,-0.04
2005-11-21,10897694,222447,45.2151,41.7033,0.03,0.05,0.0
2005-11-22,10971101,222447,45.2567,41.7416,0.03,0.05,0.0
2005-11-23,10933286,222447,45.297,41.7788,0.03,0.05,-0.34
2005-11-25,10993346,222447,45.3365,41.8152,0.03,0.05,0.0
2005-11-28,11064529,222447,45.376,41.8516,0.03,0.05,0.0
2005-11-29,11077876,222447,45.4133,41.8861,0.03,0.05,0.0
2005-11-30,10922162,222447,45.4469,41.917,0.03,0.05,-1.41
2005-12-01,11160181,222447,45.4863,41.9534,0.03,0.05,0.0
2005-12-02,11193548,222447,45.5254,41.9894,0.03,0.05,0.0
2005-12-05,11295874,222447,45.5667,42.0276,0.03,0.05,0.0
2005-12-06,11320343,222447,45.6044,42.0623,0.03,0.05,0.0
2005-12-07,11415995,222447,45.6451,42.0999,0.03,0.05,0.0
2005-12-08,11545015,222447,45.6893,42.1406,0.03,0.05,0.0
2005-12-09,11656238,222447,45.7351,42.1828,0.03,0.05,0.0
2005-12-12,11691830,222447,45.7816,42.2257,0.03,0.05,0.0
2005-12-13,11489403,222447,45.825,42.2658,0.03,0.05,-1.73
2005-12-14,11200221,222447,45.8616,42.2995,0.03,0.05,-4.2
2005-12-15,11175753,222447,45.899,42.334,0.03,0.05,-4.41
2005-12-16,11142385,222447,45.9336,42.3659,0.03,0.05,-4.7
2005-12-19,11171304,222447,45.9683,42.398,0.03,0.05,-4.45
2005-12-20,10908816,222447,45.9941,42.4218,0.03,0.05,-6.7
2005-12-21,10982223,222447,46.0217,42.4472,0.03,0.05,-6.07
2005-12-22,11153508,222447,46.0523,42.4754,0.03,0.05,-4.6
2005-12-23,11149059,222447,46.0816,42.5024,0.03,0.05,-4.64
2005-12-27,11264731,222447,46.1156,42.5338,0.03,0.05,-3.65
2005-12-28,11449363,222447,46.1538,42.569,0.03,0.05,-2.07
2005-12-29,11449363,222447,46.1907,42.603,0.03,0.05,-2.07
2005-12-30,11473832,222447,46.2306,42.6399,0.03,0.05,-1.86
2006-01-03,11816400,222447,46.2782,42.6837,0.03,0.05,0.0
2006-01-04,11856440,222447,46.3307,42.7322,0.03,0.05,0.0
2006-01-05,11642891,222447,46.3806,42.7783,0.03,0.05,-1.8
2006-01-06,11949868,222447,46.4388,42.8319,0.03,0.05,0.0
2006-01-09,12145621,222447,46.5017,42.8899,0.03,0.05,0.0
2006-01-10,12025500,222447,46.561,42.9447,0.03,0.05,-0.99
2006-01-11,12130050,222447,46.6227,43.0015,0.03,0.05,-0.13
2006-01-12,12107805,222447,46.6836,43.0577,0.03,0.05,-0.31
2006-01-13,12332477,222447,46.7486,43.1176,0.03,0.05,0.0
2006-01-17,12292436,222447,46.8137,43.1776,0.03,0.05,-0.32
2006-01-18,12027725,222447,46.8738,43.2331,0.03,0.05,-2.47
2006-01-19,12365844,222447,46.9414,43.2955,0.03,0.05,0.0
2006-01-20,12279090,222447,47.0062,43.3552,0.03,0.05,-0.7
2006-01-23,12405884,222447,47.0741,43.4179,0.03,0.05,0.0
2006-01-24,12396987,222447,47.1413,43.4798,0.03,0.05,-0.07
2006-01-25,12488190,222447,47.2101,43.5433,0.03,0.05,0.0
2006-01-26,12430354,222447,47.2773,43.6052,0.03,0.05,-0.46
2006-01-27,12374742,222447,47.3428,43.6657,0.03,0.05,-0.91
2006-01-30,12608311,222447,47.4168,43.734,0.03,0.05,0.0
2006-01-31,12612760,222447,47.4905,43.8019,0.03,0.05,0.0
2006-02-01,12612760,222447,47.5626,43.8684,0.03,0.05,0.0
2006-02-02,12675045,222447,47.6332,43.9335,0.03,0.05,0.0
2006-02-03,12568271,222447,47.7006,43.9957,0.03,0.05,-0.84
2006-02-06,12617209,222447,47.7703,44.06,0.03,0.05,-0.46
2006-02-07,12145621,222447,47.828,44.1132,0.03,0.05,-4.18
2006-02-08,12196785,222447,47.8867,44.1674,0.03,0.05,-3.77
2006-02-09,12497088,222447,47.9513,44.2269,0.03,0.05,-1.4
2006-02-10,12187887,222447,48.011,44.282,0.03,0.05,-3.84
2006-02-13,11949868,222447,48.0662,44.3329,0.03,0.05,-5.72
2006-02-14,12121153,222447,48.1236,44.3858,0.03,0.05,-4.37
2006-02-15,11958766,222447,48.1796,44.4375,0.03,0.05,-5.65
2006-02-16,12127826,222447,48.2402,44.4933,0.03,0.05,-4.32
2006-02-17,12225702,222447,48.3023,44.5506,0.03,0.05,-3.55
2006-02-21,12261294,222447,48.3651,44.6086,0.03,0.05,-3.26
2006-02-22,12310232,222447,48.4312,44.6695,0.03,0.05,-2.88
2006-02-23,12154519,222447,48.4934,44.7269,0.03,0.05,-4.11
2006-02-24,12376966,222447,48.5604,44.7887,0.03,0.05,-2.35
2006-02-27,12283539,222447,48.6249,44.8482,0.03,0.05,-3.09
2006-02-28,12472619,222447,48.6965,44.9143,0.03,0.05,-1.6
2006-03-01,12479291,222447,48.7694,44.9815,0.03,0.05,-1.54
2006-03-02,12621658,222447,48.8459,45.0521,0.03,0.05,-0.42
2006-03-03,12519332,222447,48.9202,45.1206,0.03,0.05,-1.23
2006-03-06,12285763,222447,48.9881,45.1832,0.03,0.05,-3.07
2006-03-07,12223478,222447,49.0549,45.2448,0.03,0.05,-3.56
2006-03-08,12005480,222447,49.1183,45.3033,0.03,0.05,-5.28
2006-03-09,12065541,222447,49.1833,45.3633,0.03,0.05,-4.81
2006-03-10,11974338,222447,49.2456,45.4207,0.03,0.05,-5.53
2006-03-13,12081112,222447,49.3097,45.4798,0.03,0.05,-4.69
2006-03-14,12205682,222447,49.3776,45.5424,0.03,0.05,-3.7
2006-03-15,12261294,222447,49.4458,45.6053,0.03,0.05,-3.26
2006-03-16,12310232,222447,49.5163,45.6703,0.03,0.05,-2.88
2006-03-17,12261294,222447,49.5863,45.7349,0.03,0.05,-3.26
2006-03-20,12272416,222447,49.6536,45.797,0.03,0.05,-3.18
2006-03-21,12196785,222447,49.7188,45.8571,0.03,0.05,-3.77
2006-03-22,12178988,222447,49.782,45.9154,0.03,0.05,-3.91
2006-03-23,12167866,222447,49.8454,45.9739,0.03,0.05,-4.0
2006-03-24,12392537,222447,49.9143,46.0374,0.03,0.05,-2.23
2006-03-27,12543801,222447,49.987,46.1045,0.03,0.05,-1.04
2006-03-28,12470394,222447,50.0562,46.1683,0.03,0.05,-1.61
2006-03-29,12695066,222447,50.1298,46.2362,0.03,0.05,0.0
2006-03-30,13035409,222447,50.2122,46.3122,0.03,0.05,0.0
2006-03-31,12924185,222447,50.2913,46.3852,0.03,0.05,-0.85
2006-04-03,13006492,222447,50.3686,46.4565,0.03,0.05,-0.22
2006-04-04,12975349,222447,50.4443,46.5263,0.03,0.05,-0.46
2006-04-05,13048756,222447,50.5216,46.5975,0.03,0.05,0.0
2006-04-06,13186673,222447,50.6012,46.671,0.03,0.05,0.0
2006-04-07,13033185,222447,50.6778,46.7417,0.03,0.05,-1.16
2006-04-10,13257856,222447,50.758,46.8157,0.03,0.05,0.0
2006-04-11,13126612,222447,50.8359,46.8874,0.03,0.05,-0.99
2006-04-12,13220040,222447,50.9158,46.9612,0.03,0.05,-0.29
2006-04-13,13235612,222447,50.9984,47.0374,0.03,0.05,-0.17
2006-04-17,13589302,222447,51.0884,47.1203,0.03,0.05,0.0
2006-04-18,13758362,222447,51.1832,47.2078,0.03,0.05,0.0
2006-04-19,14181011,222447,51.2916,47.3078,0.03,0.05,0.0
2006-04-20,13560384,222447,51.3878,47.3965,0.03,0.05,-4.38
2006-04-21,14058666,222447,51.4957,47.496,0.03,0.05,-0.86
2006-04-24,13713873,222447,51.595,47.5876,0.03,0.05,-3.29
2006-04-25,13965238,222447,51.7007,47.6851,0.03,0.05,-1.52
2006-04-26,14158767,222447,51.8094,47.7854,0.03,0.05,-0.16
2006-04-27,14005278,222447,51.9141,47.8819,0.03,0.05,-1.24
2006-04-28,14479090,222447,52.0312,47.9899,0.03,0.05,0.0
2006-05-01,14494663,222447,52.151,48.1004,0.03,0.05,0.0
2006-05-02,14803864,222447,52.2771,48.2168,0.03,0.05,0.0
2006-05-03,14783843,222447,52.4031,48.3329,0.03,0.05,-0.14
2006-05-04,15010739,222447,52.5348,48.4545,0.03,0.05,0.0
2006-05-05,15124186,222447,52.6677,48.577,0.03,0.05,0.0
2006-05-08,15028534,222447,52.7969,48.6962,0.03,0.05,-0.63
2006-05-09,15500122,222447,52.9372,48.8255,0.03,0.05,0.0
2006-05-10,15655834,222447,53.0807,48.9579,0.03,0.05,0.0
2006-05-11,15800425,222447,53.2289,49.0946,0.03,0.05,0.0
2006-05-12,15820447,222447,53.3766,49.2309,0.03,0.05,0.0
2006-05-15,14995168,222447,53.5036,49.348,0.03,0.05,-5.22
2006-05-16,15262104,222447,53.6364,49.4705,0.03,0.05,-3.53
2006-05-17,15159779,222447,53.7653,49.5893,0.03,0.05,-4.18
2006-05-18,15006290,222447,53.8905,49.7049,0.03,0.05,-5.15
2006-05-19,14588090,222447,54.0041,49.8096,0.03,0.05,-7.79
2006-05-22,14525805,222447,54.1154,49.9123,0.03,0.05,-8.18
2006-05-23,14766046,222447,54.2327,50.0205,0.03,0.05,-6.66
2006-05-24,14249970,222447,54.3394,50.1189,0.03,0.05,-9.93
2006-05-25,14392335,222447,54.4494,50.2203,0.03,0.05,-9.03
2006-05-26,14481314,222447,54.5599,50.3222,0.03,0.05,-8.46
2006-05-30,14483540,222447,54.6663,50.4203,0.03,0.05,-8.45
2006-05-31,14287787,222447,54.7679,50.5141,0.03,0.05,-9.69
2006-06-01,13916300,222447,54.8628,50.6017,0.03,0.05,-12.04
2006-06-02,14125400,222447,54.9604,50.6917,0.03,0.05,-10.71
2006-06-05,14078686,222447,55.0602,50.7837,0.03,0.05,-11.01
2006-06-06,13914075,222447,55.1567,50.8726,0.03,0.05,-12.05
2006-06-07,13854014,222447,55.2529,50.9614,0.03,0.05,-12.43
2006-06-08,13549262,222447,55.3415,51.0431,0.03,0.05,-14.36
2006-06-09,13446937,222447,55.4274,51.1224,0.03,0.05,-15.0
2006-06-12,13353508,222447,55.5121,51.2005,0.03,0.05,-15.59
2006-06-13,12439251,222447,55.5749,51.2584,0.03,0.05,-21.37
2006-06-14,12372517,222447,55.6367,51.3154,0.03,0.05,-21.79
2006-06-15,12750677,222447,55.7075,51.3807,0.03,0.05,-19.4
2006-06-16,12830758,222447,55.7831,51.4504,0.03,0.05,-18.9
2006-06-19,12537128,222447,55.8498,51.512,0.03,0.05,-20.75
2006-06-20,12746228,222447,55.9172,51.5741,0.03,0.05,-19.43
2006-06-21,12975349,222447,55.9897,51.641,0.03,0.05,-17.98
2006-06-22,12841881,222447,56.059,51.7049,0.03,0.05,-18.83
2006-06-23,12899717,222447,56.1294,51.7698,0.03,0.05,-18.46
2006-06-26,12964226,222447,56.1998,51.8348,0.03,0.05,-18.05
2006-06-27,12830758,222447,56.266,51.8958,0.03,0.05,-18.9
2006-06-28,12799616,222447,56.3311,51.9559,0.03,0.05,-19.09
2006-06-29,13240061,222447,56.4082,52.0269,0.03,0.05,-16.31
2006-06-30,13620445,222447,56.4919,52.1042,0.03,0.05,-13.91
2006-07-03,13831770,222447,56.5783,52.1838,0.03,0.05,-12.57
2006-07-05,13902953,222447,56.6642,52.2631,0.03,0.05,-12.12
2006-07-06,14018625,222447,56.7505,52.3427,0.03,0.05,-11.39
2006-07-07,13931871,222447,56.835,52.4206,0.03,0.05,-11.94
2006-07-10,13796178,222447,56.912,52.4917,0.03,0.05,-12.8
2006-07-11,14194359,222447,57.0019,52.5746,0.03,0.05,-10.28
2006-07-12,14441274,222447,57.0979,52.6631,0.03,0.05,-8.72
2006-07-13,14581417,222447,57.1956,52.7533,0.03,0.05,-7.83
2006-07-14,14648150,222447,57.2966,52.8464,0.03,0.05,-7.41
2006-07-17,14225501,222447,57.3849,52.9278,0.03,0.05,-10.08
2006-07-18,13991932,222447,57.4663,53.0029,0.03,0.05,-11.56
2006-07-19,14243296,222447,57.5555,53.0852,0.03,0.05,-9.97
2006-07-20,13911851,222447,57.6385,53.1618,0.03,0.05,-12.06
2006-07-21,13727219,222447,57.7171,53.2342,0.03,0.05,-13.23
2006-07-24,13600425,222447,57.7932,53.3045,0.03,0.05,-14.03
2006-07-25,13691628,222447,57.8671,53.3726,0.03,0.05,-13.46
2006-07-26,13791729,222447,57.9425,53.4421,0.03,0.05,-12.82
2006-07-27,13991932,222447,58.0225,53.5159,0.03,0.05,-11.56
2006-07-28,14038646,222447,58.1034,53.5905,0.03,0.05,-11.26
2006-07-31,14049768,222447,58.1874,53.668,0.03,0.05,-11.19
2006-08-01,14307806,222447,58.2765,53.7502,0.03,0.05,-9.56
2006-08-02,14403458,222447,58.369,53.8355,0.03,0.05,-8.96
2006-08-03,14263318,222447,58.4558,53.9155,0.03,0.05,-9.84
2006-08-04,14298908,222447,58.5448,53.9976,0.03,0.05,-9.62
2006-08-07,14347847,222447,58.6383,54.0839,0.03,0.05,-9.31
2006-08-08,14229950,222447,58.731,54.1693,0.03,0.05,-10.05
2006-08-09,14376764,222447,58.8242,54.2554,0.03,0.05,-9.13
2006-08-10,14069788,222447,58.9111,54.3354,0.03,0.05,-11.07
2006-08-11,13949666,222447,58.9917,54.4098,0.03,0.05,-11.83
2006-08-14,13847341,222447,59.0706,54.4825,0.03,0.05,-12.47
2006-08-15,13793953,222447,59.1469,54.553,0.03,0.05,-12.81
2006-08-16,13900729,222447,59.2256,54.6255,0.03,0.05,-12.13
2006-08-17,13575955,222447,59.3009,54.695,0.03,0.05,-14.19
2006-08-18,13578180,222447,59.3798,54.7677,0.03,0.05,-14.17
2006-08-21,13889606,222447,59.4638,54.8452,0.03,0.05,-12.2
2006-08-22,13802851,222447,59.5466,54.9216,0.03,0.05,-12.75
2006-08-23,13753914,222447,59.6307,54.9992,0.03,0.05,-13.06
2006-08-24,13736117,222447,59.713,55.0751,0.03,0.05,-13.17
2006-08-25,13740566,222447,59.7946,55.1504,0.03,0.05,-13.15
2006-08-28,13569282,222447,59.869,55.219,0.03,0.05,-14.23
2006-08-29,13555935,222447,59.9435,55.2877,0.03,0.05,-14.31
2006-08-30,13662710,222447,60.0188,55.3571,0.03,0.05,-13.64
2006-08-31,13856239,222447,60.0995,55.4316,0.03,0.05,-12.42
2006-09-01,13822872,222447,60.1792,55.5051,0.03,0.05,-12.63
2006-09-05,14094257,222447,60.2594,55.5791,0.03,0.05,-10.91
2006-09-06,13983034,222447,60.3335,55.6474,0.03,0.05,-11.61
2006-09-07,13624894,222447,60.3994,55.7081,0.03,0.05,-13.88
2006-09-08,13489201,222447,60.4594,55.7635,0.03,0.05,-14.74
2006-09-11,13013165,222447,60.5066,55.8071,0.03,0.05,-17.74
2006-09-12,12973124,222447,60.5539,55.8506,0.03,0.05,-18.0
2006-09-13,13039858,222447,60.6012,55.8943,0.03,0.05,-17.58
2006-09-14,12721759,222447,60.6396,55.9297,0.03,0.05,-19.59
2006-09-15,12768473,222447,60.6787,55.9658,0.03,0.05,-19.29
2006-09-18,12953104,222447,60.7258,56.0092,0.03,0.05,-18.12
2006-09-19,12661698,222447,60.7605,56.0413,0.03,0.05,-19.97
2006-09-20,12737330,222447,60.7963,56.0742,0.03,0.05,-19.49
2006-09-21,12890819,222447,60.8332,56.1083,0.03,0.05,-18.52
2006-09-22,13013165,222447,60.8724,56.1444,0.03,0.05,-17.74
2006-09-25,13013165,222447,60.9094,56.1785,0.03,0.05,-17.74
2006-09-26,13066552,222447,60.9446,56.211,0.03,0.05,-17.41
2006-09-27,13304571,222447,60.9827,56.2462,0.03,0.05,-15.9
2006-09-28,13300122,222447,61.02,56.2806,0.03,0.05,-15.93
2006-09-29,13228939,222447,61.0603,56.3177,0.03,0.05,-16.38
2006-10-02,13157756,222447,61.1056,56.3595,0.03,0.05,-16.83
2006-10-03,12703964,222447,61.141,56.3921,0.03,0.05,-19.7
2006-10-04,12539352,222447,61.1733,56.422,0.03,0.05,-20.74
2006-10-05,12628149,0,61.2078,56.4538,0.03,0.05,-20.18
2006-10-06,12628149,0,61.2487,56.4916,0.03,0.05,-20.18
2006-10-09,12628149,0,61.2891,56.5288,0.03,0.05,-20.18
2006-10-10,12628149,0,61.3244,56.5613,0.03,0.05,-20.18
2006-10-11,12628149,0,61.3592,56.5934,0.03,0.05,-20.18
2006-10-12,12628149,0,61.3945,56.626,0.03,0.05,-20.18
2006-10-13,12628149,0,61.4311,56.6597,0.03,0.05,-20.18
2006-10-16,12628149,0,61.4707,56.6963,0.03,0.05,-20.18
2006-10-17,12628149,0,61.5071,56.7299,0.03,0.05,-20.18
2006-10-18,12628149,0,61.5353,56.7559,0.03,0.05,-20.18
2006-10-19,12628149,0,61.5668,56.7849,0.03,0.05,-20.18
2006-10-20,12628149,0,61.5999,56.8155,0.03,0.05,-20.18
2006-10-23,12628149,0,61.6207,56.8347,0.03,0.05,-20.18
2006-10-24,12628149,0,61.6391,56.8516,0.03,0.05,-20.18
2006-10-25,12628149,0,61.6633,56.8739,0.03,0.05,-20.18
2006-10-26,12628149,0,61.6878,56.8965,0.03,0.05,-20.18
2006-10-27,12628149,0,61.7134,56.9202,0.03,0.05,-20.18
2006-10-30,12628149,0,61.7364,56.9413,0.03,0.05,-20.18
2006-10-31,12628149,0,61.762,56.965,0.03,0.05,-20.18
2006-11-01,12628149,0,61.7996,56.9996,0.03,0.05,-20.18
2006-11-02,12628149,0,61.8322,57.0297,0.03,0.05,-20.18
2006-11-03,12628149,0,61.8688,57.0634,0.03,0.05,-20.18
2006-11-06,12628149,0,61.9003,57.0925,0.03,0.05,-20.18
2006-11-07,12628149,0,61.9328,57.1225,0.03,0.05,-20.18
2006-11-08,12628149,0,61.9584,57.1461,0.03,0.05,-20.18
2006-11-09,12628149,0,61.9948,57.1796,0.03,0.05,-20.18
2006-11-10,12628149,0,62.0301,57.2122,0.03,0.05,-20.18
2006-11-13,12628149,0,62.0585,57.2384,0.03,0.05,-20.18
2006-11-14,12628149,0,62.0839,57.2618,0.03,0.05,-20.18
2006-11-15,12628149,0,62.1103,57.2862,0.03,0.05,-20.18
2006-11-16,12628149,0,62.1326,57.3068,0.03,0.05,-20.18
2006-11-17,12628149,0,62.1598,57.3319,0.03,0.05,-20.18
