Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band,drawdown_pct
2000-05-26,10000000,0,0.03,0.05,33.708053,31.089952,0.0
2000-05-30,10000000,0,0.03,0.05,33.720433,31.10137,0.0
2000-05-31,10000000,0,0.03,0.05,33.73395,31.113838,0.0
2000-06-01,10000000,0,0.03,0.05,33.755243,31.133476,0.0
2000-06-02,10034413,273858,0.03,0.05,33.794893,31.170047,0.0
2000-06-05,9997659,273858,0.03,0.05,33.832773,31.204985,-0.37
2000-06-06,10095672,273858,0.03,0.05,33.873945,31.242959,0.0
2000-06-07,10107930,273858,0.03,0.05,33.915165,31.280978,0.0
2000-06-08,10083420,273858,0.03,0.05,33.955058,31.317772,-0.24
2000-06-09,10261076,273858,0.03,0.05,34.001203,31.360333,0.0
2000-06-12,9956306,273858,0.03,0.05,34.035483,31.39195,-2.97
2000-06-13,10083420,273858,0.03,0.05,34.074179,31.427641,-1.73
2000-06-14,10034413,273858,0.03,0.05,34.110656,31.461285,-2.21
2000-06-15,10046666,273858,0.03,0.05,34.147228,31.495016,-2.09
2000-06-16,9991528,273858,0.03,0.05,34.181373,31.526509,-2.63
2000-06-19,10242695,273858,0.03,0.05,34.224578,31.566359,-0.18
2000-06-20,10310082,273858,0.03,0.05,34.269875,31.608137,0.0
2000-06-21,10365007,273858,0.03,0.05,34.316777,31.651396,0.0
2000-06-22,10052398,273858,0.03,0.05,34.351513,31.683434,-3.02
2000-06-23,9984970,273858,0.03,0.05,34.38338,31.712826,-3.67
2000-06-26,10107560,273858,0.03,0.05,34.419518,31.746157,-2.48
2000-06-27,9948195,273858,0.03,0.05,34.449332,31.773655,-4.02
2000-06-28,10199508,273858,0.03,0.05,34.488254,31.809555,-1.6
2000-06-29,10040137,273858,0.03,0.05,34.520825,31.839596,-3.13
2000-06-30,10136686,273858,0.03,0.05,34.556685,31.872671,-2.2
2000-07-03,10279183,273858,0.03,0.05,34.597521,31.910335,-0.83
2000-07-05,10162732,273858,0.03,0.05,34.633593,31.943605,-1.95
2000-07-06,10282255,273858,0.03,0.05,34.673778,31.980669,-0.8
2000-07-07,10346618,273858,0.03,0.05,34.715973,32.019587,-0.18
2000-07-10,10414044,273858,0.03,0.05,34.760271,32.060444,0.0
2000-07-11,10401779,273858,0.03,0.05,34.803669,32.100471,-0.12
2000-07-12,10610181,273858,0.03,0.05,34.854435,32.147294,0.0
2000-07-13,10643900,273858,0.03,0.05,34.905957,32.194815,0.0
2000-07-14,10653090,273858,0.03,0.05,34.957311,32.24218,0.0
2000-07-17,10689866,273858,0.03,0.05,35.009529,32.290343,0.0
2000-07-18,10505986,273858,0.03,0.05,35.054347,32.33168,-1.72
2000-07-19,10322094,273858,0.03,0.05,35.091837,32.366258,-3.44
2000-07-20,10493722,273858,0.03,0.05,35.135377,32.406416,-1.83
2000-07-21,10205637,273858,0.03,0.05,35.167703,32.436231,-4.53
2000-07-24,10056991,273858,0.03,0.05,35.194144,32.460618,-5.92
2000-07-25,10076913,273858,0.03,0.05,35.221067,32.48545,-5.73
2000-07-26,10058525,273858,0.03,0.05,35.247035,32.509401,-5.91
2000-07-27,9782702,273858,0.03,0.05,35.262421,32.523592,-8.49
2000-07-28,9611076,273858,0.03,0.05,35.271232,32.531719,-10.09
2000-07-31,9856253,273858,0.03,0.05,35.289131,32.548227,-7.8
2000-08-01,9791891,273858,0.03,0.05,35.304442,32.56235,-8.4
2000-08-02,9807220,273858,0.03,0.05,35.320175,32.576861,-8.26
2000-08-03,9801094,273858,0.03,0.05,35.335523,32.591016,-8.31
2000-08-04,9850127,273858,0.03,0.05,35.352552,32.606723,-7.86
2000-08-07,10032476,273858,0.03,0.05,35.376236,32.628568,-6.15
2000-08-08,9984970,273858,0.03,0.05,35.397907,32.648555,-6.59
2000-08-09,9912957,273858,0.03,0.05,35.416667,32.665858,-7.27
2000-08-10,9856253,273858,0.03,0.05,35.433119,32.681032,-7.8
2000-08-11,10027881,273858,0.03,0.05,35.455829,32.701978,-6.19
2000-08-14,10132078,273858,0.03,0.05,35.482213,32.726313,-5.22
2000-08-15,9984970,273858,0.03,0.05,35.50283,32.745328,-6.59
2000-08-16,10034009,273858,0.03,0.05,35.525076,32.765847,-6.14
2000-08-17,10125954,273858,0.03,0.05,35.550542,32.789335,-5.28
2000-08-18,10110631,273858,0.03,0.05,35.575181,32.81206,-5.42
2000-08-21,10147405,273858,0.03,0.05,35.600951,32.835828,-5.07
2000-08-22,10132078,273858,0.03,0.05,35.625891,32.858831,-5.22
2000-08-23,10116759,273858,0.03,0.05,35.65001,32.881077,-5.36
2000-08-24,10266932,273858,0.03,0.05,35.679508,32.908284,-3.96
2000-08-25,10309837,273858,0.03,0.05,35.710319,32.936702,-3.56
2000-08-28,10328230,273858,0.03,0.05,35.741512,32.965472,-3.38
2000-08-29,10426297,273858,0.03,0.05,35.776064,32.99734,-2.47
2000-08-30,10438555,273858,0.03,0.05,35.810731,33.029315,-2.35
2000-08-31,10542762,273858,0.03,0.05,35.848953,33.064568,-1.38
2000-09-01,10628569,273858,0.03,0.05,35.890006,33.102432,-0.57
2000-09-05,10555013,273858,0.03,0.05,35.927897,33.137381,-1.26
2000-09-06,10509043,273858,0.03,0.05,35.963692,33.170395,-1.69
2000-09-07,10665350,273858,0.03,0.05,36.004979,33.208476,-0.23
2000-09-08,10481465,273858,0.03,0.05,36.038975,33.239831,-1.95
2000-09-11,10493722,273858,0.03,0.05,36.07309,33.271297,-1.83
2000-09-12,10460012,273858,0.03,0.05,36.105605,33.301286,-2.15
2000-09-13,10512113,273858,0.03,0.05,36.139746,33.332775,-1.66
2000-09-14,10573401,273858,0.03,0.05,36.175841,33.366067,-1.09
2000-09-15,10377262,273858,0.03,0.05,36.204236,33.392257,-2.92
2000-09-18,10132078,273858,0.03,0.05,36.223173,33.409723,-5.22
2000-09-19,10297574,273858,0.03,0.05,36.248116,33.432728,-3.67
2000-09-20,10215752,273858,0.03,0.05,36.269748,33.45268,-4.44
2000-09-21,10025095,273858,0.03,0.05,36.284029,33.465852,-6.22
2000-09-22,10154248,273858,0.03,0.05,36.303002,33.483352,-5.01
2000-09-25,10166556,273858,0.03,0.05,36.322247,33.501102,-4.9
2000-09-26,10022018,273858,0.03,0.05,36.335891,33.513686,-6.25
2000-09-27,9975893,273858,0.03,0.05,36.347673,33.524553,-6.68
2000-09-28,10246505,273858,0.03,0.05,36.369466,33.544653,-4.15
2000-09-29,10197303,273858,0.03,0.05,36.3892,33.562854,-4.61
2000-10-02,10031238,273858,0.03,0.05,36.402523,33.575142,-6.16
2000-10-03,9885173,273858,0.03,0.05,36.410247,33.582267,-7.53
2000-10-04,9954360,273858,0.03,0.05,36.420484,33.591708,-6.88
2000-10-05,9852891,273858,0.03,0.05,36.426821,33.597553,-7.83
2000-10-06,9613014,273858,0.03,0.05,36.424118,33.59506,-10.07
2000-10-09,9591495,273858,0.03,0.05,36.420637,33.591849,-10.27
2000-10-10,9360855,273858,0.03,0.05,36.408559,33.58071,-12.43
2000-10-11,9330103,273858,0.03,0.05,36.39545,33.568619,-12.72
2000-10-12,9047186,273858,0.03,0.05,36.371884,33.546884,-15.37
2000-10-13,9044574,0,0.03,0.05,36.361672,33.537465,-15.39
2000-10-16,9044574,0,0.03,0.05,36.354324,33.530687,-15.39
2000-10-17,9044574,0,0.03,0.05,36.33813,33.515751,-15.39
2000-10-18,9044574,0,0.03,0.05,36.319278,33.498363,-15.39
2000-10-19,9044574,0,0.03,0.05,36.311201,33.490913,-15.39
2000-10-20,9044574,0,0.03,0.05,36.307692,33.487677,-15.39
2000-10-23,9044574,0,0.03,0.05,36.307786,33.487764,-15.39
2000-10-24,9044574,0,0.03,0.05,36.302585,33.482967,-15.39
2000-10-25,9044574,0,0.03,0.05,36.289495,33.470894,-15.39
2000-10-26,9044574,0,0.03,0.05,36.281944,33.463929,-15.39
2000-10-27,9044574,0,0.03,0.05,36.274699,33.457247,-15.39
2000-10-30,9044574,0,0.03,0.05,36.269137,33.452116,-15.39
2000-10-31,9044574,0,0.03,0.05,36.272837,33.455529,-15.39
2000-11-01,9044574,0,0.03,0.05,36.27673,33.45912,-15.39
2000-11-02,9044574,0,0.03,0.05,36.289331,33.470742,-15.39
2000-11-03,9044574,0,0.03,0.05,36.301346,33.481824,-15.39
2000-11-06,9044574,0,0.03,0.05,36.310365,33.490142,-15.39
2000-11-07,9044574,0,0.03,0.05,36.322401,33.501244,-15.39
2000-11-08,9044574,0,0.03,0.05,36.327643,33.506078,-15.39
2000-11-09,9044574,0,0.03,0.05,36.328919,33.507255,-15.39
2000-11-10,9044574,0,0.03,0.05,36.320976,33.499929,-15.39
2000-11-13,9044574,0,0.03,0.05,36.309544,33.489386,-15.39
2000-11-14,9044574,0,0.03,0.05,36.306628,33.486695,-15.39
2000-11-15,9044574,0,0.03,0.05,36.308343,33.488278,-15.39
2000-11-16,9044574,0,0.03,0.05,36.299512,33.480132,-15.39
2000-11-17,9044574,0,0.03,0.05,36.293012,33.474138,-15.39
2000-11-20,9044574,0,0.03,0.05,36.277371,33.459711,-15.39
2000-11-21,9044574,0,0.03,0.05,36.259871,33.44357,-15.39
2000-11-22,9044574,0,0.03,0.05,36.235352,33.420956,-15.39
2000-11-24,9044574,0,0.03,0.05,36.220514,33.40727,-15.39
2000-11-27,9044574,0,0.03,0.05,36.206803,33.394624,-15.39
2000-11-28,9044574,0,0.03,0.05,36.182812,33.372496,-15.39
2000-11-29,9044574,0,0.03,0.05,36.15814,33.34974,-15.39
2000-11-30,9044574,0,0.03,0.05,36.126578,33.32063,-15.39
2000-12-01,9044574,0,0.03,0.05,36.102695,33.298602,-15.39
2000-12-04,9044574,0,0.03,0.05,36.075367,33.273397,-15.39
2000-12-05,9044574,0,0.03,0.05,36.064423,33.263303,-15.39
2000-12-06,9044574,0,0.03,0.05,36.045532,33.245879,-15.39
2000-12-07,9044574,0,0.03,0.05,36.025908,33.227779,-15.39
2000-12-08,9044574,0,0.03,0.05,36.011083,33.214105,-15.39
2000-12-11,9044574,0,0.03,0.05,36.012057,33.215004,-15.39
2000-12-12,9044574,0,0.03,0.05,36.005195,33.208675,-15.39
2000-12-13,9044574,0,0.03,0.05,35.991857,33.196373,-15.39
2000-12-14,9044574,0,0.03,0.05,35.97316,33.179128,-15.39
2000-12-15,9044574,0,0.03,0.05,35.952799,33.160349,-15.39
2000-12-18,9044574,0,0.03,0.05,35.937728,33.146448,-15.39
2000-12-19,9044574,0,0.03,0.05,35.916795,33.127141,-15.39
2000-12-20,9044574,0,0.03,0.05,35.885434,33.098215,-15.39
2000-12-21,9044574,0,0.03,0.05,35.856928,33.071924,-15.39
2000-12-22,9044574,0,0.03,0.05,35.842348,33.058477,-15.39
2000-12-26,9044574,0,0.03,0.05,35.829879,33.046976,-15.39
2000-12-27,9044574,0,0.03,0.05,35.826667,33.044013,-15.39
2000-12-28,9044574,0,0.03,0.05,35.834817,33.05153,-15.39
2000-12-29,9044574,0,0.03,0.05,35.83248,33.049375,-15.39
2001-01-02,9044574,0,0.03,0.05,35.817797,33.035832,-15.39
2001-01-03,9044574,0,0.03,0.05,35.817422,33.035486,-15.39
2001-01-04,9044574,0,0.03,0.05,35.812484,33.030932,-15.39
2001-01-05,9044574,0,0.03,0.05,35.796728,33.0164,-15.39
2001-01-08,9044574,0,0.03,0.05,35.782285,33.003078,-15.39
2001-01-09,9044574,0,0.03,0.05,35.767465,32.98941,-15.39
2001-01-10,9044574,0,0.03,0.05,35.763718,32.985953,-15.39
2001-01-11,9044574,0,0.03,0.05,35.764806,32.986957,-15.39
2001-01-12,9044574,0,0.03,0.05,35.766866,32.988857,-15.39
2001-01-16,9044574,0,0.03,0.05,35.776073,32.997349,-15.39
2001-01-17,9044574,0,0.03,0.05,35.784957,33.005543,-15.39
2001-01-18,9044574,0,0.03,0.05,35.79514,33.014935,-15.39
2001-01-19,9044574,0,0.03,0.05,35.798748,33.018262,-15.39
2001-01-22,9044574,0,0.03,0.05,35.804863,33.023903,-15.39
2001-01-23,9044574,0,0.03,0.05,35.819935,33.037804,-15.39
2001-01-24,9044574,0,0.03,0.05,35.83347,33.050288,-15.39
2001-01-25,9044574,0,0.03,0.05,35.845483,33.061368,-15.39
2001-01-26,9068725,252175,0.03,0.05,35.857376,33.072337,-15.17
2001-01-29,9253048,252175,0.03,0.05,35.876643,33.090107,-13.44
2001-01-30,9313132,252175,0.03,0.05,35.898159,33.109953,-12.88
2001-01-31,9184781,252175,0.03,0.05,35.914245,33.124789,-14.08
2001-02-01,9252139,252175,0.03,0.05,35.932909,33.142003,-13.45
2001-02-02,9045506,252175,0.03,0.05,35.942988,33.1513,-15.38
2001-02-05,9063712,252175,0.03,0.05,35.953708,33.161187,-15.21
2001-02-06,9207536,252175,0.03,0.05,35.970166,33.176367,-13.87
2001-02-07,9230290,252175,0.03,0.05,35.987385,33.192248,-13.65
2001-02-08,9091930,252175,0.03,0.05,35.99881,33.202786,-14.95
2001-02-09,8975415,252175,0.03,0.05,36.005385,33.20885,-16.04
2001-02-12,9175674,252175,0.03,0.05,36.020034,33.222362,-14.16
2001-02-13,9089198,252175,0.03,0.05,36.031023,33.232497,-14.97
2001-02-14,9184781,252175,0.03,0.05,36.045787,33.246114,-14.08
2001-02-15,9230290,252175,0.03,0.05,36.062253,33.261302,-13.65
2001-02-16,9030944,252175,0.03,0.05,36.070454,33.268866,-15.52
2001-02-20,8926258,252175,0.03,0.05,36.074319,33.27243,-16.5
2001-02-21,8770596,252175,0.03,0.05,36.071819,33.270125,-17.95
2001-02-22,8647716,252175,0.03,0.05,36.06435,33.263236,-19.1
2001-02-23,8665921,252175,0.03,0.05,36.057695,33.257098,-18.93
2001-02-26,8857076,252175,0.03,0.05,36.058876,33.258186,-17.15
2001-02-27,8697780,252175,0.03,0.05,36.05357,33.253293,-18.64
2001-02-28,8570340,252175,0.03,0.05,36.043138,33.243671,-19.83
2001-03-01,8629506,252175,0.03,0.05,36.035214,33.236362,-19.27
2001-03-02,8652264,252175,0.03,0.05,36.028294,33.22998,-19.06
2001-03-05,8620404,252175,0.03,0.05,36.020148,33.222467,-19.36
2001-03-06,8747845,252175,0.03,0.05,36.017262,33.219805,-18.17
2001-03-07,8793356,252175,0.03,0.05,36.016255,33.218876,-17.74
2001-03-08,8720534,252175,0.03,0.05,36.012298,33.215227,-18.42
2001-03-09,8565835,252175,0.03,0.05,36.002094,33.205815,-19.87
2001-03-12,8323212,252175,0.03,0.05,35.98213,33.187402,-22.14
2001-03-13,8348259,0,0.03,0.05,35.965887,33.17242,-21.9
2001-03-14,8348259,0,0.03,0.05,35.94165,33.150065,-21.9
2001-03-15,8348259,0,0.03,0.05,35.916356,33.126736,-21.9
2001-03-16,8348259,0,0.03,0.05,35.885198,33.097998,-21.9
2001-03-19,8348259,0,0.03,0.05,35.862876,33.07741,-21.9
2001-03-20,8348259,0,0.03,0.05,35.832991,33.049846,-21.9
2001-03-21,8348259,0,0.03,0.05,35.798399,33.017941,-21.9
2001-03-22,8348259,0,0.03,0.05,35.761,32.983447,-21.9
2001-03-23,8348259,0,0.03,0.05,35.732314,32.956989,-21.9
2001-03-26,8348259,0,0.03,0.05,35.708363,32.934898,-21.9
2001-03-27,8348259,0,0.03,0.05,35.687318,32.915488,-21.9
2001-03-28,8348259,0,0.03,0.05,35.657512,32.887997,-21.9
2001-03-29,8348259,0,0.03,0.05,35.628559,32.861292,-21.9
2001-03-30,8348259,0,0.03,0.05,35.606195,32.840665,-21.9
2001-04-02,8348259,0,0.03,0.05,35.57627,32.813064,-21.9
2001-04-03,8348259,0,0.03,0.05,35.535632,32.775583,-21.9
2001-04-04,8348259,0,0.03,0.05,35.496399,32.739397,-21.9
2001-04-05,8348259,0,0.03,0.05,35.472756,32.71759,-21.9
2001-04-06,8348259,0,0.03,0.05,35.44008,32.687453,-21.9
2001-04-09,8348259,0,0.03,0.05,35.414773,32.664111,-21.9
2001-04-10,8348259,0,0.03,0.05,35.397503,32.648182,-21.9
2001-04-11,8348259,0,0.03,0.05,35.37818,32.63036,-21.9
2001-04-12,8348259,0,0.03,0.05,35.363127,32.616476,-21.9
2001-04-16,8348259,0,0.03,0.05,35.342144,32.597123,-21.9
