entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
2000-06-05,2000-10-13,36.661053,33.026452,272769,-991407,-0.0991,0.03,3,0,130
2001-01-29,2001-03-13,35.984673,33.104911,250345,-720934,-0.08,0.03,3,0,43
2001-05-22,2001-09-07,37.439929,32.292579,221358,-1139407,-0.1375,0.03,3,0,108
2001-12-28,2002-06-14,35.997061,32.739703,198578,-646840,-0.0905,0.03,3,0,168
2003-05-08,2004-08-09,30.228668,38.907115,215074,1866508,0.2871,0.03,3,0,459
2004-09-15,2007-08-06,42.8482,58.609872,195292,3078128,0.3678,0.03,3,0,1055
2007-10-05,2007-11-20,65.241791,58.037713,175440,-1263883,-0.1104,0.03,3,0,46
2009-06-08,2009-07-09,42.173941,38.475085,241432,-893022,-0.0877,0.03,3,0,31
2009-07-24,2010-07-06,43.419732,49.084244,213938,1211854,0.1305,0.03,3,0,347
2010-07-29,2010-08-25,53.314737,47.697051,196962,-1106471,-0.1054,0.03,3,0,27
2010-09-23,2011-08-05,52.993207,60.017329,177277,1245215,0.1325,0.03,3,0,316
2012-01-17,2014-10-10,63.874161,90.962168,166573,4512131,0.4241,0.03,3,0,997
2014-11-05,2015-08-25,100.939991,99.167918,150107,-266001,-0.0176,0.03,3,0,293
2016-06-03,2018-10-24,102.925556,137.662647,144627,5023921,0.3375,0.03,3,0,873
2019-02-25,2020-02-28,145.974389,133.89747,136392,-1647195,-0.0827,0.03,3,0,368
2020-08-04,2022-01-20,139.934074,194.383069,130508,7106030,0.3891,0.03,3,0,534
2023-02-06,2023-03-14,188.982499,171.481531,134237,-2349277,-0.0926,0.03,3,0,36
2023-06-16,2023-10-04,182.719386,166.031906,125981,-2102305,-0.0913,0.03,3,0,110
2023-12-13,2025-03-05,182.746756,203.54167,114459,2380165,0.1138,0.03,3,0,448
