Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1999-03-10,10000000,0,44.366571,40.920624,0.03,0.05,0.0
1999-03-11,10000000,0,44.368733,40.922617,0.03,0.05,0.0
1999-03-12,10000000,0,44.360066,40.914624,0.03,0.05,0.0
1999-03-15,10000000,0,44.363913,40.918172,0.03,0.05,0.0
1999-03-16,10000000,0,44.371504,40.925174,0.03,0.05,0.0
1999-03-17,10000000,0,44.375778,40.929115,0.03,0.05,0.0
1999-03-18,10000000,0,44.388654,40.940992,0.03,0.05,0.0
1999-03-19,10000000,0,44.389785,40.942035,0.03,0.05,0.0
1999-03-22,10000000,0,44.385502,40.938084,0.03,0.05,0.0
1999-03-23,10000000,0,44.365861,40.919969,0.03,0.05,0.0
1999-03-24,10000000,0,44.360735,40.915241,0.03,0.05,0.0
1999-03-25,10000000,0,44.3716,40.925262,0.03,0.05,0.0
1999-03-26,10000000,0,44.377493,40.930698,0.03,0.05,0.0
1999-03-29,10000000,0,44.399538,40.951031,0.03,0.05,0.0
1999-03-30,10000000,0,44.418122,40.968171,0.03,0.05,0.0
1999-03-31,10000000,0,44.429767,40.978911,0.03,0.05,0.0
1999-04-01,10000000,0,44.450752,40.998266,0.03,0.05,0.0
1999-04-05,10000000,0,44.488278,41.032878,0.03,0.05,0.0
1999-04-06,10000000,0,44.526377,41.068018,0.03,0.05,0.0
1999-04-07,10000000,0,44.559099,41.098198,0.03,0.05,0.0
1999-04-08,10066501,215136,44.595277,41.131566,0.03,0.05,0.0
1999-04-09,10128883,215136,44.634067,41.167344,0.03,0.05,0.0
1999-04-12,10060825,215136,44.669229,41.199775,0.03,0.05,-0.67
1999-04-13,9924716,215136,44.697558,41.225903,0.03,0.05,-2.02
1999-04-14,9584439,215136,44.709394,41.236819,0.03,0.05,-5.38
1999-04-15,9714882,215136,44.727326,41.253359,0.03,0.05,-4.09
1999-04-16,9431316,215136,44.731571,41.257275,0.03,0.05,-6.89
1999-04-19,8988961,215136,44.714701,41.241715,0.03,0.05,-11.25
1999-04-20,9193126,215136,44.707725,41.235281,0.03,0.05,-9.24
1999-04-21,9646823,215136,44.722432,41.248845,0.03,0.05,-4.76
1999-04-22,9907702,215136,44.74942,41.273737,0.03,0.05,-2.18
1999-04-23,10038144,215136,44.782354,41.304113,0.03,0.05,-0.9
1999-04-26,10269243,215136,44.82597,41.344341,0.03,0.05,0.0
1999-04-27,10111868,215136,44.861654,41.377254,0.03,0.05,-1.53
1999-04-28,9765921,215136,44.880503,41.394638,0.03,0.05,-4.9
1999-04-29,9686525,215136,44.895382,41.408362,0.03,0.05,-5.67
1999-04-30,9748906,215136,44.913084,41.424689,0.03,0.05,-5.07
1999-05-03,9697865,215136,44.928179,41.438612,0.03,0.05,-5.56
1999-05-04,9544739,215136,44.935829,41.445668,0.03,0.05,-7.06
1999-05-05,9833978,215136,44.957182,41.465362,0.03,0.05,-4.24
1999-05-06,9476685,215136,44.961302,41.469162,0.03,0.05,-7.72
1999-05-07,9612797,215136,44.971864,41.478904,0.03,0.05,-6.39
1999-05-10,9709210,215136,44.986915,41.492786,0.03,0.05,-5.45
1999-05-11,9862333,215136,45.00911,41.513257,0.03,0.05,-3.96
1999-05-12,10066501,215136,45.040811,41.542496,0.03,0.05,-1.97
1999-05-13,9879344,215136,45.06328,41.56322,0.03,0.05,-3.8
1999-05-14,9692194,215136,45.076611,41.575515,0.03,0.05,-5.62
1999-05-17,9866585,215136,45.098116,41.59535,0.03,0.05,-3.92
1999-05-18,9822633,215136,45.117314,41.613056,0.03,0.05,-4.35
1999-05-19,9958743,215136,45.142804,41.636567,0.03,0.05,-3.02
1999-05-20,9685105,215136,45.155006,41.647821,0.03,0.05,-5.69
1999-05-21,9595784,215136,45.162831,41.655038,0.03,0.05,-6.56
1999-05-24,9351921,215136,45.15896,41.651468,0.03,0.05,-8.93
1999-05-25,9045672,215136,45.140539,41.634478,0.03,0.05,-11.91
1999-05-26,9298041,215136,45.134324,41.628745,0.03,0.05,-9.46
1999-05-27,9289533,215136,45.127765,41.622696,0.03,0.05,-9.54
1999-05-28,9442661,215136,45.128566,41.623435,0.03,0.05,-8.05
1999-06-01,9232821,215136,45.119363,41.614947,0.03,0.05,-10.09
1999-06-02,9388782,215136,45.117682,41.613396,0.03,0.05,-8.57
1999-06-03,9255509,215136,45.109668,41.606004,0.03,0.05,-9.87
1999-06-04,9539071,215136,45.115242,41.611145,0.03,0.05,-7.11
1999-06-07,9737563,215136,45.130216,41.624957,0.03,0.05,-5.18
1999-06-08,9493698,215136,45.133425,41.627916,0.03,0.05,-7.55
1999-06-09,9652491,215136,45.144166,41.637823,0.03,0.05,-6.01
1999-06-10,9541908,215136,45.149532,41.642772,0.03,0.05,-7.08
1999-06-11,9397288,215136,45.147955,41.641318,0.03,0.05,-8.49
1999-06-14,9220064,215136,45.137951,41.632091,0.03,0.05,-10.22
1999-06-15,9357592,215136,45.134598,41.628999,0.03,0.05,-8.88
1999-06-16,9838233,215136,45.154176,41.647056,0.03,0.05,-4.2
1999-06-17,9947402,215136,45.17876,41.66973,0.03,0.05,-3.13
1999-06-18,9992772,215136,45.20526,41.694172,0.03,0.05,-2.69
1999-06-21,10291926,215136,45.245748,41.731515,0.03,0.05,0.0
1999-06-22,9981430,215136,45.271042,41.754844,0.03,0.05,-3.02
1999-06-23,10138811,215136,45.303581,41.784856,0.03,0.05,-1.49
1999-06-24,9937474,215136,45.326205,41.805723,0.03,0.05,-3.44
1999-06-25,9924716,215136,45.347996,41.825822,0.03,0.05,-3.57
1999-06-28,10160069,215136,45.380782,41.856061,0.03,0.05,-1.28
1999-06-29,10299019,215136,45.419862,41.892105,0.03,0.05,0.0
1999-06-30,10457814,215136,45.466117,41.934768,0.03,0.05,0.0
1999-07-01,10528704,215136,45.515289,41.980121,0.03,0.05,0.0
1999-07-02,10661982,215136,45.570321,42.030878,0.03,0.05,0.0
1999-07-06,10593925,215136,45.621563,42.078141,0.03,0.05,-0.64
1999-07-07,10610936,215136,45.673106,42.12568,0.03,0.05,-0.48
1999-07-08,10752722,215136,45.73089,42.178976,0.03,0.05,0.0
1999-07-09,10860473,215136,45.793233,42.236477,0.03,0.05,0.0
1999-07-12,10803760,215136,45.852253,42.290913,0.03,0.05,-0.52
1999-07-13,10752722,215136,45.908255,42.342565,0.03,0.05,-0.99
1999-07-14,10935616,215136,45.972412,42.40174,0.03,0.05,0.0
1999-07-15,11036282,215136,46.040727,42.464748,0.03,0.05,0.0
1999-07-16,11138363,215136,46.113225,42.531615,0.03,0.05,0.0
1999-07-19,11024941,215136,46.179598,42.592833,0.03,0.05,-1.02
1999-07-20,10599594,215136,46.225048,42.634753,0.03,0.05,-4.84
1999-07-21,10650640,215136,46.272477,42.678498,0.03,0.05,-4.38
