이평기간,매수버퍼존,매도버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,Calmar,거래수,승률,최종자본
200,0.03,0.05,3,0,1558.03,10.99,-36.49,0.301,14,71.43,165802626
200,0.01,0.05,5,8,1653.65,11.22,-38.34,0.2926,14,64.29,175365264
200,0.01,0.05,2,8,1596.56,11.08,-37.94,0.292,15,66.67,169655852
200,0.01,0.05,5,4,1640.58,11.19,-38.34,0.2918,14,64.29,174058168
200,0.01,0.05,5,12,1636.73,11.18,-38.34,0.2915,14,64.29,173672756
200,0.01,0.05,3,8,1781.47,11.51,-39.64,0.2903,14,71.43,188146835
200,0.01,0.05,2,12,1521.13,10.89,-37.94,0.2871,15,60.0,162113241
200,0.01,0.05,3,12,1713.56,11.36,-39.64,0.2864,14,64.29,181356471
150,0.03,0.05,5,0,1596.36,11.08,-39.47,0.2807,15,73.33,169636203
200,0.01,0.05,3,4,1598.26,11.08,-39.64,0.2796,15,66.67,169826470
200,0.01,0.05,2,4,1303.23,10.3,-37.94,0.2715,17,58.82,140322752
200,0.03,0.05,2,4,1439.34,10.68,-39.56,0.27,14,64.29,153934369
200,0.03,0.05,2,8,1429.35,10.65,-39.56,0.2693,14,64.29,152935027
200,0.03,0.05,3,4,1329.94,10.38,-38.63,0.2686,14,64.29,142993859
150,0.05,0.05,2,0,1422.31,10.63,-39.7,0.2679,15,66.67,152231182
200,0.03,0.05,5,4,1328.25,10.37,-38.73,0.2678,14,64.29,142824759
200,0.05,0.05,2,0,1277.29,10.22,-38.28,0.2671,14,64.29,137729262
150,0.03,0.05,3,0,1825.34,11.6,-43.46,0.267,15,73.33,192533937
200,0.03,0.05,3,8,1303.5,10.3,-38.63,0.2667,14,64.29,140350462
200,0.03,0.05,5,8,1286.81,10.25,-38.73,0.2647,14,64.29,138681105
200,0.01,0.05,5,0,1275.03,10.22,-38.62,0.2645,17,58.82,137503255
200,0.03,0.05,2,12,1304.12,10.3,-39.56,0.2605,14,64.29,140412310
150,0.01,0.05,5,8,1726.38,11.38,-43.78,0.26,16,68.75,182638398
200,0.05,0.05,5,4,1148.04,9.82,-37.8,0.2598,13,69.23,124804238
150,0.01,0.05,5,4,1751.64,11.44,-44.16,0.2591,16,68.75,185163898
200,0.03,0.05,5,0,1292.25,10.27,-39.96,0.257,14,64.29,139225281
200,0.03,0.05,5,12,1244.0,10.12,-39.69,0.2551,14,64.29,134400318
150,0.01,0.05,5,12,1630.97,11.16,-43.78,0.255,16,62.5,173097192
200,0.05,0.05,5,8,1076.18,9.58,-37.8,0.2535,13,69.23,117618213
200,0.05,0.05,3,4,1179.42,9.92,-39.16,0.2534,13,69.23,127942391
200,0.03,0.05,3,12,1221.86,10.06,-40.0,0.2514,14,64.29,132186476
150,0.03,0.05,5,4,1385.9,10.53,-42.11,0.2502,15,66.67,148590420
150,0.03,0.05,2,0,1750.73,11.44,-45.94,0.249,16,68.75,185072978
200,0.05,0.05,3,8,1123.37,9.74,-39.16,0.2487,13,69.23,122336557
200,0.05,0.05,2,8,1197.58,9.98,-40.28,0.2478,13,69.23,129758388
200,0.05,0.05,5,0,1171.16,9.9,-40.31,0.2455,13,69.23,127116226
200,0.05,0.05,3,0,1133.56,9.77,-39.83,0.2454,14,64.29,123355744
200,0.01,0.03,3,8,1198.26,9.98,-40.92,0.244,21,57.14,129825799
150,0.03,0.05,5,8,1291.35,10.27,-42.11,0.2438,15,66.67,139134633
200,0.05,0.05,2,12,1145.68,9.81,-40.28,0.2436,13,69.23,124568071
150,0.03,0.05,5,12,1287.62,10.25,-42.11,0.2435,15,66.67,138761632
150,0.05,0.05,3,8,1109.53,9.69,-39.9,0.2429,14,71.43,120952565
200,0.03,0.03,3,0,1000.07,9.31,-38.53,0.2416,21,57.14,110006512
150,0.03,0.05,3,4,1563.48,11.0,-45.55,0.2415,15,66.67,166348179
100,0.01,0.05,0,4,1586.31,11.05,-45.78,0.2415,25,48.0,168631416
150,0.05,0.05,3,4,1098.24,9.66,-40.06,0.2411,15,66.67,119823510
150,0.05,0.05,5,0,1125.54,9.75,-40.46,0.2409,15,66.67,122553556
150,0.05,0.05,3,0,1167.15,9.88,-41.03,0.2409,15,66.67,126715223
150,0.01,0.05,3,8,1764.42,11.47,-47.62,0.2408,17,64.71,186441635
150,0.05,0.05,3,12,1083.96,9.61,-39.9,0.2407,14,71.43,118396472
150,0.01,0.05,5,0,1741.72,11.42,-47.55,0.2402,17,64.71,184171704
200,0.05,0.05,3,12,1057.26,9.51,-39.64,0.24,13,69.23,115725807
200,0.05,0.05,5,12,1017.58,9.37,-39.07,0.2399,13,69.23,111757778
150,0.01,0.05,3,12,1721.21,11.37,-47.62,0.2388,17,64.71,182121374
100,0.01,0.05,0,8,1520.78,10.89,-45.78,0.2379,25,48.0,162078151
200,0.01,0.03,3,4,1118.47,9.72,-40.92,0.2376,22,54.55,121846692
150,0.05,0.05,2,8,1221.65,10.06,-42.34,0.2375,14,71.43,132165243
150,0.05,0.05,2,4,1217.78,10.04,-42.34,0.2372,15,66.67,131778281
200,0.01,0.03,3,0,1094.33,9.64,-40.77,0.2365,25,52.0,119433248
150,0.05,0.05,2,12,1207.52,10.01,-42.34,0.2365,14,71.43,130752194
200,0.01,0.05,3,0,1364.51,10.48,-44.48,0.2355,18,55.56,146450869
200,0.01,0.03,5,12,1093.3,9.64,-41.12,0.2344,21,57.14,119329792
200,0.05,0.05,2,4,1109.71,9.69,-41.56,0.2333,14,64.29,120970858
150,0.01,0.05,3,4,1599.4,11.09,-47.62,0.2328,18,61.11,169939780
100,0.01,0.05,0,12,1427.93,10.65,-45.78,0.2326,25,48.0,152793130
150,0.03,0.05,2,4,1554.33,10.98,-47.21,0.2325,16,62.5,165432939
150,0.03,0.05,3,8,1398.29,10.57,-45.55,0.232,15,66.67,149829432
200,0.01,0.03,5,8,1101.76,9.67,-41.7,0.2319,21,57.14,120175610
200,0.01,0.03,5,4,1097.44,9.65,-41.7,0.2315,21,57.14,119743540
150,0.03,0.05,3,12,1373.6,10.5,-45.55,0.2305,15,66.67,147360437
200,0.05,0.03,5,4,846.3,8.7,-38.15,0.228,16,68.75,94629819
150,0.03,0.05,2,8,1433.29,10.66,-47.21,0.2259,16,62.5,153329252
200,0.01,0.03,2,12,985.14,9.25,-41.14,0.2249,22,54.55,108513929
200,0.01,0.05,0,0,1354.89,10.45,-46.53,0.2246,22,45.45,145488551
150,0.03,0.05,2,12,1376.03,10.51,-47.21,0.2225,16,62.5,147603274
200,0.05,0.03,5,8,784.05,8.42,-38.15,0.2208,16,68.75,88405035
200,0.05,0.03,5,12,771.36,8.37,-38.15,0.2193,16,68.75,87136106
200,0.03,0.05,0,4,1433.38,10.66,-48.98,0.2177,15,60.0,153338296
200,0.05,0.03,3,4,834.9,8.65,-39.75,0.2176,17,64.71,93489851
200,0.03,0.05,0,8,1410.29,10.6,-48.98,0.2165,15,60.0,151028627
200,0.05,0.03,3,8,822.14,8.59,-39.75,0.2162,16,68.75,92213864
150,0.01,0.05,2,8,1596.27,11.08,-51.58,0.2148,18,61.11,169627359
150,0.01,0.05,2,12,1546.97,10.96,-51.18,0.2141,18,61.11,164696563
150,0.05,0.05,5,8,1012.07,9.35,-43.69,0.214,14,71.43,111207092
200,0.05,0.03,3,12,800.26,8.5,-39.75,0.2138,16,68.75,90025596
150,0.05,0.05,5,12,1004.28,9.32,-43.69,0.2134,14,71.43,110427928
200,0.03,0.05,0,12,1353.82,10.45,-48.98,0.2133,15,60.0,145381998
200,0.01,0.03,3,12,1049.68,9.49,-44.92,0.2112,21,57.14,114968286
150,0.05,0.05,5,4,981.64,9.24,-44.28,0.2087,15,66.67,108163980
200,0.01,0.03,5,0,966.63,9.18,-44.62,0.2058,24,50.0,106662521
200,0.05,0.03,2,12,768.32,8.35,-40.62,0.2056,17,64.71,86832258
200,0.01,0.05,2,0,1218.92,10.05,-48.92,0.2054,19,52.63,131891923
200,0.05,0.05,0,0,1203.16,10.0,-48.69,0.2054,15,60.0,130316173
150,0.01,0.05,2,4,1402.32,10.58,-51.58,0.2051,19,57.89,150232008
200,0.03,0.05,2,0,1190.28,9.96,-48.59,0.2049,16,62.5,129027850
100,0.03,0.05,0,0,1277.64,10.22,-50.36,0.203,24,50.0,137764275
200,0.01,0.05,0,8,1307.9,10.31,-51.24,0.2013,18,55.56,140789914
100,0.01,0.01,0,8,560.52,7.26,-36.12,0.201,61,50.82,66052415
100,0.01,0.05,5,0,1278.9,10.23,-50.9,0.2009,23,52.17,137889632
200,0.01,0.05,0,12,1300.05,10.29,-51.24,0.2008,18,55.56,140004945
100,0.01,0.05,0,0,1385.56,10.53,-52.47,0.2007,29,41.38,148555774
200,0.01,0.03,2,8,953.13,9.13,-45.66,0.2,22,54.55,105312787
200,0.05,0.05,0,4,1114.98,9.71,-48.69,0.1995,15,60.0,121498212
200,0.03,0.01,3,0,771.1,8.37,-41.95,0.1994,27,40.74,87110155
150,0.03,0.03,5,0,928.28,9.03,-45.47,0.1987,22,54.55,102827714
200,0.03,0.05,0,0,1131.05,9.77,-49.18,0.1985,18,55.56,123105214
100,0.01,0.03,0,4,790.35,8.45,-42.65,0.1982,41,41.46,89035183
200,0.03,0.03,2,8,914.4,8.98,-45.37,0.1979,20,60.0,101439955
200,0.01,0.05,0,4,1243.85,10.12,-51.24,0.1976,19,52.63,134384921
200,0.03,0.03,2,4,910.0,8.96,-45.37,0.1975,21,57.14,100999788
100,0.01,0.01,0,4,539.73,7.13,-36.12,0.1974,66,50.0,63973109
200,0.03,0.03,0,8,1092.14,9.63,-48.82,0.1973,21,57.14,119213990
150,0.03,0.03,5,4,1054.37,9.5,-48.28,0.1968,19,57.89,115437073
150,0.05,0.05,0,0,1353.2,10.44,-53.09,0.1967,17,58.82,145320487
200,0.05,0.05,0,8,1074.14,9.57,-48.69,0.1966,15,60.0,117413649
200,0.03,0.03,3,4,830.01,8.63,-44.05,0.1959,21,57.14,93001288
200,0.03,0.03,2,12,845.72,8.7,-44.53,0.1953,20,55.0,94572315
200,0.03,0.03,3,8,823.95,8.6,-44.05,0.1953,20,60.0,92394948
150,0.03,0.01,5,0,585.95,7.41,-38.11,0.1944,32,40.62,68595196
200,0.03,0.03,0,12,1047.57,9.48,-48.82,0.1942,21,57.14,114756653
200,0.03,0.03,0,4,1045.44,9.47,-48.82,0.194,22,54.55,114544157
200,0.03,0.03,5,8,883.07,8.85,-45.81,0.1933,19,57.89,98306988
200,0.03,0.03,3,12,778.85,8.4,-43.5,0.1931,20,55.0,87884659
100,0.01,0.03,0,12,739.81,8.22,-42.65,0.1927,39,43.59,83981200
200,0.01,0.03,0,0,910.53,8.96,-46.81,0.1915,34,38.24,101052888
200,0.05,0.03,0,12,777.96,8.4,-43.85,0.1915,20,55.0,87796184
200,0.05,0.05,0,12,1044.72,9.47,-49.46,0.1914,15,60.0,114472326
200,0.05,0.03,5,0,807.8,8.53,-44.61,0.1913,17,64.71,90779692
200,0.05,0.03,3,0,801.66,8.5,-44.55,0.1909,19,57.89,90166308
100,0.01,0.05,2,12,1294.8,10.28,-53.87,0.1907,22,54.55,139480179
200,0.03,0.03,5,12,852.72,8.73,-45.81,0.1905,19,57.89,95272399
200,0.03,0.03,5,4,851.78,8.72,-45.81,0.1904,20,55.0,95178251
100,0.01,0.03,5,4,738.89,8.21,-43.27,0.1898,33,51.52,83888692
200,0.03,0.03,5,0,809.2,8.54,-45.13,0.1892,21,57.14,90919668
200,0.01,0.03,2,4,830.92,8.63,-45.66,0.1891,24,50.0,93092150
150,0.05,0.01,2,0,586.81,7.41,-39.23,0.189,28,46.43,68680525
100,0.01,0.05,2,4,1186.33,9.94,-52.65,0.1889,23,52.17,128632658
100,0.03,0.05,0,4,1269.61,10.2,-54.11,0.1885,22,54.55,136961193
