entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-04-08,2000-05-11,46.482166,69.595291,215136,4972465,0.4972,0.03,3,399
2000-06-07,2000-10-04,77.470269,70.226077,193267,-1400063,-0.0935,0.03,3,119
2003-05-02,2004-08-09,23.360595,27.604997,580995,2465976,0.1817,0.03,3,465
2004-10-07,2005-04-18,30.928275,29.483259,518566,-749336,-0.0467,0.03,3,193
2005-05-26,2006-06-12,32.455018,32.578919,471084,58368,0.0038,0.03,3,382
2006-09-29,2008-01-17,35.135375,39.650933,436807,1972428,0.1285,0.03,3,475
2008-05-07,2008-07-03,42.251727,38.627529,409920,-1485631,-0.0858,0.03,3,57
2009-06-04,2011-08-09,31.575061,45.012821,501478,6738741,0.4256,0.03,3,796
2011-10-17,2015-08-25,51.163439,94.014352,441192,18905480,0.8375,0.03,3,1408
2015-10-28,2016-01-14,105.195071,94.743944,394300,-4120880,-0.0993,0.03,3,78
2016-04-05,2018-11-21,101.941946,153.323783,366459,18829336,0.504,0.03,3,960
2019-02-28,2020-03-13,165.904705,179.742131,338669,4686307,0.0834,0.03,3,379
2020-04-20,2022-01-26,206.675473,342.659314,294535,40052001,0.658,0.03,3,646
2023-03-22,2025-04-04,305.776981,434.721333,330061,42559502,0.4217,0.03,3,744
