window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,100,0.03,0.01,5,9.82,-35.67,0.2754,6,33.33,2.66,-8.39,0.3167,2,0.0,1.15,0.2706
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,100,0.03,0.01,5,7.89,-35.67,0.2211,8,25.0,-7.06,-19.99,-0.3531,3,0.0,-1.597,-0.895
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,100,0.03,0.01,5,4.25,-35.67,0.1192,12,25.0,27.38,-10.39,2.6361,2,100.0,22.1191,6.4399
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,100,0.03,0.01,5,7.91,-35.67,0.2216,14,35.71,-7.57,-17.53,-0.4321,5,20.0,-1.9501,-0.9581
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,200,0.03,0.05,3,4.66,-30.26,0.154,7,71.43,26.05,-8.25,3.1582,0,0.0,20.5112,5.5918
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,200,0.03,0.05,3,7.56,-30.26,0.2499,7,71.43,-0.13,-26.43,-0.0048,2,0.0,-0.0194,-0.0169
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,200,0.03,0.05,3,6.61,-30.26,0.2186,9,66.67,-1.54,-15.29,-0.1008,1,0.0,-0.461,-0.233
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,200,0.03,0.05,3,7.06,-30.26,0.2335,10,70.0,24.12,-25.17,0.9581,1,100.0,4.1032,3.4141
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,200,0.03,0.05,3,8.56,-30.26,0.283,11,72.73,-1.8,-5.82,-0.3086,0,0.0,-1.0904,-0.2097
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,200,0.03,0.05,3,8.18,-30.26,0.2702,12,75.0,29.02,-13.56,2.1402,0,0.0,7.9193,3.5486
10,1999-03-10,2025-02-28,2025-03-01,2026-08-21,200,0.03,0.05,3,9.93,-30.26,0.3281,12,75.0,13.26,-11.29,1.1753,1,100.0,3.5825,1.3363
