Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2005-03-01,10000000.0,0,0.01,0.05,32.421172,30.495162
2005-03-02,10000000.0,0,0.01,0.05,32.421,30.495
2005-03-03,10000000.0,0,0.01,0.05,32.418173,30.492341
2005-03-04,10000000.0,0,0.01,0.05,32.41726,30.491482
2005-03-07,10000000.0,0,0.01,0.05,32.420985,30.494986
2005-03-08,10000000.0,0,0.01,0.05,32.421416,30.495391
2005-03-09,10000000.0,0,0.01,0.05,32.420899,30.494905
2005-03-10,10000000.0,0,0.01,0.05,32.419959,30.494021
2005-03-11,10000000.0,0,0.01,0.05,32.416027,30.490323
2005-03-14,10000000.0,0,0.01,0.05,32.413593,30.488033
2005-03-15,10000000.0,0,0.01,0.05,32.40861,30.483346
2005-03-16,10000000.0,0,0.01,0.05,32.400077,30.47532
2005-03-17,10000000.0,0,0.01,0.05,32.3924,30.468099
2005-03-18,10000000.0,0,0.01,0.05,32.383084,30.459337
2005-03-21,10000000.0,0,0.01,0.05,32.374462,30.451226
2005-03-22,10000000.0,0,0.01,0.05,32.362067,30.439568
2005-03-23,10000000.0,0,0.01,0.05,32.350911,30.429074
2005-03-24,10000000.0,0,0.01,0.05,32.339951,30.418766
2005-03-28,10000000.0,0,0.01,0.05,32.3297,30.409124
2005-03-29,10000000.0,0,0.01,0.05,32.317065,30.397239
2005-03-30,10000000.0,0,0.01,0.05,32.310385,30.390957
2005-03-31,10000000.0,0,0.01,0.05,32.302401,30.383446
2005-04-01,10000000.0,0,0.01,0.05,32.291323,30.373027
2005-04-04,10000000.0,0,0.01,0.05,32.282585,30.364808
2005-04-05,10000000.0,0,0.01,0.05,32.274791,30.357477
2005-04-06,10000000.0,0,0.01,0.05,32.26656,30.349735
2005-04-07,10000000.0,0,0.01,0.05,32.262183,30.345618
2005-04-08,10000000.0,0,0.01,0.05,32.255278,30.339123
2005-04-11,10000000.0,0,0.01,0.05,32.24707,30.331403
2005-04-12,10000000.0,0,0.01,0.05,32.240487,30.32521
2005-04-13,10000000.0,0,0.01,0.05,32.228825,30.314242
2005-04-14,10000000.0,0,0.01,0.05,32.212908,30.29927
2005-04-15,10000000.0,0,0.01,0.05,32.190204,30.277915
2005-04-18,10000000.0,0,0.01,0.05,32.167813,30.256854
2005-04-19,10000000.0,0,0.01,0.05,32.147701,30.237937
2005-04-20,10000000.0,0,0.01,0.05,32.125304,30.21687
2005-04-21,10000000.0,0,0.01,0.05,32.111016,30.203431
2005-04-22,10000000.0,0,0.01,0.05,32.092327,30.185852
2005-04-25,10000000.0,0,0.01,0.05,32.076311,30.170787
2005-04-26,10000000.0,0,0.01,0.05,32.057624,30.153211
2005-04-27,10000000.0,0,0.01,0.05,32.039552,30.136212
2005-04-28,10000000.0,0,0.01,0.05,32.01866,30.116561
2005-04-29,10000000.0,0,0.01,0.05,31.999947,30.09896
2005-05-02,10000000.0,0,0.01,0.05,31.98262,30.082662
2005-05-03,10000000.0,0,0.01,0.05,31.967009,30.067979
2005-05-04,10000000.0,0,0.01,0.05,31.955239,30.056908
2005-05-05,10000000.0,0,0.01,0.05,31.943844,30.04619
2005-05-06,10000000.0,0,0.01,0.05,31.93342,30.036385
2005-05-09,10000000.0,0,0.01,0.05,31.924556,30.028048
2005-05-10,10000000.0,0,0.01,0.05,31.913552,30.017698
2005-05-11,10000000.0,0,0.01,0.05,31.904201,30.008902
2005-05-12,10000000.0,0,0.01,0.05,31.894085,29.999387
2005-05-13,10000000.0,0,0.01,0.05,31.887414,29.993112
2005-05-16,10000000.0,0,0.01,0.05,31.882866,29.988834
2005-05-17,10000000.0,0,0.01,0.05,31.880249,29.986373
2005-05-18,10000000.0,0,0.01,0.05,31.881946,29.987969
2005-05-19,10000000.0,0,0.01,0.05,31.886282,29.992048
2005-05-20,10000000.0,0,0.01,0.05,31.891862,29.997296
2005-05-23,10000000.0,0,0.01,0.05,31.899015,30.004024
2005-05-24,10025538.0,309523,0.01,0.05,31.907126,30.011653
2005-05-25,9983287.0,309523,0.01,0.05,31.913783,30.017915
2005-05-26,10083625.0,309523,0.01,0.05,31.923633,30.027179
2005-05-27,10088910.0,309523,0.01,0.05,31.933556,30.036513
2005-05-31,10054582.0,309523,0.01,0.05,31.942266,30.044705
2005-06-01,10136436.0,309523,0.01,0.05,31.953547,30.055316
2005-06-02,10207724.0,309523,0.01,0.05,31.96703,30.067998
2005-06-03,10059864.0,309523,0.01,0.05,31.975578,30.076039
2005-06-06,10062507.0,309523,0.01,0.05,31.984127,30.08408
2005-06-07,9978017.0,309523,0.01,0.05,31.989847,30.08946
2005-06-08,9956891.0,309523,0.01,0.05,31.994825,30.094143
2005-06-09,10020260.0,309523,0.01,0.05,32.001811,30.100713
2005-06-10,9914645.0,309523,0.01,0.05,32.005298,30.103993
2005-06-13,9962173.0,309523,0.01,0.05,32.010294,30.108692
2005-06-14,9922560.0,309523,0.01,0.05,32.013953,30.112134
2005-06-15,9954250.0,309523,0.01,0.05,32.018605,30.11651
2005-06-16,10007055.0,309523,0.01,0.05,32.024926,30.122455
2005-06-17,10008380.0,309523,0.01,0.05,32.031226,30.128381
2005-06-20,10008380.0,309523,0.01,0.05,32.037464,30.134248
2005-06-21,10003090.0,309523,0.01,0.05,32.043468,30.139896
2005-06-22,9992520.0,309523,0.01,0.05,32.049069,30.145164
2005-06-23,9881520.0,309523,0.01,0.05,32.05101,30.14699
2005-06-24,9770522.0,309523,0.01,0.05,32.049328,30.145408
2005-06-27,9725594.0,309523,0.01,0.05,32.046204,30.14247
2005-06-28,9818099.0,309523,0.01,0.05,32.046115,30.142385
2005-06-29,9796956.0,309523,0.01,0.05,32.04534,30.141657
2005-06-30,9720313.0,309523,0.01,0.05,32.042084,30.138594
2005-07-01,9707099.0,309523,0.01,0.05,32.038432,30.135159
2005-07-05,9807522.0,309523,0.01,0.05,32.038077,30.134824
2005-07-06,9759953.0,309523,0.01,0.05,32.03618,30.133041
2005-07-07,9794316.0,309523,0.01,0.05,32.035418,30.132324
2005-07-08,9981950.0,309523,0.01,0.05,32.040756,30.137345
2005-07-11,10074443.0,309523,0.01,0.05,32.049044,30.145141
2005-07-12,10122018.0,309523,0.01,0.05,32.058794,30.154312
2005-07-13,10145804.0,309523,0.01,0.05,32.06922,30.164118
2005-07-14,10246234.0,309523,0.01,0.05,32.082802,30.176893
2005-07-15,10277944.0,309523,0.01,0.05,32.097279,30.19051
2005-07-18,10235661.0,309523,0.01,0.05,32.110239,30.2027
2005-07-19,10354586.0,309523,0.01,0.05,32.126932,30.218401
2005-07-20,10428589.0,309523,0.01,0.05,32.145861,30.236206
2005-07-21,10431232.0,309523,0.01,0.05,32.164687,30.253914
2005-07-22,10418013.0,309523,0.01,0.05,32.182897,30.271042
2005-07-25,10378375.0,309523,0.01,0.05,32.199639,30.286789
2005-07-26,10418013.0,309523,0.01,0.05,32.217501,30.303591
2005-07-27,10497302.0,309523,0.01,0.05,32.23776,30.322646
2005-07-28,10547515.0,309523,0.01,0.05,32.259448,30.343045
2005-07-29,10460294.0,309523,0.01,0.05,32.278088,30.360578
2005-08-01,10478797.0,309523,0.01,0.05,32.297143,30.378501
2005-08-02,10592446.0,309523,0.01,0.05,32.319699,30.399717
2005-08-03,10587155.0,309523,0.01,0.05,32.341858,30.42056
2005-08-04,10484087.0,309523,0.01,0.05,32.360451,30.438048
2005-08-05,10433876.0,309523,0.01,0.05,32.377228,30.453828
2005-08-08,10357231.0,309523,0.01,0.05,32.391349,30.467111
2005-08-09,10425946.0,309523,0.01,0.05,32.407562,30.48236
2005-08-10,10336091.0,309523,0.01,0.05,32.420695,30.494713
2005-08-11,10420660.0,309523,0.01,0.05,32.436444,30.509526
2005-08-12,10362516.0,309523,0.01,0.05,32.450148,30.522416
2005-08-15,10425946.0,309523,0.01,0.05,32.465775,30.537115
