window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,100,0.03,0.01,5,9.82,-35.67,0.2754,6,33.33,2.66,-8.39,0.3167,2,0.0,1.15,0.2706
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,100,0.03,0.01,5,7.89,-35.67,0.2211,8,25.0,-7.06,-19.99,-0.3531,3,0.0,-1.597,-0.895
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,100,0.03,0.01,5,4.25,-35.67,0.1192,12,25.0,27.38,-10.39,2.6361,2,100.0,22.1191,6.4399
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,100,0.03,0.01,5,7.91,-35.67,0.2216,14,35.71,-7.57,-17.53,-0.4321,5,20.0,-1.9501,-0.9581
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,100,0.03,0.01,5,5.07,-35.67,0.1421,20,35.0,17.84,-8.22,2.1715,2,100.0,15.2779,3.5183
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,100,0.03,0.01,5,6.62,-35.67,0.1856,22,40.91,-3.69,-22.16,-0.1667,4,0.0,-0.8979,-0.5579
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,100,0.03,0.01,5,5.42,-35.67,0.152,26,38.46,4.14,-10.55,0.392,2,50.0,2.579,0.763
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,100,0.03,0.01,5,5.89,-35.67,0.1652,28,39.29,17.3,-17.92,0.9654,2,0.0,5.8425,2.9352
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,100,0.03,0.01,5,6.9,-35.67,0.1935,31,35.48,-5.75,-16.18,-0.3554,4,25.0,-1.8367,-0.833
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,100,0.03,0.01,5,5.66,-35.67,0.1586,36,36.11,4.22,-22.61,0.1866,5,60.0,1.1767,0.7457
10,1999-03-10,2025-02-28,2025-03-01,2026-08-21,100,0.03,0.01,5,5.79,-35.67,0.1623,41,39.02,11.81,-11.55,1.0222,2,100.0,6.2982,2.0389
