Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1999-03-10,10000000,0,44.317866,40.875701,0.03,0.05,0.0
1999-03-11,10000000,0,44.320024,40.877692,0.03,0.05,0.0
1999-03-12,10000000,0,44.311367,40.869707,0.03,0.05,0.0
1999-03-15,10000000,0,44.31521,40.873252,0.03,0.05,0.0
1999-03-16,10000000,0,44.322793,40.880246,0.03,0.05,0.0
1999-03-17,10000000,0,44.327062,40.884183,0.03,0.05,0.0
1999-03-18,10000000,0,44.339924,40.896047,0.03,0.05,0.0
1999-03-19,10000000,0,44.341054,40.897089,0.03,0.05,0.0
1999-03-22,10000000,0,44.336775,40.893142,0.03,0.05,0.0
1999-03-23,10000000,0,44.317156,40.875047,0.03,0.05,0.0
1999-03-24,10000000,0,44.312036,40.870324,0.03,0.05,0.0
1999-03-25,10000000,0,44.322889,40.880334,0.03,0.05,0.0
1999-03-26,10000000,0,44.328776,40.885764,0.03,0.05,0.0
1999-03-29,10000000,0,44.350797,40.906075,0.03,0.05,0.0
1999-03-30,10000000,0,44.369361,40.923197,0.03,0.05,0.0
1999-03-31,10000000,0,44.380993,40.933925,0.03,0.05,0.0
1999-04-01,10000000,0,44.401955,40.953259,0.03,0.05,0.0
1999-04-05,10000000,0,44.43944,40.987833,0.03,0.05,0.0
1999-04-06,10000000,0,44.477497,41.022934,0.03,0.05,0.0
1999-04-07,10000000,0,44.510183,41.053081,0.03,0.05,0.0
1999-04-08,10066501,215372,44.546322,41.086413,0.03,0.05,0.0
1999-04-09,10128886,215372,44.585069,41.122151,0.03,0.05,0.0
1999-04-12,10060826,215372,44.620193,41.154547,0.03,0.05,-0.67
1999-04-13,9924718,215372,44.64849,41.180646,0.03,0.05,-2.02
1999-04-14,9584449,215372,44.660313,41.191551,0.03,0.05,-5.38
1999-04-15,9714883,215372,44.678226,41.208072,0.03,0.05,-4.09
1999-04-16,9431321,215372,44.682466,41.211983,0.03,0.05,-6.89
1999-04-19,8988962,215372,44.665614,41.19644,0.03,0.05,-11.25
1999-04-20,9193127,215372,44.658646,41.190013,0.03,0.05,-9.24
1999-04-21,9646830,215372,44.673336,41.203563,0.03,0.05,-4.76
1999-04-22,9907705,215372,44.700295,41.228428,0.03,0.05,-2.18
1999-04-23,10038147,215372,44.733193,41.25877,0.03,0.05,-0.9
1999-04-26,10269250,215372,44.77676,41.298954,0.03,0.05,0.0
1999-04-27,10111871,215372,44.812405,41.33183,0.03,0.05,-1.53
1999-04-28,9765926,215372,44.831234,41.349196,0.03,0.05,-4.9
1999-04-29,9686529,215372,44.846096,41.362904,0.03,0.05,-5.67
1999-04-30,9748911,215372,44.863779,41.379214,0.03,0.05,-5.07
1999-05-03,9697869,215372,44.878858,41.393121,0.03,0.05,-5.56
1999-05-04,9544746,215372,44.8865,41.40017,0.03,0.05,-7.06
1999-05-05,9833979,215372,44.907829,41.419842,0.03,0.05,-4.24
1999-05-06,9476694,215372,44.911944,41.423638,0.03,0.05,-7.72
1999-05-07,9612801,215372,44.922495,41.433369,0.03,0.05,-6.39
1999-05-10,9709211,215372,44.937529,41.447235,0.03,0.05,-5.45
1999-05-11,9862339,215372,44.9597,41.467685,0.03,0.05,-3.96
1999-05-12,10066501,215372,44.991366,41.496891,0.03,0.05,-1.97
1999-05-13,9879350,215372,45.013811,41.517592,0.03,0.05,-3.8
1999-05-14,9692201,215372,45.027127,41.529874,0.03,0.05,-5.62
1999-05-17,9866587,215372,45.048608,41.549687,0.03,0.05,-3.92
1999-05-18,9822636,215372,45.067785,41.567374,0.03,0.05,-4.35
1999-05-19,9958749,215372,45.093247,41.590859,0.03,0.05,-3.02
1999-05-20,9685112,215372,45.105436,41.602101,0.03,0.05,-5.69
1999-05-21,9595787,215372,45.113252,41.60931,0.03,0.05,-6.56
1999-05-24,9351928,215372,45.109386,41.605744,0.03,0.05,-8.93
1999-05-25,9045679,215372,45.090985,41.588772,0.03,0.05,-11.91
1999-05-26,9298045,215372,45.084776,41.583046,0.03,0.05,-9.46
1999-05-27,9289540,215372,45.078225,41.577004,0.03,0.05,-9.54
1999-05-28,9442663,215372,45.079025,41.577742,0.03,0.05,-8.05
