entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-04-08,2000-05-11,46.48217,69.595254,215136,4972456,0.4972,0.03,3,399
2000-06-07,2000-10-04,77.470269,70.226048,193267,-1400069,-0.0935,0.03,3,119
2003-05-02,2004-08-09,23.360599,27.604996,580994,2465969,0.1817,0.03,3,465
2004-10-07,2005-04-18,30.928289,29.483283,518565,-749330,-0.0467,0.03,3,193
2005-05-26,2006-06-12,32.45501,32.578929,471083,58376,0.0038,0.03,3,382
2006-09-29,2008-01-17,35.135386,39.65091,436807,1972413,0.1285,0.03,3,475
2008-05-07,2008-07-03,42.251716,38.627537,409919,-1485620,-0.0858,0.03,3,57
2009-06-04,2011-08-09,31.575076,45.012828,501477,6738724,0.4256,0.03,3,796
2011-10-17,2015-08-25,51.163443,94.014384,441192,18905492,0.8375,0.03,3,1408
2015-10-28,2016-01-14,105.195071,94.743959,394299,-4120863,-0.0993,0.03,3,78
2016-04-05,2018-11-21,101.941939,153.323798,366459,18829344,0.504,0.03,3,960
2019-02-28,2020-03-13,165.904705,179.742102,338669,4686297,0.0834,0.03,3,379
