Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1993-11-11,10000000,0,25.781797,23.779328,0.03,0.05,0.0
1993-11-12,10000000,0,25.791695,23.788456,0.03,0.05,0.0
1993-11-15,10000000,0,25.800619,23.796687,0.03,0.05,0.0
1993-11-16,10000000,0,25.809908,23.805255,0.03,0.05,0.0
1993-11-17,10000000,0,25.817152,23.811937,0.03,0.05,0.0
1993-11-18,10000000,0,25.823507,23.817798,0.03,0.05,0.0
1993-11-19,10000000,0,25.829681,23.823492,0.03,0.05,0.0
1993-11-22,10000000,0,25.835045,23.828439,0.03,0.05,0.0
1993-11-23,10000000,0,25.842011,23.834865,0.03,0.05,0.0
1993-11-24,10000000,0,25.849341,23.841625,0.03,0.05,0.0
1993-11-26,10000000,0,25.856142,23.847898,0.03,0.05,0.0
1993-11-29,10000000,0,25.863375,23.85457,0.03,0.05,0.0
1993-11-30,9983554,385533,25.873878,23.864257,0.03,0.05,-0.16
1993-12-01,9997022,385533,25.884649,23.874191,0.03,0.05,-0.03
1993-12-02,10023950,385533,25.895869,23.884539,0.03,0.05,0.0
1993-12-03,10064343,385533,25.907186,23.894977,0.03,0.05,0.0
1993-12-06,10098005,385533,25.918511,23.905423,0.03,0.05,0.0
1993-12-07,10091271,385533,25.929834,23.915867,0.03,0.05,-0.07
1993-12-08,10091271,385533,25.939568,23.924844,0.03,0.05,-0.07
1993-12-09,10057607,385533,25.948587,23.933163,0.03,0.05,-0.4
1993-12-10,10037408,385533,25.95716,23.941069,0.03,0.05,-0.6
1993-12-13,10098005,385533,25.966895,23.950049,0.03,0.05,0.0
1993-12-14,10023950,385533,25.973786,23.956405,0.03,0.05,-0.73
1993-12-15,10010482,385533,25.979968,23.962106,0.03,0.05,-0.87
1993-12-16,10044143,385533,25.987305,23.968874,0.03,0.05,-0.53
1993-12-17,10099346,385533,25.995734,23.976647,0.03,0.05,0.0
1993-12-20,10112897,385533,26.001517,23.981981,0.03,0.05,0.0
1993-12-21,10079008,385533,26.007289,23.987305,0.03,0.05,-0.34
1993-12-22,10146794,385533,26.013701,23.993219,0.03,0.05,0.0
1993-12-23,10140010,385533,26.020376,23.999376,0.03,0.05,-0.07
1993-12-27,10194233,385533,26.029101,24.007423,0.03,0.05,0.0
1993-12-28,10214568,385533,26.037478,24.01515,0.03,0.05,0.0
1993-12-29,10201016,385533,26.045675,24.02271,0.03,0.05,-0.13
1993-12-30,10160347,385533,26.054123,24.030502,0.03,0.05,-0.53
1993-12-31,10106117,385533,26.061052,24.036893,0.03,0.05,-1.06
1994-01-03,10079008,385533,26.067813,24.043128,0.03,0.05,-1.33
1994-01-04,10119685,385533,26.075827,24.05052,0.03,0.05,-0.93
1994-01-05,10140010,385533,26.083846,24.057916,0.03,0.05,-0.73
1994-01-06,10140010,385533,26.091865,24.065313,0.03,0.05,-0.73
1994-01-07,10201016,385533,26.099901,24.072724,0.03,0.05,-0.13
1994-01-10,10323018,385533,26.110276,24.082293,0.03,0.05,0.0
1994-01-11,10302688,385533,26.119847,24.091121,0.03,0.05,-0.2
1994-01-12,10268795,385533,26.128611,24.099204,0.03,0.05,-0.53
1994-01-13,10241682,385533,26.137101,24.107035,0.03,0.05,-0.79
1994-01-14,10282352,385533,26.146578,24.115776,0.03,0.05,-0.39
1994-01-17,10282352,385533,26.158717,24.126972,0.03,0.05,-0.39
1994-01-18,10295908,385533,26.170416,24.137762,0.03,0.05,-0.26
1994-01-19,10268795,385533,26.182108,24.148546,0.03,0.05,-0.53
1994-01-20,10295908,385533,26.193718,24.159255,0.03,0.05,-0.26
1994-01-21,10275577,385533,26.205234,24.169876,0.03,0.05,-0.46
1994-01-24,10234902,385533,26.214432,24.17836,0.03,0.05,-0.85
1994-01-25,10234902,385533,26.223364,24.186598,0.03,0.05,-0.85
1994-01-26,10262018,385533,26.232836,24.195334,0.03,0.05,-0.59
1994-01-27,10356913,385533,26.243575,24.205239,0.03,0.05,0.0
1994-01-28,10384024,385533,26.254676,24.215478,0.03,0.05,0.0
1994-01-31,10458580,385533,26.267306,24.227127,0.03,0.05,0.0
1994-02-01,10404357,385533,26.279833,24.238681,0.03,0.05,-0.52
1994-02-02,10472137,385533,26.293353,24.251151,0.03,0.05,0.0
1994-02-03,10424690,385533,26.307838,24.264511,0.03,0.05,-0.45
1994-02-04,10187458,385533,26.319686,24.275438,0.03,0.05,-2.72
1994-02-07,10234902,385533,26.333143,24.28785,0.03,0.05,-2.27
1994-02-08,10241682,385533,26.34536,24.299119,0.03,0.05,-2.2
1994-02-09,10282352,385533,26.358387,24.311133,0.03,0.05,-1.81
1994-02-10,10194233,385533,26.369704,24.321571,0.03,0.05,-2.65
1994-02-11,10228125,385533,26.381296,24.332263,0.03,0.05,-2.33
1994-02-14,10241682,385533,26.392271,24.342386,0.03,0.05,-2.2
1994-02-15,10295908,385533,26.403526,24.352767,0.03,0.05,-1.68
1994-02-16,10289129,385533,26.414336,24.362737,0.03,0.05,-1.75
1994-02-17,10228125,385533,26.424775,24.372365,0.03,0.05,-2.33
1994-02-18,10167128,385533,26.434665,24.381487,0.03,0.05,-2.91
1994-02-22,10268795,385533,26.445647,24.391616,0.03,0.05,-1.94
1994-02-23,10241682,385533,26.455734,24.40092,0.03,0.05,-2.2
1994-02-24,10106117,385533,26.464188,24.408717,0.03,0.05,-3.5
1994-02-25,10153570,385533,26.474785,24.418491,0.03,0.05,-3.04
1994-02-28,10153570,385533,26.48547,24.428346,0.03,0.05,-3.04
1994-03-01,10112897,385533,26.495168,24.437291,0.03,0.05,-3.43
1994-03-02,10126457,385533,26.505136,24.446484,0.03,0.05,-3.3
1994-03-03,10099346,385533,26.512168,24.452971,0.03,0.05,-3.56
1994-03-04,10126457,385533,26.519208,24.459464,0.03,0.05,-3.3
1994-03-07,10180681,385533,26.528125,24.467688,0.03,0.05,-2.78
1994-03-08,10140010,385533,26.535967,24.474921,0.03,0.05,-3.17
1994-03-09,10187458,385533,26.544176,24.482493,0.03,0.05,-2.72
1994-03-10,10106117,385533,26.549702,24.487589,0.03,0.05,-3.5
1994-03-11,10160347,385533,26.556396,24.493763,0.03,0.05,-2.98
1994-03-14,10173902,385533,26.563891,24.500677,0.03,0.05,-2.85
1994-03-15,10167128,385533,26.570054,24.506361,0.03,0.05,-2.91
1994-03-16,10248461,385533,26.577481,24.513211,0.03,0.05,-2.14
1994-03-17,10248461,385533,26.585352,24.52047,0.03,0.05,-2.14
1994-03-18,10246218,385533,26.593636,24.528111,0.03,0.05,-2.16
1994-03-21,10218959,385533,26.602,24.535825,0.03,0.05,-2.42
1994-03-22,10246218,385533,26.611882,24.54494,0.03,0.05,-2.16
1994-03-23,10239406,385533,26.621229,24.553561,0.03,0.05,-2.22
1994-03-24,10116702,385533,26.628848,24.560588,0.03,0.05,-3.39
1994-03-25,10021258,385533,26.63466,24.565948,0.03,0.05,-4.31
1994-03-28,10034892,385533,26.640831,24.571641,0.03,0.05,-4.18
1994-03-29,9837194,385533,26.644628,24.575142,0.03,0.05,-6.06
1994-03-30,9700848,385533,26.646337,24.576719,0.03,0.05,-7.37
1994-03-31,9728119,385533,26.647967,24.578222,0.03,0.05,-7.1
1994-04-04,9578141,385533,26.64865,24.578852,0.03,0.05,-8.54
1994-04-05,9775839,385533,26.651706,24.58167,0.03,0.05,-6.65
1994-04-06,9775839,385533,26.654672,24.584406,0.03,0.05,-6.65
1994-04-07,9823559,385533,26.659438,24.588802,0.03,0.05,-6.19
1994-04-08,9748573,385533,26.661504,24.590708,0.03,0.05,-6.91
1994-04-11,9789481,385533,26.664206,24.5932,0.03,0.05,-6.52
1994-04-12,9775839,385533,26.665295,24.594205,0.03,0.05,-6.65
1994-04-13,9724710,385533,26.666328,24.595157,0.03,0.05,-7.14
1994-04-14,9728119,385533,26.667405,24.596151,0.03,0.05,-7.1
1994-04-15,9728119,385533,26.668841,24.597474,0.03,0.05,-7.1
1994-04-18,9663355,385533,26.670126,24.59866,0.03,0.05,-7.72
1994-04-19,9676987,385533,26.672934,24.601249,0.03,0.05,-7.59
1994-04-20,9666764,385533,26.675247,24.603383,0.03,0.05,-7.69
1994-04-21,9796290,385533,26.677861,24.605794,0.03,0.05,-6.45
1994-04-22,9786062,385533,26.679981,24.60775,0.03,0.05,-6.55
1994-04-25,9888319,385533,26.683556,24.611047,0.03,0.05,-5.57
1994-04-26,9878100,385533,26.687085,24.614301,0.03,0.05,-5.67
1994-04-28,9806515,385533,26.68921,24.616261,0.03,0.05,-6.36
1994-04-29,9837194,385533,26.692281,24.619094,0.03,0.05,-6.06
1994-05-02,9898546,385533,26.696529,24.623012,0.03,0.05,-5.48
1994-05-03,9888319,385533,26.70073,24.626887,0.03,0.05,-5.57
1994-05-04,9871280,385533,26.704345,24.630221,0.03,0.05,-5.74
1994-05-05,9857647,385533,26.707868,24.633471,0.03,0.05,-5.87
1994-05-06,9762210,385533,26.71101,24.636369,0.03,0.05,-6.78
1994-05-09,9676987,385533,26.712388,24.637639,0.03,0.05,-7.59
1994-05-10,9751978,385533,26.714053,24.639175,0.03,0.05,-6.88
1994-05-11,9663355,385533,26.714623,24.639701,0.03,0.05,-7.72
1994-05-12,9711076,385533,26.716099,24.641062,0.03,0.05,-7.27
1994-05-13,9711076,385533,26.716859,24.641763,0.03,0.05,-7.27
1994-05-16,9714486,385533,26.718381,24.643167,0.03,0.05,-7.23
1994-05-17,9857647,385533,26.721457,24.646004,0.03,0.05,-5.87
1994-05-18,9929231,385533,26.7254,24.649641,0.03,0.05,-5.18
1994-05-19,9976949,385533,26.72998,24.653865,0.03,0.05,-4.73
1994-05-20,9939448,385533,26.734328,24.657875,0.03,0.05,-5.09
1994-05-23,9922408,385533,26.738269,24.66151,0.03,0.05,-5.25
1994-05-24,9963311,385533,26.742042,24.66499,0.03,0.05,-4.86
1994-05-25,9990584,385533,26.746268,24.668888,0.03,0.05,-4.6
1994-05-26,9997401,385533,26.750586,24.67287,0.03,0.05,-4.53
1994-05-27,10007633,385533,26.755397,24.677308,0.03,0.05,-4.44
1994-05-31,9993986,385533,26.759848,24.681413,0.03,0.05,-4.57
1994-06-01,10038303,385533,26.764175,24.685404,0.03,0.05,-4.14
1994-06-02,10028073,385533,26.767919,24.688858,0.03,0.05,-4.24
1994-06-03,10086022,385533,26.771723,24.692366,0.03,0.05,-3.69
1994-06-06,10082613,385533,26.77548,24.695831,0.03,0.05,-3.72
1994-06-07,10068980,385533,26.778966,24.699047,0.03,0.05,-3.85
1994-06-08,9987175,385533,26.781628,24.701502,0.03,0.05,-4.63
1994-06-09,10041709,385533,26.783588,24.703309,0.03,0.05,-4.11
1994-06-10,10058752,385533,26.785687,24.705245,0.03,0.05,-3.95
1994-06-13,10072387,385533,26.787878,24.707266,0.03,0.05,-3.82
1994-06-14,10150787,385533,26.791205,24.710335,0.03,0.05,-3.07
1994-06-15,10109886,385533,26.793451,24.712406,0.03,0.05,-3.46
1994-06-16,10130338,385533,26.795612,24.714399,0.03,0.05,-3.26
1994-06-17,10073792,385533,26.797196,24.71586,0.03,0.05,-3.8
1994-06-20,9988006,385533,26.798081,24.716677,0.03,0.05,-4.62
1994-06-21,9902237,385533,26.797731,24.716354,0.03,0.05,-5.44
1994-06-22,9939974,385533,26.798779,24.717321,0.03,0.05,-5.08
1994-06-23,9881647,385533,26.799495,24.717981,0.03,0.05,-5.64
1994-06-24,9675780,385533,26.797192,24.715857,0.03,0.05,-7.6
1994-06-27,9843910,385533,26.795974,24.714733,0.03,0.05,-6.0
1994-06-28,9795869,385533,26.794025,24.712935,0.03,0.05,-6.46
1994-06-29,9826753,385533,26.793024,24.712012,0.03,0.05,-6.16
1994-06-30,9764986,385533,26.790841,24.709999,0.03,0.05,-6.75
1994-07-01,9785575,385533,26.789469,24.708733,0.03,0.05,-6.56
1994-07-05,9837043,385533,26.78904,24.708338,0.03,0.05,-6.06
1994-07-06,9823316,385533,26.789508,24.708769,0.03,0.05,-6.2
1994-07-07,9864492,385533,26.790975,24.710122,0.03,0.05,-5.8
1994-07-08,9861058,385533,26.791317,24.710438,0.03,0.05,-5.84
1994-07-11,9826753,385533,26.790481,24.709667,0.03,0.05,-6.16
1994-07-12,9840467,385533,26.790188,24.709397,0.03,0.05,-6.03
1994-07-13,9857627,385533,26.788686,24.708011,0.03,0.05,-5.87
1994-07-14,9963991,385533,26.788874,24.708185,0.03,0.05,-4.85
1994-07-15,9967425,385533,26.789558,24.708816,0.03,0.05,-4.82
1994-07-18,9984575,385533,26.790741,24.709907,0.03,0.05,-4.66
1994-07-19,9963991,385533,26.791019,24.710163,0.03,0.05,-4.85
1994-07-20,9919384,385533,26.790522,24.709704,0.03,0.05,-5.28
1994-07-21,9939974,385533,26.790479,24.709665,0.03,0.05,-5.08
1994-07-22,9957131,385533,26.790755,24.70992,0.03,0.05,-4.92
1994-07-25,9970857,385533,26.791575,24.710676,0.03,0.05,-4.79
1994-07-26,9960561,385533,26.792077,24.711139,0.03,0.05,-4.89
1994-07-27,9960561,385533,26.79231,24.711354,0.03,0.05,-4.89
1994-07-28,9981147,385533,26.792637,24.711656,0.03,0.05,-4.69
1994-07-29,10080648,385533,26.794294,24.713184,0.03,0.05,-3.74
1994-08-01,10128688,385533,26.794884,24.713728,0.03,0.05,-3.28
1994-08-02,10142413,385533,26.794937,24.713777,0.03,0.05,-3.15
1994-08-03,10145845,385533,26.795397,24.714201,0.03,0.05,-3.12
1994-08-04,10087514,385533,26.796066,24.714818,0.03,0.05,-3.67
1994-08-05,10053198,385533,26.796097,24.714847,0.03,0.05,-4.0
1994-08-08,10077221,385533,26.796629,24.715337,0.03,0.05,-3.77
1994-08-09,10094379,385533,26.798019,24.71662,0.03,0.05,-3.61
1994-08-10,10132122,385533,26.799554,24.718035,0.03,0.05,-3.25
1994-08-11,10094379,385533,26.800675,24.719069,0.03,0.05,-3.61
1994-08-12,10173288,385533,26.80276,24.720992,0.03,0.05,-2.85
1994-08-15,10169866,385533,26.80381,24.72196,0.03,0.05,-2.89
1994-08-16,10241916,385533,26.805822,24.723816,0.03,0.05,-2.2
1994-08-17,10235055,385533,26.807383,24.725256,0.03,0.05,-2.26
1994-08-18,10200740,385533,26.808576,24.726356,0.03,0.05,-2.59
1994-08-19,10193877,385533,26.811385,24.728947,0.03,0.05,-2.66
1994-08-22,10183583,385533,26.815496,24.732739,0.03,0.05,-2.76
1994-08-23,10241916,385533,26.819756,24.736668,0.03,0.05,-2.2
1994-08-24,10351708,385533,26.825304,24.741785,0.03,0.05,-1.15
1994-08-25,10324259,385533,26.830394,24.74648,0.03,0.05,-1.41
1994-08-26,10471801,385533,26.836467,24.752081,0.03,0.05,-0.0
1994-08-29,10464935,385533,26.842807,24.757929,0.03,0.05,-0.07
1994-08-30,10492384,385533,26.848885,24.763535,0.03,0.05,0.0
1994-08-31,10464935,385533,26.854686,24.768885,0.03,0.05,-0.26
1994-09-01,10430621,385533,26.859399,24.773232,0.03,0.05,-0.59
1994-09-02,10386018,385533,26.864235,24.777693,0.03,0.05,-1.01
1994-09-06,10389451,385533,26.869477,24.782528,0.03,0.05,-0.98
1994-09-07,10379155,385533,26.874852,24.787485,0.03,0.05,-1.08
1994-09-08,10430621,385533,26.881723,24.793822,0.03,0.05,-0.59
1994-09-09,10320830,385533,26.886408,24.798143,0.03,0.05,-1.64
1994-09-12,10289945,385533,26.890141,24.801587,0.03,0.05,-1.93
1994-09-13,10320830,385533,26.894197,24.805327,0.03,0.05,-1.64
1994-09-14,10331117,385533,26.89893,24.809692,0.03,0.05,-1.54
1994-09-15,10461507,385533,26.905314,24.815581,0.03,0.05,-0.29
1994-09-16,10387048,385533,26.910524,24.820386,0.03,0.05,-1.0
1994-09-19,10397409,385533,26.915513,24.824988,0.03,0.05,-0.91
1994-09-20,10200642,385533,26.917334,24.826667,0.03,0.05,-2.78
1994-09-21,10200642,385533,26.918705,24.827932,0.03,0.05,-2.78
1994-09-22,10176481,385533,26.919843,24.828981,0.03,0.05,-3.01
1994-09-23,10141960,385533,26.92052,24.829606,0.03,0.05,-3.34
1994-09-26,10193743,385533,26.922339,24.831283,0.03,0.05,-2.85
1994-09-27,10186832,385533,26.924335,24.833124,0.03,0.05,-2.91
1994-09-28,10266234,385533,26.926582,24.835197,0.03,0.05,-2.16
1994-09-29,10214449,385533,26.929127,24.837544,0.03,0.05,-2.65
1994-09-30,10200642,385533,26.931667,24.839887,0.03,0.05,-2.78
1994-10-03,10176481,385533,26.933435,24.841517,0.03,0.05,-3.01
1994-10-04,10024596,385533,26.932436,24.840596,0.03,0.05,-4.46
1994-10-05,10028042,385533,26.931303,24.839551,0.03,0.05,-4.43
1994-10-06,9996979,385533,26.930207,24.83854,0.03,0.05,-4.72
1994-10-07,10041848,385533,26.928805,24.837247,0.03,0.05,-4.29
1994-10-10,10148860,385533,26.928923,24.837356,0.03,0.05,-3.27
1994-10-11,10300753,385533,26.930346,24.838669,0.03,0.05,-1.83
1994-10-12,10314561,385533,26.931682,24.839901,0.03,0.05,-1.69
