Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct
1993-11-11,25.9827,26.0526,25.8954,25.9129,88900,25.0309,,,,
1993-11-12,25.9652,26.1224,25.9478,26.0351,108200,25.0405,0.2,0.81,0.13,0.47
1993-11-15,26.0875,26.0875,25.9478,26.0176,243300,25.0491,0.2,0.2,-0.34,-0.07
1993-11-16,26.07,26.1573,25.9652,26.1399,492600,25.0582,0.2,0.54,-0.2,0.47
1993-11-17,26.1573,26.1573,25.9303,26.0002,39600,25.0652,0.07,0.07,-0.8,-0.53
1993-11-18,25.9653,26.0176,25.8605,25.9303,240800,25.0714,-0.13,0.07,-0.54,-0.27
1993-11-19,25.843,25.9129,25.8256,25.8779,106000,25.0774,-0.34,-0.07,-0.4,-0.2
1993-11-22,25.8081,25.8256,25.6335,25.7208,165300,25.0826,-0.27,-0.2,-0.94,-0.61
1993-11-23,25.8605,25.8779,25.7208,25.8605,89700,25.0893,0.54,0.61,-0.0,0.54
1993-11-24,25.9303,25.9827,25.8954,25.9652,77200,25.0964,0.27,0.47,0.14,0.41
1993-11-26,26.0351,26.0351,25.9652,25.9827,1019800,25.1031,0.27,0.27,-0.0,0.07
1993-11-29,26.0526,26.1049,25.8779,25.8779,517500,25.1101,0.27,0.47,-0.4,-0.4
1993-11-30,25.8605,26.0176,25.843,25.8954,230000,25.1203,-0.07,0.54,-0.13,0.07
1993-12-01,26.0351,26.0526,25.9303,25.9303,379200,25.1307,0.54,0.61,0.13,0.13
1993-12-02,25.9827,26.0176,25.9303,26.0002,352000,25.1416,0.2,0.34,-0.0,0.27
1993-12-03,25.9827,26.105,25.9827,26.105,306000,25.1526,-0.07,0.4,-0.07,0.4
1993-12-06,26.1399,26.2272,26.1399,26.1923,99500,25.1636,0.13,0.47,0.13,0.33
1993-12-07,26.1923,26.2097,26.1399,26.1748,88800,25.1746,-0.0,0.07,-0.2,-0.07
1993-12-08,26.1748,26.1748,26.1399,26.1748,146700,25.184,0.0,0.0,-0.13,0.0
1993-12-09,26.1748,26.2097,26.0526,26.0875,416500,25.1928,-0.0,0.13,-0.47,-0.33
1993-12-10,26.1049,26.1049,25.9827,26.0351,412900,25.2011,0.07,0.07,-0.4,-0.2
1993-12-13,26.0351,26.1923,26.0002,26.1923,273200,25.2106,0.0,0.6,-0.13,0.6
1993-12-14,26.2097,26.2097,26.0002,26.0002,41900,25.2173,0.07,0.07,-0.73,-0.73
1993-12-15,26.0351,26.0526,25.9652,25.9652,82600,25.2233,0.13,0.2,-0.13,-0.13
1993-12-16,26.07,26.07,26.0176,26.0526,78200,25.2304,0.4,0.4,0.2,0.34
1993-12-17,26.1078,26.2133,26.0903,26.1957,104700,25.2386,0.21,0.62,0.14,0.55
1993-12-20,26.1782,26.2485,26.1606,26.2309,68800,25.2442,-0.07,0.2,-0.13,0.13
1993-12-21,26.1957,26.1957,26.1078,26.143,205700,25.2498,-0.13,-0.13,-0.47,-0.34
1993-12-22,26.2133,26.3364,26.1606,26.3188,410300,25.256,0.27,0.74,0.07,0.67
1993-12-23,26.3012,26.354,26.2661,26.3012,533800,25.2625,-0.07,0.13,-0.2,-0.07
1993-12-27,26.3012,26.4419,26.3012,26.4419,447100,25.271,-0.0,0.53,-0.0,0.53
1993-12-28,26.4243,26.5122,26.4067,26.4946,880600,25.2791,-0.07,0.27,-0.13,0.2
1993-12-29,26.5122,26.5298,26.4419,26.4595,266700,25.2871,0.07,0.13,-0.2,-0.13
1993-12-30,26.4419,26.4419,26.3012,26.354,219900,25.2953,-0.07,-0.07,-0.6,-0.4
1993-12-31,26.4067,26.4419,26.1957,26.2133,312900,25.302,0.2,0.33,-0.6,-0.53
1994-01-03,26.2133,26.2485,26.1078,26.143,960900,25.3086,0.0,0.13,-0.4,-0.27
1994-01-04,26.1782,26.2485,26.143,26.2485,164300,25.3163,0.13,0.4,0.0,0.4
1994-01-05,26.2836,26.3188,26.1782,26.3012,710900,25.3241,0.13,0.27,-0.27,0.2
1994-01-06,26.3364,26.354,26.2661,26.3012,201000,25.3319,0.13,0.2,-0.13,0.0
1994-01-07,26.354,26.477,26.2836,26.4595,775500,25.3397,0.2,0.67,-0.07,0.6
1994-01-10,26.4946,26.7759,26.4243,26.7759,593700,25.3498,0.13,1.2,-0.13,1.2
1994-01-11,26.7583,26.7583,26.6353,26.7232,295200,25.3591,-0.07,-0.07,-0.53,-0.2
1994-01-12,26.7408,26.7408,26.5474,26.6353,158400,25.3676,0.07,0.07,-0.66,-0.33
1994-01-13,26.5649,26.6177,26.5298,26.5649,244300,25.3758,-0.26,-0.07,-0.4,-0.26
1994-01-14,26.6528,26.7232,26.6528,26.6704,137200,25.385,0.33,0.6,0.33,0.4
1994-01-17,26.6704,26.7056,26.6177,26.6704,17700,25.3968,0.0,0.13,-0.2,0.0
1994-01-18,26.7056,26.7408,26.6528,26.7056,166400,25.4082,0.13,0.26,-0.07,0.13
1994-01-19,26.6704,26.7056,26.5825,26.6353,200800,25.4195,-0.13,-0.0,-0.46,-0.26
1994-01-20,26.6704,26.7232,26.6528,26.7056,281100,25.4308,0.13,0.33,0.07,0.26
1994-01-21,26.7408,26.7408,26.6353,26.6529,85600,25.442,0.13,0.13,-0.26,-0.2
1994-01-24,26.6353,26.7583,26.5474,26.5474,373800,25.4509,-0.07,0.4,-0.4,-0.4
1994-01-25,26.5649,26.5825,26.4946,26.5474,310400,25.4596,0.07,0.13,-0.2,0.0
1994-01-26,26.5474,26.6353,26.5122,26.6177,145100,25.4688,0.0,0.33,-0.13,0.26
1994-01-27,26.6704,26.899,26.6353,26.8638,344500,25.4792,0.2,1.06,0.07,0.92
1994-01-28,26.9693,27.022,26.9341,26.9341,356500,25.49,0.39,0.59,0.26,0.26
1994-01-31,27.0396,27.1803,27.0045,27.1275,313800,25.5022,0.39,0.91,0.26,0.72
1994-02-01,27.0924,27.0924,26.9517,26.9869,303600,25.5144,-0.13,-0.13,-0.65,-0.52
1994-02-02,27.0748,27.1627,27.0572,27.1627,307600,25.5275,0.33,0.65,0.26,0.65
1994-02-03,27.1099,27.1099,26.9517,27.0396,466100,25.5416,-0.19,-0.19,-0.78,-0.45
1994-02-04,27.0396,27.0748,26.4243,26.4243,1403200,25.5531,0.0,0.13,-2.28,-2.28
1994-02-07,26.354,26.6177,26.354,26.5474,516400,25.5662,-0.27,0.73,-0.27,0.47
1994-02-08,26.6001,26.6001,26.4594,26.5649,188200,25.578,0.2,0.2,-0.33,0.07
1994-02-09,26.5825,26.688,26.5474,26.6704,144600,25.5907,0.07,0.46,-0.07,0.4
1994-02-10,26.6528,26.6704,26.4419,26.4419,883900,25.6017,-0.07,-0.0,-0.86,-0.86
1994-02-11,26.4594,26.6001,26.3364,26.5298,519400,25.6129,0.07,0.6,-0.4,0.33
1994-02-14,26.477,26.6528,26.4419,26.5649,2742100,25.6236,-0.2,0.46,-0.33,0.13
1994-02-15,26.6177,26.7232,26.5825,26.7056,374700,25.6345,0.2,0.6,0.07,0.53
1994-02-16,26.7407,26.7407,26.6353,26.688,287600,25.645,0.13,0.13,-0.26,-0.07
1994-02-17,26.8111,26.8287,26.4594,26.5298,342400,25.6551,0.46,0.53,-0.86,-0.59
1994-02-18,26.5474,26.565,26.3012,26.3716,313300,25.6647,0.07,0.13,-0.86,-0.6
1994-02-22,26.4419,26.6353,26.4419,26.6353,154500,25.6754,0.27,1.0,0.27,1.0
1994-02-23,26.6704,26.688,26.477,26.5649,391700,25.6852,0.13,0.2,-0.59,-0.26
1994-02-24,26.477,26.477,26.1957,26.2133,770800,25.6934,-0.33,-0.33,-1.39,-1.32
1994-02-25,26.2485,26.3364,26.1957,26.3364,531300,25.7037,0.13,0.47,-0.07,0.47
1994-02-28,26.4067,26.477,26.3364,26.3364,333000,25.714,0.27,0.53,0.0,0.0
1994-03-01,26.3364,26.3891,26.0902,26.2309,423600,25.7235,-0.0,0.2,-0.93,-0.4
1994-03-02,25.8969,26.2661,25.8265,26.2661,581500,25.7331,-1.27,0.13,-1.54,0.13
1994-03-03,26.2309,26.2309,26.1254,26.1957,223200,25.74,-0.13,-0.13,-0.54,-0.27
