Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
2002-07-30,10000000,0,37.33011,34.430684,0.03,0.05,0.0
2002-07-31,10000000,0,37.334712,34.434929,0.03,0.05,0.0
2002-08-01,10000000,0,37.34141,34.441106,0.03,0.05,0.0
2002-08-02,10000000,0,37.351914,34.450795,0.03,0.05,0.0
2002-08-05,10000000,0,37.364,34.461942,0.03,0.05,0.0
2002-08-06,10000000,0,37.372685,34.469952,0.03,0.05,0.0
2002-08-07,10000000,0,37.382194,34.478723,0.03,0.05,0.0
2002-08-08,10000000,0,37.391609,34.487406,0.03,0.05,0.0
2002-08-09,10000000,0,37.406307,34.500963,0.03,0.05,0.0
2002-08-12,10000000,0,37.423228,34.51657,0.03,0.05,0.0
2002-08-13,10000000,0,37.444765,34.536434,0.03,0.05,0.0
2002-08-14,10000000,0,37.467592,34.557488,0.03,0.05,0.0
2002-08-15,9928538,259613,37.486728,34.575138,0.03,0.05,-0.71
2002-08-16,9817738,259613,37.5013,34.588578,0.03,0.05,-1.82
2002-08-19,9847748,259613,37.516911,34.602976,0.03,0.05,-1.52
2002-08-20,9957403,259613,37.536696,34.621225,0.03,0.05,-0.43
2002-08-21,9904306,259613,37.554188,34.637358,0.03,0.05,-0.96
2002-08-22,9817738,259613,37.568089,34.650179,0.03,0.05,-1.82
2002-08-23,9914689,259613,37.585678,34.666402,0.03,0.05,-0.85
2002-08-26,9923932,259613,37.603458,34.682801,0.03,0.05,-0.76
2002-08-27,9861604,259613,37.6186,34.696767,0.03,0.05,-1.38
2002-08-28,9911224,259613,37.63555,34.7124,0.03,0.05,-0.89
2002-08-29,9990877,259613,37.655476,34.730778,0.03,0.05,-0.09
2002-08-30,10050887,259613,37.677572,34.751159,0.03,0.05,0.0
2002-09-03,10205409,259613,37.705549,34.776963,0.03,0.05,0.0
2002-09-04,10203082,259613,37.733156,34.802425,0.03,0.05,-0.02
2002-09-05,10258732,259613,37.762685,34.829661,0.03,0.05,0.0
2002-09-06,10138173,259613,37.78716,34.852235,0.03,0.05,-1.18
2002-09-09,10123101,259613,37.810798,34.874037,0.03,0.05,-1.32
2002-09-10,10171787,259613,37.836122,34.897394,0.03,0.05,-0.85
