Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct
2002-07-30,36.345097,36.411786,36.24284,36.24284,6100,36.24284,,,,
2002-07-31,36.433979,36.811882,36.411752,36.691841,29400,36.247308,0.53,1.57,0.47,1.24
2002-08-01,36.696304,36.909704,36.696304,36.900814,25000,36.25381,0.01,0.59,0.01,0.57
2002-08-02,36.971954,37.389864,36.847466,37.278717,52800,36.264008,0.19,1.33,-0.14,1.02
2002-08-05,37.363185,37.541021,37.278712,37.443211,61100,36.275742,0.23,0.7,-0.0,0.44
2002-08-06,37.28763,37.300967,36.998647,37.123131,64900,36.284173,-0.42,-0.38,-1.19,-0.85
2002-08-07,37.167586,37.407664,37.060885,37.212044,40300,36.293406,0.12,0.77,-0.17,0.24
2002-08-08,37.158695,37.243165,37.060885,37.212044,40900,36.302547,-0.14,0.08,-0.41,0.0
2002-08-09,37.34542,37.736656,37.34542,37.736656,35900,36.316816,0.36,1.41,0.36,1.41
2002-08-12,37.923411,38.545832,37.852275,37.967869,32100,36.333245,0.49,2.14,0.31,0.61
2002-08-13,38.136796,38.443563,37.954517,38.434669,75400,36.354154,0.44,1.25,-0.04,1.23
2002-08-14,38.883691,39.079311,38.568034,38.581371,130000,36.376316,1.17,1.68,0.35,0.38
2002-08-15,38.403521,38.456873,38.16789,38.243469,87100,36.394894,-0.46,-0.32,-1.07,-0.88
2002-08-16,38.430223,38.465787,37.709988,37.816689,85000,36.409042,0.49,0.58,-1.39,-1.12
2002-08-19,37.81224,37.941168,37.661079,37.932278,47300,36.424198,-0.01,0.33,-0.41,0.31
2002-08-20,38.065657,38.363531,38.056764,38.354637,40800,36.443407,0.35,1.14,0.33,1.11
2002-08-21,38.092298,38.279024,38.070067,38.150093,40000,36.460389,-0.68,-0.2,-0.74,-0.53
2002-08-22,38.034539,38.034539,37.816689,37.816689,34400,36.473884,-0.3,-0.3,-0.87,-0.87
2002-08-23,37.878899,38.21234,37.878899,38.190113,20100,36.490961,0.16,1.05,0.16,0.99
2002-08-26,38.101198,38.327938,38.087861,38.225685,23900,36.508222,-0.23,0.36,-0.27,0.09
2002-08-27,37.96785,38.092334,37.87893,37.985634,301800,36.522923,-0.67,-0.35,-0.91,-0.63
2002-08-28,38.252375,38.314617,38.163455,38.176796,18100,36.539379,0.7,0.87,0.47,0.5
2002-08-29,38.572478,38.616936,38.390196,38.483559,135700,36.558724,1.04,1.15,0.56,0.8
2002-08-30,38.568045,38.736987,38.434667,38.71476,78100,36.580177,0.22,0.66,-0.13,0.6
2002-09-03,38.881292,39.309933,38.845571,39.309933,102100,36.607339,0.43,1.54,0.34,1.54
2002-09-04,39.305472,39.426029,39.220636,39.301006,66300,36.634142,-0.01,0.3,-0.23,-0.02
2002-09-05,39.546586,39.582307,39.015249,39.515331,648400,36.66281,0.62,0.72,-0.73,0.55
2002-09-06,39.278685,39.376915,38.934877,39.050968,140000,36.686573,-0.6,-0.35,-1.47,-1.18
2002-09-09,39.068824,39.21617,38.961665,38.99292,83800,36.709522,0.05,0.42,-0.23,-0.15
2002-09-10,38.921487,39.292083,38.845582,39.180458,336000,36.734108,-0.18,0.77,-0.38,0.48
2002-09-11,38.845585,38.979537,38.73396,38.975071,177700,36.756406,-0.85,-0.51,-1.14,-0.52
2002-09-12,39.059868,39.354556,39.055402,39.278652,43400,36.781503,0.22,0.97,0.21,0.78
2002-09-13,39.439411,39.711777,39.372435,39.640335,155100,36.809949,0.41,1.1,0.24,0.92
2002-09-16,39.827875,39.836807,39.693927,39.707321,73000,36.838779,0.47,0.5,0.14,0.17
2002-09-17,39.577844,39.881464,39.452824,39.783234,75400,36.868077,-0.33,0.44,-0.64,0.19
2002-09-18,39.810001,39.988599,39.747488,39.792141,196600,36.897172,0.07,0.52,-0.09,0.02
2002-09-19,40.05113,40.082385,39.854672,40.060062,109900,36.928644,0.65,0.73,0.16,0.67
2002-09-20,39.93952,39.970775,39.765384,39.872547,113500,36.957936,-0.3,-0.22,-0.74,-0.47
2002-09-23,40.185075,40.292235,40.082379,40.229725,163200,36.990491,0.78,1.05,0.53,0.9
2002-09-24,40.319001,40.604761,40.278815,40.48867,251900,37.025299,0.22,0.93,0.12,0.64
2002-09-25,40.229738,40.345829,39.854678,39.997559,127200,37.054874,-0.64,-0.35,-1.57,-1.21
2002-09-26,39.760898,39.975216,39.564437,39.903778,429000,37.083221,-0.59,-0.06,-1.08,-0.23
2002-09-27,39.975225,40.202942,39.952902,40.202942,298200,37.114263,0.18,0.75,0.12,0.75
2002-09-30,40.479746,40.586905,40.220775,40.363655,297800,37.146595,0.69,0.96,0.04,0.4
2002-10-01,39.961627,40.024375,39.800274,39.863022,257500,37.173624,-1.0,-0.84,-1.4,-1.24
2002-10-02,39.997473,40.105044,39.818192,40.091595,91000,37.202659,0.34,0.61,-0.11,0.57
2002-10-03,40.024412,40.118534,39.800311,39.993038,29900,37.230424,-0.17,0.07,-0.73,-0.25
2002-10-04,39.621015,40.212641,39.621015,40.118519,131000,37.259161,-0.93,0.55,-0.93,0.31
2002-10-07,40.293313,40.320204,40.096103,40.185745,433800,37.288281,0.44,0.5,-0.06,0.17
2002-10-08,40.114036,40.571201,40.051289,40.199196,530900,37.317246,-0.18,0.96,-0.33,0.03
2002-10-09,40.472607,40.508461,40.315734,40.405376,402900,37.347973,0.68,0.77,0.29,0.51
2002-10-10,40.414317,40.414317,40.015418,40.087132,97100,37.375229,0.02,0.02,-0.97,-0.79
2002-10-11,39.934766,39.988552,39.468636,39.612061,421800,37.397486,-0.38,-0.25,-1.54,-1.19
2002-10-14,39.665853,39.688264,39.473126,39.553802,18300,37.418942,0.14,0.19,-0.35,-0.15
2002-10-15,38.993511,39.127973,38.61254,38.617023,297100,37.430863,-1.42,-1.08,-2.38,-2.37
2002-10-16,38.814257,38.814257,38.496034,38.634975,125200,37.442844,0.51,0.51,-0.31,0.05
2002-10-17,38.159862,38.348106,38.128488,38.164345,233400,37.450023,-1.23,-0.74,-1.31,-1.22
2002-10-18,38.106074,38.27191,37.774406,38.262947,459100,37.458112,-0.15,0.28,-1.02,0.26
2002-10-21,38.321242,38.366061,37.87304,37.890968,134900,37.462419,0.15,0.27,-1.02,-0.97
2002-10-22,38.029883,38.029883,37.747518,37.783375,205000,37.465613,0.37,0.37,-0.38,-0.28
2002-10-23,37.985069,38.186758,37.729595,37.796825,127800,37.468908,0.53,1.07,-0.14,0.04
2002-10-24,37.720637,38.209174,37.68478,38.128498,339600,37.475471,-0.2,1.09,-0.3,0.88
2002-10-25,38.253976,38.348098,38.164337,38.267422,146100,37.483351,0.33,0.58,0.09,0.36
2002-10-28,38.348093,38.38395,38.18674,38.213634,97800,37.490618,0.21,0.3,-0.21,-0.14
2002-10-29,38.464662,38.944237,38.44225,38.711174,125000,37.502763,0.66,1.91,0.6,1.3
2002-10-30,38.711176,38.850118,38.576714,38.697727,31900,37.514653,0.0,0.36,-0.35,-0.03
2002-10-31,38.567743,38.930785,38.554294,38.87252,512700,37.528164,-0.34,0.6,-0.37,0.45
2002-11-01,38.854047,39.137684,38.381314,38.709976,125100,37.539923,-0.05,0.68,-1.26,-0.42
2002-11-04,38.484855,38.606413,38.381303,38.538879,342500,37.549863,-0.58,-0.27,-0.85,-0.44
2002-11-05,38.538878,38.538878,38.309265,38.390305,73800,37.558226,-0.0,-0.0,-0.6,-0.39
2002-11-06,38.291273,38.777509,38.228243,38.543396,118500,37.568029,-0.26,1.01,-0.42,0.4
2002-11-07,39.191714,39.497864,39.101667,39.497864,147900,37.587231,1.68,2.48,1.45,2.48
2002-11-08,39.799515,39.91207,39.596913,39.817524,294700,37.609423,0.76,1.05,0.25,0.81
2002-11-11,39.867074,40.033653,39.79954,40.033653,70000,37.633545,0.12,0.54,-0.05,0.54
2002-11-12,40.137178,40.137178,39.786007,39.804016,494300,37.655141,0.26,0.26,-0.62,-0.57
2002-11-13,39.822015,39.930071,39.601408,39.889549,104700,37.677374,0.05,0.32,-0.51,0.21
2002-11-14,39.461861,39.461861,39.061165,39.061165,118000,37.691143,-1.07,-1.07,-2.08,-2.08
2002-11-15,38.962147,39.272801,38.836086,39.218773,110700,37.706344,-0.25,0.54,-0.58,0.4
2002-11-18,39.178199,39.452834,39.151187,39.394306,32200,37.723139,-0.1,0.6,-0.17,0.45
2002-11-19,39.596945,39.72301,39.39885,39.538418,51800,37.741202,0.51,0.83,0.01,0.37
2002-11-20,39.709484,39.71849,39.083677,39.151211,307400,37.755232,0.43,0.46,-1.15,-0.98
2002-11-21,38.944089,38.944089,38.655948,38.773006,323200,37.765359,-0.53,-0.53,-1.27,-0.97
2002-11-22,38.867568,38.89458,38.664966,38.737003,184800,37.775027,0.24,0.31,-0.28,-0.09
2002-11-25,38.718994,38.890077,38.628952,38.664967,288200,37.783882,-0.05,0.4,-0.28,-0.19
2002-11-26,38.809042,39.178223,38.786533,39.151211,377800,37.797487,0.37,1.33,0.31,1.26
2002-11-27,38.831537,38.867555,38.250751,38.268761,325600,37.802176,-0.82,-0.72,-2.3,-2.25
2002-11-29,38.340829,38.55243,38.331822,38.516415,31700,37.809283,0.19,0.74,0.16,0.65
2002-12-02,38.15411,38.624479,38.059132,38.552113,284900,37.816675,-0.94,0.28,-1.19,0.09
2002-12-03,38.760184,38.760184,38.497865,38.606411,113800,37.824533,0.54,0.54,-0.14,0.14
2002-12-04,38.850636,38.895863,38.692339,38.805408,129000,37.834293,0.63,0.75,0.22,0.52
2002-12-05,38.570204,39.022481,38.56116,38.904888,206400,37.844945,-0.61,0.56,-0.63,0.26
2002-12-06,39.348108,39.388811,38.787285,38.972717,440500,37.856167,1.14,1.24,-0.3,0.17
