entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
2002-08-15,2003-08-01,38.672618,38.471216,258580,-52078,-0.0052,0.03,3,351
2004-01-20,2006-05-02,42.178995,44.44316,235850,534004,0.0537,0.03,3,833
2006-09-25,2009-05-08,49.01418,57.919883,213854,1904520,0.1817,0.03,3,956
2009-10-02,2009-12-28,62.49283,55.772456,198205,-1332012,-0.1075,0.03,3,87
2010-05-20,2010-12-16,62.488958,59.094065,176902,-600563,-0.0543,0.03,3,210
2011-06-02,2013-06-21,64.434411,77.327107,162240,2091711,0.2001,0.03,3,750
2014-04-16,2015-06-11,80.085247,86.762543,156652,1046012,0.0834,0.03,3,421
2015-08-25,2016-11-10,93.677343,95.481248,145089,261727,0.0193,0.03,3,443
2017-06-26,2018-02-22,100.893533,93.206163,137306,-1055522,-0.0762,0.03,3,241
2018-12-26,2021-02-08,99.191819,125.678359,129020,3417293,0.267,0.03,3,775
2021-08-06,2022-02-11,127.466748,117.808454,127210,-1228632,-0.0758,0.03,3,189
2023-12-20,2024-04-16,90.766556,80.932673,165109,-1623663,-0.1083,0.03,3,118
2024-08-07,2024-12-30,89.922839,83.239137,148602,-993211,-0.0743,0.03,3,145
