Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1999-03-10,10000000,0,44.317866,40.875701,0.03,0.05,0.0
1999-03-11,10000000,0,44.320024,40.877692,0.03,0.05,0.0
1999-03-12,10000000,0,44.311367,40.869707,0.03,0.05,0.0
1999-03-15,10000000,0,44.31521,40.873252,0.03,0.05,0.0
1999-03-16,10000000,0,44.322793,40.880246,0.03,0.05,0.0
1999-03-17,10000000,0,44.327062,40.884183,0.03,0.05,0.0
1999-03-18,10000000,0,44.339924,40.896047,0.03,0.05,0.0
1999-03-19,10000000,0,44.341054,40.897089,0.03,0.05,0.0
1999-03-22,10000000,0,44.336775,40.893142,0.03,0.05,0.0
1999-03-23,10000000,0,44.317156,40.875047,0.03,0.05,0.0
1999-03-24,10000000,0,44.312036,40.870324,0.03,0.05,0.0
1999-03-25,10000000,0,44.322889,40.880334,0.03,0.05,0.0
1999-03-26,10000000,0,44.328776,40.885764,0.03,0.05,0.0
1999-03-29,10000000,0,44.350797,40.906075,0.03,0.05,0.0
1999-03-30,10000000,0,44.369361,40.923197,0.03,0.05,0.0
1999-03-31,10000000,0,44.380993,40.933925,0.03,0.05,0.0
1999-04-01,10000000,0,44.401955,40.953259,0.03,0.05,0.0
1999-04-05,10000000,0,44.43944,40.987833,0.03,0.05,0.0
1999-04-06,10000000,0,44.477497,41.022934,0.03,0.05,0.0
1999-04-07,10000000,0,44.510183,41.053081,0.03,0.05,0.0
1999-04-08,10255143,222372,44.546322,41.086413,0.03,0.05,0.0
1999-04-09,10440505,222372,44.585069,41.122151,0.03,0.05,0.0
1999-04-12,10224681,222372,44.620193,41.154547,0.03,0.05,-2.07
1999-04-13,9804428,222372,44.64849,41.180646,0.03,0.05,-6.09
1999-04-14,8790912,222372,44.660313,41.191551,0.03,0.05,-15.8
1999-04-15,9145290,222372,44.678226,41.208072,0.03,0.05,-12.41
1999-04-16,8339759,222372,44.682466,41.211983,0.03,0.05,-20.12
1999-04-19,7161965,222372,44.665614,41.19644,0.03,0.05,-31.4
1999-04-20,7646284,222372,44.658646,41.190013,0.03,0.05,-26.76
1999-04-21,8774407,222372,44.673336,41.203563,0.03,0.05,-15.96
1999-04-22,9481742,222372,44.700295,41.228428,0.03,0.05,-9.18
1999-04-23,9851340,222372,44.733193,41.25877,0.03,0.05,-5.64
1999-04-26,10526670,222372,44.77676,41.298954,0.03,0.05,0.0
1999-04-27,10037270,222372,44.812405,41.33183,0.03,0.05,-4.65
1999-04-28,9001909,222372,44.831234,41.349196,0.03,0.05,-14.48
1999-04-29,8777711,222372,44.846096,41.362904,0.03,0.05,-16.61
1999-04-30,8942770,222372,44.863779,41.379214,0.03,0.05,-15.05
1999-05-03,8797691,222372,44.878858,41.393121,0.03,0.05,-16.42
1999-05-04,8376427,222372,44.8865,41.40017,0.03,0.05,-20.43
1999-05-05,9133584,222372,44.907829,41.419842,0.03,0.05,-13.23
1999-05-06,8133354,222372,44.911944,41.423638,0.03,0.05,-22.74
1999-05-07,8479609,222372,44.922495,41.433369,0.03,0.05,-19.45
1999-05-10,8730367,222372,44.937529,41.447235,0.03,0.05,-17.06
1999-05-11,9138908,222372,44.9597,41.467685,0.03,0.05,-13.18
1999-05-12,9701766,222372,44.991366,41.496891,0.03,0.05,-7.84
1999-05-13,9155651,222372,45.013811,41.517592,0.03,0.05,-13.02
1999-05-14,8630600,222372,45.027127,41.529874,0.03,0.05,-18.01
1999-05-17,9092021,222372,45.048608,41.549687,0.03,0.05,-13.63
1999-05-18,8965822,222372,45.067785,41.567374,0.03,0.05,-14.83
1999-05-19,9333899,222372,45.093247,41.590859,0.03,0.05,-11.33
1999-05-20,8559674,222372,45.105436,41.602101,0.03,0.05,-18.69
1999-05-21,8318431,222372,45.113252,41.60931,0.03,0.05,-20.98
1999-05-24,7679935,222372,45.109386,41.605744,0.03,0.05,-27.04
1999-05-25,6921484,222372,45.090985,41.588772,0.03,0.05,-34.25
1999-05-26,7497236,222372,45.084776,41.583046,0.03,0.05,-28.78
1999-05-27,7472791,222372,45.078225,41.577004,0.03,0.05,-29.01
1999-05-28,7838472,222372,45.079025,41.577742,0.03,0.05,-25.54
