Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct
1999-12-21,71.7293,75.3632,71.3212,75.3632,26003800,50.6429,,,,
1999-12-22,75.1525,75.2578,73.6779,75.1262,22313600,50.8034,-0.28,-0.14,-2.24,-0.31
1999-12-23,75.7253,76.4691,74.9945,76.0215,17543600,50.9673,0.8,1.79,-0.18,1.19
1999-12-27,76.1005,76.1268,74.0729,75.5739,19281800,51.1343,0.1,0.14,-2.56,-0.59
1999-12-28,75.6265,76.2585,74.6259,75.0998,15346400,51.2928,0.07,0.91,-1.25,-0.63
1999-12-29,75.8371,77.9437,75.7318,77.9437,16512600,51.4637,0.98,3.79,0.84,3.79
1999-12-30,78.8917,78.997,77.1011,77.1011,21887000,51.632,1.22,1.35,-1.08,-1.08
1999-12-31,78.0491,78.5231,76.9958,76.9958,14464400,51.7955,1.23,1.84,-0.14,-0.14
2000-01-03,81.0509,81.0509,76.4691,79.8396,36345200,51.9789,5.27,5.27,-0.68,3.69
2000-01-04,77.5225,78.7864,74.0993,74.3626,33786600,52.1376,-2.9,-1.32,-7.19,-6.86
2000-01-05,73.7306,75.5212,70.992,72.4666,42496600,52.2942,-0.85,1.56,-4.53,-2.55
2000-01-06,73.2039,74.1519,67.2001,67.4898,37134800,52.419,1.02,2.33,-7.27,-6.87
2000-01-07,69.886,75.8371,69.5174,75.8371,28138200,52.5778,3.55,12.37,3.0,12.37
2000-01-10,76.6798,79.155,75.7845,77.9437,29675600,52.7495,1.11,4.38,-0.07,2.78
2000-01-11,77.3118,78.2597,73.3092,74.1519,32546600,52.8943,-0.81,0.41,-5.95,-4.86
2000-01-12,74.9945,75.1986,72.4666,72.5193,29050000,53.0326,1.14,1.41,-2.27,-2.2
2000-01-13,74.5732,77.1011,73.3751,76.8905,25165200,53.196,2.83,6.32,1.18,6.03
2000-01-14,78.3651,78.8917,77.5224,78.6811,21898600,53.3637,1.92,2.6,0.82,2.33
2000-01-18,77.5751,79.5764,77.0485,79.1024,16752400,53.5254,-1.41,1.14,-2.07,0.54
2000-01-19,78.7798,80.893,77.8845,80.893,19006000,53.6956,-0.41,2.26,-1.54,2.26
2000-01-20,80.4717,81.6303,79.2143,80.103,25958000,53.8642,-0.52,0.91,-2.08,-0.98
2000-01-21,81.3143,81.367,80.103,81.1036,18698200,54.0361,1.51,1.58,-0.0,1.25
2000-01-24,82.1043,82.2623,76.6535,77.2065,28340400,54.1869,1.23,1.43,-5.49,-4.81
2000-01-25,77.4171,79.3065,75.3369,78.3651,33276200,54.3452,0.27,2.72,-2.42,1.5
2000-01-26,78.5758,78.6284,74.9946,75.2052,23095600,54.4908,0.27,0.34,-4.3,-4.03
2000-01-27,77.3118,77.9437,73.8359,76.3111,30739200,54.6499,2.8,3.64,-1.82,1.47
2000-01-28,75.8372,76.2321,71.4133,72.4666,35313800,54.7867,-0.62,-0.1,-6.42,-5.04
2000-01-31,72.3613,75.8372,70.36,75.5739,36014600,54.9456,-0.15,4.65,-2.91,4.29
2000-02-01,75.4422,77.9438,74.5206,77.6014,26417600,55.1249,-0.17,3.14,-1.39,2.68
2000-02-02,77.7331,79.8133,77.6014,78.2597,26169200,55.3028,0.17,2.85,-0.0,0.85
2000-02-03,79.4711,81.4197,77.7595,81.3143,30579800,55.4854,1.55,4.04,-0.64,3.9
2000-02-04,81.7356,82.7823,81.0773,81.8673,26640000,55.6647,0.52,1.81,-0.29,0.68
2000-02-07,81.9462,83.1049,81.1036,82.9995,17761000,55.8467,0.1,1.51,-0.93,1.38
2000-02-08,83.7369,86.6861,83.7369,86.4754,21999400,56.0406,0.89,4.44,0.89,4.19
2000-02-09,86.0015,86.1134,83.2102,83.4209,27258200,56.223,-0.55,-0.42,-3.78,-3.53
2000-02-10,84.1055,86.1594,83.0456,86.1594,26341600,56.4271,0.82,3.28,-0.45,3.28
2000-02-11,86.0014,86.0014,82.5782,84.1582,24876000,56.623,-0.18,-0.18,-4.16,-2.32
2000-02-14,84.257,84.2636,82.3676,84.0529,22814600,56.8169,0.12,0.13,-2.13,-0.13
2000-02-15,83.3682,84.7902,80.7876,84.6585,30572800,57.0151,-0.81,0.88,-3.88,0.72
2000-02-16,84.1845,85.6854,83.6842,84.2635,25310600,57.2148,-0.56,1.21,-1.15,-0.47
2000-02-17,85.2642,87.0021,83.9476,86.0542,30080200,57.4168,1.19,3.25,-0.37,2.13
2000-02-18,86.4755,86.7914,82.9469,82.9469,25271200,57.6115,0.49,0.86,-3.61,-3.61
2000-02-22,83.4209,84.2109,81.1036,83.2102,37226200,57.8044,0.57,1.52,-2.22,0.32
2000-02-23,83.9936,88.4767,83.5525,87.8447,32170800,58.0182,0.94,6.33,0.41,5.57
2000-02-24,88.3714,89.9974,85.9488,89.7406,48868200,58.2379,0.6,2.45,-2.16,2.16
2000-02-25,89.4773,90.5833,87.5287,87.6867,32617600,58.4427,-0.29,0.94,-2.46,-2.29
2000-02-28,87.0021,89.056,84.6848,87.634,38216200,58.6515,-0.78,1.56,-3.42,-0.06
2000-02-29,89.1087,90.241,88.424,89.9513,23978600,58.8762,1.68,2.97,0.9,2.64
2000-03-01,90.3726,91.4786,89.7407,90.6886,24468400,59.1006,0.47,1.7,-0.23,0.82
2000-03-02,91.0572,91.1626,88.266,88.5886,32739200,59.3155,0.41,0.52,-2.67,-2.32
2000-03-03,91.0046,93.6378,90.1619,93.5852,32017200,59.5523,2.73,5.7,1.78,5.64
2000-03-06,94.1645,95.4021,92.9005,94.3225,23268400,59.799,0.62,1.94,-0.73,0.79
2000-03-07,95.9024,95.9551,91.6366,92.9005,39471000,60.0407,1.68,1.73,-2.85,-1.51
2000-03-08,93.5325,94.3752,89.5563,93.7432,43512600,60.2924,0.68,1.59,-3.6,0.91
2000-03-09,93.7168,97.3244,91.9262,96.903,30101400,60.5669,-0.03,3.82,-1.94,3.37
2000-03-10,96.7977,98.1143,95.6457,96.4817,29750600,60.8334,-0.11,1.25,-1.3,-0.43
2000-03-13,92.6899,96.1658,92.2949,93.9538,37544200,61.0875,-3.93,-0.33,-4.34,-2.62
2000-03-14,95.0071,95.5337,88.4767,90.4779,39106800,61.3207,1.12,1.68,-5.83,-3.7
2000-03-15,89.7406,90.1619,85.8434,86.6861,51202600,61.5398,-0.81,-0.35,-5.12,-4.19
2000-03-16,88.7927,92.0579,85.1062,91.6366,55282200,61.78,2.43,6.2,-1.82,5.71
2000-03-17,91.0046,93.5852,90.9519,93.3745,31422400,62.032,-0.69,2.13,-0.75,1.9
2000-03-20,93.5325,93.9538,89.53,90.7413,21167200,62.2643,0.17,0.62,-4.12,-2.82
2000-03-21,89.4246,94.3224,87.2654,94.1645,33435100,62.509,-1.45,3.95,-3.83,3.77
2000-03-22,95.6391,97.7193,93.6378,96.0604,24370200,62.7689,1.57,3.78,-0.56,2.01
2000-03-23,96.4686,99.2203,95.6918,97.7457,19227400,63.0336,0.42,3.29,-0.38,1.75
2000-03-24,98.9965,101.5376,96.9162,99.0623,22063000,63.3073,1.28,3.88,-0.85,1.35
2000-03-27,99.431,100.6949,98.6937,99.2203,11752600,63.5853,0.37,1.65,-0.37,0.16
2000-03-28,98.5751,99.2729,95.3231,96.6924,18336300,63.8547,-0.65,0.05,-3.93,-2.55
2000-03-29,97.219,97.2717,92.6899,92.6899,27189500,64.1009,0.54,0.6,-4.14,-4.14
2000-03-30,90.3726,95.0071,87.2127,90.3726,42328700,64.3244,-2.5,2.5,-5.91,-2.5
2000-03-31,91.1231,93.2165,87.6341,92.2686,31349900,64.5548,0.83,3.15,-3.03,2.1
2000-04-03,90.8071,91.9525,84.8955,86.7387,31551300,64.7565,-1.58,-0.34,-7.99,-5.99
2000-04-04,87.3181,87.5814,74.4152,85.8961,66213000,64.947,0.67,0.97,-14.21,-0.97
2000-04-05,82.157,87.5814,81.1037,84.3689,37631500,65.1371,-4.35,1.96,-5.58,-1.78
2000-04-06,86.2647,87.5287,84.0528,86.3701,30499900,65.3336,2.25,3.75,-0.37,2.37
2000-04-07,87.7394,90.478,86.4755,89.846,20645500,65.5521,1.59,4.76,0.12,4.02
2000-04-10,90.6886,90.7413,83.6316,84.3689,26988200,65.7436,0.94,1.0,-6.92,-6.1
2000-04-11,81.8409,85.5274,80.103,82.3676,34497100,65.9195,-3.0,1.37,-5.06,-2.37
2000-04-12,82.2622,83.2102,76.0478,77.5224,34824400,66.0681,-0.13,1.02,-7.67,-5.88
2000-04-13,78.2071,80.893,74.1519,74.1519,46330500,66.196,0.88,4.35,-4.35,-4.35
2000-04-14,72.5193,74.5732,65.7256,67.7268,60851300,66.2902,-2.2,0.57,-11.36,-8.66
2000-04-17,65.7387,75.8372,65.7256,75.5212,55398500,66.4203,-2.94,11.98,-2.95,11.51
2000-04-18,75.4026,78.365,73.6252,77.5224,36260900,66.562,-0.16,3.77,-2.51,2.65
2000-04-19,77.9438,78.8917,75.0472,75.1525,28082500,66.6914,0.54,1.77,-3.19,-3.06
2000-04-20,76.1531,76.6535,72.5193,73.5199,21255600,66.8094,1.33,2.0,-3.5,-2.17
2000-04-24,70.3074,71.8347,67.3055,71.4134,31190900,66.9143,-4.37,-2.29,-8.45,-2.87
2000-04-25,72.8879,76.2585,72.4666,76.2321,28663200,67.0447,2.06,6.78,1.47,6.75
2000-04-26,76.3638,77.8779,73.4146,73.6253,25688300,67.1632,0.17,2.16,-3.7,-3.42
2000-04-27,70.7814,77.9306,69.3068,76.8905,37010400,67.2937,-3.86,5.85,-5.87,4.43
2000-04-28,78.839,79.8396,77.6277,79.8396,24828400,67.4367,2.53,3.84,0.96,3.84
2000-05-01,80.6823,81.6303,79.4184,80.577,23205700,67.581,1.06,2.24,-0.53,0.92
