entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,recent_sell_count,holding_days
1999-04-08,2000-04-17,44.969495,65.370404,222372,4536591,0.4537,0.03,3,0,375
2000-06-08,2000-10-03,91.703012,59.246511,158518,-5144940,-0.3539,0.03,3,0,117
2003-03-21,2004-08-06,0.239383,0.347642,39232740,4247295,0.4522,0.03,3,0,504
2004-10-08,2005-04-18,0.430365,0.36601,31691560,-2039528,-0.1495,0.03,3,0,192
2005-05-27,2006-05-24,0.480798,0.425439,24125340,-1335560,-0.1151,0.03,3,0,362
2006-09-29,2008-01-09,0.47175,0.538353,21756982,1449082,0.1412,0.03,3,0,467
2008-05-07,2008-07-03,0.555779,0.414298,21074800,-2981683,-0.2546,0.03,3,0,57
2009-05-05,2010-07-01,0.115948,0.184022,75303326,5126234,0.5871,0.03,3,0,422
2010-08-10,2011-08-09,0.236802,0.288113,58519238,3002668,0.2167,0.03,3,0,364
2011-10-19,2015-08-25,0.386661,1.774838,43604547,60530871,3.5902,0.03,3,0,1406
2015-10-28,2016-01-14,2.384817,1.713562,32451557,-21783277,-0.2815,0.03,3,0,78
2016-04-19,2018-10-25,2.172549,6.078874,25595623,99984805,1.798,0.03,3,0,919
2019-02-28,2020-03-10,6.102144,8.10524,25498015,51074983,0.3283,0.03,3,0,376
2020-04-20,2022-01-24,7.819364,25.682089,26430223,472115804,2.2844,0.03,3,0,644
2023-02-07,2025-03-11,11.974997,29.367286,56683385,985853842,1.4524,0.03,3,0,763
