Date,equity,position
2005-03-01,10000000.0,0
2005-03-02,10000000.0,0
2005-03-03,10000000.0,0
2005-03-04,10000000.0,0
2005-03-07,10000000.0,0
2005-03-08,10000000.0,0
2005-03-09,10000000.0,0
2005-03-10,10000000.0,0
2005-03-11,10000000.0,0
2005-03-14,10000000.0,0
2005-03-15,10000000.0,0
2005-03-16,10000000.0,0
2005-03-17,10000000.0,0
2005-03-18,10000000.0,0
2005-03-21,10000000.0,0
2005-03-22,10000000.0,0
2005-03-23,10000000.0,0
2005-03-24,10000000.0,0
2005-03-28,10000000.0,0
2005-03-29,10000000.0,0
2005-03-30,10000000.0,0
2005-03-31,10000000.0,0
2005-04-01,10000000.0,0
2005-04-04,10000000.0,0
2005-04-05,10000000.0,0
2005-04-06,10000000.0,0
2005-04-07,10000000.0,0
2005-04-08,10000000.0,0
2005-04-11,10000000.0,0
2005-04-12,10000000.0,0
2005-04-13,10000000.0,0
2005-04-14,10000000.0,0
2005-04-15,10000000.0,0
2005-04-18,10000000.0,0
2005-04-19,10000000.0,0
2005-04-20,10000000.0,0
2005-04-21,10000000.0,0
2005-04-22,10000000.0,0
2005-04-25,10000000.0,0
2005-04-26,10000000.0,0
2005-04-27,10000000.0,0
2005-04-28,10000000.0,0
2005-04-29,10000000.0,0
2005-05-02,10000000.0,0
2005-05-03,10000000.0,0
2005-05-04,10000000.0,0
2005-05-05,10000000.0,0
2005-05-06,10000000.0,0
2005-05-09,10000000.0,0
2005-05-10,10000000.0,0
2005-05-11,10000000.0,0
2005-05-12,10000000.0,0
2005-05-13,10000000.0,0
2005-05-16,10000000.0,0
2005-05-17,10000000.0,0
2005-05-18,10000000.0,0
2005-05-19,10000000.0,0
2005-05-20,10000000.0,0
2005-05-23,10000000.0,0
2005-05-24,10000000.0,0
2005-05-25,10000000.0,0
2005-05-26,10000000.0,0
2005-05-27,10000000.0,0
2005-05-31,10000000.0,0
2005-06-01,10250638.0,20994391
2005-06-02,10463500.0,20994391
2005-06-03,10005297.0,20994391
2005-06-06,10009853.0,20994391
2005-06-07,9754372.0,20994391
2005-06-08,9689164.0,20994391
2005-06-09,9870933.0,20994391
2005-06-10,9555513.0,20994391
2005-06-13,9689731.0,20994391
2005-06-14,9570923.0,20994391
2005-06-15,9659436.0,20994391
2005-06-16,9809924.0,20994391
2005-06-17,9810553.0,20994391
2005-06-20,9807278.0,20994391
2005-06-21,9788446.0,20994391
2005-06-22,9754162.0,20994391
2005-06-23,9425852.0,20994391
2005-06-24,9105058.0,20994391
2005-06-27,8976425.0,20994391
2005-06-28,9229576.0,20994391
2005-06-29,9166865.0,20994391
2005-06-30,8948671.0,20994391
2005-07-01,8908991.0,20994391
2005-07-05,9182317.0,20994391
2005-07-06,9045434.0,20994391
2005-07-07,9137767.0,20994391
2005-07-08,9659688.0,20994391
2005-07-11,9924763.0,20994391
2005-07-12,10061835.0,20994391
2005-07-13,10129206.0,20994391
2005-07-14,10426403.0,20994391
2005-07-15,10519492.0,20994391
2005-07-18,10385926.0,20994391
2005-07-19,10744237.0,20994391
2005-07-20,10970766.0,20994391
2005-07-21,10975217.0,20994391
2005-07-22,10929596.0,20994391
2005-07-25,10800943.0,20994391
2005-07-26,10920863.0,20994391
2005-07-27,11166329.0,20994391
2005-07-28,11322590.0,20994391
2005-07-29,11037676.0,20994391
2005-08-01,11092051.0,20994391
2005-08-02,11448746.0,20994391
2005-08-03,11427226.0,20994391
2005-08-04,11089133.0,20994391
2005-08-05,10925607.0,20994391
2005-08-08,10680666.0,20994391
2005-08-09,10889203.0,20994391
2005-08-10,10603512.0,20994391
2005-08-11,10859748.0,20994391
2005-08-12,10673843.0,20994391
2005-08-15,10865794.0,20994391
2005-08-16,10332831.0,20994391
2005-08-17,10512606.0,20994391
2005-08-18,10347044.0,20994391
2005-08-19,10327120.0,20994391
2005-08-22,10339150.0,20994391
2005-08-23,10247384.0,20994391
2005-08-24,10060911.0,20994391
2005-08-25,10127674.0,20994391
2005-08-26,10021442.0,20994391
2005-08-29,10252128.0,20994391
2005-08-30,10137163.0,20994391
2005-08-31,10416787.0,20994391
2005-09-01,10364595.0,20994391
2005-09-02,10240686.0,20994391
2005-09-06,10688329.0,20994391
2005-09-07,10741193.0,20994391
2005-09-08,10728827.0,20994391
2005-09-09,10904319.0,20994391
2005-09-12,10990858.0,20994391
2005-09-13,10903542.0,20994391
2005-09-14,10527848.0,20994391
2005-09-15,10507567.0,20994391
2005-09-16,10696664.0,20994391
2005-09-19,10439986.0,20994391
2005-09-20,10307680.0,20994391
2005-09-21,9962070.0,20994391
2005-09-22,10066853.0,20994391
2005-09-23,10148857.0,20994391
2005-09-26,10152720.0,20994391
2005-09-27,10078022.0,20994391
2005-09-28,10081885.0,20994391
2005-09-29,10484536.0,20994391
2005-09-30,10689043.0,20994391
2005-10-03,10765903.0,20994391
2005-10-04,10549241.0,20994391
2005-10-05,10110059.0,20994391
2005-10-06,9706862.0,20994391
2005-10-07,9771399.0,20994391
2005-10-10,9606824.0,20994391
2005-10-11,9459296.0,20994391
2005-10-12,9118830.0,20994391
2005-10-13,9326717.0,20994391
2005-10-14,9530257.0,20994391
2005-10-17,9616502.0,20994391
2005-10-18,9408553.0,20994391
2005-10-19,9970552.0,20994391
2005-10-20,9687988.0,20994391
2005-10-21,9866126.0,20994391
2005-10-24,10330416.0,20994391
2005-10-25,10207494.0,20994391
2005-10-26,10046320.0,20994391
2005-10-27,9436454.0,20994391
2005-10-28,9648477.0,20994391
2005-10-31,10059967.0,20994391
2005-11-01,10032317.0,20994391
2005-11-02,10423170.0,20994391
2005-11-03,10887524.0,20994391
2005-11-04,10997303.0,20994391
2005-11-07,11033687.0,20994391
2005-11-08,11037151.0,20994391
2005-11-09,11048866.0,20994391
2005-11-10,11407240.0,20994391
2005-11-11,11495017.0,20994391
2005-11-14,11490042.0,20994391
2005-11-15,11324186.0,20994391
2005-11-16,11528902.0,20994391
2005-11-17,11982003.0,20994391
2005-11-18,12098648.0,20994391
2005-11-21,12180967.0,20994391
2005-11-22,12307605.0,20994391
2005-11-23,12390827.0,20994391
2005-11-25,12465504.0,20994391
2005-11-28,12147649.0,20994391
2005-11-29,11966929.0,20994391
2005-11-30,11874890.0,20994391
2005-12-01,12534723.0,20994391
2005-12-02,12618574.0,20994391
2005-12-05,12334226.0,20994391
2005-12-06,12452592.0,20994391
2005-12-07,12375732.0,20994391
2005-12-08,12104065.0,20994391
2005-12-09,12238429.0,20994391
2005-12-12,12364899.0,20994391
2005-12-13,12509949.0,20994391
2005-12-14,12379343.0,20994391
2005-12-15,12435818.0,20994391
2005-12-16,12172695.0,20994391
2005-12-19,11587540.0,20994391
2005-12-20,11607841.0,20994391
2005-12-21,11755684.0,20994391
2005-12-22,11981877.0,20994391
2005-12-23,11976482.0,20994391
2005-12-27,11658669.0,20994391
2005-12-28,11610801.0,20994391
2005-12-29,11376126.0,20994391
2005-12-30,11111177.0,20994391
2006-01-03,11848416.0,20994391
2006-01-04,12212921.0,20994391
2006-01-05,12365235.0,20994391
2006-01-06,13032017.0,20994391
2006-01-09,13181686.0,20994391
2006-01-10,13203268.0,20994391
2006-01-11,13501934.0,20994391
2006-01-12,13298813.0,20994391
2006-01-13,13274082.0,20994391
