window_idx,is_start,is_end,oos_start,oos_end,best_ma_window,best_buy_buffer_zone_pct,best_sell_buffer_zone_pct,best_hold_days,is_cagr,is_mdd,is_calmar,is_trades,is_win_rate,oos_cagr,oos_mdd,oos_calmar,oos_trades,oos_win_rate,wfe_calmar,wfe_cagr
0,1999-03-10,2005-02-28,2005-03-01,2007-02-28,100,0.03,0.01,5,15.11,-79.22,0.1907,6,33.33,-0.22,-25.87,-0.0083,2,0.0,-0.0436,-0.0142
1,1999-03-10,2007-02-28,2007-03-01,2009-02-28,100,0.03,0.01,5,10.86,-79.22,0.137,8,25.0,-23.7,-51.98,-0.4559,3,0.0,-3.3265,-2.183
2,1999-03-10,2009-02-28,2009-03-01,2011-02-28,100,0.03,0.01,5,1.62,-79.22,0.0204,12,25.0,93.71,-28.64,3.2718,2,100.0,160.209,57.9264
3,1999-03-10,2011-02-28,2011-03-01,2013-02-28,100,0.03,0.01,5,13.55,-79.22,0.171,14,35.71,-21.03,-43.4,-0.4845,5,20.0,-2.8335,-1.5523
4,1999-03-10,2013-02-28,2013-03-01,2015-02-28,100,0.03,0.01,5,6.38,-79.22,0.0806,20,35.0,56.9,-23.32,2.4402,2,100.0,30.2863,8.9151
5,1999-03-10,2015-02-28,2015-03-01,2017-02-28,100,0.03,0.01,5,11.8,-79.22,0.149,22,40.91,-12.76,-53.22,-0.2398,4,0.0,-1.6091,-1.0811
6,1999-03-10,2017-02-28,2017-03-01,2019-02-28,100,0.03,0.01,5,8.71,-79.22,0.1099,26,38.46,7.9,-29.49,0.268,2,50.0,2.4375,0.9074
7,1999-03-10,2019-02-28,2019-03-01,2021-02-28,100,0.03,0.01,5,10.31,-79.22,0.1302,28,39.29,48.08,-44.96,1.0693,2,0.0,8.212,4.6613
8,1999-03-10,2021-02-28,2021-03-01,2023-02-28,100,0.03,0.01,5,13.21,-79.22,0.1668,31,35.48,-18.33,-42.87,-0.4276,4,25.0,-2.5634,-1.3874
9,1999-03-10,2023-02-28,2023-03-01,2025-02-28,100,0.03,0.01,5,9.74,-79.22,0.123,36,36.11,-1.96,-54.85,-0.0358,5,40.0,-0.2908,-0.2013
10,1999-03-10,2025-02-28,2025-03-01,2026-03-12,100,0.03,0.01,5,9.45,-79.22,0.1194,41,36.59,38.59,-22.97,1.6797,1,100.0,14.0732,4.0816
