entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-08-23,2000-04-13,45.8751,114.5369,217983,14967110,1.4967,0.03,5,234
2000-08-25,2000-09-18,90.5557,70.6985,275710,-5474819,-0.2193,0.03,5,24
2001-11-21,2002-02-06,1.3473,1.074,14467445,-3953572,-0.2028,0.03,5,77
2002-11-07,2003-02-05,0.237,0.1759,65561474,-4006605,-0.2578,0.03,5,90
2003-04-28,2004-03-09,0.2292,0.4556,50320678,11392687,0.9879,0.03,5,316
2004-11-04,2005-01-25,0.469,0.4489,48882076,-980455,-0.0428,0.03,5,82
2005-06-06,2005-10-11,0.4788,0.4602,45836469,-851945,-0.0388,0.03,5,127
2005-11-11,2006-03-10,0.5518,0.5115,38223161,-1539963,-0.073,0.03,5,119
2006-09-21,2007-03-05,0.4612,0.472,42391528,457367,0.0234,0.03,5,165
2007-04-30,2007-08-16,0.6196,0.5435,32294753,-2457716,-0.1228,0.03,5,108
2007-09-26,2007-11-13,0.7644,0.6488,22961363,-2655059,-0.1513,0.03,5,48
2008-05-09,2008-07-01,0.5247,0.4108,28391116,-3234669,-0.2171,0.03,5,53
2009-04-08,2010-02-01,0.0877,0.1961,132993374,14420946,1.2365,0.03,5,299
2010-03-09,2010-05-10,0.2478,0.2571,105240690,970443,0.0372,0.03,5,62
