Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
2010-01-21,10000000,0,59.332152,54.723829,0.03,0.05,0.0
2010-01-22,10000000,0,59.331127,54.722884,0.03,0.05,0.0
2010-01-25,10000000,0,59.327422,54.719467,0.03,0.05,0.0
2010-01-26,10000000,0,59.323946,54.716261,0.03,0.05,0.0
2010-01-27,10000000,0,59.320184,54.712791,0.03,0.05,0.0
2010-01-28,10000000,0,59.316139,54.70906,0.03,0.05,0.0
2010-01-29,10000000,0,59.317259,54.710093,0.03,0.05,0.0
2010-02-01,10000000,0,59.313,54.706165,0.03,0.05,0.0
2010-02-02,10000000,0,59.310455,54.703817,0.03,0.05,0.0
2010-02-03,10000000,0,59.301121,54.695209,0.03,0.05,0.0
2010-02-04,10000000,0,59.301072,54.695164,0.03,0.05,0.0
2010-02-05,10000000,0,59.302311,54.696306,0.03,0.05,0.0
2010-02-08,10000000,0,59.304308,54.698148,0.03,0.05,0.0
2010-02-09,10000000,0,59.300371,54.694517,0.03,0.05,0.0
2010-02-10,10000000,0,59.290879,54.685763,0.03,0.05,0.0
2010-02-11,10000000,0,59.278333,54.674191,0.03,0.05,0.0
2010-02-12,10000000,0,59.26829,54.664928,0.03,0.05,0.0
2010-02-16,10000000,0,59.259441,54.656766,0.03,0.05,0.0
2010-02-17,10000000,0,59.244057,54.642577,0.03,0.05,0.0
2010-02-18,10000000,0,59.226512,54.626395,0.03,0.05,0.0
2010-02-19,10000000,0,59.212228,54.61322,0.03,0.05,0.0
2010-02-22,10000000,0,59.195707,54.597982,0.03,0.05,0.0
2010-02-23,10000000,0,59.188286,54.591138,0.03,0.05,0.0
2010-02-24,10000000,0,59.182353,54.585666,0.03,0.05,0.0
2010-02-25,10000000,0,59.179758,54.583272,0.03,0.05,0.0
2010-02-26,10000000,0,59.18021,54.583689,0.03,0.05,0.0
2010-03-01,10000000,0,59.1804,54.583864,0.03,0.05,0.0
2010-03-02,10000000,0,59.179814,54.583324,0.03,0.05,0.0
2010-03-03,10000000,0,59.177751,54.58142,0.03,0.05,0.0
2010-03-04,10000000,0,59.178803,54.582391,0.03,0.05,0.0
2010-03-05,10000000,0,59.172106,54.576215,0.03,0.05,0.0
2010-03-08,10000000,0,59.162446,54.567304,0.03,0.05,0.0
2010-03-09,10000000,0,59.15301,54.558601,0.03,0.05,0.0
2010-03-10,10000000,0,59.142185,54.548617,0.03,0.05,0.0
2010-03-11,10000000,0,59.133595,54.540695,0.03,0.05,0.0
2010-03-12,10000000,0,59.128703,54.536182,0.03,0.05,0.0
2010-03-15,10000000,0,59.123085,54.531001,0.03,0.05,0.0
2010-03-16,10000000,0,59.122167,54.530154,0.03,0.05,0.0
2010-03-17,10000000,0,59.123773,54.531635,0.03,0.05,0.0
2010-03-18,10000000,0,59.123428,54.531317,0.03,0.05,0.0
2010-03-19,10000000,0,59.123667,54.531537,0.03,0.05,0.0
2010-03-22,10000000,0,59.124548,54.53235,0.03,0.05,0.0
2010-03-23,10000000,0,59.122648,54.530598,0.03,0.05,0.0
2010-03-24,10000000,0,59.110061,54.518988,0.03,0.05,0.0
2010-03-25,10000000,0,59.093923,54.504104,0.03,0.05,0.0
2010-03-26,10000000,0,59.079559,54.490855,0.03,0.05,0.0
2010-03-29,10000000,0,59.063144,54.475715,0.03,0.05,0.0
2010-03-30,10000000,0,59.048699,54.462392,0.03,0.05,0.0
2010-03-31,10000000,0,59.038332,54.45283,0.03,0.05,0.0
2010-04-01,10000000,0,59.026656,54.442061,0.03,0.05,0.0
2010-04-05,10000000,0,59.005516,54.422564,0.03,0.05,0.0
2010-04-06,10000000,0,58.985494,54.404096,0.03,0.05,0.0
2010-04-07,10000000,0,58.97292,54.392499,0.03,0.05,0.0
2010-04-08,10000000,0,58.96073,54.381256,0.03,0.05,0.0
2010-04-09,10000000,0,58.95002,54.371378,0.03,0.05,0.0
2010-04-12,10000000,0,58.94246,54.364405,0.03,0.05,0.0
2010-04-13,10000000,0,58.936852,54.359232,0.03,0.05,0.0
2010-04-14,10000000,0,58.927222,54.35035,0.03,0.05,0.0
2010-04-15,10000000,0,58.918335,54.342154,0.03,0.05,0.0
2010-04-16,10000000,0,58.913744,54.337919,0.03,0.05,0.0
2010-04-19,10000000,0,58.907774,54.332413,0.03,0.05,0.0
2010-04-20,10000000,0,58.903935,54.328872,0.03,0.05,0.0
2010-04-21,10000000,0,58.904924,54.329785,0.03,0.05,0.0
2010-04-22,10000000,0,58.904156,54.329076,0.03,0.05,0.0
2010-04-23,10000000,0,58.901324,54.326464,0.03,0.05,0.0
2010-04-26,10000000,0,58.899168,54.324475,0.03,0.05,0.0
2010-04-27,10000000,0,58.905254,54.330088,0.03,0.05,0.0
2010-04-28,10000000,0,58.90623,54.330989,0.03,0.05,0.0
2010-04-29,10000000,0,58.909656,54.334149,0.03,0.05,0.0
2010-04-30,10000000,0,58.919845,54.343546,0.03,0.05,0.0
2010-05-03,10000000,0,58.929153,54.352131,0.03,0.05,0.0
2010-05-04,10000000,0,58.949086,54.370516,0.03,0.05,0.0
