Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
2009-09-18,10000000,0,92.9626,85.7422,0.03,0.05,0.0
2009-09-21,10000000,0,93.0769,85.8476,0.03,0.05,0.0
2009-09-22,10000000,0,93.2014,85.9624,0.03,0.05,0.0
2009-09-23,10000000,0,93.3265,86.0779,0.03,0.05,0.0
2009-09-24,10000000,0,93.4365,86.1793,0.03,0.05,0.0
2009-09-25,10000000,0,93.543,86.2775,0.03,0.05,0.0
2009-09-28,10000000,0,93.632,86.3597,0.03,0.05,0.0
2009-09-29,10000000,0,93.7185,86.4394,0.03,0.05,0.0
2009-09-30,10000000,0,93.8114,86.525,0.03,0.05,0.0
2009-10-01,10000000,0,93.8901,86.5977,0.03,0.05,0.0
2009-10-02,10000000,0,93.9617,86.6637,0.03,0.05,0.0
2009-10-05,10000000,0,94.0359,86.7321,0.03,0.05,0.0
2009-10-06,10000000,0,94.1307,86.8195,0.03,0.05,0.0
2009-10-07,10000000,0,94.2323,86.9133,0.03,0.05,0.0
2009-10-08,10000000,0,94.3362,87.0091,0.03,0.05,0.0
2009-10-09,10000000,0,94.4403,87.1051,0.03,0.05,0.0
2009-10-12,10000000,0,94.5438,87.2006,0.03,0.05,0.0
2009-10-13,10000000,0,94.6399,87.2892,0.03,0.05,0.0
2009-10-14,10000000,0,94.7317,87.3739,0.03,0.05,0.0
2009-10-15,10000000,0,94.8191,87.4545,0.03,0.05,0.0
2009-10-16,10000000,0,94.9049,87.5336,0.03,0.05,0.0
2009-10-19,10000000,0,94.9976,87.6191,0.03,0.05,0.0
2009-10-20,10000000,0,95.0951,87.7091,0.03,0.05,0.0
2009-10-21,10000000,0,95.191,87.7975,0.03,0.05,0.0
2009-10-22,10000000,0,95.3,87.8981,0.03,0.05,0.0
2009-10-23,10000000,0,95.398,87.9885,0.03,0.05,0.0
2009-10-26,10000000,0,95.4904,88.0737,0.03,0.05,0.0
2009-10-27,10000000,0,95.599,88.1739,0.03,0.05,0.0
2009-10-28,10000000,0,95.7013,88.2682,0.03,0.05,0.0
2009-10-29,10000000,0,95.8192,88.3769,0.03,0.05,0.0
2009-10-30,10000000,0,95.9332,88.4821,0.03,0.05,0.0
2009-11-02,10000000,0,96.0426,88.583,0.03,0.05,0.0
2009-11-03,10000000,0,96.1556,88.6872,0.03,0.05,0.0
2009-11-04,10000000,0,96.2738,88.7962,0.03,0.05,0.0
2009-11-05,10000000,0,96.3892,88.9026,0.03,0.05,0.0
2009-11-06,10000000,0,96.4865,88.9924,0.03,0.05,0.0
2009-11-09,10000000,0,96.5856,89.0838,0.03,0.05,0.0
2009-11-10,10000000,0,96.6886,89.1788,0.03,0.05,0.0
2009-11-11,10000000,0,96.8029,89.2842,0.03,0.05,0.0
2009-11-12,10000000,0,96.8992,89.3731,0.03,0.05,0.0
2009-11-13,10000000,0,96.9941,89.4606,0.03,0.05,0.0
2009-11-16,10000000,0,97.1115,89.5688,0.03,0.05,0.0
2009-11-17,10000000,0,97.2325,89.6805,0.03,0.05,0.0
2009-11-18,10000000,0,97.3513,89.7901,0.03,0.05,0.0
2009-11-19,10000000,0,97.4656,89.8954,0.03,0.05,0.0
2009-11-20,10000000,0,97.5858,90.0063,0.03,0.05,0.0
2009-11-23,10000000,0,97.7196,90.1297,0.03,0.05,0.0
2009-11-24,10000000,0,97.8458,90.2462,0.03,0.05,0.0
2009-11-25,10000000,0,97.9711,90.3617,0.03,0.05,0.0
2009-11-27,10000000,0,98.0839,90.4657,0.03,0.05,0.0
2009-11-30,10000000,0,98.2028,90.5754,0.03,0.05,0.0
2009-12-01,10000000,0,98.3157,90.6795,0.03,0.05,0.0
2009-12-02,10000000,0,98.4304,90.7853,0.03,0.05,0.0
2009-12-03,10000000,0,98.5485,90.8942,0.03,0.05,0.0
2009-12-04,10000000,0,98.6306,90.97,0.03,0.05,0.0
2009-12-07,10000000,0,98.7098,91.0431,0.03,0.05,0.0
2009-12-08,10000000,0,98.7934,91.1201,0.03,0.05,0.0
2009-12-09,10000000,0,98.8845,91.2041,0.03,0.05,0.0
2009-12-10,10000000,0,98.9759,91.2885,0.03,0.05,0.0
2009-12-11,10000000,0,99.0619,91.3678,0.03,0.05,0.0
2009-12-14,10000000,0,99.1613,91.4595,0.03,0.05,0.0
2009-12-15,10000000,0,99.2652,91.5553,0.03,0.05,0.0
2009-12-16,10000000,0,99.3816,91.6626,0.03,0.05,0.0
2009-12-17,10000000,0,99.4607,91.7356,0.03,0.05,0.0
2009-12-18,10000000,0,99.5465,91.8147,0.03,0.05,0.0
2009-12-21,10000000,0,99.6308,91.8925,0.03,0.05,0.0
2009-12-22,10000000,0,99.7237,91.9781,0.03,0.05,0.0
2009-12-23,10000000,0,99.8129,92.0605,0.03,0.05,0.0
2009-12-24,10000000,0,99.9018,92.1424,0.03,0.05,0.0
2009-12-28,10000000,0,99.9906,92.2244,0.03,0.05,0.0
2009-12-29,10000000,0,100.0765,92.3036,0.03,0.05,0.0
2009-12-30,10000000,0,100.1635,92.3838,0.03,0.05,0.0
