Date,equity,position,drawdown_pct
1999-03-10,9970090,266351,0.0
1999-03-11,10111291,266351,0.0
1999-03-12,9367037,266351,-7.36
1999-03-15,10169030,266351,0.0
1999-03-16,10422857,266351,0.0
1999-03-17,10191632,266351,-2.22
1999-03-18,10779252,266351,0.0
1999-03-19,9946902,266351,-7.72
1999-03-22,9577543,266351,-11.15
1999-03-23,8560940,266351,-20.58
1999-03-24,9427890,266351,-12.54
1999-03-25,10456225,266351,-3.0
1999-03-26,10113429,266351,-6.18
1999-03-29,11207425,266351,0.0
1999-03-30,10966429,266351,-2.15
1999-03-31,10477992,266351,-6.51
1999-04-01,11127852,266351,-0.71
1999-04-05,12329686,266351,0.0
1999-04-06,12396218,266351,0.0
1999-04-07,12003203,266351,-3.17
1999-04-08,12283282,266351,-0.91
1999-04-09,12505300,266351,0.0
1999-04-12,12246798,266351,-2.07
1999-04-13,11743416,266351,-6.09
1999-04-14,10529471,266351,-15.8
1999-04-15,10953930,266351,-12.41
1999-04-16,9989097,266351,-20.12
1999-04-19,8578378,266351,-31.4
1999-04-20,9158482,266351,-26.76
1999-04-21,10509725,266351,-15.96
1999-04-22,11356922,266351,-9.18
1999-04-23,11799629,266351,-5.64
1999-04-26,12608502,266351,0.0
1999-04-27,12022326,266351,-4.65
1999-04-28,10782203,266351,-14.48
1999-04-29,10513654,266351,-16.61
1999-04-30,10711362,266351,-15.05
1999-05-03,10537608,266351,-16.42
1999-05-04,10033020,266351,-20.43
1999-05-05,10939919,266351,-13.23
1999-05-06,9741862,266351,-22.74
1999-05-07,10156595,266351,-19.45
1999-05-10,10456958,266351,-17.06
1999-05-11,10946310,266351,-13.18
1999-05-12,11620466,266351,-7.84
1999-05-13,10966343,266351,-13.02
1999-05-14,10337453,266351,-18.01
1999-05-17,10890124,266351,-13.63
1999-05-18,10738971,266351,-14.83
1999-05-19,11179849,266351,-11.33
1999-05-20,10252504,266351,-18.69
1999-05-21,9963555,266351,-20.98
1999-05-24,9198782,266351,-27.04
1999-05-25,8290333,266351,-34.25
1999-05-26,8979947,266351,-28.78
1999-05-27,8950665,266351,-29.01
1999-05-28,9388664,266351,-25.54
1999-06-01,8757878,266351,-30.54
1999-06-02,9197155,266351,-27.06
1999-06-03,8800728,266351,-30.2
1999-06-04,9605049,266351,-23.82
1999-06-07,10199673,266351,-19.1
1999-06-08,9428078,266351,-25.22
1999-06-09,9896279,266351,-21.51
1999-06-10,9551004,266351,-24.25
1999-06-11,9111777,266351,-27.73
1999-06-14,8591531,266351,-31.86
1999-06-15,8971540,266351,-28.85
1999-06-16,10349314,266351,-17.92
1999-06-17,10688479,266351,-15.23
1999-06-18,10829201,266351,-14.11
1999-06-21,11796182,266351,-6.44
1999-06-22,10722415,266351,-14.96
1999-06-23,11224030,266351,-10.98
1999-06-24,10549580,266351,-16.33
1999-06-25,10503465,266351,-16.7
1999-06-28,11245267,266351,-10.81
1999-06-29,11700804,266351,-7.2
1999-06-30,12235965,266351,-2.95
1999-07-01,12478110,266351,-1.03
1999-07-02,12945168,266351,0.0
1999-07-06,12690197,266351,-1.97
1999-07-07,12744415,266351,-1.55
1999-07-08,13248328,266351,0.0
1999-07-09,13639383,266351,0.0
1999-07-12,13418273,266351,-1.62
1999-07-13,13220768,266351,-3.07
1999-07-14,13888185,266351,0.0
1999-07-15,14264159,266351,0.0
1999-07-16,14652194,266351,0.0
1999-07-19,14196570,266351,-3.11
1999-07-20,12545698,266351,-14.38
1999-07-21,12720097,266351,-13.19
1999-07-22,11742882,266351,-19.86
1999-07-23,11789404,266351,-19.54
1999-07-26,10914702,266351,-25.51
1999-07-27,11568006,266351,-21.05
1999-07-28,12241891,266351,-16.45
1999-07-29,11450242,266351,-21.85
1999-07-30,11274113,266351,-23.06
1999-08-02,11174479,266351,-23.74
1999-08-03,10950188,266351,-25.27
1999-08-04,10349047,266351,-29.37
1999-08-05,10836741,266351,-26.04
1999-08-06,10481065,266351,-28.47
1999-08-09,10071218,266351,-31.26
1999-08-10,9793342,266351,-33.16
1999-08-11,10754789,266351,-26.6
1999-08-12,10370091,266351,-29.22
1999-08-13,11719246,266351,-20.02
1999-08-16,11993811,266351,-18.14
1999-08-17,12166109,266351,-16.97
1999-08-18,11749269,266351,-19.81
1999-08-19,11323124,266351,-22.72
1999-08-20,11856320,266351,-19.08
1999-08-23,12981038,266351,-11.41
1999-08-24,13238331,266351,-9.65
1999-08-25,14075969,266351,-3.93
1999-08-26,13365435,266351,-8.78
1999-08-27,12959163,266351,-11.55
1999-08-30,12404114,266351,-15.34
1999-08-31,12810921,266351,-12.57
1999-09-01,13080238,266351,-10.73
