Date,Open,High,Low,Close,change_pct
2003-04-14,7.186548,7.236704,7.186548,7.236704,
2003-04-15,7.281126,7.344179,7.281126,7.322684,1.19
2003-04-16,7.401501,7.437326,7.401501,7.407233,1.15
2003-04-17,7.448071,7.462401,7.435174,7.460251,0.72
2003-04-21,7.468853,7.469569,7.451657,7.457388,-0.04
2003-04-22,7.456671,7.482466,7.433744,7.482466,0.34
2003-04-23,7.487479,7.517573,7.462402,7.517573,0.47
2003-04-24,7.458819,7.458819,7.351343,7.369256,-1.97
2003-04-25,7.266082,7.266082,7.236705,7.247452,-1.65
2003-04-28,7.266081,7.367107,7.265364,7.367107,1.65
2003-04-29,7.481033,7.580627,7.481033,7.577044,2.85
2003-04-30,7.559131,7.565579,7.536203,7.555549,-0.28
2003-05-01,7.534051,7.564144,7.523304,7.52617,-0.39
2003-05-02,7.550532,7.641528,7.550532,7.641528,1.53
2003-05-05,7.670191,7.725362,7.670191,7.723929,1.08
2003-05-06,7.723927,7.772649,7.716762,7.763335,0.51
2003-05-07,7.731091,7.750437,7.724643,7.749004,-0.18
2003-05-08,7.702431,7.70673,7.673771,7.680936,-0.88
2003-05-09,7.691685,7.77695,7.691685,7.771217,1.18
2003-05-12,7.806323,7.879406,7.80274,7.879406,1.39
2003-05-13,7.851465,7.851465,7.81349,7.834985,-0.56
2003-05-14,7.834984,7.834984,7.78053,7.795577,-0.5
2003-05-15,7.811338,7.811338,7.791993,7.811338,0.2
2003-05-16,7.831404,7.845734,7.795579,7.817074,0.07
2003-05-19,7.766918,7.766918,7.602122,7.630782,-2.38
2003-05-20,7.648693,7.678071,7.627199,7.668756,0.5
2003-05-21,7.655144,7.677356,7.61502,7.675206,0.08
2003-05-22,7.677355,7.744706,7.677355,7.744706,0.91
2003-05-23,7.799161,7.842867,7.799161,7.824238,1.03
2003-05-27,7.842867,8.109408,7.842867,8.104392,3.58
2003-05-28,8.104393,8.150966,8.104393,8.139502,0.43
2003-05-29,8.132334,8.166727,8.118005,8.150248,0.13
2003-05-30,8.168159,8.244825,8.15168,8.244825,1.16
2003-06-02,8.268474,8.397444,8.268474,8.304299,0.72
2003-06-03,8.311461,8.311461,8.173175,8.241243,-0.76
2003-06-04,8.23981,8.348002,8.23981,8.347285,1.29
2003-06-05,8.377377,8.377377,8.301428,8.355883,0.1
2003-06-06,8.401022,8.519245,8.400305,8.433981,0.93
2003-06-09,8.444731,8.444731,8.335106,8.361616,-0.86
2003-06-10,8.364483,8.447598,8.364483,8.447598,1.03
