Date,equity,position,drawdown_pct
2001-08-27,9950730,448189,0.0
2001-08-28,9836896,448189,-1.14
2001-08-29,9791979,448189,-1.6
2001-08-30,9652592,448189,-3.0
2001-08-31,9675828,448189,-2.76
2001-09-04,9455131,448189,-4.98
2001-09-05,9397050,448189,-5.56
2001-09-06,9184096,448189,-7.7
2001-09-07,9129890,448189,-8.25
2001-09-10,9025351,448189,-9.3
2001-09-17,8630417,448189,-13.27
2001-09-18,8560725,448189,-13.97
2001-09-19,8537496,448189,-14.2
2001-09-20,8165795,448189,-17.94
2001-09-21,7937355,448189,-20.23
2001-09-24,8305182,448189,-16.54
2001-09-25,8401979,448189,-15.56
2001-09-26,8444572,448189,-15.14
2001-09-27,8577760,448189,-13.8
2001-09-28,8745028,448189,-12.12
2001-10-01,8697791,448189,-12.59
2001-10-02,8728501,448189,-12.28
2001-10-03,8817687,448189,-11.39
2001-10-04,8911522,448189,-10.44
2001-10-05,8925482,448189,-10.3
2001-10-08,8871971,448189,-10.84
2001-10-09,8848706,448189,-11.07
2001-10-10,9027075,448189,-9.28
2001-10-11,9089119,448189,-8.66
2001-10-12,9077482,448189,-8.78
2001-10-15,8934014,448189,-10.22
2001-10-16,9058096,448189,-8.97
2001-10-17,9065853,448189,-8.89
2001-10-18,8992179,448189,-9.63
2001-10-19,8902992,448189,-10.53
2001-10-22,8965034,448189,-9.91
2001-10-23,9036380,448189,-9.19
2001-10-24,9127118,448189,-8.28
2001-10-25,9113933,448189,-8.41
2001-10-26,9172873,448189,-7.82
2001-10-29,8981319,448189,-9.74
2001-10-30,8879730,448189,-10.76
2001-10-31,8904543,448189,-10.51
2001-11-01,9092220,448189,-8.63
2001-11-02,9091443,448189,-8.64
2001-11-05,9182180,448189,-7.72
2001-11-06,9277570,448189,-6.76
2001-11-07,9193810,448189,-7.61
2001-11-08,9259728,448189,-6.94
2001-11-09,9244222,448189,-7.1
2001-11-12,9120139,448189,-8.35
2001-11-13,9203893,448189,-7.51
2001-11-14,9213202,448189,-7.41
2001-11-15,9252750,448189,-7.01
2001-11-16,9304713,448189,-6.49
2001-11-19,9351244,448189,-6.02
2001-11-20,9286874,448189,-6.67
2001-11-21,9262831,448189,-6.91
2001-11-23,9292303,448189,-6.62
2001-11-26,9382265,448189,-5.71
2001-11-27,9309363,448189,-6.45
2001-11-28,9147281,448189,-8.07
2001-11-29,9167443,448189,-7.87
