Date,equity,position,drawdown_pct
2004-11-18,10000000,0,0.0
2004-11-19,10035077,224097,0.0
2004-11-22,10073174,224097,0.0
2004-11-23,10028355,224097,-0.44
2004-11-24,10095583,224097,0.0
2004-11-26,10149367,224097,0.0
2004-11-29,10174018,224097,0.0
2004-11-30,10111270,224097,-0.62
2004-12-01,10169536,224097,-0.04
2004-12-02,10073174,224097,-0.99
2004-12-03,10218837,224097,0.0
2004-12-06,10122475,224097,-0.94
2004-12-07,10109030,224097,-1.07
2004-12-08,9862522,224097,-3.49
2004-12-09,9810980,224097,-3.99
2004-12-10,9734787,224097,-4.74
2004-12-13,9840113,224097,-3.71
2004-12-14,9759438,224097,-4.5
2004-12-15,9858041,224097,-3.53
2004-12-16,9788571,224097,-4.21
2004-12-17,9902860,224097,-3.09
2004-12-20,9936475,224097,-2.76
2004-12-21,9909583,224097,-3.03
2004-12-22,9864764,224097,-3.46
2004-12-23,9920788,224097,-2.92
2004-12-27,9967848,224097,-2.46
2004-12-28,9943197,224097,-2.7
2004-12-29,9784089,224097,-4.25
2004-12-30,9822186,224097,-3.88
2004-12-31,9815462,224097,-3.95
2005-01-03,9640667,224097,-5.66
2005-01-04,9577920,224097,-6.27
2005-01-05,9562232,224097,-6.43
2005-01-06,9445703,224097,-7.57
2005-01-07,9376232,224097,-8.25
2005-01-10,9400883,224097,-8.0
2005-01-11,9459148,224097,-7.43
2005-01-12,9546546,224097,-6.58
2005-01-13,9546546,224097,-6.58
2005-01-14,9483799,224097,-7.19
2005-01-18,9483799,224097,-7.19
2005-01-19,9470353,224097,-7.32
2005-01-20,9468112,224097,-7.35
2005-01-21,9577920,224097,-6.27
2005-01-24,9584642,224097,-6.21
2005-01-25,9465872,224097,-7.37
2005-01-26,9566714,224097,-6.38
2005-01-27,9551028,224097,-6.54
2005-01-28,9566714,224097,-6.38
2005-01-31,9461389,224097,-7.41
2005-02-01,9434497,224097,-7.68
2005-02-02,9447943,224097,-7.54
2005-02-03,9340377,224097,-8.6
2005-02-04,9293317,224097,-9.06
2005-02-07,9248497,224097,-9.5
2005-02-08,9246256,224097,-9.52
2005-02-09,9257461,224097,-9.41
2005-02-10,9356064,224097,-8.44
2005-02-11,9430016,224097,-7.72
2005-02-14,9535341,224097,-6.69
2005-02-15,9542065,224097,-6.62
2005-02-16,9528618,224097,-6.75
2005-02-17,9575679,224097,-6.29
2005-02-18,9580161,224097,-6.25
2005-02-22,9763920,224097,-4.45
