Date,equity,position,drawdown_pct
2000-05-26,10011147,305905,0.0
2000-05-30,10380656,305905,0.0
2000-05-31,10418299,305905,0.0
2000-06-01,10654373,305905,0.0
2000-06-02,11208647,305905,0.0
2000-06-05,11167590,305905,-0.37
2000-06-06,11277077,305905,0.0
2000-06-07,11290764,305905,0.0
2000-06-08,11263386,305905,-0.24
2000-06-09,11461828,305905,0.0
2000-06-12,11121402,305905,-2.97
2000-06-13,11263386,305905,-1.73
2000-06-14,11208647,305905,-2.21
2000-06-15,11222335,305905,-2.09
2000-06-16,11160739,305905,-2.63
2000-06-19,11441302,305905,-0.18
2000-06-20,11516575,305905,0.0
2000-06-21,11577928,305905,0.0
2000-06-22,11228741,305905,-3.02
2000-06-23,11153424,305905,-3.67
2000-06-26,11290361,305905,-2.48
2000-06-27,11112345,305905,-4.02
2000-06-28,11393061,305905,-1.6
2000-06-29,11215047,305905,-3.13
2000-06-30,11322884,305905,-2.2
2000-07-03,11482072,305905,-0.83
2000-07-05,11351981,305905,-1.95
2000-07-06,11485497,305905,-0.8
2000-07-07,11557390,305905,-0.18
2000-07-10,11632693,305905,0.0
2000-07-11,11619010,305905,-0.12
2000-07-12,11851792,305905,0.0
2000-07-13,11889448,305905,0.0
2000-07-14,11899718,305905,0.0
2000-07-17,11940803,305905,0.0
2000-07-18,11735400,305905,-1.72
2000-07-19,11529990,305905,-3.44
2000-07-20,11721709,305905,-1.83
2000-07-21,11399908,305905,-4.53
2000-07-24,11233865,305905,-5.92
2000-07-25,11256132,305905,-5.73
2000-07-26,11235584,305905,-5.91
2000-07-27,10927478,305905,-8.49
2000-07-28,10735772,305905,-10.09
2000-07-31,11009643,305905,-7.8
2000-08-01,10937747,305905,-8.4
2000-08-02,10954863,305905,-8.26
2000-08-03,10948016,305905,-8.31
2000-08-04,11002790,305905,-7.86
2000-08-07,11206488,305905,-6.15
2000-08-08,11153424,305905,-6.59
2000-08-09,11072969,305905,-7.27
2000-08-10,11009643,305905,-7.8
2000-08-11,11201356,305905,-6.19
2000-08-14,11317740,305905,-5.22
2000-08-15,11153424,305905,-6.59
2000-08-16,11208203,305905,-6.14
2000-08-17,11310897,305905,-5.28
2000-08-18,11293784,305905,-5.42
2000-08-21,11334860,305905,-5.07
2000-08-22,11317740,305905,-5.22
2000-08-23,11300630,305905,-5.36
2000-08-24,11468371,305905,-3.96
2000-08-25,11516304,305905,-3.56
2000-08-28,11536845,305905,-3.38
2000-08-29,11646392,305905,-2.47
2000-08-30,11660082,305905,-2.35
2000-08-31,11776484,305905,-1.38
2000-09-01,11872340,305905,-0.57
2000-09-05,11790176,305905,-1.26
2000-09-06,11738818,305905,-1.69
2000-09-07,11913423,305905,-0.23
2000-09-08,11708011,305905,-1.95
2000-09-11,11721709,305905,-1.83
2000-09-12,11684051,305905,-2.15
2000-09-13,11742247,305905,-1.66
2000-09-14,11810714,305905,-1.09
2000-09-15,11591615,305905,-2.92
2000-09-18,11317740,305905,-5.22
2000-09-19,11502608,305905,-3.67
2000-09-20,11411213,305905,-4.44
2000-09-21,11198237,305905,-6.22
2000-09-22,11342506,305905,-5.01
2000-09-25,11356250,305905,-4.9
2000-09-26,11194804,305905,-6.25
2000-09-27,11143277,305905,-6.68
2000-09-28,11445565,305905,-4.15
2000-09-29,11390600,305905,-4.61
2000-10-02,11205108,305905,-6.16
2000-10-03,11041952,305905,-7.53
2000-10-04,11119231,305905,-6.88
2000-10-05,11005879,305905,-7.83
2000-10-06,10737940,305905,-10.07
2000-10-09,10713894,305905,-10.27
2000-10-10,10456274,305905,-12.43
2000-10-11,10421918,305905,-12.72
2000-10-12,10105900,305905,-15.37
2000-10-13,10497491,305905,-12.09
2000-10-16,10579932,305905,-11.4
2000-10-17,10313716,305905,-13.63
2000-10-18,10229559,305905,-14.33
2000-10-19,10545585,305905,-11.68
2000-10-20,10679543,305905,-10.56
2000-10-23,10786033,305905,-9.67
2000-10-24,10628020,305905,-10.99
2000-10-25,10391006,305905,-12.98
2000-10-26,10552450,305905,-11.63
2000-10-27,10559319,305905,-11.57
2000-10-30,10607418,305905,-11.17
2000-10-31,10882215,305905,-8.87
2000-11-01,10889088,305905,-8.81
2000-11-02,11150147,305905,-6.62
2000-11-03,11136405,305905,-6.74
2000-11-06,11050533,305905,-7.46
2000-11-07,11143277,305905,-6.68
2000-11-08,10944049,305905,-8.35
2000-11-09,10827255,305905,-9.33
2000-11-10,10552450,305905,-11.63
2000-11-13,10445966,305905,-12.52
2000-11-14,10696716,305905,-10.42
2000-11-15,10834122,305905,-9.27
2000-11-16,10519821,305905,-11.9
2000-11-17,10586799,305905,-11.34
2000-11-20,10311995,305905,-13.64
2000-11-21,10251892,305905,-14.14
2000-11-22,10037196,305905,-15.94
2000-11-24,10318871,305905,-13.58
2000-11-27,10348065,305905,-13.34
2000-11-28,10037196,305905,-15.94
2000-11-29,10009716,305905,-16.17
2000-11-30,9796747,305905,-17.96
2000-12-01,10016585,305905,-16.11
2000-12-04,9906664,305905,-17.04
2000-12-05,10387575,305905,-13.01
2000-12-06,10147115,305905,-15.02
2000-12-07,10119635,305905,-15.25
2000-12-08,10257033,305905,-14.1
2000-12-11,10724198,305905,-10.19
2000-12-12,10490619,305905,-12.14
2000-12-13,10295269,305905,-13.78
2000-12-14,10131360,305905,-15.15
2000-12-15,10076147,305905,-15.62
2000-12-18,10227987,305905,-14.34
2000-12-19,10048540,305905,-15.85
2000-12-20,9731071,305905,-18.51
2000-12-21,9806994,305905,-17.87
2000-12-22,10214172,305905,-14.46
2000-12-26,10272832,305905,-13.97
2000-12-27,10545452,305905,-11.69
2000-12-28,10883618,305905,-8.85
2000-12-29,10573048,305905,-11.45
2001-01-02,10203827,305905,-14.55
2001-01-03,10626542,305905,-11.01
2001-01-04,10490230,305905,-12.15
2001-01-05,10165865,305905,-14.86
2001-01-08,10200373,305905,-14.58
2001-01-09,10184844,305905,-14.71
2001-01-10,10510941,305905,-11.97
2001-01-11,10654142,305905,-10.78
2001-01-12,10683473,305905,-10.53
2001-01-16,10897416,305905,-8.74
2001-01-17,10890517,305905,-8.8
2001-01-18,10931925,305905,-8.45
2001-01-19,10738684,305905,-10.07
2001-01-22,10814602,305905,-9.43
2001-01-23,11083761,305905,-7.18
2001-01-24,11042351,305905,-7.52
2001-01-25,11000938,305905,-7.87
2001-01-26,11000938,305905,-7.87
2001-01-29,11224544,305905,-6.0
2001-01-30,11297429,305905,-5.39
2001-01-31,11141729,305905,-6.69
2001-02-01,11223446,305905,-6.01
2001-02-02,10972786,305905,-8.11
2001-02-05,10994870,305905,-7.92
2001-02-06,11169343,305905,-6.46
2001-02-07,11196944,305905,-6.23
2001-02-08,11029101,305905,-7.64
2001-02-09,10887759,305905,-8.82
2001-02-12,11130689,305905,-6.78
2001-02-13,11025788,305905,-7.66
2001-02-14,11141729,305905,-6.69
2001-02-15,11196944,305905,-6.23
2001-02-16,10955119,305905,-8.25
2001-02-20,10828130,305905,-9.32
2001-02-21,10639297,305905,-10.9
2001-02-22,10490230,305905,-12.15
2001-02-23,10512318,305905,-11.96
2001-02-26,10744207,305905,-10.02
2001-02-27,10550964,305905,-11.64
2001-02-28,10396371,305905,-12.93
2001-03-01,10468148,305905,-12.33
2001-03-02,10495758,305905,-12.1
2001-03-05,10457101,305905,-12.43
2001-03-06,10611701,305905,-11.13
2001-03-07,10666911,305905,-10.67
2001-03-08,10578574,305905,-11.41
2001-03-09,10390916,305905,-12.98
2001-03-12,10096597,305905,-15.44
2001-03-13,10201709,305905,-14.56
2001-03-14,9958286,305905,-16.6
2001-03-15,9919552,305905,-16.93
2001-03-16,9736993,305905,-18.46
2001-03-19,9991477,305905,-16.32
2001-03-20,9759118,305905,-18.27
2001-03-21,9609745,305905,-19.52
2001-03-22,9515696,305905,-20.31
2001-03-23,9764644,305905,-18.22
2001-03-26,9897431,305905,-17.11
2001-03-27,9977101,305905,-16.45
2001-03-28,9709325,305905,-18.69
2001-03-29,9725923,305905,-18.55
2001-03-30,9914019,305905,-16.97
2001-04-02,9681665,305905,-18.92
2001-04-03,9353043,305905,-21.67
2001-04-04,9382915,305905,-21.42
2001-04-05,9836576,305905,-17.62
2001-04-06,9559955,305905,-19.94
2001-04-09,9770185,305905,-18.18
2001-04-10,10002542,305905,-16.23
2001-04-11,9936153,305905,-16.79
2001-04-12,10057863,305905,-15.77
2001-04-16,9876407,305905,-17.29
2001-04-17,10035737,305905,-15.95
2001-04-18,10328954,305905,-13.5
2001-04-19,10444020,305905,-12.54
2001-04-20,10322313,305905,-13.55
2001-04-23,10135322,305905,-15.12
2001-04-24,10212777,305905,-14.47
2001-04-25,10434067,305905,-12.62
2001-04-26,10583439,305905,-11.37
2001-04-27,10721752,305905,-10.21
2001-04-30,10732814,305905,-10.12
2001-05-01,10865595,305905,-9.0
2001-05-02,10837928,305905,-9.24
2001-05-03,10704046,305905,-10.36
2001-05-04,10854531,305905,-9.1
2001-05-07,10788140,305905,-9.65
2001-05-08,10843464,305905,-9.19
2001-05-09,10777074,305905,-9.75
2001-05-10,10788140,305905,-9.65
2001-05-11,10723967,305905,-10.19
2001-05-14,10721752,305905,-10.21
2001-05-15,10826863,305905,-9.33
2001-05-16,11034885,305905,-7.59
2001-05-17,11148845,305905,-6.63
2001-05-18,11192006,305905,-6.27
