Date,equity,position,drawdown_pct
1999-03-10,9957901,230888,0.0
1999-03-11,10006659,230888,0.0
1999-03-12,9762887,230888,-2.44
1999-03-15,10043221,230888,0.0
1999-03-16,10128538,230888,0.0
1999-03-17,10055410,230888,-0.72
1999-03-18,10250420,230888,0.0
1999-03-19,9988372,230888,-2.56
1999-03-22,9866488,230888,-3.75
1999-03-23,9519121,230888,-7.13
1999-03-24,9842112,230888,-3.98
1999-03-25,10201671,230888,-0.48
1999-03-26,10091973,230888,-1.55
1999-03-29,10457624,230888,0.0
1999-03-30,10384494,230888,-0.7
1999-03-31,10232138,230888,-2.16
1999-04-01,10445430,230888,-0.12
1999-04-05,10823274,230888,0.0
1999-04-06,10844602,230888,0.0
1999-04-07,10731858,230888,-1.04
1999-04-08,10817179,230888,-0.25
1999-04-09,10884214,230888,0.0
1999-04-12,10811087,230888,-0.67
1999-04-13,10664829,230888,-2.02
1999-04-14,10299177,230888,-5.38
1999-04-15,10439341,230888,-4.09
1999-04-16,10134633,230888,-6.89
1999-04-19,9659283,230888,-11.25
1999-04-20,9878677,230888,-9.24
1999-04-21,10366206,230888,-4.76
1999-04-22,10646541,230888,-2.18
1999-04-23,10786706,230888,-0.9
1999-04-26,11035046,230888,0.0
1999-04-27,10865932,230888,-1.53
1999-04-28,10494188,230888,-4.9
1999-04-29,10408872,230888,-5.67
1999-04-30,10475906,230888,-5.07
1999-05-03,10421058,230888,-5.56
1999-05-04,10256519,230888,-7.06
1999-05-05,10567317,230888,-4.24
1999-05-06,10183388,230888,-7.72
1999-05-07,10329650,230888,-6.39
1999-05-10,10433249,230888,-5.45
1999-05-11,10597786,230888,-3.96
1999-05-12,10817179,230888,-1.97
1999-05-13,10616073,230888,-3.8
1999-05-14,10414964,230888,-5.62
1999-05-17,10602363,230888,-3.92
1999-05-18,10555132,230888,-4.35
1999-05-19,10701389,230888,-3.02
1999-05-20,10407345,230888,-5.69
1999-05-21,10311362,230888,-6.56
1999-05-24,10049313,230888,-8.93
1999-05-25,9720227,230888,-11.91
1999-05-26,9991420,230888,-9.46
1999-05-27,9982279,230888,-9.54
1999-05-28,10146824,230888,-8.05
1999-06-01,9921336,230888,-10.09
1999-06-02,10088926,230888,-8.57
1999-06-03,9945716,230888,-9.87
1999-06-04,10250420,230888,-7.11
1999-06-07,10463717,230888,-5.18
1999-06-08,10201671,230888,-7.55
1999-06-09,10372306,230888,-6.01
1999-06-10,10253465,230888,-7.08
1999-06-11,10098065,230888,-8.49
1999-06-14,9907623,230888,-10.22
1999-06-15,10055410,230888,-8.88
1999-06-16,10571891,230888,-4.2
1999-06-17,10689201,230888,-3.13
1999-06-18,10737959,230888,-2.69
1999-06-21,11059427,230888,0.0
1999-06-22,10725765,230888,-3.02
1999-06-23,10894879,230888,-1.49
1999-06-24,10678538,230888,-3.44
1999-06-25,10664829,230888,-3.57
1999-06-28,10917736,230888,-1.28
1999-06-29,11067042,230888,0.0
1999-06-30,11237675,230888,0.0
1999-07-01,11313858,230888,0.0
1999-07-02,11457069,230888,0.0
1999-07-06,11383936,230888,-0.64
1999-07-07,11402224,230888,-0.48
1999-07-08,11554575,230888,0.0
1999-07-09,11670366,230888,0.0
1999-07-12,11609426,230888,-0.52
1999-07-13,11554575,230888,-0.99
1999-07-14,11751117,230888,0.0
1999-07-15,11859283,230888,0.0
1999-07-16,11968979,230888,0.0
1999-07-19,11847095,230888,-1.02
1999-07-20,11390030,230888,-4.84
1999-07-21,11444879,230888,-4.38
1999-07-22,11153878,230888,-6.81
1999-07-23,11170643,230888,-6.67
1999-07-26,10896406,230888,-8.96
1999-07-27,11115794,230888,-7.13
1999-07-28,11333663,230888,-5.31
1999-07-29,11091416,230888,-7.33
1999-07-30,11036573,230888,-7.79
1999-08-02,11006099,230888,-8.04
1999-08-03,10934495,230888,-8.64
1999-08-04,10736431,230888,-10.3
1999-08-05,10907069,230888,-8.87
1999-08-06,10789758,230888,-9.85
1999-08-09,10651112,230888,-11.01
1999-08-10,10555132,230888,-11.81
1999-08-11,10902499,230888,-8.91
1999-08-12,10774518,230888,-9.98
1999-08-13,11243770,230888,-6.06
1999-08-16,11333663,230888,-5.31
1999-08-17,11390030,230888,-4.84
1999-08-18,11262058,230888,-5.91
1999-08-19,11127984,230888,-7.03
1999-08-20,11304716,230888,-5.55
1999-08-23,11664276,230888,-2.55
1999-08-24,11743494,230888,-1.88
1999-08-25,11993357,230888,0.0
1999-08-26,11793774,230888,-1.66
1999-08-27,11676457,230888,-2.64
1999-08-30,11511916,230888,-4.01
1999-08-31,11639896,230888,-2.95
1999-09-01,11723685,230888,-2.25
1999-09-02,11682551,230888,-2.59
1999-09-03,12218845,230888,0.0
1999-09-07,12163994,230888,-0.45
1999-09-08,11999451,230888,-1.8
1999-09-09,12170092,230888,-0.4
1999-09-10,12310256,230888,0.0
1999-09-13,12162475,230888,-1.2
1999-09-14,12229503,230888,-0.66
1999-09-15,11993357,230888,-2.57
1999-09-16,11987264,230888,-2.62
1999-09-17,12346819,230888,0.0
1999-09-20,12375767,230888,0.0
1999-09-21,12078673,230888,-2.4
1999-09-22,12206650,230888,-1.37
1999-09-23,11700833,230888,-5.45
1999-09-24,11716072,230888,-5.33
1999-09-27,11798344,230888,-4.67
1999-09-28,11853189,230888,-4.22
1999-09-29,11615517,230888,-6.14
1999-09-30,11737404,230888,-5.16
1999-10-01,11741974,230888,-5.12
1999-10-04,12005544,230888,-2.99
1999-10-05,12090865,230888,-2.3
1999-10-06,12333107,230888,-0.34
1999-10-07,12304160,230888,-0.58
1999-10-08,12433664,230888,0.0
1999-10-11,12608870,230888,0.0
1999-10-12,12322441,230888,-2.27
1999-10-13,11956794,230888,-5.17
1999-10-14,12031444,230888,-4.58
1999-10-15,11676457,230888,-7.39
1999-10-18,11528678,230888,-8.57
1999-10-19,11591141,230888,-8.07
1999-10-20,11944603,230888,-5.27
1999-10-21,12139616,230888,-3.72
1999-10-22,12084768,230888,-4.16
1999-10-25,12090865,230888,-4.11
1999-10-26,11993357,230888,-4.88
1999-10-27,11975072,230888,-5.03
1999-10-28,12389480,230888,-1.74
1999-10-29,12822164,230888,0.0
1999-11-01,12755131,230888,-0.52
1999-11-02,12762745,230888,-0.46
1999-11-03,13017182,230888,0.0
1999-11-04,13163440,230888,0.0
1999-11-05,13297513,230888,0.0
1999-11-08,13565657,230888,0.0
1999-11-09,13474240,230888,-0.67
1999-11-10,13650978,230888,0.0
1999-11-11,13894736,230888,0.0
1999-11-12,14077567,230888,0.0
1999-11-15,14050143,230888,-0.19
1999-11-16,14406641,230888,0.0
1999-11-17,14211640,230888,-1.35
1999-11-18,14647380,230888,0.0
1999-11-19,14778396,230888,0.0
1999-11-22,14552913,230888,-1.53
1999-11-23,14619949,230888,-1.07
1999-11-24,15101397,230888,0.0
1999-11-26,15150142,230888,0.0
1999-11-29,14900288,230888,-1.65
1999-11-30,14333522,230888,-5.39
1999-12-01,14644328,230888,-3.34
1999-12-02,15109005,230888,-0.27
1999-12-03,15430468,230888,0.0
1999-12-06,15570643,230888,0.0
1999-12-07,15570643,230888,0.0
1999-12-08,15381719,230888,-1.21
1999-12-09,15454854,230888,-0.74
1999-12-10,15582830,230888,0.0
1999-12-13,15794600,230888,0.0
1999-12-14,15509693,230888,-1.8
1999-12-15,15808312,230888,0.0
1999-12-16,16198340,230888,0.0
1999-12-17,16338506,230888,0.0
1999-12-20,16551803,230888,0.0
1999-12-21,17441549,230888,0.0
1999-12-22,17386702,230888,-0.31
1999-12-23,17593908,230888,0.0
1999-12-27,17490295,230888,-0.59
1999-12-28,17380613,230888,-1.21
1999-12-29,18038781,230888,0.0
1999-12-30,17843759,230888,-1.08
1999-12-31,17819390,230888,-1.22
2000-01-03,18477570,230888,0.0
2000-01-04,17209967,230888,-6.86
2000-01-05,16771190,230888,-9.23
2000-01-06,15619392,230888,-15.47
2000-01-07,17551256,230888,-5.01
2000-01-10,18038781,230888,-2.37
2000-01-11,17161227,230888,-7.12
2000-01-12,16783380,230888,-9.17
2000-01-13,17795014,230888,-3.69
2000-01-14,18209413,230888,-1.45
2000-01-18,18306925,230888,-0.92
2000-01-19,18721326,230888,0.0
2000-01-20,18538509,230888,-0.98
2000-01-21,18770079,230888,0.0
2000-01-24,17868142,230888,-4.81
2000-01-25,18136294,230888,-3.38
2000-01-26,17404992,230888,-7.27
2000-01-27,17660942,230888,-5.91
2000-01-28,16771190,230888,-10.65
2000-01-31,17490295,230888,-6.82
2000-02-01,17959561,230888,-4.32
2000-02-02,18111916,230888,-3.51
2000-02-03,18818834,230888,0.0
2000-02-04,18946806,230888,0.0
2000-02-07,19208859,230888,0.0
2000-02-08,20013305,230888,0.0
2000-02-09,19306364,230888,-3.53
2000-02-10,19940163,230888,-0.37
2000-02-11,19477009,230888,-2.68
2000-02-14,19452633,230888,-2.8
2000-02-15,19592798,230888,-2.1
2000-02-16,19501385,230888,-2.56
2000-02-17,19915790,230888,-0.49
2000-02-18,19196671,230888,-4.08
2000-02-22,19257619,230888,-3.78
2000-02-23,20330191,230888,0.0
2000-02-24,20768976,230888,0.0
2000-02-25,20293636,230888,-2.29
2000-02-28,20281441,230888,-2.35
2000-02-29,20817732,230888,0.0
2000-03-01,20988364,230888,0.0
2000-03-02,20502350,230888,-2.32
2000-03-03,21658722,230888,0.0
2000-03-06,21829353,230888,0.0
2000-03-07,21500274,230888,-1.51
2000-03-08,21695290,230888,-0.61
2000-03-09,22426591,230888,0.0
2000-03-10,22329085,230888,-0.43
2000-03-13,21744044,230888,-3.04
2000-03-14,20939609,230888,-6.63
2000-03-15,20062047,230888,-10.54
2000-03-16,21207759,230888,-5.43
2000-03-17,21609975,230888,-3.64
2000-03-20,21000558,230888,-6.36
2000-03-21,21792800,230888,-2.83
2000-03-22,22231575,230888,-0.87
2000-03-23,22621607,230888,0.0
2000-03-24,22926314,230888,0.0
2000-03-27,22962879,230888,0.0
2000-03-28,22377832,230888,-2.55
2000-03-29,21451518,230888,-6.58
2000-03-30,20915236,230888,-8.92
2000-03-31,21354022,230888,-7.01
2000-04-03,20074246,230888,-12.58
2000-04-04,19879212,230888,-13.43
2000-04-05,19525761,230888,-14.97
2000-04-06,19988917,230888,-12.95
2000-04-07,20793352,230888,-9.45
2000-04-10,19525761,230888,-14.97
2000-04-11,19062601,230888,-16.99
2000-04-12,17941276,230888,-21.87
2000-04-13,17161227,230888,-25.27
2000-04-14,15674250,230888,-31.74
2000-04-17,17478114,230888,-23.89
2000-04-18,17941276,230888,-21.87
2000-04-19,17392799,230888,-24.26
2000-04-20,17014962,230888,-25.9
2000-04-24,16527425,230888,-28.03
2000-04-25,17642657,230888,-23.17
2000-04-26,17039329,230888,-25.8
2000-04-27,17795014,230888,-22.51
2000-04-28,18477570,230888,-19.53
2000-05-01,18648193,230888,-18.79
2000-05-02,17575631,230888,-23.46
2000-05-03,17380613,230888,-24.31
2000-05-04,17417173,230888,-24.15
2000-05-05,17831583,230888,-22.35
2000-05-08,17136842,230888,-25.37
2000-05-09,16771190,230888,-26.96
2000-05-10,15552357,230888,-32.27
2000-05-11,16503044,230888,-28.13
2000-05-12,16503044,230888,-28.13
2000-05-15,17222168,230888,-25.0
2000-05-16,17709697,230888,-22.88
2000-05-17,17344043,230888,-24.47
2000-05-18,16722440,230888,-27.18
2000-05-19,15930201,230888,-30.63
2000-05-22,15918006,230888,-30.68
2000-05-23,14589481,230888,-36.46
2000-05-24,15503608,230888,-32.48
2000-05-25,15162330,230888,-33.97
2000-05-26,15162330,230888,-33.97
2000-05-30,16685874,230888,-27.34
2000-05-31,16210535,230888,-29.41
2000-06-01,17039329,230888,-25.8
2000-06-02,18258171,230888,-20.49
2000-06-05,18303878,230888,-20.29
2000-06-06,17795014,230888,-22.51
2000-06-07,18270364,230888,-20.44
2000-06-08,18185050,230888,-20.81
2000-06-09,18282550,230888,-20.38
2000-06-12,17697508,230888,-22.93
2000-06-13,18380060,230888,-19.96
