Date,equity,position,drawdown_pct
1993-01-29,9963003,410991,0.0
1993-02-01,10033864,410991,0.0
1993-02-02,10055127,410991,0.0
1993-02-03,10161413,410991,0.0
1993-02-04,10203930,410991,0.0
1993-02-05,10196843,410991,-0.07
1993-02-08,10196843,410991,-0.07
1993-02-09,10125983,410991,-0.76
1993-02-10,10140156,410991,-0.62
1993-02-11,10189755,410991,-0.14
1993-02-12,10111808,410991,-0.9
1993-02-16,9856712,410991,-3.4
1993-02-17,9849625,410991,-3.47
1993-02-18,9842543,410991,-3.54
1993-02-19,9877971,410991,-3.19
1993-02-22,9913403,410991,-2.85
1993-02-23,9906318,410991,-2.92
1993-02-24,10033864,410991,-1.67
1993-02-25,10055127,410991,-1.46
1993-02-26,10069301,410991,-1.32
1993-03-01,10040954,410991,-1.6
1993-03-02,10189755,410991,-0.14
1993-03-03,10232277,410991,0.0
1993-03-04,10175586,410991,-0.55
1993-03-05,10147239,410991,-0.83
1993-03-08,10373994,410991,0.0
1993-03-09,10338567,410991,-0.34
1993-03-10,10359824,410991,-0.14
1993-03-11,10331479,410991,-0.41
1993-03-12,10225184,410991,-1.43
1993-03-15,10274791,410991,-0.96
1993-03-16,10274791,410991,-0.96
1993-03-17,10211013,410991,-1.57
1993-03-18,10274791,410991,-0.96
1993-03-19,10259238,410991,-1.11
1993-03-22,10202284,410991,-1.66
1993-03-23,10223647,410991,-1.45
1993-03-24,10223647,410991,-1.45
1993-03-25,10287720,410991,-0.83
1993-03-26,10230764,410991,-1.38
1993-03-29,10273486,410991,-0.97
1993-03-30,10301956,410991,-0.69
1993-03-31,10294838,410991,-0.76
1993-04-01,10259238,410991,-1.11
1993-04-02,10045655,410991,-3.17
1993-04-05,10095492,410991,-2.68
1993-04-06,10067015,410991,-2.96
1993-04-07,10102608,410991,-2.62
1993-04-08,10088369,410991,-2.75
1993-04-12,10230764,410991,-1.38
1993-04-13,10252119,410991,-1.17
1993-04-14,10237885,410991,-1.31
1993-04-15,10237885,410991,-1.31
1993-04-16,10237885,410991,-1.31
1993-04-19,10195161,410991,-1.72
1993-04-20,10145329,410991,-2.2
1993-04-21,10138206,410991,-2.27
1993-04-22,10010061,410991,-3.51
1993-04-23,9967341,410991,-3.92
1993-04-26,9889023,410991,-4.67
1993-04-27,9995820,410991,-3.65
1993-04-28,9974459,410991,-3.85
1993-04-29,10017179,410991,-3.44
1993-04-30,10031424,410991,-3.3
1993-05-03,10095492,410991,-2.68
1993-05-04,10131093,410991,-2.34
1993-05-05,10159564,410991,-2.07
1993-05-06,10123971,410991,-2.41
1993-05-07,10102608,410991,-2.62
1993-05-10,10123971,410991,-2.41
1993-05-11,10166686,410991,-2.0
1993-05-12,10152446,410991,-2.14
1993-05-13,10031424,410991,-3.3
1993-05-14,10024295,410991,-3.37
1993-05-17,10059891,410991,-3.03
1993-05-18,10052773,410991,-3.1
1993-05-19,10259238,410991,-1.11
1993-05-20,10287720,410991,-0.83
1993-05-21,10195161,410991,-1.72
1993-05-24,10237885,410991,-1.31
1993-05-25,10259238,410991,-1.11
1993-05-26,10387389,410991,0.0
1993-05-27,10351797,410991,-0.34
1993-05-28,10301956,410991,-0.82
1993-06-01,10401633,410991,0.0
1993-06-02,10387389,410991,-0.14
1993-06-03,10351797,410991,-0.48
1993-06-04,10316199,410991,-0.82
1993-06-07,10280596,410991,-1.16
1993-06-08,10188046,410991,-2.05
1993-06-09,10223647,410991,-1.71
1993-06-10,10230764,410991,-1.64
1993-06-11,10273486,410991,-1.23
1993-06-14,10259238,410991,-1.37
1993-06-15,10237885,410991,-1.57
1993-06-16,10259238,410991,-1.37
1993-06-17,10294838,410991,-1.03
1993-06-18,10210061,410991,-1.84
1993-06-21,10231568,410991,-1.63
1993-06-22,10238739,410991,-1.57
1993-06-23,10145534,410991,-2.46
1993-06-24,10281757,410991,-1.15
1993-06-25,10274589,410991,-1.22
1993-06-28,10389309,410991,-0.12
1993-06-29,10339117,410991,-0.6
1993-06-30,10339117,410991,-0.6
1993-07-01,10310440,410991,-0.88
1993-07-02,10253088,410991,-1.43
1993-07-06,10145534,410991,-2.46
1993-07-07,10174206,410991,-2.19
1993-07-08,10288928,410991,-1.08
1993-07-09,10317605,410991,-0.81
1993-07-12,10310440,410991,-0.88
1993-07-13,10303272,410991,-0.95
1993-07-14,10339117,410991,-0.6
1993-07-15,10296101,410991,-1.01
1993-07-16,10267418,410991,-1.29
1993-07-19,10260253,410991,-1.36
1993-07-20,10288928,410991,-1.08
1993-07-21,10281757,410991,-1.15
1993-07-22,10210061,410991,-1.84
1993-07-23,10260253,410991,-1.36
1993-07-26,10317605,410991,-0.81
1993-07-27,10310440,410991,-0.88
1993-07-28,10288928,410991,-1.08
1993-07-29,10346296,410991,-0.53
1993-07-30,10288928,410991,-1.08
1993-08-02,10317605,410991,-0.81
1993-08-03,10324779,410991,-0.74
1993-08-04,10324779,410991,-0.74
1993-08-05,10303272,410991,-0.95
1993-08-06,10317605,410991,-0.81
1993-08-09,10374971,410991,-0.26
1993-08-10,10367801,410991,-0.33
1993-08-11,10367801,410991,-0.33
1993-08-12,10339117,410991,-0.6
1993-08-13,10353456,410991,-0.46
1993-08-16,10410825,410991,0.0
1993-08-17,10446669,410991,0.0
1993-08-18,10504031,410991,0.0
1993-08-19,10504031,410991,0.0
1993-08-20,10511198,410991,0.0
1993-08-23,10489690,410991,-0.2
1993-08-24,10604413,410991,0.0
1993-08-25,10611580,410991,0.0
1993-08-26,10618750,410991,0.0
1993-08-27,10611580,410991,-0.07
1993-08-30,10654601,410991,0.0
1993-08-31,10683279,410991,0.0
1993-09-01,10668946,410991,-0.13
1993-09-02,10633093,410991,-0.47
1993-09-03,10640257,410991,-0.4
1993-09-07,10568557,410991,-1.07
1993-09-08,10532708,410991,-1.41
1993-09-09,10554219,410991,-1.21
1993-09-10,10647434,410991,-0.34
1993-09-13,10654601,410991,-0.27
1993-09-14,10611580,410991,-0.67
1993-09-15,10640257,410991,-0.4
1993-09-16,10597243,410991,-0.81
1993-09-17,10576695,410991,-1.0
1993-09-20,10490120,410991,-1.81
1993-09-21,10454042,410991,-2.15
1993-09-22,10540623,410991,-1.34
1993-09-23,10598335,410991,-0.8
1993-09-24,10569477,410991,-1.07
1993-09-27,10684907,410991,0.0
1993-09-28,10663270,410991,-0.2
1993-09-29,10627194,410991,-0.54
1993-09-30,10605553,410991,-0.74
1993-10-01,10656047,410991,-0.27
1993-10-04,10670484,410991,-0.13
1993-10-05,10656047,410991,-0.27
1993-10-06,10648838,410991,-0.34
1993-10-07,10619982,410991,-0.61
1993-10-08,10634410,410991,-0.47
1993-10-11,10656047,410991,-0.27
1993-10-12,10670484,410991,-0.13
1993-10-13,10670484,410991,-0.13
1993-10-14,10807565,410991,0.0
1993-10-15,10865280,410991,0.0
1993-10-18,10836418,410991,-0.27
1993-10-19,10757057,410991,-1.0
1993-10-20,10771488,410991,-0.86
1993-10-21,10757057,410991,-1.0
1993-10-22,10706554,410991,-1.46
1993-10-25,10735415,410991,-1.2
1993-10-26,10728200,410991,-1.26
1993-10-27,10735415,410991,-1.2
1993-10-28,10814778,410991,-0.46
1993-10-29,10814778,410991,-0.46
1993-11-01,10843633,410991,-0.2
1993-11-02,10836418,410991,-0.27
1993-11-03,10699345,410991,-1.53
1993-11-04,10583900,410991,-2.59
1993-11-05,10634410,410991,-2.12
1993-11-08,10648838,410991,-1.99
1993-11-09,10656047,410991,-1.93
1993-11-10,10735415,410991,-1.2
1993-11-11,10706554,410991,-1.46
1993-11-12,10757057,410991,-1.0
1993-11-15,10749844,410991,-1.06
1993-11-16,10800353,410991,-0.6
1993-11-17,10742631,410991,-1.13
1993-11-18,10713773,410991,-1.39
1993-11-19,10692130,410991,-1.59
1993-11-22,10627194,410991,-2.19
1993-11-23,10684907,410991,-1.66
1993-11-24,10728200,410991,-1.26
1993-11-26,10735415,410991,-1.2
1993-11-29,10692130,410991,-1.59
1993-11-30,10699345,410991,-1.53
1993-12-01,10713773,410991,-1.39
1993-12-02,10742631,410991,-1.13
1993-12-03,10785918,410991,-0.73
1993-12-06,10821994,410991,-0.4
1993-12-07,10814778,410991,-0.46
1993-12-08,10814778,410991,-0.46
1993-12-09,10778703,410991,-0.8
1993-12-10,10757057,410991,-1.0
1993-12-13,10821994,410991,-0.4
1993-12-14,10742631,410991,-1.13
1993-12-15,10728200,410991,-1.26
1993-12-16,10764269,410991,-0.93
1993-12-17,10823431,410991,-0.39
1993-12-20,10837956,410991,-0.25
1993-12-21,10801639,410991,-0.59
1993-12-22,10874286,410991,0.0
1993-12-23,10867019,410991,-0.07
1993-12-27,10925128,410991,0.0
1993-12-28,10946921,410991,0.0
1993-12-29,10932391,410991,-0.13
1993-12-30,10888810,410991,-0.53
1993-12-31,10830694,410991,-1.06
1994-01-03,10801639,410991,-1.33
1994-01-04,10845225,410991,-0.93
1994-01-05,10867019,410991,-0.73
1994-01-06,10867019,410991,-0.73
1994-01-07,10932391,410991,-0.13
1994-01-10,11063143,410991,0.0
1994-01-11,11041349,410991,-0.2
1994-01-12,11005030,410991,-0.53
1994-01-13,10975977,410991,-0.79
1994-01-14,11019561,410991,-0.39
1994-01-17,11019561,410991,-0.39
1994-01-18,11034088,410991,-0.26
1994-01-19,11005030,410991,-0.53
1994-01-20,11034088,410991,-0.26
1994-01-21,11012295,410991,-0.46
1994-01-24,10968714,410991,-0.85
1994-01-25,10968714,410991,-0.85
1994-01-26,10997773,410991,-0.59
1994-01-27,11099464,410991,0.0
1994-01-28,11128528,410991,0.0
1994-01-31,11208425,410991,0.0
1994-02-01,11150310,410991,-0.52
1994-02-02,11222960,410991,0.0
1994-02-03,11172105,410991,-0.45
1994-02-04,10917863,410991,-2.72
1994-02-07,10968714,410991,-2.27
1994-02-08,10975977,410991,-2.2
1994-02-09,11019561,410991,-1.81
1994-02-10,10925128,410991,-2.65
1994-02-11,10961444,410991,-2.33
1994-02-14,10975977,410991,-2.2
1994-02-15,11034088,410991,-1.68
1994-02-16,11026823,410991,-1.75
1994-02-17,10961444,410991,-2.33
1994-02-18,10896076,410991,-2.91
1994-02-22,11005030,410991,-1.94
1994-02-23,10975977,410991,-2.2
1994-02-24,10830694,410991,-3.5
1994-02-25,10881549,410991,-3.04
1994-02-28,10881549,410991,-3.04
1994-03-01,10837956,410991,-3.43
1994-03-02,10852489,410991,-3.3
1994-03-03,10823431,410991,-3.56
1994-03-04,10852489,410991,-3.3
