Date,equity,position,drawdown_pct
2002-07-30,10000000,0,0.0
2002-07-31,10040653,272558,0.0
2002-08-01,10097836,272558,0.0
2002-08-02,10201244,272558,0.0
2002-08-05,10246267,272558,0.0
2002-08-06,10158675,272558,-0.85
2002-08-07,10182994,272558,-0.62
2002-08-08,10182994,272558,-0.62
2002-08-09,10326562,272558,0.0
2002-08-12,10389824,272558,0.0
2002-08-13,10517560,272558,0.0
2002-08-14,10557717,272558,0.0
2002-08-15,10465242,272558,-0.88
2002-08-16,10348446,272558,-1.98
2002-08-19,10380086,272558,-1.68
2002-08-20,10495665,272558,-0.59
2002-08-21,10439700,272558,-1.12
2002-08-22,10348446,272558,-1.98
2002-08-23,10450648,272558,-1.01
2002-08-26,10460386,272558,-0.92
2002-08-27,10394696,272558,-1.54
2002-08-28,10447003,272558,-1.05
2002-08-29,10530945,272558,-0.25
2002-08-30,10594212,272558,0.0
2002-09-03,10757083,272558,0.0
2002-09-04,10754639,272558,-0.02
2002-09-05,10813286,272558,0.0
2002-09-06,10686214,272558,-1.18
2002-09-09,10670333,272558,-1.32
2002-09-10,10721654,272558,-0.85
2002-09-11,10665440,272558,-1.37
2002-09-12,10748531,272558,-0.6
2002-09-13,10847499,272558,0.0
2002-09-16,10865820,272558,0.0
2002-09-17,10886600,272558,0.0
2002-09-18,10889043,272558,0.0
2002-09-19,10962351,272558,0.0
2002-09-20,10911031,272558,-0.47
2002-09-23,11008776,272558,0.0
2002-09-24,11079645,272558,0.0
2002-09-25,10945253,272558,-1.21
2002-09-26,10919591,272558,-1.44
2002-09-27,11001447,272558,-0.71
2002-09-30,11045438,272558,-0.31
2002-10-01,10908446,272558,-1.55
2002-10-02,10970994,272558,-0.98
2002-10-03,10944007,272558,-1.22
2002-10-04,10978340,272558,-0.91
2002-10-07,10996745,272558,-0.75
2002-10-08,11000422,272558,-0.72
2002-10-09,11056836,272558,-0.21
2002-10-10,10969769,272558,-0.99
2002-10-11,10839753,272558,-2.17
2002-10-14,10823815,272558,-2.31
2002-10-15,10567484,272558,-4.62
2002-10-16,10572375,272558,-4.58
2002-10-17,10443610,272558,-5.74
2002-10-18,10470582,272558,-5.5
2002-10-21,10368787,272558,-6.42
2002-10-22,10339351,272558,-6.68
2002-10-23,10343022,272558,-6.65
2002-10-24,10433787,272558,-5.83
2002-10-25,10471810,272558,-5.49
2002-10-28,10457092,272558,-5.62
2002-10-29,10593230,272558,-4.39
2002-10-30,10589544,272558,-4.42
2002-10-31,10637378,272558,-3.99
2002-11-01,10592903,272558,-4.39
2002-11-04,10546093,272558,-4.82
2002-11-05,10505440,272558,-5.18
2002-11-06,10547325,272558,-4.8
2002-11-07,10808513,272558,-2.45
2002-11-08,10895981,272558,-1.66
2002-11-11,10955122,272558,-1.12
2002-11-12,10892286,272558,-1.69
2002-11-13,10915691,272558,-1.48
2002-11-14,10689007,272558,-3.53
2002-11-15,10732128,272558,-3.14
2002-11-18,10780175,272558,-2.7
2002-11-19,10819597,272558,-2.35
2002-11-20,10713644,272558,-3.3
2002-11-21,10610151,272558,-4.24
2002-11-22,10600299,272558,-4.33
2002-11-25,10580585,272558,-4.5
2002-11-26,10713644,272558,-3.3
2002-11-27,10472168,272558,-5.48
2002-11-29,10539933,272558,-4.87
2002-12-02,10549700,272558,-4.78
2002-12-03,10564561,272558,-4.65
2002-12-04,10619017,272558,-4.16
2002-12-05,10646246,272558,-3.91
2002-12-06,10664809,272558,-3.74
2002-12-09,10724214,272558,-3.21
2002-12-10,10752686,272558,-2.95
2002-12-11,10824462,272558,-2.3
2002-12-12,10814562,272558,-2.39
2002-12-13,10709364,272558,-3.34
2002-12-16,10628918,272558,-4.07
2002-12-17,10628918,272558,-4.07
2002-12-18,10711838,272558,-3.32
2002-12-19,10807127,272558,-2.46
2002-12-20,10814562,272558,-2.39
2002-12-23,10817037,272558,-2.37
2002-12-24,10877688,272558,-1.82
2002-12-26,10898721,272558,-1.63
2002-12-27,11018772,272558,-0.55
2002-12-30,11044761,272558,-0.31
2002-12-31,11016901,272558,-0.57
2003-01-02,10732056,272558,-3.14
2003-01-03,10756938,272558,-2.91
2003-01-06,10728330,272558,-3.17
2003-01-07,10766893,272558,-2.82
2003-01-08,10820380,272558,-2.34
