Date,equity,position,drawdown_pct
1999-03-10,9970090,266351,0.0
1999-03-11,10111301,266351,0.0
1999-03-12,9367058,266351,-7.36
1999-03-15,10169052,266351,0.0
1999-03-16,10422862,266351,0.0
1999-03-17,10191649,266351,-2.22
1999-03-18,10779275,266351,0.0
1999-03-19,9946910,266351,-7.72
1999-03-22,9577561,266351,-11.15
1999-03-23,8560952,266351,-20.58
1999-03-24,9427908,266351,-12.54
1999-03-25,10456228,266351,-3.0
1999-03-26,10113455,266351,-6.18
1999-03-29,11207435,266351,0.0
1999-03-30,10966439,266351,-2.15
1999-03-31,10478013,266351,-6.51
1999-04-01,11127874,266351,-0.71
1999-04-05,12329701,266351,0.0
1999-04-06,12396248,266351,0.0
1999-04-07,12003221,266351,-3.17
1999-04-08,12283297,266351,-0.91
1999-04-09,12505321,266351,0.0
1999-04-12,12246810,266351,-2.07
1999-04-13,11743441,266351,-6.09
1999-04-14,10529493,266351,-15.8
1999-04-15,10953952,266351,-12.41
1999-04-16,9989107,266351,-20.12
1999-04-19,8578393,266351,-31.4
1999-04-20,9158492,266351,-26.76
1999-04-21,10509744,266351,-15.96
1999-04-22,11356955,266351,-9.18
1999-04-23,11799645,266351,-5.64
1999-04-26,12608536,266351,0.0
1999-04-27,12022342,266351,-4.65
1999-04-28,10782212,266351,-14.48
1999-04-29,10513671,266351,-16.61
1999-04-30,10711379,266351,-15.05
1999-05-03,10537603,266351,-16.42
1999-05-04,10033021,266351,-20.43
1999-05-05,10939935,266351,-13.23
1999-05-06,9741878,266351,-22.74
1999-05-07,10156605,266351,-19.45
1999-05-10,10456958,266351,-17.06
1999-05-11,10946329,266351,-13.18
1999-05-12,11620477,266351,-7.84
1999-05-13,10966363,266351,-13.02
1999-05-14,10337462,266351,-18.01
1999-05-17,10890140,266351,-13.63
1999-05-18,10738970,266351,-14.83
1999-05-19,11179867,266351,-11.33
1999-05-20,10252508,266351,-18.69
1999-05-21,9963574,266351,-20.98
1999-05-24,9198783,266351,-27.04
1999-05-25,8290342,266351,-34.25
1999-05-26,8979956,266351,-28.78
1999-05-27,8950681,266351,-29.01
1999-05-28,9388668,266351,-25.54
1999-06-01,8757894,266351,-30.54
1999-06-02,9197165,266351,-27.06
1999-06-03,8800732,266351,-30.2
1999-06-04,9605067,266351,-23.82
1999-06-07,10199690,266351,-19.1
1999-06-08,9428079,266351,-25.22
1999-06-09,9896292,266351,-21.51
1999-06-10,9551016,266351,-24.25
1999-06-11,9111792,266351,-27.73
1999-06-14,8591546,266351,-31.86
1999-06-15,8971553,266351,-28.85
1999-06-16,10349334,266351,-17.92
1999-06-17,10688497,266351,-15.23
1999-06-18,10829208,266351,-14.11
1999-06-21,11796195,266351,-6.44
1999-06-22,10722416,266351,-14.96
1999-06-23,11224036,266351,-10.98
1999-06-24,10549584,266351,-16.33
1999-06-25,10503481,266351,-16.7
1999-06-28,11245281,266351,-10.81
1999-06-29,11700810,266351,-7.2
1999-06-30,12235971,266351,-2.95
1999-07-01,12478134,266351,-1.03
1999-07-02,12945158,266351,0.0
1999-07-06,12690207,266351,-1.97
1999-07-07,12744419,266351,-1.55
1999-07-08,13248359,266351,0.0
1999-07-09,13639386,266351,0.0
1999-07-12,13418295,266351,-1.62
1999-07-13,13220800,266351,-3.07
1999-07-14,13888206,266351,0.0
1999-07-15,14264155,266351,0.0
1999-07-16,14652189,266351,0.0
1999-07-19,14196568,266351,-3.11
1999-07-20,12545697,266351,-14.38
1999-07-21,12720096,266351,-13.19
1999-07-22,11742891,266351,-19.86
1999-07-23,11789412,266351,-19.54
1999-07-26,10914711,266351,-25.51
1999-07-27,11568017,266351,-21.05
1999-07-28,12241895,266351,-16.45
1999-07-29,11450257,266351,-21.85
1999-07-30,11274130,266351,-23.05
1999-08-02,11174491,266351,-23.74
1999-08-03,10950175,266351,-25.27
1999-08-04,10349073,266351,-29.37
1999-08-05,10836751,266351,-26.04
1999-08-06,10481081,266351,-28.47
1999-08-09,10071218,266351,-31.26
1999-08-10,9793342,266351,-33.16
1999-08-11,10754807,266351,-26.6
1999-08-12,10370110,266351,-29.22
1999-08-13,11719253,266351,-20.02
1999-08-16,11993816,266351,-18.14
1999-08-17,12166112,266351,-16.97
1999-08-18,11749294,266351,-19.81
1999-08-19,11323137,266351,-22.72
1999-08-20,11856329,266351,-19.08
1999-08-23,12981044,266351,-11.41
1999-08-24,13238346,266351,-9.65
1999-08-25,14075984,266351,-3.93
1999-08-26,13365450,266351,-8.78
1999-08-27,12959190,266351,-11.55
1999-08-30,12404122,266351,-15.34
1999-08-31,12810912,266351,-12.57
1999-09-01,13080254,266351,-10.73
1999-09-02,12935060,266351,-11.72
1999-09-03,14708977,266351,0.0
1999-09-07,14502472,266351,-1.4
1999-09-08,13905622,266351,-5.46
1999-09-09,14490877,266351,-1.48
1999-09-10,14983247,266351,0.0
1999-09-13,14435036,266351,-3.66
1999-09-14,14665428,266351,-2.12
1999-09-15,13807449,266351,-7.85
1999-09-16,13778496,266351,-8.04
1999-09-17,15010439,266351,0.0
1999-09-20,15107383,266351,0.0
1999-09-21,14010729,266351,-7.26
1999-09-22,14448024,266351,-4.36
1999-09-23,12643672,266351,-16.31
1999-09-24,12685798,266351,-16.03
1999-09-27,12945766,266351,-14.31
1999-09-28,13118873,266351,-13.16
1999-09-29,12322200,266351,-18.44
1999-09-30,12702999,266351,-15.92
1999-10-01,12710583,266351,-15.87
1999-10-04,13559281,266351,-10.25
1999-10-05,13840634,266351,-8.38
1999-10-06,14664607,266351,-2.93
1999-10-07,14552975,266351,-3.67
1999-10-08,15004163,266351,-0.68
1999-10-11,15629900,266351,0.0
1999-10-12,14555779,266351,-6.87
