Date,Open,High,Low,Close,open_pct,high_pct,low_pct,close_pct
1999-03-10,37.4322,37.4322,37.4322,37.4322,,,,
1999-03-11,38.2569,38.2569,37.9624,37.9624,2.2,2.2,1.42,1.42
1999-03-12,37.5462,37.5462,35.1681,35.1681,-1.1,-1.1,-7.36,-7.36
1999-03-15,35.9584,38.1791,35.9584,38.1791,2.25,8.56,2.25,8.56
1999-03-16,38.6656,39.1321,38.6656,39.1321,1.27,2.5,1.27,2.5
1999-03-17,39.1321,39.1321,38.264,38.264,0.0,0.0,-2.22,-2.22
1999-03-18,38.1248,40.4702,38.1248,40.4702,-0.36,5.77,-0.36,5.77
1999-03-19,42.0582,42.0582,37.3451,37.3451,3.92,3.92,-7.72,-7.72
1999-03-22,37.8236,37.8236,35.9584,35.9584,1.28,1.28,-3.71,-3.71
1999-03-23,35.3588,35.3588,32.1416,32.1416,-1.67,-1.67,-10.61,-10.61
1999-03-24,33.0059,35.3966,33.0059,35.3966,2.69,10.13,2.69,10.13
1999-03-25,37.0404,39.2574,37.0404,39.2574,4.64,10.91,4.64,10.91
1999-03-26,38.2724,38.2724,37.9704,37.9704,-2.51,-2.51,-3.28,-3.28
1999-03-29,39.3462,42.0777,39.3462,42.0777,3.62,10.82,3.62,10.82
1999-03-30,41.9306,41.9306,41.1729,41.1729,-0.35,-0.35,-2.15,-2.15
1999-03-31,43.2026,43.2026,39.3391,39.3391,4.93,4.93,-4.45,-4.45
1999-04-01,42.7833,42.7833,41.7789,41.7789,8.76,8.76,6.2,6.2
1999-04-05,43.8082,46.2912,43.8082,46.2912,4.86,10.8,4.86,10.8
1999-04-06,46.1348,46.541,46.1348,46.541,-0.34,0.54,-0.34,0.54
1999-04-07,47.8356,47.8356,45.0654,45.0654,2.78,2.78,-3.17,-3.17
1999-04-08,44.8351,46.117,44.8351,46.117,-0.51,2.33,-0.51,2.33
1999-04-09,45.8831,46.9506,45.8831,46.9506,-0.51,1.81,-0.51,1.81
1999-04-12,43.6383,45.98,43.6383,45.98,-7.05,-2.07,-7.05,-2.07
1999-04-13,46.8353,46.8353,44.0901,44.0901,1.86,1.86,-4.11,-4.11
1999-04-14,45.753,45.753,39.5324,39.5324,3.77,3.77,-10.34,-10.34
1999-04-15,39.9534,41.126,39.9534,41.126,1.07,4.03,1.07,4.03
1999-04-16,40.8379,40.8379,37.5036,37.5036,-0.7,-0.7,-8.81,-8.81
1999-04-19,38.2477,38.2477,32.2071,32.2071,1.98,1.98,-14.12,-14.12
1999-04-20,31.7804,34.385,31.7804,34.385,-1.32,6.76,-1.32,6.76
1999-04-21,35.3395,39.4582,35.3395,39.4582,2.78,14.75,2.78,14.75
1999-04-22,40.5717,42.639,40.5717,42.639,2.82,8.06,2.82,8.06
1999-04-23,41.98,44.3011,41.98,44.3011,-1.55,3.9,-1.55,3.9
1999-04-26,45.2022,47.338,45.2022,47.338,2.03,6.86,2.03,6.86
1999-04-27,48.3772,48.3772,45.1372,45.1372,2.2,2.2,-4.65,-4.65
1999-04-28,43.998,43.998,40.4812,40.4812,-2.52,-2.52,-10.32,-10.32
1999-04-29,39.9171,39.9171,39.473,39.473,-1.39,-1.39,-2.49,-2.49
1999-04-30,41.137,41.137,40.2153,40.2153,4.22,4.22,1.88,1.88
1999-05-03,39.8644,39.8644,39.5629,39.5629,-0.87,-0.87,-1.62,-1.62
1999-05-04,39.7711,39.7711,37.6685,37.6685,0.53,0.53,-4.79,-4.79
1999-05-05,37.7356,41.0734,37.7356,41.0734,0.18,9.04,0.18,9.04
1999-05-06,39.9364,39.9364,36.5754,36.5754,-2.77,-2.77,-10.95,-10.95
1999-05-07,37.5604,38.1325,37.5604,38.1325,2.69,4.26,2.69,4.26
1999-05-10,38.8749,39.2601,38.8749,39.2601,1.95,2.96,1.95,2.96
1999-05-11,40.2232,41.0973,40.2232,41.0973,2.45,4.68,2.45,4.68
1999-05-12,41.6645,43.6285,41.6645,43.6285,1.38,6.16,1.38,6.16
1999-05-13,44.6608,44.6608,41.1726,41.1726,2.37,2.37,-5.63,-5.63
1999-05-14,38.7618,38.8115,38.7618,38.8115,-5.86,-5.73,-5.86,-5.73
1999-05-17,37.7895,40.8865,37.7895,40.8865,-2.63,5.35,-2.63,5.35
1999-05-18,40.7631,40.7631,40.319,40.319,-0.3,-0.3,-1.39,-1.39
1999-05-19,40.8078,41.9742,40.8078,41.9742,1.21,4.11,1.21,4.11
1999-05-20,42.2431,42.2431,38.4925,38.4925,0.64,0.64,-8.29,-8.29
1999-05-21,38.8475,38.8475,37.4077,37.4077,0.92,0.92,-2.82,-2.82
1999-05-24,37.6066,37.6066,34.5364,34.5364,0.53,0.53,-7.68,-7.68
1999-05-25,34.4107,34.4107,31.1256,31.1256,-0.36,-0.36,-9.88,-9.88
1999-05-26,32.3551,33.7148,32.3551,33.7148,3.95,8.32,3.95,8.32
1999-05-27,33.3138,33.6048,33.3138,33.6048,-1.19,-0.33,-1.19,-0.33
