Date,equity,position,drawdown_pct
2010-01-21,10000000,0,0.0
2010-01-22,9960400,686651,-0.4
2010-01-25,9855207,686651,-1.45
2010-01-26,9816452,686651,-1.84
2010-01-27,9873203,686651,-1.27
2010-01-28,9835828,686651,-1.64
2010-01-29,10011617,686651,0.0
2010-02-01,9849672,686651,-1.62
2010-02-02,9881505,686651,-1.3
2010-02-03,9653119,686651,-3.58
2010-02-04,9957637,686651,-0.54
2010-02-05,9995008,686651,-0.17
2010-02-08,10037916,686651,0.0
2010-02-09,9833060,686651,-2.04
2010-02-10,9644816,686651,-3.92
2010-02-11,9535467,686651,-5.01
2010-02-12,9610208,686651,-4.26
2010-02-16,9646197,686651,-3.9
2010-02-17,9441342,686651,-5.94
2010-02-18,9352757,686651,-6.83
2010-02-19,9448263,686651,-5.87
2010-02-22,9390131,686651,-6.45
2010-02-23,9671114,686651,-3.65
2010-02-24,9708487,686651,-3.28
2010-02-25,9823371,686651,-2.14
2010-02-26,9921647,686651,-1.16
2010-03-01,9932719,686651,-1.05
2010-03-02,9899501,686651,-1.38
2010-03-03,9855207,686651,-1.82
2010-03-04,9929952,686651,-1.08
2010-03-05,9680803,686651,-3.56
2010-03-08,9578377,686651,-4.58
2010-03-09,9596371,686651,-4.4
2010-03-10,9554843,686651,-4.81
2010-03-11,9604674,686651,-4.32
2010-03-12,9722327,686651,-3.14
2010-03-15,9718175,686651,-3.19
2010-03-16,9856592,686651,-1.81
2010-03-17,9939641,686651,-0.98
2010-03-18,9869051,686651,-1.68
2010-03-19,9909193,686651,-1.28
2010-03-22,9928567,686651,-1.09
2010-03-23,9834447,686651,-2.03
2010-03-24,9479134,686651,-5.57
2010-03-25,9348921,686651,-6.86
2010-03-26,9404330,686651,-6.31
2010-03-29,9339224,686651,-6.96
2010-03-30,9389095,686651,-6.46
2010-03-31,9515149,686651,-5.21
2010-04-01,9476363,686651,-5.59
2010-04-05,9163299,686651,-8.71
2010-04-06,9184078,686651,-8.51
2010-04-07,9415413,686651,-6.2
2010-04-08,9429264,686651,-6.06
2010-04-09,9465280,686651,-5.7
2010-04-12,9573328,686651,-4.63
2010-04-13,9632894,686651,-4.03
2010-04-14,9495757,686651,-5.4
2010-04-15,9534543,686651,-5.01
2010-04-16,9668909,686651,-3.68
2010-04-19,9619041,686651,-4.17
2010-04-20,9682762,686651,-3.54
2010-04-21,9842062,686651,-1.95
2010-04-22,9776955,686651,-2.6
2010-04-23,9714624,686651,-3.22
2010-04-26,9735403,686651,-3.01
2010-04-27,10024913,686651,-0.13
2010-04-28,9848987,686651,-1.88
2010-04-29,9915481,686651,-1.22
2010-04-30,10153741,686651,0.0
2010-05-03,10134347,686651,-0.19
2010-05-04,10486196,686651,0.0
2010-05-05,10608095,686651,0.0
2010-05-06,11235603,686651,0.0
2010-05-07,10977952,686651,-2.29
2010-05-10,10511130,686651,-6.45
2010-05-11,10486196,686651,-6.67
2010-05-12,10308885,686651,-8.25
2010-05-13,10429399,686651,-7.18
2010-05-14,10820037,686651,-3.7
2010-05-17,10732767,686651,-4.48
2010-05-18,11056908,686651,-1.59
2010-05-19,11145563,686651,-0.8
2010-05-20,11602687,686651,0.0
2010-05-21,11634550,686651,0.0
2010-05-24,11550053,686651,-0.73
2010-05-25,11674719,686651,0.0
2010-05-26,11606846,686651,-0.58
2010-05-27,11073529,686651,-5.15
2010-05-28,11173266,686651,-4.3
2010-06-01,11333954,686651,-2.92
2010-06-02,11104004,686651,-4.89
2010-06-03,10959945,686651,-6.12
2010-06-04,11552822,686651,-1.04
2010-06-07,11721817,686651,0.0
2010-06-08,11612386,686651,-0.93
2010-06-09,11586067,686651,-1.16
2010-06-10,11156641,686651,-4.82
2010-06-11,11447543,686651,-2.34
2010-06-14,11338111,686651,-3.27
2010-06-15,11220364,686651,-4.28
2010-06-16,11342266,686651,-3.24
2010-06-17,11541739,686651,-1.54
2010-06-18,11511263,686651,-1.8
2010-06-21,11439229,686651,-2.41
2010-06-22,11712121,686651,-0.08
2010-06-23,11886664,686651,0.0
2010-06-24,11731516,686651,-1.31
2010-06-25,11832638,686651,-0.45
2010-06-28,12055662,686651,0.0
2010-06-29,12327164,686651,0.0
2010-06-30,12479538,686651,0.0
2010-07-01,12532179,686651,0.0
2010-07-02,12307770,686651,-1.79
2010-07-06,12519712,686651,-0.1
2010-07-07,12239894,686651,-2.33
2010-07-08,12083369,686651,-3.58
2010-07-09,11944847,686651,-4.69
2010-07-12,11928219,686651,-4.82
2010-07-13,11730129,686651,-6.4
2010-07-14,11978091,686651,-4.42
2010-07-15,12201108,686651,-2.64
2010-07-16,12331323,686651,-1.6
2010-07-19,12187253,686651,-2.75
2010-07-20,12216345,686651,-2.52
2010-07-21,12634690,686651,0.0
2010-07-22,12352095,686651,-2.24
2010-07-23,12081977,686651,-4.37
2010-07-26,12033495,686651,-4.76
2010-07-27,11832638,686651,-6.35
2010-07-28,11868652,686651,-6.06
2010-07-29,11892205,686651,-5.88
2010-07-30,12245438,686651,-3.08
2010-08-02,11929602,686651,-5.58
2010-08-03,12052890,686651,-4.6
2010-08-04,11872809,686651,-6.03
2010-08-05,11996095,686651,-5.05
2010-08-06,12248208,686651,-3.06
2010-08-09,12167860,686651,-3.69
2010-08-10,12209419,686651,-3.37
2010-08-11,12540492,686651,-0.75
2010-08-12,12485083,686651,-1.18
2010-08-13,12803684,686651,0.0
2010-08-16,13421496,686651,0.0
2010-08-17,13273277,686651,-1.1
2010-08-18,13343925,686651,-0.58
2010-08-19,13763648,686651,0.0
2010-08-20,13733171,686651,-0.22
2010-08-23,13729017,686651,-0.25
2010-08-24,14188912,686651,0.0
2010-08-25,14073942,686651,-0.81
2010-08-26,14370375,686651,0.0
2010-08-27,13524002,686651,-5.89
2010-08-30,14053161,686651,-2.21
2010-08-31,14363452,686651,-0.05
2010-09-01,13774728,686651,-4.14
2010-09-02,13476904,686651,-6.22
2010-09-03,13161073,686651,-8.42
2010-09-07,13676374,686651,-4.83
2010-09-08,13458899,686651,-6.34
2010-09-09,12940822,686651,-9.95
2010-09-10,12817533,686651,-10.81
2010-09-13,12921430,686651,-10.08
2010-09-14,13173540,686651,-8.33
2010-09-15,12798144,686651,-10.94
2010-09-16,12602824,686651,-12.3
2010-09-17,12642993,686651,-12.02
2010-09-20,12789834,686651,-11.0
2010-09-21,13146098,686651,-8.52
2010-09-22,13360874,686651,-7.02
2010-09-23,13477274,686651,-6.21
2010-09-24,13110066,686651,-8.77
2010-09-27,13543788,686651,-5.75
2010-09-28,13729473,686651,-4.46
2010-09-29,13628309,686651,-5.16
2010-09-30,13604753,686651,-5.33
2010-10-01,13478662,686651,-6.21
2010-10-04,13538244,686651,-5.79
2010-10-05,13381662,686651,-6.88
2010-10-06,13722542,686651,-4.51
2010-10-07,13514691,686651,-5.95
2010-10-08,13392746,686651,-6.8
2010-10-11,13396905,686651,-6.77
2010-10-12,13129464,686651,-8.64
2010-10-13,13072650,686651,-9.03
2010-10-14,12709599,686651,-11.56
2010-10-15,12395044,686651,-13.75
2010-10-18,12611213,686651,-12.24
2010-10-19,12729001,686651,-11.42
2010-10-20,12788582,686651,-11.01
2010-10-21,12497584,686651,-13.03
2010-10-22,12654171,686651,-11.94
2010-10-25,12734545,686651,-11.38
2010-10-26,12332691,686651,-14.18
2010-10-27,12128991,686651,-15.6
2010-10-28,12185807,686651,-15.2
2010-10-29,12403365,686651,-13.69
2010-11-01,12311903,686651,-14.32
2010-11-02,12615370,686651,-12.21
2010-11-03,12141469,686651,-15.51
2010-11-04,12321604,686651,-14.26
2010-11-05,11901741,686651,-17.18
2010-11-08,12000124,686651,-16.49
2010-11-09,11487417,686651,-20.06
2010-11-10,11499884,686651,-19.98
2010-11-11,11499884,686651,-19.98
2010-11-12,11369631,686651,-20.88
2010-11-15,10915122,686651,-24.04
2010-11-16,11418133,686651,-20.54
2010-11-17,11319750,686651,-21.23
2010-11-18,11380722,686651,-20.8
2010-11-19,11513746,686651,-19.88
2010-11-22,11623217,686651,-19.12
2010-11-23,11738230,686651,-18.32
2010-11-24,11326676,686651,-21.18
2010-11-26,11619063,686651,-19.15
2010-11-29,11833834,686651,-17.65
2010-11-30,11941922,686651,-16.9
2010-12-01,11452775,686651,-20.3
2010-12-02,11361319,686651,-20.94
2010-12-03,11182565,686651,-22.18
2010-12-06,11492963,686651,-20.02
2010-12-07,11010737,686651,-23.38
2010-12-08,10789026,686651,-24.92
2010-12-09,10890184,686651,-24.22
2010-12-10,10773787,686651,-25.03
2010-12-13,10858313,686651,-24.44
2010-12-14,10518820,686651,-26.8
2010-12-15,10258306,686651,-28.61
2010-12-16,10385786,686651,-27.73
2010-12-17,10790411,686651,-24.91
2010-12-20,10752998,686651,-25.17
2010-12-21,10874940,686651,-24.32
2010-12-22,10746071,686651,-25.22
2010-12-23,10684873,686651,-25.65
2010-12-27,10893970,686651,-24.19
2010-12-28,10464626,686651,-27.18
2010-12-29,10814515,686651,-24.74
2010-12-30,10793608,686651,-24.89
2010-12-31,11020824,686651,-23.31
2011-01-03,10877248,686651,-24.31
2011-01-04,10898156,686651,-24.16
2011-01-05,10435351,686651,-27.38
2011-01-06,10493900,686651,-26.98
2011-01-07,10637480,686651,-25.98
2011-01-10,10730875,686651,-25.33
2011-01-11,10617964,686651,-26.11
2011-01-12,10460446,686651,-27.21
2011-01-13,10627719,686651,-26.04
2011-01-14,10502260,686651,-26.92
2011-01-18,10401896,686651,-27.62
2011-01-19,10549660,686651,-26.59
2011-01-20,10275045,686651,-28.5
2011-01-21,10407472,686651,-27.58
2011-01-24,10426989,686651,-27.44
2011-01-25,10637480,686651,-25.98
2011-01-26,10319649,686651,-28.19
2011-01-27,10390745,686651,-27.69
2011-01-28,10500870,686651,-26.93
2011-01-31,10357289,686651,-27.93
2011-02-01,10261104,686651,-28.6
2011-02-02,10256922,686651,-28.62
2011-02-03,10082675,686651,-29.84
2011-02-04,9887513,686651,-31.2
2011-02-07,9969762,686651,-30.62
2011-02-08,9796910,686651,-31.83
2011-02-09,9951635,686651,-30.75
2011-02-10,9742541,686651,-32.2
2011-02-11,10004611,686651,-30.38
2011-02-14,10038070,686651,-30.15
2011-02-15,10107768,686651,-29.66
2011-02-16,10049217,686651,-30.07
2011-02-17,10068733,686651,-29.93
2011-02-18,10026914,686651,-30.23
2011-02-22,10314075,686651,-28.23
2011-02-23,10399111,686651,-27.64
2011-02-24,10521778,686651,-26.78
2011-02-25,10643054,686651,-25.94
2011-02-28,10690452,686651,-25.61
2011-03-01,10753177,686651,-25.17
2011-03-02,10426989,686651,-27.44
2011-03-03,10206741,686651,-28.97
2011-03-04,10374016,686651,-27.81
2011-03-07,10255526,686651,-28.63
2011-03-08,10121706,686651,-29.57
2011-03-09,10318256,686651,-28.2
2011-03-10,10663967,686651,-25.79
2011-03-11,10545479,686651,-26.62
2011-03-14,10538507,686651,-26.67
2011-03-15,10850758,686651,-24.49
2011-03-16,11089130,686651,-22.83
2011-03-17,10935794,686651,-23.9
2011-03-18,10987370,686651,-23.54
2011-03-21,10860515,686651,-24.42
2011-03-22,10926029,686651,-23.97
2011-03-23,10905356,686651,-24.11
2011-03-24,10746093,686651,-25.22
2011-03-25,10679036,686651,-25.69
2011-03-28,10718156,686651,-25.41
2011-03-29,10544918,686651,-26.62
2011-03-30,10699991,686651,-25.54
2011-03-31,10663667,686651,-25.79
2011-04-01,10775431,686651,-25.02
2011-04-04,10799184,686651,-24.85
2011-04-05,10713966,686651,-25.44
2011-04-06,10392638,686651,-27.68
2011-04-07,10345142,686651,-28.01
2011-04-08,10243157,686651,-28.72
2011-04-11,10248744,686651,-28.68
2011-04-12,10466685,686651,-27.16
2011-04-13,10592416,686651,-26.29
2011-04-14,10592416,686651,-26.29
2011-04-15,10853668,686651,-24.47
2011-04-18,10920726,686651,-24.01
2011-04-19,11017120,686651,-23.33
2011-04-20,10871830,686651,-24.35
2011-04-21,10857857,686651,-24.44
2011-04-25,10945869,686651,-23.83
2011-04-26,11151234,686651,-22.4
2011-04-27,10936091,686651,-23.9
2011-04-28,11089768,686651,-22.83
2011-04-29,11161017,686651,-22.33
2011-05-02,11190352,686651,-22.13
2011-05-03,11306313,686651,-21.32
2011-05-04,11418074,686651,-20.54
2011-05-05,11637409,686651,-19.02
2011-05-06,11536824,686651,-19.72
2011-05-09,11511674,686651,-19.89
2011-05-10,11366384,686651,-20.9
2011-05-11,11492118,686651,-20.03
2011-05-12,11339835,686651,-21.09
2011-05-13,11528441,686651,-19.78
2011-05-16,11677925,686651,-18.74
2011-05-17,11909831,686651,-17.12
2011-05-18,11598294,686651,-19.29
2011-05-19,11602481,686651,-19.26
2011-05-20,11602481,686651,-19.26
2011-05-23,11707266,686651,-18.53
2011-05-24,11796671,686651,-17.91
2011-05-25,11700277,686651,-18.58
2011-05-26,11890277,686651,-17.26
2011-05-27,11862334,686651,-17.45
2011-05-31,11933585,686651,-16.96
2011-06-01,12247921,686651,-14.77
2011-06-02,11802261,686651,-17.87
2011-06-03,11934979,686651,-16.95
2011-06-06,11770130,686651,-18.09
2011-06-07,11859539,686651,-17.47
2011-06-08,12045348,686651,-16.18
2011-06-09,11958732,686651,-16.78
2011-06-10,12119392,686651,-15.66
2011-06-13,12014612,686651,-16.39
2011-06-14,11645795,686651,-18.96
2011-06-15,12052328,686651,-16.13
2011-06-16,12173879,686651,-15.28
2011-06-17,12067701,686651,-16.02
2011-06-20,12083065,686651,-15.92
2011-06-21,11996450,686651,-16.52
2011-06-22,11986057,686651,-16.59
2011-06-23,12179878,686651,-15.24
2011-06-24,12081561,686651,-15.93
2011-06-27,11779594,686651,-18.03
2011-06-28,11560494,686651,-19.55
2011-06-29,11411613,686651,-20.59
2011-06-30,11366674,686651,-20.9
2011-07-01,11317515,686651,-21.24
2011-07-05,11386335,686651,-20.77
2011-07-06,11484650,686651,-20.08
2011-07-07,11414425,686651,-20.57
2011-07-08,11757123,686651,-18.18
2011-07-11,12081561,686651,-15.93
2011-07-12,12181284,686651,-15.23
2011-07-13,12248699,686651,-14.76
2011-07-14,11964994,686651,-16.74
2011-07-15,11945329,686651,-16.88
2011-07-18,11730436,686651,-18.37
2011-07-19,12213593,686651,-15.01
2011-07-20,11929874,686651,-16.98
2011-07-21,11736057,686651,-18.33
2011-07-22,11908807,686651,-17.13
2011-07-25,11684090,686651,-18.69
2011-07-26,11823134,686651,-17.73
2011-07-27,11824538,686651,-17.72
2011-07-28,11898976,686651,-17.2
2011-07-29,12358250,686651,-14.0
2011-08-01,12641965,686651,-12.03
2011-08-02,13383537,686651,-6.87
2011-08-03,13450954,686651,-6.4
2011-08-04,14366696,686651,-0.03
2011-08-05,13570342,686651,-5.57
2011-08-08,14442544,686651,0.0
2011-08-09,14535234,686651,0.0
2011-08-10,15415857,686651,0.0
2011-08-11,13936914,686651,-9.59
2011-08-12,14443944,686651,-6.3
2011-08-15,14172877,686651,-8.06
2011-08-16,14595629,686651,-5.32
2011-08-17,15094229,686651,-2.09
2011-08-18,15693955,686651,0.0
2011-08-19,15969237,686651,0.0
2011-08-22,15876538,686651,-0.58
2011-08-23,15514175,686651,-2.85
2011-08-24,14573158,686651,-8.74
2011-08-25,14891980,686651,-6.75
2011-08-26,15203775,686651,-4.79
2011-08-29,14752933,686651,-7.62
2011-08-30,15233274,686651,-4.61
2011-08-31,14782428,686651,-7.43
2011-09-01,15380747,686651,-3.69
2011-09-02,16359690,686651,0.0
2011-09-06,16710814,686651,0.0
2011-09-07,16098449,686651,-3.66
2011-09-08,16370923,686651,-2.03
2011-09-09,16706600,686651,-0.03
2011-09-12,16765591,686651,0.0
2011-09-13,16290867,686651,-2.83
2011-09-14,16529632,686651,-1.41
2011-09-15,16054910,686651,-4.24
2011-09-16,16245923,686651,-3.1
2011-09-19,16907443,686651,0.0
2011-09-20,16986099,686651,0.0
2011-09-21,18160186,686651,0.0
2011-09-22,19524705,686651,0.0
2011-09-23,18822068,686651,-3.6
2011-09-26,18200945,686651,-6.78
2011-09-27,17650083,686651,-9.6
2011-09-28,17630412,686651,-9.7
2011-09-29,17851035,686651,-8.57
2011-09-30,18750398,686651,-3.97
2011-10-03,19746733,686651,0.0
2011-10-04,19384178,686651,-1.84
2011-10-05,19015997,686651,-3.7
2011-10-06,18314772,686651,-7.25
2011-10-07,18037934,686651,-8.65
2011-10-10,17541877,686651,-11.17
2011-10-11,17405568,686651,-11.86
2011-10-12,16912317,686651,-14.35
2011-10-13,17207426,686651,-12.86
2011-10-14,16745096,686651,-15.2
2011-10-17,17315629,686651,-12.31
2011-10-18,17103434,686651,-13.39
2011-10-19,17085168,686651,-13.48
2011-10-20,16872972,686651,-14.55
2011-10-21,16506198,686651,-16.41
2011-10-24,16524467,686651,-16.32
2011-10-25,17383083,686651,-11.97
2011-10-26,16795684,686651,-14.94
2011-10-27,15651804,686651,-20.74
2011-10-28,15965174,686651,-19.15
2011-10-31,17231316,686651,-12.74
2011-11-01,18383627,686651,-6.9
2011-11-02,17963454,686651,-9.03
2011-11-03,17458964,686651,-11.59
2011-11-04,17495504,686651,-11.4
2011-11-07,17723158,686651,-10.25
2011-11-08,17238345,686651,-12.7
2011-11-09,17984534,686651,-8.92
2011-11-10,17468802,686651,-11.54
2011-11-11,17242555,686651,-12.68
2011-11-14,17761098,686651,-10.06
2011-11-15,17740018,686651,-10.16
2011-11-16,18040746,686651,-8.64
2011-11-17,18355523,686651,-7.05
2011-11-18,18341472,686651,-7.12
2011-11-21,18559290,686651,-6.01
2011-11-22,18949949,686651,-4.04
2011-11-23,19353259,686651,-1.99
2011-11-25,18770079,686651,-4.95
2011-11-28,18723697,686651,-5.18
2011-11-29,18481992,686651,-6.4
2011-11-30,17821520,686651,-9.75
2011-12-01,17697861,686651,-10.38
2011-12-02,18157382,686651,-8.05
2011-12-05,18125055,686651,-8.21
2011-12-06,17765312,686651,-10.03
2011-12-07,17907249,686651,-9.32
2011-12-08,18338663,686651,-7.13
2011-12-09,17572795,686651,-11.01
2011-12-12,17946588,686651,-9.12
2011-12-13,18302122,686651,-7.32
2011-12-14,19013180,686651,-3.71
2011-12-15,18883900,686651,-4.37
2011-12-16,19304077,686651,-2.24
2011-12-19,19802941,686651,0.0
2011-12-20,18810825,686651,-5.01
2011-12-21,18333035,686651,-7.42
2011-12-22,18438435,686651,-6.89
2011-12-23,17974701,686651,-9.23
2011-12-27,18202349,686651,-8.08
2011-12-28,18888113,686651,-4.62
2011-12-29,18935897,686651,-4.38
2011-12-30,19035666,686651,-3.87
2012-01-03,18463728,686651,-6.76
2012-01-04,18054792,686651,-8.83
2012-01-05,17953616,686651,-9.34
2012-01-06,18233269,686651,-7.93
2012-01-09,18206566,686651,-8.06
2012-01-10,18113815,686651,-8.53
2012-01-11,18578965,686651,-6.18
2012-01-12,18553667,686651,-6.31
2012-01-13,18910604,686651,-4.51
2012-01-17,19080639,686651,-3.65
2012-01-18,18632356,686651,-5.91
2012-01-19,18082902,686651,-8.69
2012-01-20,17693645,686651,-10.65
2012-01-23,17505342,686651,-11.6
2012-01-24,17525015,686651,-11.5
2012-01-25,17488479,686651,-11.69
2012-01-26,17886162,686651,-9.68
2012-01-27,18026689,686651,-8.97
2012-01-30,18432813,686651,-6.92
2012-01-31,18878279,686651,-4.67
2012-02-01,18451080,686651,-6.83
2012-02-02,18438435,686651,-6.89
2012-02-03,17658520,686651,-10.83
2012-02-06,18005616,686651,-9.08
2012-02-07,17554524,686651,-11.35
2012-02-08,17568577,686651,-11.28
2012-02-09,17312820,686651,-12.57
2012-02-10,17786392,686651,-10.18
2012-02-13,17777959,686651,-10.23
2012-02-14,17980316,686651,-9.2
2012-02-15,17908650,686651,-9.57
2012-02-16,17620570,686651,-11.02
2012-02-17,17621979,686651,-11.01
2012-02-21,17241152,686651,-12.94
2012-02-22,17633225,686651,-10.96
2012-02-23,17668349,686651,-10.78
2012-02-24,17876327,686651,-9.73
2012-02-27,18231859,686651,-7.93
2012-02-28,18098364,686651,-8.61
2012-02-29,17898812,686651,-9.62
2012-03-01,17571388,686651,-11.27
2012-03-02,17842604,686651,-9.9
2012-03-05,17595276,686651,-11.15
2012-03-06,17971885,686651,-9.25
2012-03-07,17768125,686651,-10.28
2012-03-08,17439292,686651,-11.94
2012-03-09,17457565,686651,-11.84
2012-03-12,17505342,686651,-11.6
2012-03-13,16920751,686651,-14.55
2012-03-14,16045283,686651,-18.98
2012-03-15,16076193,686651,-18.82
2012-03-16,16138019,686651,-18.51
2012-03-19,15772651,686651,-20.35
2012-03-20,15856966,686651,-19.93
2012-03-21,16234312,686651,-18.02
2012-03-22,16321512,686651,-17.58
2012-03-23,16629513,686651,-16.03
2012-03-26,16460746,686651,-16.88
2012-03-27,16716718,686651,-15.58
2012-03-28,16639357,686651,-15.98
2012-03-29,16929083,686651,-14.51
2012-03-30,16335575,686651,-17.51
2012-04-02,16508560,686651,-16.64
2012-04-03,15954437,686651,-19.43
2012-04-04,16396049,686651,-17.2
2012-04-05,16625297,686651,-16.05
2012-04-09,17369292,686651,-12.29
2012-04-10,17791216,686651,-10.16
2012-04-11,17405861,686651,-12.1
2012-04-12,17217399,686651,-13.06
2012-04-13,17788408,686651,-10.17
2012-04-16,17723711,686651,-10.5
2012-04-17,17713861,686651,-10.55
2012-04-18,17796848,686651,-10.13
2012-04-19,17899515,686651,-9.61
2012-04-20,17839037,686651,-9.92
2012-04-23,18124543,686651,-8.48
2012-04-24,17916389,686651,-9.53
2012-04-25,17709648,686651,-10.57
2012-04-26,17861542,686651,-9.8
2012-04-27,17944514,686651,-9.38
2012-04-30,17914986,686651,-9.53
2012-05-01,17722305,686651,-10.51
2012-05-02,17964210,686651,-9.29
2012-05-03,17976868,686651,-9.22
2012-05-04,18287689,686651,-7.65
2012-05-07,18282055,686651,-7.68
2012-05-08,18431139,686651,-6.93
2012-05-09,18481772,686651,-6.67
2012-05-10,18432544,686651,-6.92
2012-05-11,18651941,686651,-5.81
2012-05-14,19172325,686651,-3.18
2012-05-15,19335468,686651,-2.36
