entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,holding_days
1999-07-01,1999-08-05,46.526743,38.754792,214930,-1670425,-0.167,35
1999-09-07,2000-04-14,55.058151,90.546739,151286,5368927,0.6446,220
2000-07-17,2000-07-31,104.468886,65.580331,131125,-5099262,-0.3723,14
2000-09-05,2000-09-19,98.766354,68.15257,87066,-2665420,-0.31,14
2001-05-22,2001-06-15,4.586528,2.319445,1293749,-2933037,-0.4943,24
2001-11-20,2002-01-22,1.534809,1.294413,1955150,-470009,-0.1566,63
2002-11-22,2002-12-16,0.269821,0.204349,9379449,-614091,-0.2426,24
2003-04-23,2003-08-06,0.241272,0.302671,7944083,487764,0.2545,105
2003-09-02,2003-10-01,0.405673,0.364718,5927048,-242747,-0.101,29
2003-12-30,2004-02-05,0.496851,0.487566,4350797,-40398,-0.0187,37
2004-07-01,2004-07-09,0.510393,0.435563,4156213,-311006,-0.1466,8
2004-10-04,2005-01-05,0.441092,0.526758,4104117,351582,0.1942,93
2005-05-27,2005-06-27,0.480798,0.431687,4496432,-220824,-0.1021,31
2005-07-15,2005-08-17,0.50043,0.494865,3878769,-21585,-0.0111,33
2005-11-04,2005-12-20,0.522491,0.55149,3673686,106532,0.0555,46
2006-01-09,2006-02-06,0.6226,0.529349,3254093,-303448,-0.1498,28
2006-09-06,2006-12-26,0.417364,0.5193,4127213,420712,0.2442,111
2007-01-12,2007-02-28,0.597478,0.507819,3587183,-321624,-0.1501,47
2007-04-25,2007-08-01,0.595715,0.620815,3057906,76754,0.0421,98
2007-09-26,2007-11-09,0.764418,0.707392,2483448,-141621,-0.0746,44
2008-04-21,2008-06-12,0.484139,0.502158,3628653,65384,0.0372,52
2009-04-03,2009-07-08,0.091021,0.109894,20019033,377821,0.2073,96
2009-07-17,2010-01-25,0.136691,0.218641,16094553,1318953,0.5995,192
2010-03-10,2010-05-07,0.253978,0.239648,13855277,-198543,-0.0564,58
2010-09-14,2011-03-16,0.24104,0.371761,13775260,1800721,0.5423,183
2011-04-28,2011-05-24,0.459097,0.410711,11154739,-539733,-0.1054,26
2011-07-25,2011-08-03,0.453963,0.388907,10091963,-656543,-0.1433,9
2011-10-25,2011-11-21,0.396681,0.319828,9894167,-760405,-0.1937,27
2012-01-19,2012-04-17,0.41418,0.544708,7640227,997265,0.3151,89
2012-08-06,2012-10-10,0.536719,0.565323,7753945,221791,0.0533,65
2013-01-24,2013-04-19,0.550578,0.55888,7961605,66101,0.0151,85
2013-04-30,2013-06-06,0.638918,0.683363,6964249,309524,0.0696,37
2013-07-12,2013-08-28,0.773422,0.765326,6153311,-49819,-0.0105,47
2013-09-10,2013-10-09,0.871233,0.840749,5405317,-164774,-0.035,29
2013-10-15,2014-01-30,0.921685,1.141548,4930661,1084071,0.2385,107
2014-02-14,2014-03-25,1.295384,1.264246,4345112,-135297,-0.024,39
2014-05-30,2014-09-26,1.363783,1.678408,4027979,1267301,0.2307,119
2014-11-03,2014-12-16,1.848264,1.796963,3657805,-187650,-0.0278,43
2015-02-13,2015-06-30,2.095732,2.129015,3136345,104385,0.0159,137
2015-07-17,2015-08-21,2.466811,1.992976,2706865,-1282608,-0.1921,35
2015-10-26,2016-01-08,2.348707,1.896402,2296888,-1038895,-0.1926,74
2016-03-30,2016-04-28,2.061428,1.941218,2113012,-254005,-0.0583,29
2016-07-12,2016-09-12,2.142824,2.2361,1914211,178549,0.0435,62
2016-09-22,2016-11-04,2.581923,2.232728,1657821,-578903,-0.1352,43
2016-12-14,2017-07-05,2.652146,3.796768,1395648,1597490,0.4316,203
2017-07-20,2018-02-06,4.493923,5.426446,1179137,1099571,0.2075,201
2018-03-12,2018-03-26,7.401431,5.90952,864498,-1289754,-0.2016,14
2018-06-04,2018-10-11,7.050313,6.54529,724616,-365947,-0.0716,129
2019-02-26,2019-05-14,6.108137,6.629162,776476,404563,0.0853,77
2019-07-05,2019-08-05,7.804547,6.905675,659537,-592839,-0.1152,31
2019-10-28,2020-02-26,8.256586,10.644832,551626,1317419,0.2893,121
2020-05-21,2020-10-29,9.744517,14.538877,602591,2889038,0.492,161
2020-12-02,2021-03-04,19.456647,20.023446,450283,255220,0.0291,92
2021-04-14,2021-05-11,26.577921,21.602046,339237,-1688001,-0.1872,27
2021-06-15,2021-09-29,26.872988,30.513283,272698,992701,0.1355,106
2021-10-29,2021-12-06,35.789871,35.909619,232493,27840,0.0033,38
2022-08-01,2022-08-29,15.727485,13.997574,530839,-918304,-0.11,28
2023-01-30,2023-08-10,10.875398,19.66781,683235,6007284,0.8085,192
2023-11-15,2024-04-16,21.301356,27.249565,630839,3752362,0.2792,153
2024-05-16,2024-07-25,31.189139,32.201727,551156,558094,0.0325,70
2024-10-15,2025-02-28,37.848736,35.329735,468924,-1181220,-0.0666,136
2025-05-16,2025-11-19,35.472617,49.100142,467035,6364532,0.3842,187
2026-01-28,2026-02-05,57.873101,48.244829,396237,-3815078,-0.1664,8
