이평기간,버퍼존,유지일,조정기간(월),수익률,CAGR,MDD,거래수,승률,최종자본
150,0.04,3,2,14326.23,20.26,-85.68,16,68.75,1442622673.63
150,0.05,2,6,14106.7,20.2,-89.35,14,71.43,1420669835.71
150,0.05,2,8,14106.7,20.2,-89.35,14,71.43,1420669835.71
150,0.05,2,12,13561.69,20.02,-87.88,14,71.43,1366169479.46
150,0.05,2,0,13518.54,20.01,-89.79,15,66.67,1361854343.63
150,0.05,2,10,13354.41,19.95,-89.35,14,71.43,1345440734.46
150,0.04,3,8,13144.32,19.88,-85.81,16,68.75,1324432369.22
150,0.04,3,4,13144.32,19.88,-85.81,16,68.75,1324432369.22
150,0.04,3,6,13144.32,19.88,-85.81,16,68.75,1324432369.22
150,0.05,2,2,12869.91,19.79,-90.27,15,66.67,1296990535.2
150,0.03,3,8,12166.21,19.54,-90.1,19,57.89,1226621471.26
200,0.05,4,6,11425.85,19.27,-86.56,12,66.67,1152584734.56
200,0.05,4,8,11425.85,19.27,-86.56,12,66.67,1152584734.56
150,0.04,3,10,11419.74,19.26,-86.99,16,68.75,1151973822.42
200,0.05,4,10,11261.11,19.2,-86.56,12,66.67,1136111194.35
200,0.05,4,12,11261.11,19.2,-86.56,12,66.67,1136111194.35
150,0.03,4,6,11222.07,19.19,-89.58,19,57.89,1132207174.04
150,0.04,3,12,11150.64,19.16,-87.29,16,68.75,1125064048.2
200,0.01,1,12,11142.69,19.16,-84.0,27,40.74,1124268825.38
150,0.03,4,8,10855.31,19.04,-89.58,19,57.89,1095530839.41
150,0.04,2,2,10842.09,19.04,-90.2,17,64.71,1094209337.12
200,0.04,1,4,10791.42,19.02,-92.97,16,62.5,1089141926.71
200,0.04,1,6,10615.7,18.94,-92.97,16,62.5,1071569745.5
150,0.03,3,6,10367.69,18.84,-90.1,20,55.0,1046768515.23
200,0.04,1,8,10356.23,18.84,-93.14,16,62.5,1045623133.62
150,0.03,3,10,10323.52,18.82,-90.1,19,57.89,1042352425.86
150,0.03,3,4,9947.63,18.66,-90.1,20,55.0,1004762929.1
150,0.04,2,4,9867.0,18.63,-89.8,17,64.71,996700043.57
150,0.03,4,2,9814.33,18.6,-88.2,21,52.38,991432964.21
150,0.05,2,4,9809.37,18.6,-92.57,15,66.67,990937125.93
150,0.04,2,8,9792.48,18.59,-89.88,17,64.71,989248288.69
150,0.04,2,6,9792.48,18.59,-89.88,17,64.71,989248288.69
150,0.04,4,12,9771.49,18.58,-90.14,15,66.67,987149413.4
200,0.04,2,4,9652.02,18.53,-93.08,16,62.5,975201826.77
150,0.05,0,0,9651.03,18.53,-93.79,17,58.82,975103281.07
150,0.03,3,2,9428.41,18.43,-89.58,21,52.38,952841315.24
150,0.03,4,10,9364.15,18.4,-89.58,19,57.89,946415414.62
200,0.04,1,10,9356.36,18.39,-93.53,16,62.5,945635855.13
200,0.04,2,6,9308.25,18.37,-93.08,16,62.5,940825284.45
150,0.03,4,4,9194.88,18.32,-89.58,20,55.0,929487642.65
150,0.05,1,0,9156.91,18.3,-93.02,16,62.5,925691484.18
150,0.04,2,10,9071.08,18.26,-90.25,17,64.71,917107846.65
