asset,hold_days,cagr,mdd,calmar,trades,win_rate,period_start,period_end
QQQ,0,9.8,-49.18,0.2,18,55.56,1999-03-10,2026-03-05
QQQ,1,10.39,-48.29,0.22,16,62.5,1999-03-10,2026-03-05
QQQ,2,9.99,-48.59,0.21,16,62.5,1999-03-10,2026-03-05
QQQ,3,11.02,-36.49,0.3,14,71.43,1999-03-10,2026-03-05
QQQ,4,10.76,-40.11,0.27,14,64.29,1999-03-10,2026-03-05
QQQ,5,10.3,-39.96,0.26,14,64.29,1999-03-10,2026-03-05
QQQ,7,10.61,-37.28,0.28,14,64.29,1999-03-10,2026-03-05
QQQ,10,10.05,-40.82,0.25,13,69.23,1999-03-10,2026-03-05
SPY,0,9.38,-27.01,0.35,13,76.92,1993-01-29,2026-03-05
SPY,1,9.3,-26.11,0.36,13,76.92,1993-01-29,2026-03-05
SPY,2,9.7,-21.3,0.46,11,90.91,1993-01-29,2026-03-05
SPY,3,9.59,-22.06,0.43,11,90.91,1993-01-29,2026-03-05
SPY,4,9.37,-21.64,0.43,11,90.91,1993-01-29,2026-03-05
SPY,5,9.28,-22.3,0.42,11,90.91,1993-01-29,2026-03-05
SPY,7,9.13,-21.5,0.42,11,90.91,1993-01-29,2026-03-05
SPY,10,8.98,-21.5,0.42,10,100.0,1993-01-29,2026-03-05
IWM,0,2.59,-46.83,0.06,26,30.77,2000-05-26,2026-03-05
IWM,1,3.27,-41.21,0.08,23,34.78,2000-05-26,2026-03-05
IWM,2,3.51,-36.28,0.1,22,36.36,2000-05-26,2026-03-05
IWM,3,4.0,-39.2,0.1,19,42.11,2000-05-26,2026-03-05
IWM,4,3.9,-40.41,0.1,18,44.44,2000-05-26,2026-03-05
IWM,5,3.56,-39.82,0.09,18,44.44,2000-05-26,2026-03-05
IWM,7,3.15,-41.62,0.08,18,44.44,2000-05-26,2026-03-05
IWM,10,3.98,-35.03,0.11,16,50.0,2000-05-26,2026-03-05
EFA,0,5.59,-26.1,0.21,14,57.14,2001-08-27,2026-03-05
EFA,1,5.36,-28.03,0.19,13,61.54,2001-08-27,2026-03-05
EFA,2,5.29,-26.85,0.2,13,61.54,2001-08-27,2026-03-05
EFA,3,5.47,-25.96,0.21,13,61.54,2001-08-27,2026-03-05
EFA,4,5.51,-24.45,0.23,12,66.67,2001-08-27,2026-03-05
EFA,5,5.28,-25.2,0.21,12,58.33,2001-08-27,2026-03-05
EFA,7,4.81,-26.5,0.18,12,58.33,2001-08-27,2026-03-05
EFA,10,4.61,-26.85,0.17,11,54.55,2001-08-27,2026-03-05
EEM,0,4.57,-51.41,0.09,21,38.1,2003-04-14,2026-03-05
EEM,1,3.89,-55.54,0.07,21,33.33,2003-04-14,2026-03-05
EEM,2,3.3,-60.88,0.05,21,33.33,2003-04-14,2026-03-05
EEM,3,3.97,-55.94,0.07,20,35.0,2003-04-14,2026-03-05
EEM,4,4.17,-51.03,0.08,18,44.44,2003-04-14,2026-03-05
EEM,5,3.71,-51.37,0.07,18,38.89,2003-04-14,2026-03-05
EEM,7,4.08,-52.56,0.08,17,41.18,2003-04-14,2026-03-05
EEM,10,3.22,-55.37,0.06,17,41.18,2003-04-14,2026-03-05
GLD,0,9.04,-44.55,0.2,10,30.0,2004-11-18,2026-03-05
GLD,1,9.54,-39.1,0.24,9,33.33,2004-11-18,2026-03-05
GLD,2,9.52,-38.72,0.25,9,33.33,2004-11-18,2026-03-05
GLD,3,9.75,-41.44,0.24,8,37.5,2004-11-18,2026-03-05
GLD,4,10.4,-34.49,0.3,7,42.86,2004-11-18,2026-03-05
GLD,5,10.33,-35.09,0.29,7,42.86,2004-11-18,2026-03-05
GLD,7,9.82,-37.43,0.26,7,42.86,2004-11-18,2026-03-05
GLD,10,9.56,-38.01,0.25,7,42.86,2004-11-18,2026-03-05
TLT,0,1.06,-43.17,0.02,14,50.0,2002-07-30,2026-03-05
TLT,1,1.03,-37.42,0.03,13,53.85,2002-07-30,2026-03-05
TLT,2,0.8,-38.05,0.02,13,38.46,2002-07-30,2026-03-05
TLT,3,0.91,-35.7,0.03,13,46.15,2002-07-30,2026-03-05
TLT,4,0.55,-37.74,0.01,13,38.46,2002-07-30,2026-03-05
TLT,5,0.86,-36.9,0.02,13,46.15,2002-07-30,2026-03-05
TLT,7,1.76,-33.5,0.05,10,70.0,2002-07-30,2026-03-05
TLT,10,1.09,-32.05,0.03,10,60.0,2002-07-30,2026-03-05
