Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
1999-03-10,10000000,0,,0,0,0,0,0,0,0.0
1999-03-11,10000000,0,,0,0,0,0,0,0,0.0
1999-03-12,10000000,0,,0,0,0,0,0,0,0.0
1999-03-15,10000000,0,,0,0,0,0,0,0,0.0
1999-03-16,10000000,0,,0,0,0,0,0,0,0.0
1999-03-17,10000000,0,,0,0,0,0,0,0,0.0
1999-03-18,10000000,0,,0,0,0,0,0,0,0.0
1999-03-19,10000000,0,,0,0,0,0,0,0,0.0
1999-03-22,10000000,0,,0,0,0,0,0,0,0.0
1999-03-23,10000000,0,,0,0,0,0,0,0,0.0
1999-03-24,10000000,0,,0,0,0,0,0,0,0.0
1999-03-25,10000000,0,,0,0,0,0,0,0,0.0
1999-03-26,10000000,0,,0,0,0,0,0,0,0.0
1999-03-29,10000000,0,,0,0,0,0,0,0,0.0
1999-03-30,10000000,0,,0,0,0,0,0,0,0.0
1999-03-31,10000000,0,,0,0,0,0,0,0,0.0
1999-04-01,10000000,0,,0,0,0,0,0,0,0.0
1999-04-05,10000000,0,,0,0,0,0,0,0,0.0
1999-04-06,10000000,0,,0,0,0,0,0,0,0.0
1999-04-07,10000000,0,,0,0,0,0,0,0,0.0
1999-04-08,10066501,3,46.54077470999999,3355464,71621,3355511,71622,3355511,71622,0.0
1999-04-09,10128884,3,46.54077470999999,3376258,71621,3376305,71622,3376305,71622,0.0
1999-04-12,10060832,3,46.54077470999999,3353574,71621,3353621,71622,3353621,71622,-0.67
1999-04-13,9924723,3,46.54077470999999,3308205,71621,3308251,71622,3308251,71622,-2.02
1999-04-14,9584447,3,46.54077470999999,3194780,71621,3194825,71622,3194825,71622,-5.38
1999-04-15,9714884,3,46.54077470999999,3238259,71621,3238304,71622,3238304,71622,-4.09
1999-04-16,9431321,3,46.54077470999999,3143739,71621,3143783,71622,3143783,71622,-6.89
1999-04-19,8988960,3,46.54077470999999,2996287,71621,2996328,71622,2996328,71622,-11.25
1999-04-20,9193128,3,46.54077470999999,3064342,71621,3064385,71622,3064385,71622,-9.24
1999-04-21,9646824,3,46.54077470999999,3215573,71621,3215618,71622,3215618,71622,-4.76
1999-04-22,9907705,3,46.54077470999999,3302532,71621,3302578,71622,3302578,71622,-2.18
1999-04-23,10038143,3,46.54077470999999,3346011,71621,3346058,71622,3346058,71622,-0.9
1999-04-26,10269248,3,46.54077470999999,3423045,71621,3423093,71622,3423093,71622,0.0
1999-04-27,10111871,3,46.54077470999999,3370587,71621,3370634,71622,3370634,71622,-1.53
1999-04-28,9765925,3,46.54077470999999,3255273,71621,3255318,71622,3255318,71622,-4.9
1999-04-29,9686529,3,46.54077470999999,3228808,71621,3228853,71622,3228853,71622,-5.67
1999-04-30,9748912,3,46.54077470999999,3249602,71621,3249647,71622,3249647,71622,-5.07
1999-05-03,9697870,3,46.54077470999999,3232588,71621,3232633,71622,3232633,71622,-5.56
1999-05-04,9544749,3,46.54077470999999,3181548,71621,3181592,71622,3181592,71622,-7.06
1999-05-05,9833979,3,46.54077470999999,3277957,71621,3278003,71622,3278003,71622,-4.24
1999-05-06,9476693,3,46.54077470999999,3158863,71621,3158907,71622,3158907,71622,-7.72
1999-05-07,9612805,3,46.54077470999999,3204233,71621,3204278,71622,3204278,71622,-6.39
1999-05-10,9709215,3,46.54077470999999,3236369,71621,3236414,71622,3236414,71622,-5.45
1999-05-11,9862333,3,46.54077470999999,3287408,71621,3287454,71622,3287454,71622,-3.96
1999-05-12,10066501,3,46.54077470999999,3355464,71621,3355511,71622,3355511,71622,-1.97
1999-05-13,9879351,3,46.54077470999999,3293081,71621,3293127,71622,3293127,71622,-3.8
1999-05-14,9692199,3,46.54077470999999,3230697,71621,3230743,71622,3230743,71622,-5.62
1999-05-17,9866592,3,46.54077470999999,3288828,71621,3288874,71622,3288874,71622,-3.92
1999-05-18,9822640,3,46.54077470999999,3274177,71621,3274223,71622,3274223,71622,-4.35
1999-05-19,9958747,3,46.54077470999999,3319546,71621,3319592,71622,3319592,71622,-3.02
1999-05-20,9685108,3,46.54077470999999,3228334,71621,3228379,71622,3228379,71622,-5.69
1999-05-21,9595787,3,46.54077470999999,3198560,71621,3198605,71622,3198605,71622,-6.56
1999-05-24,9351923,3,46.54077470999999,3117273,71621,3117317,71622,3117317,71622,-8.93
1999-05-25,9045674,3,46.54077470999999,3015191,71621,3015233,71622,3015233,71622,-11.91
1999-05-26,9298047,3,46.54077470999999,3099315,71621,3099358,71622,3099358,71622,-9.46
1999-05-27,9289541,3,46.54077470999999,3096479,71621,3096523,71622,3096523,71622,-9.54
