entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,tranche_id,tranche_seq,ma_window,holding_days
1999-04-08,2000-04-17,46.540775,65.696233,71622,1371952,0.4116,0.03,3,ma150,1,150,375
1999-04-08,2000-05-11,46.540775,69.683,71622,1657492,0.4972,0.03,3,ma200,1,200,399
1999-04-08,2000-05-24,46.540775,63.156836,71621,1190059,0.357,0.03,3,ma250,1,250,412
2000-06-07,2000-10-04,77.567978,70.314607,61105,-443217,-0.0935,0.03,3,ma200,2,200,119
2000-06-07,2000-10-09,77.567978,69.52511,61105,-491459,-0.1037,0.03,3,ma250,2,250,124
2000-06-08,2000-10-03,80.162419,74.156636,59128,-355110,-0.0749,0.03,3,ma150,2,150,117
2003-03-21,2004-08-06,23.051193,28.136831,186971,950867,0.2206,0.03,3,ma150,3,150,504
2003-05-02,2004-08-09,23.390053,27.639802,184262,783067,0.1817,0.03,3,ma200,3,200,465
2003-05-15,2004-08-09,24.355803,27.639802,176956,581123,0.1348,0.03,3,ma250,3,250,452
2004-10-07,2005-04-18,30.967274,29.520476,164095,-237412,-0.0467,0.03,3,ma200,4,200,193
2004-10-07,2006-06-13,30.967274,32.013703,164095,171714,0.0338,0.03,3,ma250,4,250,614
2004-10-08,2005-04-18,30.577418,29.520476,166188,-175651,-0.0346,0.03,3,ma150,4,150,192
2005-05-26,2006-06-12,32.495934,32.619993,150020,18611,0.0038,0.03,3,ma200,5,200,382
2005-05-27,2006-05-24,32.632845,32.901795,149392,40179,0.0082,0.03,3,ma150,5,150,362
2006-09-29,2008-01-09,35.179672,40.447887,142717,751864,0.1498,0.03,3,ma150,6,150,467
2006-09-29,2008-01-17,35.179672,39.700919,142717,645259,0.1285,0.03,3,ma200,6,200,475
2006-09-29,2008-01-18,35.179672,39.185768,142717,571738,0.1139,0.03,3,ma250,5,250,476
2008-05-07,2008-07-03,42.304995,38.676228,134193,-486955,-0.0858,0.03,3,ma150,7,150,57
2008-05-07,2008-07-03,42.304995,38.676228,134193,-486955,-0.0858,0.03,3,ma200,7,200,57
2008-05-07,2008-07-15,42.304995,37.842179,134192,-598874,-0.1055,0.03,3,ma250,6,250,69
2009-05-05,2010-07-01,30.381887,37.301925,169599,1173632,0.2278,0.03,3,ma150,8,150,422
2009-06-04,2011-08-09,31.614884,45.069576,162985,2192913,0.4256,0.03,3,ma200,8,200,796
2009-06-05,2011-08-09,32.092457,45.069576,160561,2083619,0.4044,0.03,3,ma250,7,250,795
2010-08-10,2011-08-09,40.907657,45.069576,154650,643641,0.1017,0.03,3,ma150,9,150,364
2011-09-21,2011-10-04,50.113354,44.511252,143355,-803089,-0.1118,0.03,3,ma250,8,250,13
2011-10-14,2015-08-25,51.14834,94.132906,135221,5812416,0.8404,0.03,3,ma250,9,250,1411
2011-10-17,2015-08-25,51.227969,94.132906,135010,5792595,0.8375,0.03,3,ma200,9,200,1408
2011-10-19,2015-08-25,51.015644,94.132906,135573,5845536,0.8452,0.03,3,ma150,10,150,1406
2015-10-21,2016-01-19,101.123908,94.779946,125916,-798806,-0.0627,0.03,3,ma250,10,250,90
2015-10-28,2016-01-14,105.327725,94.863384,120891,-1265045,-0.0994,0.03,3,ma150,11,150,78
2015-10-28,2016-01-14,105.327725,94.863384,120891,-1265045,-0.0994,0.03,3,ma200,10,200,78
2016-04-04,2018-11-21,103.258745,153.517189,112567,5657442,0.4867,0.03,3,ma250,11,250,961
2016-04-05,2018-11-21,102.070461,153.517189,113877,5858599,0.504,0.03,3,ma200,11,200,960
2016-04-19,2018-10-25,104.269279,159.758717,111477,6185796,0.5322,0.03,3,ma150,12,150,919
2019-02-19,2020-03-13,164.539674,179.96872,106504,1643255,0.0938,0.03,3,ma250,12,250,388
2019-02-28,2020-03-10,166.113948,193.475797,105495,2886538,0.1647,0.03,3,ma150,13,150,376
2019-02-28,2020-03-13,166.113948,179.96872,105494,1461595,0.0834,0.03,3,ma200,12,200,379
2020-04-17,2022-02-24,209.66147,309.969166,93108,9339449,0.4784,0.03,3,ma250,13,250,678
2020-04-20,2022-01-24,206.936055,336.286046,94335,12202231,0.6251,0.03,3,ma150,14,150,644
2020-04-20,2022-01-26,206.936055,343.091351,94335,12844210,0.658,0.03,3,ma200,13,200,646
2023-02-07,2025-03-11,298.979792,468.556622,103629,17573077,0.5672,0.03,3,ma150,15,150,763
2023-03-22,2025-04-04,306.162455,435.269492,101199,13065503,0.4217,0.03,3,ma200,14,200,744
2023-04-04,2025-04-04,316.355754,435.269492,97938,11646174,0.3759,0.03,3,ma250,14,250,731
