Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
1999-03-10,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-11,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-12,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-15,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-16,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-17,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-18,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-19,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-22,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-23,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-24,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-25,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-26,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-29,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-30,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-03-31,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-04-01,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-04-05,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-04-06,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-04-07,10000000,0,,3300000,0,3400000,0,3300000,0,0.0
1999-04-08,10255141,3,44.969617336,3384196,73382,3486748,75606,3384196,73382,0.0
1999-04-09,10440501,3,44.969617336,3445365,73382,3549771,75606,3445365,73382,0.0
1999-04-12,10224679,3,44.969617336,3374144,73382,3476391,75606,3374144,73382,-2.07
1999-04-13,9804430,3,44.969617336,3235462,73382,3333506,75606,3235462,73382,-6.09
1999-04-14,8790923,3,44.969617336,2901005,73382,2988913,75606,2901005,73382,-15.8
1999-04-15,9145297,3,44.969617336,3017949,73382,3109400,75606,3017949,73382,-12.41
1999-04-16,8339774,3,44.969617336,2752126,73382,2835522,75606,2752126,73382,-20.12
1999-04-19,7161991,3,44.969617336,2363458,73382,2435074,75606,2363458,73382,-31.4
1999-04-20,7646305,3,44.969617336,2523282,73382,2599742,75606,2523282,73382,-26.76
1999-04-21,8774418,3,44.969617336,2895558,73382,2983301,75606,2895558,73382,-15.96
1999-04-22,9481746,3,44.969617336,3128977,73382,3223793,75606,3128977,73382,-9.18
1999-04-23,9851341,3,44.969617336,3250943,73382,3349456,75606,3250943,73382,-5.64
1999-04-26,10526665,3,44.969617336,3473799,73382,3579067,75606,3473799,73382,0.0
