Date,Open,High,Low,Close,Volume,ma_250,ma_200,ma_150,upper_band_250,lower_band_250,upper_band_200,lower_band_200,upper_band_150,lower_band_150,change_pct
1999-03-10,43.181444,43.207838,42.468791,43.128654,5232000,43.128654,43.128654,43.128654,44.422514,40.972221,44.422514,40.972221,44.422514,40.972221,
1999-03-11,43.445407,43.696155,42.495203,43.339828,9688600,43.130337,43.130755,43.131451,44.424247,40.97382,44.424678,40.974217,44.425395,40.974878,0.49
1999-03-12,43.181441,43.207835,41.940898,42.284027,8743600,43.123593,43.12233,43.120227,44.417301,40.967414,44.416,40.966214,44.413834,40.964216,-2.44
1999-03-15,42.60077,43.550973,42.152063,43.498184,6369000,43.126578,43.12607,43.125233,44.420375,40.970249,44.419852,40.969766,44.41899,40.968971,2.87
1999-03-16,43.682937,44.05246,43.207836,43.867699,4905800,43.132483,43.133449,43.135067,44.426458,40.975859,44.427453,40.976777,44.429119,40.978314,0.85
1999-03-17,43.86771,43.920499,43.419003,43.550976,3965000,43.135818,43.137604,43.140576,44.429892,40.979027,44.431732,40.980724,44.434793,40.983547,-0.72
1999-03-18,43.49817,44.421979,43.484973,44.395584,4848400,43.145856,43.150121,43.157198,44.440232,40.988563,44.444625,40.992615,44.451914,40.999338,1.94
1999-03-19,44.976272,44.976272,43.234233,43.260628,7160400,43.14677,43.151221,43.158568,44.441174,40.989432,44.445757,40.99366,44.453325,41.00064,-2.56
1999-03-22,43.445387,43.550965,42.653551,42.732735,5024800,43.143471,43.147057,43.152928,44.437775,40.986298,44.441468,40.989704,44.447516,40.995282,-1.22
1999-03-23,42.49519,42.653557,41.149069,41.228252,10962400,43.128211,43.127964,43.127436,44.422057,40.9718,44.421803,40.971566,44.421259,40.971064,-3.52
1999-03-24,41.597773,42.653554,40.964304,42.627159,8447000,43.124218,43.122981,43.120809,44.417945,40.968007,44.41667,40.966832,44.414434,40.964769,3.39
1999-03-25,43.287034,44.184448,43.003293,44.184448,8133800,43.132666,43.133543,43.134897,44.426646,40.976033,44.427549,40.976866,44.428944,40.978152,3.65
1999-03-26,43.814913,44.316409,43.524574,43.709335,8256200,43.137261,43.139272,43.142506,44.431379,40.980398,44.43345,40.982308,44.436781,40.985381,-1.08
1999-03-29,44.237226,45.319401,43.973281,45.293007,5113800,43.154438,43.160702,43.170989,44.449072,40.996717,44.455523,41.002667,44.466119,41.01244,3.62
1999-03-30,45.240218,45.609741,44.791511,44.976273,4940600,43.168955,43.178768,43.1949,44.464024,41.010507,44.474131,41.019829,44.490747,41.035155,-0.7
1999-03-31,45.715312,45.768101,44.18443,44.316402,8256600,43.178098,43.190087,43.209755,44.473441,41.019193,44.48579,41.030583,44.506047,41.049267,-1.47
1999-04-01,45.609716,45.662505,44.501146,45.240192,8715800,43.194529,43.210486,43.236648,44.490365,41.034803,44.506801,41.049962,44.533747,41.074815,2.08
1999-04-05,45.972662,46.942661,45.688921,46.876675,5697200,43.223869,43.246966,43.28486,44.520585,41.062675,44.544375,41.084618,44.583406,41.120617,3.62
1999-04-06,46.823878,47.483741,46.42796,46.969048,7522400,43.253711,43.284001,43.333657,44.551322,41.091025,44.582522,41.119801,44.633667,41.166974,0.2
1999-04-07,47.404551,47.51013,45.477752,46.480743,11923600,43.279424,43.31581,43.375341,44.577807,41.115453,44.615284,41.150019,44.676601,41.206574,-1.04
1999-04-08,46.40157,47.07463,45.451367,46.850277,7952400,43.307877,43.350979,43.421366,44.607114,41.142483,44.651508,41.18343,44.724007,41.250298,0.8
1999-04-09,46.771086,47.246188,46.639114,47.14061,4946800,43.338417,43.388686,43.470628,44.63857,41.171496,44.690347,41.219252,44.774747,41.297096,0.62
1999-04-12,46.032055,47.140625,45.979266,46.823891,10934000,43.36619,43.422868,43.515042,44.667175,41.19788,44.725554,41.251724,44.820493,41.33929,-0.67
1999-04-13,47.114238,47.219816,45.820906,46.19043,9962200,43.388694,43.450406,43.550477,44.690354,41.219259,44.753918,41.277885,44.856992,41.372954,-1.35
1999-04-14,46.771106,46.823895,44.349408,44.606754,21253800,43.398399,43.461911,43.564468,44.700351,41.228479,44.765769,41.288816,44.871402,41.386244,-3.43
1999-04-15,44.765114,45.286406,43.181443,45.213821,17650600,43.412865,43.479343,43.586314,44.715251,41.242222,44.783724,41.305376,44.893903,41.406998,1.36
1999-04-16,45.108245,45.108245,43.656546,43.894096,17274000,43.416699,43.48347,43.59039,44.7192,41.245864,44.787974,41.309297,44.898102,41.410871,-2.92
1999-04-19,44.18442,44.553943,41.3932,41.835308,19460600,43.404099,43.467071,43.567144,44.706222,41.233894,44.771083,41.293717,44.874158,41.388787,-4.69
1999-04-20,41.650562,43.128655,41.254644,42.785526,17413600,43.39917,43.460289,43.556791,44.701145,41.229211,44.764098,41.287275,44.863495,41.378952,2.27
1999-04-21,43.181421,44.923459,42.600742,44.897064,10940400,43.411105,43.474585,43.574543,44.713438,41.24055,44.778823,41.300856,44.88178,41.395816,4.94
1999-04-22,45.31939,46.243198,45.022451,46.111225,13630600,43.43262,43.500821,43.608142,44.735599,41.260989,44.805845,41.32578,44.916386,41.427735,2.7
1999-04-23,45.873671,47.061425,45.39857,46.718296,7064400,43.458801,43.532835,43.649336,44.762565,41.285861,44.83882,41.356194,44.958816,41.466869,1.32
1999-04-26,47.035038,48.143608,46.883269,47.79388,5421000,43.493343,43.575234,43.704231,44.798144,41.318676,44.882491,41.396472,45.015357,41.519019,2.3
1999-04-27,48.143607,48.381158,46.460957,47.061432,16482800,43.521774,43.609922,43.748697,44.827427,41.345685,44.91822,41.429426,45.061158,41.561262,-1.53
1999-04-28,46.665518,46.823885,45.246813,45.45137,7676800,43.537149,43.628245,43.771249,44.843264,41.360292,44.937093,41.446833,45.084386,41.582686,-3.42
1999-04-29,45.240223,45.504168,44.131653,45.081856,19148200,43.549458,43.642709,43.788608,44.855942,41.371985,44.95199,41.460574,45.102266,41.599177,-0.81
1999-04-30,45.715317,45.952868,43.762123,45.372189,15295200,43.563982,43.659918,43.809582,44.870901,41.385783,44.969715,41.476922,45.12387,41.619103,0.64
1999-05-03,45.240214,45.424976,44.375793,45.134636,11109800,43.576497,43.674592,43.827133,44.883792,41.397672,44.984829,41.490862,45.141947,41.635776,-0.52
1999-05-04,45.213833,45.926485,44.158052,44.421997,15428400,43.583234,43.682028,43.835012,44.890731,41.404072,44.992489,41.497927,45.150062,41.643261,-1.58
1999-05-05,44.448371,45.768097,43.10225,45.768097,12642600,43.600643,43.702785,43.860616,44.908662,41.420611,45.013869,41.517646,45.176434,41.667585,3.03
1999-05-06,45.345802,45.74172,43.682946,44.105259,15173400,43.604664,43.70679,43.863856,44.912804,41.424431,45.017994,41.521451,45.179772,41.670663,-3.63
1999-05-07,44.501184,44.870708,43.550981,44.738735,16430400,43.6137,43.717058,43.875444,44.922111,41.433015,45.02857,41.531205,45.191707,41.681671,1.44
1999-05-10,45.029068,45.490972,44.501177,45.187435,10604200,43.62624,43.731689,43.892821,44.935027,41.444928,45.043639,41.545104,45.209606,41.69818,1.0
1999-05-11,45.556934,46.137613,45.292989,45.900063,8800800,43.644358,43.753265,43.919407,44.953689,41.46214,45.065863,41.565601,45.236989,41.723437,1.58
1999-05-12,46.11123,47.008644,44.76511,46.850277,12507400,43.669903,43.784081,43.958226,44.98,41.486408,45.097603,41.594877,45.276973,41.760315,2.07
1999-05-13,47.219806,47.29899,45.768107,45.979263,9864000,43.688305,43.805923,43.984995,44.998954,41.503889,45.120101,41.615627,45.304545,41.785745,-1.86
1999-05-14,45.081848,45.609738,44.765113,45.108242,12205400,43.699619,43.818882,43.999873,45.010607,41.514638,45.133448,41.627938,45.319869,41.799879,-1.89
1999-05-17,44.712334,46.058455,44.270226,45.919884,9906800,43.71731,43.839787,44.025303,45.02883,41.531445,45.154981,41.647798,45.346062,41.824038,1.8
1999-05-18,45.873692,46.137637,45.187434,45.715324,9267800,43.733231,43.858449,44.047688,45.045228,41.546569,45.174203,41.665527,45.369118,41.845303,-0.45
