이평기간,버퍼존,유지일,조정기간,수익률,CAGR,MDD,거래수,승률,최종자본
150,0.05,2,8,1530.3,10.99,-42.83,15,80.0,163029788.45
150,0.05,2,6,1530.3,10.99,-42.83,15,80.0,163029788.45
200,0.05,4,8,1521.28,10.96,-41.02,13,84.62,162127784.08
200,0.05,4,6,1521.28,10.96,-41.02,13,84.62,162127784.08
200,0.05,4,12,1513.54,10.94,-41.02,13,84.62,161354371.15
200,0.05,4,10,1513.54,10.94,-41.02,13,84.62,161354371.15
150,0.05,2,12,1501.47,10.91,-42.83,15,80.0,160147232.88
150,0.05,2,10,1500.56,10.91,-42.83,15,80.0,160055993.63
150,0.05,2,0,1460.18,10.81,-39.7,16,68.75,156017623.76
150,0.04,3,2,1459.71,10.8,-41.8,17,76.47,155971358.41
200,0.05,2,8,1454.21,10.79,-38.28,14,78.57,155421324.61
200,0.05,2,6,1454.21,10.79,-38.28,14,78.57,155421324.61
200,0.04,1,4,1453.76,10.79,-48.11,17,70.59,155376299.27
150,0.05,2,2,1438.67,10.75,-39.7,16,68.75,153867201.58
200,0.04,1,6,1433.99,10.74,-48.11,17,70.59,153399333.04
150,0.04,3,8,1430.84,10.73,-41.51,17,76.47,153083826.43
150,0.04,3,4,1430.84,10.73,-41.51,17,76.47,153083826.43
150,0.04,3,6,1430.84,10.73,-41.51,17,76.47,153083826.43
200,0.05,1,8,1429.72,10.72,-38.95,14,78.57,152971689.07
200,0.05,1,6,1429.72,10.72,-38.95,14,78.57,152971689.07
250,0.04,0,10,1425.91,10.71,-40.51,16,68.75,152591245.21
250,0.04,0,8,1425.91,10.71,-40.51,16,68.75,152591245.21
200,0.05,2,12,1425.86,10.71,-38.28,14,78.57,152586319.95
200,0.05,2,10,1425.86,10.71,-38.28,14,78.57,152586319.95
200,0.04,1,8,1413.55,10.68,-48.11,17,64.71,151355324.44
200,0.04,0,4,1403.92,10.65,-55.18,18,66.67,150392478.46
200,0.05,1,12,1402.52,10.65,-38.95,14,78.57,150251988.32
200,0.05,1,10,1402.52,10.65,-38.95,14,78.57,150251988.32
200,0.05,5,6,1389.66,10.61,-40.31,13,84.62,148966068.59
200,0.05,5,8,1389.66,10.61,-40.31,13,84.62,148966068.59
150,0.05,0,0,1389.35,10.61,-53.09,18,61.11,148935034.21
250,0.03,4,4,1383.56,10.6,-46.47,15,73.33,148355939.31
200,0.04,2,4,1382.22,10.59,-48.41,17,70.59,148221504.77
250,0.04,0,0,1381.16,10.59,-39.83,17,64.71,148115552.97
250,0.04,0,12,1373.77,10.57,-40.51,16,68.75,147377353.3
200,0.05,5,10,1370.44,10.56,-40.31,13,84.62,147044086.79
200,0.05,5,12,1370.44,10.56,-40.31,13,84.62,147044086.79
250,0.03,4,12,1368.48,10.56,-46.47,15,73.33,146847656.05
200,0.01,1,12,1364.72,10.54,-38.53,28,46.43,146471846.05
200,0.04,0,6,1364.64,10.54,-55.69,18,66.67,146463772.48
250,0.03,4,6,1363.57,10.54,-46.47,15,73.33,146356960.92
250,0.03,4,8,1361.64,10.54,-46.47,15,73.33,146164467.37
250,0.03,4,10,1361.64,10.54,-46.47,15,73.33,146164467.37
200,0.04,1,10,1361.61,10.54,-48.11,17,64.71,146161174.92
150,0.04,3,10,1361.43,10.54,-41.51,17,70.59,146142881.57
250,0.04,0,2,1356.56,10.52,-39.83,17,64.71,145656440.73
150,0.05,0,2,1354.35,10.52,-54.36,18,61.11,145434961.12
200,0.04,2,6,1352.99,10.51,-48.41,17,70.59,145299008.14
150,0.04,3,12,1349.83,10.5,-41.51,17,70.59,144982576.29
200,0.04,1,12,1349.09,10.5,-48.11,17,64.71,144909311.36
150,0.04,2,2,1347.67,10.5,-49.07,18,72.22,144767268.08
200,0.04,0,12,1347.64,10.5,-55.69,18,66.67,144763569.94
200,0.04,0,8,1346.06,10.49,-55.69,18,61.11,144606126.49
200,0.04,0,10,1340.9,10.48,-55.69,18,61.11,144090362.79
150,0.03,3,8,1340.45,10.48,-49.46,20,65.0,144044965.84
