entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2005-05-26,2006-06-12,32.495934,32.619993,77188,9576,0.0038,3,qqq,2006-06-09,382
2005-01-31,2008-01-16,80.251897,98.062588,31151,554821,0.2219,3,spy,2008-01-15,1080
2006-09-29,2008-01-17,35.179672,39.700919,84258,380951,0.1285,3,qqq,2008-01-16,475
2005-09-20,2008-02-04,46.65956,88.244472,109313,4545771,0.8912,3,gld,2008-02-01,867
2008-05-07,2008-07-03,42.304995,38.676228,86411,-313565,-0.0858,3,qqq,2008-07-02,57
2008-03-04,2008-08-12,97.571839,80.497778,79383,-1355390,-0.175,3,gld,2008-08-11,161
2009-07-27,2010-07-01,72.914904,77.844403,50253,247722,0.0676,3,spy,2010-06-30,339
2010-08-06,2011-08-05,84.83452,93.732427,51871,461543,0.1049,3,spy,2011-08-04,364
2009-06-04,2011-08-09,31.614884,45.069576,114514,1540751,0.4256,3,qqq,2011-08-08,796
2009-01-02,2011-09-02,86.18779,182.271547,80186,7704572,1.1148,3,gld,2011-09-01,973
2011-10-04,2012-05-15,161.432847,150.706524,73642,-789908,-0.0664,3,gld,2012-05-14,224
2012-09-07,2013-02-21,168.273314,151.544,74246,-1242085,-0.0994,3,gld,2013-02-20,167
2011-10-17,2013-05-02,51.227969,63.160261,116740,1392976,0.2329,3,qqq,2013-05-01,563
2012-01-09,2013-05-02,100.273861,126.866385,58488,1555344,0.2652,3,spy,2013-05-01,479
2013-06-04,2014-11-04,66.261829,92.722501,93164,2465182,0.3993,3,qqq,2014-11-03,518
2013-06-04,2014-11-04,132.262792,165.686123,46674,1560001,0.2527,3,spy,2014-11-03,518
2015-01-26,2015-03-09,123.699992,112.082738,115872,-1346114,-0.0939,3,gld,2015-03-06,42
2014-12-02,2015-08-25,96.537672,94.132906,74370,-178842,-0.0249,3,qqq,2015-08-24,266
2014-12-02,2015-08-25,170.476991,163.311507,42114,-301767,-0.042,3,spy,2015-08-24,266
2015-10-28,2015-11-03,105.327725,105.742314,63828,26462,0.0039,3,qqq,2015-11-02,6
2015-11-03,2015-12-02,177.435468,176.920074,37974,-19572,-0.0029,3,spy,2015-12-01,29
2016-01-05,2016-01-11,171.206318,163.092662,38787,-314704,-0.0474,3,spy,2016-01-08,6
2015-12-02,2016-01-14,107.187821,94.863384,62788,-773827,-0.115,3,qqq,2016-01-13,43
2016-02-11,2016-11-25,118.945766,113.079738,108494,-636429,-0.0493,3,gld,2016-11-23,288
2016-04-05,2017-11-02,102.070461,143.453394,62382,2581550,0.4054,3,qqq,2017-11-01,576
2016-04-04,2017-11-02,176.729085,225.348853,36201,1760084,0.2751,3,spy,2017-11-01,577
2017-04-19,2018-07-18,122.61675,115.681909,112088,-777312,-0.0566,3,gld,2018-07-17,455
2017-12-04,2018-11-21,147.669816,153.517189,49773,291041,0.0396,3,qqq,2018-11-20,352
2017-12-04,2018-12-18,234.543364,229.275836,31337,-165069,-0.0225,3,spy,2018-12-17,379
2019-02-22,2020-03-10,250.864025,260.051163,29076,267125,0.0366,3,spy,2020-03-09,382
2019-02-28,2020-03-13,166.113948,179.96872,43856,607615,0.0834,3,qqq,2020-03-12,379
2020-04-20,2020-06-02,206.936055,226.079053,41080,786394,0.0925,3,qqq,2020-06-01,43
2019-01-17,2020-06-02,122.396089,163.398329,117911,4834615,0.335,3,gld,2020-06-01,502
2020-06-02,2020-07-02,283.410646,290.053171,31227,207426,0.0234,3,spy,2020-07-01,30
2020-07-02,2020-08-04,166.698597,185.053171,106439,1953643,0.1101,3,gld,2020-08-03,33
2020-07-02,2020-09-02,245.82877,292.897569,36088,1698619,0.1915,3,qqq,2020-09-01,62
2020-08-04,2020-09-02,304.446022,327.371233,31309,717765,0.0753,3,spy,2020-09-01,29
2020-09-02,2021-03-01,184.30125,162.540909,108035,-2350878,-0.1181,3,gld,2021-02-26,180
2020-10-02,2021-07-02,268.175032,345.775376,36666,2845294,0.2894,3,qqq,2021-07-01,273
2020-10-02,2021-07-02,309.244835,404.379357,31796,3024897,0.3076,3,spy,2021-07-01,273
2021-08-03,2022-01-26,356.403403,343.091351,29858,-397471,-0.0374,3,qqq,2022-01-25,176
2021-08-03,2022-05-02,413.19305,389.822975,25754,-601873,-0.0566,3,spy,2022-04-29,272
2021-05-21,2022-07-07,177.109742,161.942703,118575,-1798432,-0.0856,3,gld,2022-07-06,412
2023-03-22,2025-04-04,306.162455,435.269492,33783,4361623,0.4217,3,qqq,2025-04-03,744
2023-02-07,2025-04-07,394.211622,483.511633,25900,2312870,0.2265,3,spy,2025-04-04,790
2023-01-06,2026-02-03,172.275275,451.272115,118004,32922743,1.6195,3,gld,2026-02-02,1124
