date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2005-05-26,qqq,0,92804,0.0,30.0,0,3019549,92804,3019549,daily
2005-05-26,spy,37484,37140,30.28,30.09,3039913,3028157,-344,-11756,daily
2005-05-26,gld,0,0,0.0,0.0,0,0,0,0,daily
2005-05-26,cash,0,0,69.72,39.91,7000031,4015979,0,-2984052,daily
2005-09-20,qqq,92804,92158,30.21,30.1,3093567,3059458,-646,-34109,daily
2005-09-20,spy,37140,36444,30.57,29.97,3130639,3046017,-696,-84622,daily
2005-09-20,gld,0,87785,0.0,39.93,0,4058300,87785,4058300,daily
2005-09-20,cash,0,0,39.22,0.0,4015979,21,0,-4015958,daily
2006-05-02,qqq,92158,103768,26.62,29.72,3266863,3688183,11610,421320,monthly
2006-05-02,spy,36444,40812,26.77,29.86,3284672,3705999,4368,421327,monthly
2006-05-02,gld,87785,75379,46.61,40.42,5720070,5016472,-12406,-703598,monthly
2006-05-02,cash,0,0,0.0,0.0,21,116,0,95,monthly
2006-06-12,qqq,103768,0,29.5,0.0,3386384,0,-103768,-3386384,
2006-06-12,spy,40812,40812,30.8,30.67,3535904,3497540,0,-38364,
2006-06-12,gld,75379,75379,39.7,39.68,4556660,4525001,0,-31659,
2006-06-12,cash,0,0,0.0,29.65,116,3380766,0,3380650,
2006-09-29,qqq,0,99832,0.0,29.88,0,3475768,99832,3475768,daily
2006-09-29,spy,40812,37621,32.54,30.13,3804487,3504138,-3191,-300349,daily
2006-09-29,gld,75379,78225,38.55,39.99,4506910,4652040,2846,145130,daily
2006-09-29,cash,0,0,28.91,0.0,3380766,45,0,-3380721,daily
2008-01-03,qqq,99832,102813,29.13,30.0,4328392,4476210,2981,147818,monthly
2008-01-03,spy,37621,43059,26.2,29.85,3893608,4454266,5438,560658,monthly
2008-01-03,gld,78225,70023,44.67,40.15,6638173,5991868,-8202,-646305,monthly
2008-01-03,cash,0,0,0.0,0.0,45,6,0,-39,monthly
2008-01-16,qqq,102813,102813,28.34,28.37,4116309,4072095,0,-44214,
2008-01-16,spy,43059,0,29.25,0.0,4248556,0,-43059,-4248556,
2008-01-16,gld,70023,70023,42.42,42.29,6161323,6070993,0,-90330,
2008-01-16,cash,0,0,0.0,29.34,6,4210984,0,4210978,
2008-01-17,qqq,102813,0,28.37,0.0,4072095,0,-102813,-4072095,
2008-01-17,spy,0,0,0.0,0.0,0,0,0,0,
2008-01-17,gld,70023,70023,42.29,42.22,6070993,6056989,0,-14004,
2008-01-17,cash,0,0,29.34,57.78,4210984,8287613,0,4076629,
2008-03-04,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2008-03-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2008-03-04,gld,70023,62081,45.1,39.48,6809036,5908869,-7942,-900167,monthly
2008-03-04,cash,0,0,54.9,60.52,8287613,9057893,0,770280,monthly
