entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2005-01-31,2005-05-26,80.033316,81.112945,344,371,0.0135,0.0,3,spy,rebalance,37484,37140,27902.853063488,115
2005-05-26,2005-09-20,32.45501,33.29392,646,542,0.0258,0.0,3,qqq,rebalance,92804,92158,21507.872122324,117
2005-01-31,2005-09-20,80.033316,84.115184,696,2841,0.051,0.0,3,spy,rebalance,37140,36444,58544.168156568,232
2005-09-20,2006-05-02,46.65956,65.403198,12406,232534,0.4017,0.0,3,gld,rebalance,87785,75379,811392.0744624359,224
2005-05-26,2006-06-12,32.819111,32.578929,103768,-24923,-0.0073,0.0,3,qqq,signal,103768,0,3380650.31692416,382
2005-01-31,2006-09-29,81.188055,93.016664,3191,37745,0.1457,0.0,3,spy,rebalance,40812,37621,296816.17590255797,606
2005-09-20,2008-01-03,47.133948,84.615393,8202,307423,0.7952,0.0,3,gld,rebalance,78225,70023,694015.453312182,835
2005-01-31,2008-01-16,84.042724,97.795546,43059,592183,0.1636,0.0,3,spy,signal,43059,0,4210978.396052745,1080
2006-09-29,2008-01-17,35.377532,39.65091,102813,439359,0.1208,0.0,3,qqq,signal,102813,0,4076629.044477981,475
2005-09-20,2008-03-04,47.133948,96.988159,7942,395942,1.0577,0.0,3,gld,rebalance,70023,62081,770279.9588018261,896
2008-05-07,2008-07-03,42.251716,38.627537,102499,-371475,-0.0858,0.0,3,qqq,signal,102499,0,3959283.883803304,57
2005-09-20,2008-08-12,49.808106,80.497778,66703,2047093,0.6162,0.0,3,gld,signal,66703,0,5369443.286334218,1057
2009-01-02,2009-06-04,86.18779,94.954278,3292,28859,0.1017,0.0,3,gld,rebalance,63394,60102,312589.48319575196,153
2009-06-04,2009-07-27,31.575076,33.944986,6709,15900,0.0751,0.0,3,qqq,rebalance,134734,128025,227736.908517871,53
2009-07-27,2010-07-01,72.716287,77.632361,59503,292521,0.0676,0.0,3,spy,signal,59503,0,4619358.38390187,339
2009-06-04,2010-08-06,31.575076,40.281257,2676,23298,0.2757,0.0,3,qqq,rebalance,128025,125349,107792.642683008,428
2009-01-02,2010-08-06,86.400882,117.636028,3352,104700,0.3615,0.0,3,gld,rebalance,61748,58396,394315.965876112,581
2010-08-06,2011-08-05,84.60348,93.477122,60535,537166,0.1049,0.0,3,spy,signal,60535,0,5658637.568707814,364
2009-06-04,2011-08-09,31.575076,45.012828,125349,1684409,0.4256,0.0,3,qqq,signal,125349,0,5642312.99966017,796
2009-01-02,2011-08-22,86.400882,181.404147,9837,934547,1.0996,0.0,3,gld,rebalance,58396,48559,1784472.5941275328,962
