date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2005-05-26,qqq,0,46402,0.0,14.98,0,1509774,46402,1509774,daily
2005-05-26,tqqq,0,3170249,0.0,15.14,0,1525682,3170249,1525682,daily
2005-05-26,spy,37484,37140,30.28,30.04,3039913,3028157,-344,-11756,daily
2005-05-26,gld,0,0,0.0,0.0,0,0,0,0,daily
2005-05-26,cash,0,0,69.72,39.84,7000031,4015965,0,-2984066,daily
2005-09-20,qqq,46402,46213,15.06,15.07,1546783,1534177,-189,-12606,daily
2005-09-20,tqqq,3170249,3098016,15.35,14.94,1576485,1521042,-72233,-55443,daily
2005-09-20,spy,37140,36550,30.48,30.01,3130639,3054876,-590,-75763,daily
2005-09-20,gld,0,88039,0.0,39.98,0,4070042,88039,4070042,daily
2005-09-20,cash,0,0,39.1,0.0,4015965,28,0,-4015937,daily
2005-12-02,qqq,46213,46447,14.92,14.99,1655556,1667901,234,12345,monthly
2005-12-02,tqqq,3098016,2784493,16.67,15.05,1849673,1673605,-313523,-176068,monthly
2005-12-02,spy,36550,38352,28.59,29.95,3171016,3331555,1802,160539,monthly
2005-12-02,gld,88039,88445,39.82,40.01,4416916,4450552,406,33636,monthly
2005-12-02,cash,0,0,0.0,0.0,28,90,0,62,monthly
2006-03-02,qqq,46447,48837,14.27,14.94,1654056,1740421,2390,86365,monthly
2006-03-02,tqqq,2784493,3099890,13.48,14.96,1563036,1742972,315397,179936,monthly
2006-03-02,spy,38352,39055,29.46,29.85,3415750,3478093,703,62343,monthly
2006-03-02,gld,88445,82660,42.79,40.25,4961764,4690128,-5785,-271636,monthly
2006-03-02,cash,0,0,0.0,0.0,90,62,0,-28,monthly
2006-05-17,qqq,48837,54109,13.54,15.03,1665192,1819957,5272,154765,daily
2006-05-17,tqqq,3099890,3896452,11.96,14.64,1470752,1772554,796562,301802,daily
2006-05-17,spy,39055,41283,28.38,29.9,3490574,3619511,2228,128937,daily
2006-05-17,gld,82660,71807,46.12,40.42,5671302,4893647,-10853,-777655,daily
2006-05-17,cash,0,0,0.0,0.0,62,38,0,-24,daily
2006-06-12,qqq,54109,0,15.66,0.0,1765803,0,-54109,-1765803,
2006-06-12,tqqq,3896452,0,14.14,0.0,1594478,0,-3896452,-1594478,
2006-06-12,spy,41283,41283,31.71,31.57,3576710,3537904,0,-38806,
2006-06-12,gld,71807,71807,38.49,38.46,4340733,4310574,0,-30159,
2006-06-12,cash,0,0,0.0,29.97,38,3358798,0,3358760,
2006-09-29,qqq,0,49097,0.0,14.97,0,1709369,49097,1709369,daily
2006-09-29,tqqq,0,3656761,0.0,14.78,0,1687496,3656761,1687496,daily
2006-09-29,spy,41283,37002,33.46,30.18,3848394,3446482,-4281,-401912,daily
2006-09-29,gld,71807,76946,37.33,40.07,4293340,4575978,5139,282638,daily
2006-09-29,cash,0,0,29.21,0.0,3358798,92,0,-3358706,daily
2007-05-02,qqq,49097,49909,14.75,15.04,1934547,1987955,812,53408,monthly
2007-05-02,tqqq,3656761,3312255,16.57,15.37,2173161,2031594,-344506,-141567,monthly
2007-05-02,spy,37002,37582,29.53,29.93,3872488,3956205,580,83717,monthly
2007-05-02,gld,76946,78647,39.14,39.66,5131528,5242609,1701,111081,monthly
2007-05-02,cash,0,0,0.0,0.0,92,111,0,19,monthly
2007-09-05,qqq,49909,48177,15.54,14.97,2129229,2034653,-1732,-94576,monthly
2007-09-05,tqqq,3312255,2943241,16.86,14.64,2310503,1989995,-369014,-320508,monthly
2007-09-05,spy,37582,39013,28.9,29.99,3961033,4076277,1431,115244,monthly
2007-09-05,gld,78647,81281,38.7,40.4,5303953,5491344,2634,187391,monthly
2007-09-05,cash,0,0,0.0,0.0,111,66,0,-45,monthly
2007-11-02,qqq,48177,49442,14.61,14.89,2235225,2311758,1265,76533,monthly
2007-11-02,tqqq,2943241,2662272,16.62,15.15,2542162,2352021,-280969,-190141,monthly
2007-11-02,spy,39013,42752,27.36,29.58,4185403,4591694,3739,406291,monthly
2007-11-02,gld,81281,78531,41.41,40.38,6334228,6269129,-2750,-65099,monthly
2007-11-02,cash,0,0,0.0,0.0,66,41,0,-25,monthly
2007-11-13,qqq,49442,51018,14.53,15.06,2070046,2224138,1576,154092,daily
2007-11-13,tqqq,2662272,3385884,11.68,16.1,1664803,2378268,723612,713465,daily
2007-11-13,spy,42752,41882,30.63,29.82,4363933,4405435,-870,41502,daily
2007-11-13,gld,78531,72849,43.16,39.02,6148977,5763813,-5682,-385164,daily
2007-11-13,cash,0,0,0.0,0.0,41,32,0,-9,daily
2008-01-16,qqq,51018,51018,14.25,14.31,2042600,2020660,0,-21940,
2008-01-16,tqqq,3385884,3385884,12.21,11.98,1749909,1692772,0,-57137,
2008-01-16,spy,41882,0,28.83,0.0,4132424,0,-41882,-4132424,
2008-01-16,gld,72849,72849,44.72,44.71,6409983,6316008,0,-93975,
2008-01-16,cash,0,0,0.0,29.0,32,4095905,0,4095873,
2008-01-17,qqq,51018,0,14.31,0.0,2020660,0,-51018,-2020660,
2008-01-17,tqqq,3385884,0,11.98,0.0,1692772,0,-3385884,-1692772,
2008-01-17,spy,0,0,0.0,0.0,0,0,0,0,
2008-01-17,gld,72849,72849,44.71,44.6,6316008,6301438,0,-14570,
2008-01-17,cash,0,0,29.0,55.4,4095905,7827402,0,3731497,
2008-02-04,qqq,0,0,0.0,0.0,0,0,0,0,monthly
2008-02-04,tqqq,0,0,0.0,0.0,0,0,0,0,monthly
2008-02-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2008-02-04,gld,72849,64073,45.4,39.89,6509058,5708904,-8776,-800154,monthly
2008-02-04,cash,0,0,54.6,60.11,7827402,8601836,0,774434,monthly
2008-07-01,qqq,50243,53166,14.18,14.99,1954825,2097860,2923,143035,daily
2008-07-01,tqqq,3819630,4922451,11.69,15.47,1612281,2165612,1102821,553331,daily
2008-07-01,spy,0,0,0.0,0.0,0,0,0,0,daily
2008-07-01,gld,65360,60383,43.33,39.98,5973904,5595089,-4977,-378815,daily
2008-07-01,cash,0,0,30.8,29.55,4245781,4136026,0,-109755,daily
2008-07-03,qqq,53166,0,14.82,0.0,2047487,0,-53166,-2047487,
2008-07-03,tqqq,4922451,0,14.54,0.0,2009103,0,-4922451,-2009103,
2008-07-03,spy,0,0,0.0,0.0,0,0,0,0,
2008-07-03,gld,60383,60383,40.71,40.32,5625883,5558858,0,-67025,
2008-07-03,cash,0,0,29.93,59.68,4136026,8229061,0,4093035,
2008-08-12,qqq,0,0,0.0,0.0,0,0,0,0,
2008-08-12,tqqq,0,0,0.0,0.0,0,0,0,0,
2008-08-12,spy,0,0,0.0,0.0,0,0,0,0,
2008-08-12,gld,60383,0,37.32,0.0,4898872,0,-60383,-4898872,
2008-08-12,cash,0,0,62.68,100.0,8229061,13089758,0,4860697,
2009-06-04,qqq,0,64556,0.0,14.91,0,2050683,64556,2050683,daily
2009-06-04,tqqq,0,15863885,0.0,15.17,0,2087147,15863885,2087147,daily
2009-06-04,spy,0,0,0.0,0.0,0,0,0,0,daily
2009-06-04,gld,60749,57594,42.2,40.29,5735313,5542270,-3155,-193043,daily
2009-06-04,cash,0,0,57.8,29.63,7853936,4076769,0,-3777167,daily
2009-07-27,qqq,64556,62588,15.47,15.02,2182297,2132025,-1968,-50272,daily
2009-07-27,tqqq,15863885,13659295,17.47,15.29,2464248,2170543,-2204590,-293705,daily
2009-07-27,spy,0,58184,0.0,29.85,0,4238524,58184,4238524,daily
2009-07-27,gld,57594,60369,38.15,39.84,5379855,5657178,2775,277323,daily
2009-07-27,cash,0,0,28.91,0.0,4076769,66,0,-4076703,daily
2009-12-02,qqq,62588,67725,13.86,14.91,2386816,2586238,5137,199422,monthly
2009-12-02,tqqq,13659295,12040936,17.03,14.97,2934125,2596892,-1618359,-337233,monthly
2009-12-02,spy,58184,62379,27.98,29.77,4819471,5164627,4195,345156,monthly
2009-12-02,gld,60369,58719,41.13,40.34,7086113,6998130,-1650,-87983,monthly
2009-12-02,cash,0,0,0.0,0.0,66,18,0,-48,monthly
2010-01-05,qqq,67725,65137,15.59,15.0,2728693,2624420,-2588,-104273,monthly
2010-01-05,tqqq,12040936,10412191,17.33,14.99,3033039,2622601,-1628745,-410438,monthly
2010-01-05,spy,62379,61907,30.23,30.07,5289512,5263384,-472,-26128,monthly
2010-01-05,gld,58719,63727,36.84,39.94,6447346,6990851,5008,543505,monthly
2010-01-05,cash,0,0,0.0,0.0,18,108,0,90,monthly
2010-02-02,qqq,65137,65918,14.82,14.96,2445766,2497403,781,51637,monthly
2010-02-02,tqqq,10412191,12261659,12.72,15.21,2099399,2538997,1849468,439598,monthly
2010-02-02,spy,61907,60666,30.61,30.01,5051700,5010351,-1241,-41349,monthly
2010-02-02,gld,63727,60933,41.84,39.83,6904820,6649618,-2794,-255202,monthly
2010-02-02,cash,0,0,0.0,0.0,108,35,0,-73,monthly
2010-03-02,qqq,65918,65393,15.12,14.93,2598100,2585355,-525,-12745,monthly
2010-03-02,tqqq,12261659,11143609,16.51,14.98,2837617,2594377,-1118050,-243240,monthly
2010-03-02,spy,60666,61565,29.56,29.84,5078893,5168436,899,89543,monthly
2010-03-02,gld,60933,62794,38.81,40.25,6667898,6971389,1861,303491,monthly
2010-03-02,cash,0,0,0.0,0.0,35,98,0,63,monthly
2010-04-05,qqq,65393,65181,15.05,14.98,2736413,2753027,-212,16614,monthly
2010-04-05,tqqq,11143609,9891033,16.91,15.28,3074599,2807915,-1252576,-266684,monthly
2010-04-05,spy,61565,61635,29.97,29.93,5448742,5499392,70,50650,monthly
2010-04-05,gld,62794,65947,38.08,39.8,6923666,7312862,3153,389196,monthly
2010-04-05,cash,0,0,0.0,0.0,98,155,0,57,monthly
2010-05-27,qqq,65181,67612,14.45,15.1,2503267,2694736,2431,191469,daily
2010-05-27,tqqq,9891033,12378087,11.82,15.92,2048106,2840572,2487054,792466,daily
2010-05-27,spy,61635,64495,28.64,30.08,4962697,5366933,2860,404236,daily
2010-05-27,gld,65947,58461,45.09,38.89,7812741,6938736,-7486,-874005,daily
2010-05-27,cash,0,0,0.0,0.0,155,24,0,-131,daily
2010-07-01,qqq,67612,67612,14.88,15.12,2518794,2511717,0,-7077,
2010-07-01,tqqq,12378087,12378087,13.42,13.54,2272084,2249940,0,-22144,
2010-07-01,spy,64495,0,29.68,0.0,5025373,0,-64495,-5025373,
2010-07-01,gld,58461,58461,42.02,41.19,7113534,6842275,0,-271259,
2010-07-01,cash,0,0,0.0,30.14,24,5006923,0,5006899,
2010-08-03,qqq,67612,64214,15.79,14.95,2752333,2602806,-3398,-149527,monthly
2010-08-03,tqqq,12378087,11091097,16.73,14.85,2916240,2586022,-1286990,-330218,monthly
2010-08-03,spy,0,0,0.0,0.0,0,0,0,0,monthly
2010-08-03,gld,58461,60331,38.75,40.18,6754583,6997792,1870,243209,monthly
2010-08-03,cash,0,0,28.73,30.03,5006923,5229126,0,222203,monthly
2010-08-06,qqq,64214,64466,14.94,14.94,2622970,2629326,252,6356,daily
2010-08-06,tqqq,11091097,11039568,15.07,14.88,2645004,2620373,-51529,-24631,daily
2010-08-06,spy,0,62247,0.0,30.0,0,5281104,62247,5281104,daily
2010-08-06,gld,60331,60028,40.2,40.18,7057520,7073699,-303,16179,daily
2010-08-06,cash,0,0,29.79,0.0,5229126,56,0,-5229070,daily
2010-09-02,qqq,64466,66031,14.64,14.99,2516867,2606764,1565,89897,monthly
2010-09-02,tqqq,11039568,12522039,13.21,15.32,2270563,2663863,1482471,393300,monthly
2010-09-02,spy,62247,62977,29.65,29.93,5096436,5204219,730,107783,monthly
2010-09-02,gld,60028,56510,42.5,39.75,7304807,6910607,-3518,-394200,monthly
2010-09-02,cash,0,0,0.0,0.0,56,106,0,50,monthly
2010-09-27,qqq,66031,65716,15.07,14.98,2866882,2837692,-315,-29190,daily
2010-09-27,tqqq,12522039,10189951,18.44,14.89,3507510,2821607,-2332088,-685903,daily
2010-09-27,spy,62977,65478,28.85,29.97,5487781,5678386,2501,190605,daily
2010-09-27,gld,56510,60040,37.64,40.16,7159252,7608268,3530,449016,daily
2010-09-27,cash,0,0,0.0,0.0,106,47,0,-59,daily
2010-12-02,qqq,65716,66657,14.79,15.01,3056021,3131250,941,75229,monthly
2010-12-02,tqqq,10189951,9107242,16.79,15.32,3469148,3194692,-1082709,-274456,monthly
2010-12-02,spy,65478,67501,29.1,30.1,6013317,6278506,2023,265189,monthly
2010-12-02,gld,60040,61058,39.33,39.57,8128215,8255041,1018,126826,monthly
2010-12-02,cash,0,0,0.0,0.0,47,114,0,67,monthly
2011-02-02,qqq,66657,65624,15.23,15.02,3331324,3274524,-1033,-56800,monthly
2011-02-02,tqqq,9107242,7817771,17.45,14.95,3815752,3260721,-1289471,-555031,monthly
2011-02-02,spy,67501,65759,30.79,30.02,6732773,6546479,-1742,-186294,monthly
2011-02-02,gld,61058,66870,36.52,40.01,7986386,8723191,5812,736805,monthly
2011-02-02,cash,0,0,0.0,0.0,114,74,0,-40,monthly
