entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2005-05-26,2006-06-12,32.495934,32.619993,46343,5749,0.0038,3,qqq,2006-06-09,382
2005-05-26,2006-06-12,0.475039,0.40959,3170248,-207491,-0.1378,3,tqqq,2006-06-09,382
2005-09-20,2006-08-02,46.65956,64.545778,88050,1574881,0.3833,3,gld,2006-08-01,316
2006-09-29,2007-07-03,35.179672,41.224869,49458,298983,0.1718,3,qqq,2007-07-02,277
2006-09-29,2007-07-03,0.47175,0.660124,3688253,694770,0.3993,3,tqqq,2007-07-02,277
2005-01-31,2008-01-16,80.251897,98.062588,37382,665799,0.2219,3,spy,2008-01-15,1080
2007-08-02,2008-01-17,41.334965,39.700919,48759,-79674,-0.0395,3,qqq,2008-01-16,168
2007-08-02,2008-01-17,0.6457,0.504621,3121366,-440361,-0.2185,3,tqqq,2008-01-16,168
2006-09-05,2008-03-04,63.389601,96.988159,74416,2500270,0.53,3,gld,2008-03-03,546
2008-05-07,2008-07-03,42.304995,38.676228,53009,-192357,-0.0858,3,qqq,2008-07-02,57
2008-05-07,2008-07-03,0.555779,0.414298,4034976,-570872,-0.2546,3,tqqq,2008-07-02,57
2008-04-02,2008-08-12,87.541839,80.497778,68597,-483201,-0.0805,3,gld,2008-08-11,132
2009-06-04,2009-08-04,31.614884,34.437145,67808,191372,0.0893,3,qqq,2009-08-03,61
2009-06-04,2009-08-04,0.128492,0.164306,16684046,597510,0.2787,3,tqqq,2009-08-03,61
2009-09-02,2010-01-05,0.154257,0.250652,14722071,1419125,0.6249,3,tqqq,2010-01-04,125
2010-02-02,2010-04-05,0.203215,0.277086,13416785,991117,0.3635,3,tqqq,2010-04-01,62
2009-07-27,2010-07-01,72.914904,77.844403,61004,300719,0.0676,3,spy,2010-06-30,339
2009-01-02,2010-07-02,86.18779,117.855369,63890,2023242,0.3674,3,gld,2010-07-01,546
2010-08-03,2010-09-02,116.227637,122.012857,65821,380789,0.0498,3,gld,2010-09-01,30
