date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2011-08-09,qqq,241619,0,100.0,0.0,10747224,0,-241619,-10747224,
2011-08-09,cash,0,0,0.0,100.0,40,10875993,0,10875953,
2015-08-25,qqq,212573,0,100.0,0.0,19336102,0,-212573,-19336102,
2015-08-25,cash,0,0,0.0,100.0,27,19984940,0,19984913,
2016-01-14,qqq,189979,0,100.0,0.0,17982931,0,-189979,-17982931,
2016-01-14,cash,0,0,0.0,100.0,86,17999446,0,17999360,
2018-11-21,qqq,176565,0,100.0,0.0,26784524,0,-176565,-26784524,
2018-11-21,cash,0,0,0.0,100.0,66,27071680,0,27071614,
2020-03-13,qqq,163176,0,100.0,0.0,27884608,0,-163176,-27884608,
2020-03-13,cash,0,0,0.0,100.0,13,29329615,0,29329602,
2022-01-26,qqq,141911,0,100.0,0.0,47695443,0,-141911,-47695443,
2022-01-26,cash,0,0,0.0,100.0,92,48627218,0,48627126,
2025-04-04,qqq,159028,0,100.0,0.0,71322325,0,-159028,-71322325,
2025-04-04,cash,0,0,0.0,100.0,116,69132981,0,69132865,
