entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2005-05-26,2006-06-12,32.455018,32.578921,308118,38177,0.0038,0.0,3,qqq,signal,308118,0,10038152.025046991,382
2006-09-29,2008-01-17,35.135375,39.650925,285700,1290093,0.1285,0.0,3,qqq,signal,285700,0,11328269.3559244,475
2008-05-07,2008-07-03,42.251723,38.627537,268113,-971691,-0.0858,0.0,3,qqq,signal,268113,0,10356544.746174648,57
2009-06-04,2011-08-09,31.575072,45.01281,327998,4407551,0.4256,0.0,3,qqq,signal,327998,0,14764111.731459528,796
2011-10-17,2015-08-25,51.163454,94.014368,288567,12365360,0.8375,0.0,3,qqq,signal,288567,0,27129444.19414074,1408
2015-10-28,2016-01-14,105.195078,94.743974,257896,-2695298,-0.0993,0.0,3,qqq,signal,257896,0,24434091.87150903,78
2016-04-05,2018-11-21,101.941924,153.323798,239687,12315567,0.504,0.0,3,qqq,signal,239687,0,36749721.06120967,960
2019-02-28,2020-03-13,165.904675,179.742072,221511,3065136,0.0834,0.0,3,qqq,signal,221511,0,39814846.1632901,379
2020-04-20,2022-01-26,206.675473,342.659283,192644,26196465,0.658,0.0,3,qqq,signal,192644,0,66011254.90230807,646
2023-03-22,2025-04-04,305.776888,434.721365,215880,27836534,0.4217,0.0,3,qqq,signal,215880,0,93847648.19869907,744
