Date,equity,cash,is_month_start,rebalanced,rebalance_reason,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2007-04-09,10000000,10000000,False,False,,1.2164,0,0.0,hold,,,0.0,,,0,0.0
2007-04-10,10000000,10000000,False,False,,1.2258,0,0.0,hold,,,0.0,,,0,0.0
2007-04-11,10000000,10000000,False,False,,1.2008,0,0.0,hold,,,0.0,,,0,0.0
2007-04-12,10000000,10000000,False,False,,1.2216,0,0.0,hold,,,0.0,,,0,0.0
2007-04-13,10000000,10000000,False,False,,1.226,0,0.0,hold,,,0.0,,,0,0.0
2007-04-16,10000000,10000000,False,False,,1.2474,0,0.0,hold,,,0.0,,,0,0.0
2007-04-17,10000000,10000000,False,False,,1.2525,0,0.0,hold,,,0.0,,,0,0.0
2007-04-18,10000000,10000000,False,False,,1.2477,0,0.0,hold,,,0.0,,,0,0.0
2007-04-19,10000000,10000000,False,False,,1.2487,0,0.0,hold,,,0.0,,,0,0.0
2007-04-20,10000000,10000000,False,False,,1.2675,0,0.0,hold,,,0.0,,,0,0.0
2007-04-23,10000000,10000000,False,False,,1.2681,0,0.0,hold,,,0.0,,,0,0.0
2007-04-24,10000000,10000000,False,False,,1.2782,0,0.0,hold,,,0.0,,,0,0.0
2007-04-25,10000000,10000000,False,False,,1.315,0,0.0,hold,,,0.0,,,0,0.0
2007-04-26,10000000,10000000,False,False,,1.3288,0,0.0,hold,,,0.0,,,0,0.0
2007-04-27,10000000,10000000,False,False,,1.3302,0,0.0,hold,,,0.0,,,0,0.0
2007-04-30,10000000,10000000,False,False,,1.2955,0,0.0,hold,,,0.0,,,0,0.0
2007-05-01,10000000,10000000,True,False,,1.3034,0,0.0,hold,,,0.0,,,0,0.0
2007-05-02,10000000,10000000,False,False,,1.3201,0,0.0,hold,,,0.0,,,0,0.0
2007-05-03,10000000,10000000,False,False,,1.3302,0,0.0,hold,,,0.0,,,0,0.0
2007-05-04,10000000,10000000,False,False,,1.3334,0,0.0,hold,,,0.0,,,0,0.0
2007-05-07,10000000,10000000,False,False,,1.3304,0,0.0,hold,,,0.0,,,0,0.0
2007-05-08,10000000,10000000,False,False,,1.3297,0,0.0,hold,,,0.0,,,0,0.0
2007-05-09,10000000,10000000,False,False,,1.3395,0,0.0,hold,,,0.0,,,0,0.0
2007-05-10,10000000,10000000,False,False,,1.3059,0,0.0,hold,,,0.0,,,0,0.0
2007-05-11,10000000,10000000,False,False,,1.3366,0,0.0,hold,,,0.0,,,0,0.0
2007-05-14,10000000,10000000,False,False,,1.3174,0,0.0,hold,,,0.0,,,0,0.0
2007-05-15,10000000,10000000,False,False,,1.2984,0,0.0,hold,,,0.0,,,0,0.0
2007-05-16,10000000,10000000,False,False,,1.3226,0,0.0,hold,,,0.0,,,0,0.0
2007-05-17,10000000,10000000,False,False,,1.3084,0,0.0,hold,,,0.0,,,0,0.0
2007-05-18,10000000,10000000,False,False,,1.3298,0,0.0,hold,,,0.0,,,0,0.0
2007-05-21,10000000,10000000,False,False,,1.3483,0,0.0,hold,,,0.0,,,0,0.0
