entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2007-08-27,2008-01-17,1.381297,1.219668,7239570,-1170128,-0.117,0.0,3,qld,signal,7239570,0,8829871.76140602,143
2009-06-01,2010-07-01,0.564756,0.773873,15634838,3269513,0.3703,0.0,3,qld,signal,15634838,0,12099385.147700172,395
2010-09-17,2011-08-09,0.977911,1.076787,12372686,1223361,0.1011,0.0,3,qld,signal,12372686,0,13322746.437694436,326
2012-01-11,2015-08-25,1.345891,4.032083,9898833,26590174,1.9958,0.0,3,qld,signal,9898833,0,39912919.74352822,1322
2015-10-29,2016-01-14,4.975502,4.003213,8021888,-7799591,-0.1954,0.0,3,qld,signal,8021888,0,32113328.11502503,77
2016-04-19,2018-11-20,4.724327,8.796768,6797440,27682178,0.862,0.0,3,qld,signal,6797440,0,59795504.61798784,945
2019-03-21,2020-03-13,11.080286,11.099496,5396566,103667,0.0017,0.0,3,qld,signal,5396566,0,59899164.43065429,358
2020-04-20,2022-01-26,13.776703,34.294195,4347859,89207159,1.4893,0.0,3,qld,signal,4347859,0,149106323.6784997,646
2023-02-07,2025-04-04,22.311174,38.374569,6683033,107352196,0.72,0.0,3,qld,signal,6683033,0,256458510.20586216,787
2025-05-16,2026-03-30,52.871233,58.803591,4850625,28775645,0.1122,0.0,3,qld,signal,4850625,0,285234170.5394756,318
